,term,score
0,plath,0.7436312872341917
1,jar,0.18050042315159556
2,hughes,0.14802453803698482
3,sylvia,0.1251497928681656
4,bell,0.11374363262351174
5,poet,0.09966337967975801
6,literary,0.09910377373371577
7,kukil,0.09651734441006797
8,poems,0.09478636051959312
9,jones,0.09381412869681471
10,lazarus,0.08235455797880233
11,published,0.0796255756168594
12,rejection,0.07715382390876593
13,ted,0.07164082363421802
14,ariel,0.06434489627337864
15,fitzroy,0.06434489627337864
16,hartocollis,0.06434489627337864
17,anemona,0.06434489627337864
18,pancras,0.06434489627337864
19,aurelia,0.06434489627337864
20,authoress,0.05720240671032244
21,boston,0.055714627316446406
22,oven,0.05490303865253488
23,reader,0.054659956455363534
24,paperback,0.05302431815414232
25,wellesley,0.05302431815414232
26,editor,0.05215727399372626
27,pills,0.051435882605843954
28,death,0.05021614266194823
29,chronicle,0.04884622959796221
30,poetry,0.04874017872014837
31,notices,0.04776054908947868
32,encounter,0.04677843160621132
33,lady,0.04615808196717156
34,like,0.0459525551289313
35,discovering,0.04588182859108611
36,breakdown,0.04505703377089345
37,smith,0.045012620875012996
38,winston,0.042917427584210036
39,writing,0.042190209352907675
40,novel,0.0417859704873348
41,gas,0.041703740034906005
42,susan,0.041703740034906005
43,reviews,0.04061805952642248
44,said,0.03977036736930562
45,warren,0.03917789177745952
46,sleeping,0.03917789177745952
47,anger,0.03873933902802991
48,kitchen,0.038318691468634924
49,suicide,0.03791454420783725
50,magazine,0.03636283471829525
51,mother,0.03483954232017714
52,press,0.033890316890339334
53,address,0.03347556996336627
54,university,0.03258158929117727
55,smothering,0.03217244813668932
56,townsman,0.03217244813668932
57,lucas,0.03217244813668932
58,obit,0.03217244813668932
59,towels,0.03217244813668932
60,resemblances,0.03217244813668932
61,mysteriously,0.03217244813668932
62,charitably,0.03217244813668932
63,delaquérière,0.03217244813668932
64,wevill,0.03217244813668932
65,beachy,0.03217244813668932
66,confessional,0.03217244813668932
67,monoxide,0.03217244813668932
68,brittle,0.03217244813668932
69,simpsons,0.03217244813668932
70,intern,0.03217244813668932
71,schober,0.03217244813668932
72,espich,0.03217244813668932
73,assia,0.03217244813668932
74,karen,0.03217244813668932
75,cracks,0.03217244813668932
76,blackberrying,0.03217244813668932
77,novelistic,0.03217244813668932
78,subordinating,0.03217244813668932
79,gail,0.03217244813668932
80,colossus,0.03217244813668932
81,toddlers,0.03217244813668932
82,2009,0.03217244813668932
83,headstone,0.03217244813668932
84,snippet,0.03217244813668932
85,blackberries,0.03217244813668932
86,rejected,0.031813792936258974
87,1971,0.030194084422311352
88,earrings,0.030083403858599263
89,bbc,0.030083403858599263
90,trauma,0.030083403858599263
91,secretarial,0.030083403858599263
92,alain,0.030083403858599263
93,frieda,0.030083403858599263
94,nicolas,0.030083403858599263
95,ash,0.030083403858599263
96,alvarez,0.030083403858599263
97,feverish,0.030083403858599263
98,addicted,0.030083403858599263
99,mademoiselle,0.030083403858599263
100,cloths,0.030083403858599263
101,fulbright,0.030083403858599263
102,feminism,0.030083403858599263
103,carbon,0.030083403858599263
104,college,0.029680733298943354
105,wrote,0.029349243413992837
106,treatment,0.029297481407186157
107,collection,0.028794726367371303
108,rescuing,0.02860120335516122
109,lilly,0.02860120335516122
110,posthumous,0.02860120335516122
111,hovered,0.02860120335516122
112,concurred,0.02860120335516122
113,fisheries,0.02860120335516122
114,pedal,0.02860120335516122
115,ceases,0.02860120335516122
116,advertise,0.02860120335516122
117,woke,0.02860120335516122
118,exemplar,0.02860120335516122
119,steinem,0.02860120335516122
120,determinedly,0.02860120335516122
121,pocketed,0.02860120335516122
122,blared,0.02860120335516122
123,steinberg,0.02860120335516122
124,handwritten,0.02860120335516122
125,road,0.028472686586993493
126,paper,0.028472686586993493
127,killed,0.028315363923918792
128,died,0.027811746687469538
129,letter,0.027562881219937694
130,pseudonym,0.02745151932626744
131,grappled,0.02745151932626744
132,libel,0.02745151932626744
133,unafraid,0.02745151932626744
134,swallowed,0.02745151932626744
135,stuffed,0.02745151932626744
136,nodded,0.02745151932626744
137,curator,0.02745151932626744
138,hanged,0.02745151932626744
139,frank,0.027418760908793593
140,1962,0.027276628527485348
141,emil,0.02651215907707116
142,editorship,0.02651215907707116
143,yeats,0.02651215907707116
144,perennial,0.02651215907707116
145,cheek,0.02651215907707116
146,ashes,0.02651215907707116
147,truthful,0.02651215907707116
148,terse,0.02651215907707116
149,perfectionism,0.02651215907707116
150,assessment,0.02651215907707116
151,virus,0.02651215907707116
152,did,0.026483365207816915
153,hair,0.026462697634785256
154,best,0.02612965674013286
155,feel,0.025830325360495215
156,represents,0.025717941302921977
157,burke,0.025717941302921977
158,biting,0.025717941302921977
159,daddy,0.025717941302921977
160,headline,0.025717941302921977
161,sensationalism,0.025717941302921977
162,exceptionally,0.025717941302921977
163,resting,0.025717941302921977
164,confront,0.025717941302921977
165,prestigious,0.025717941302921977
166,reputation,0.02570837796952427
167,second,0.025570440400341184
168,sister,0.025350962917042703
169,1996,0.02502995857363312
170,arresting,0.02502995857363312
171,jealous,0.02502995857363312
172,bouts,0.02502995857363312
173,pile,0.02502995857363312
174,risen,0.02502995857363312
175,biologist,0.02502995857363312
176,poisoning,0.02502995857363312
177,gloria,0.02502995857363312
178,biographers,0.02502995857363312
179,25th,0.02502995857363312
180,british,0.02456226072314478
181,coroner,0.024423114798981106
182,falsely,0.024423114798981106
183,knopf,0.024423114798981106
184,47,0.024423114798981106
185,indianapolis,0.024423114798981106
186,reject,0.024423114798981106
187,feels,0.024423114798981106
188,heroine,0.024423114798981106
189,otto,0.024423114798981106
190,hometown,0.024423114798981106
191,england,0.02413727536773868
192,judith,0.02388027454473934
193,recreation,0.02388027454473934
194,estranged,0.02388027454473934
195,alaska,0.02388027454473934
196,psychiatrist,0.02388027454473934
197,bottle,0.02388027454473934
198,julia,0.02388027454473934
199,doris,0.02388027454473934
200,crowther,0.02388027454473934
201,epitaph,0.02388027454473934
202,globe,0.02388027454473934
203,satisfying,0.02388027454473934
204,received,0.023447758824229
205,indiana,0.02338921580310566
206,diary,0.02338921580310566
207,laureate,0.02338921580310566
208,aunt,0.02338921580310566
209,bizarre,0.02338921580310566
210,weeks,0.02333652824637669
211,victoria,0.022940914295543055
212,legitimate,0.022940914295543055
213,oklahoma,0.022940914295543055
214,fascination,0.022940914295543055
215,separation,0.022940914295543055
216,husband,0.02286592435361913
217,author,0.02277432877920887
218,covering,0.022528516885446725
219,attract,0.022528516885446725
220,partnership,0.022528516885446725
221,editors,0.022528516885446725
222,family,0.022454484508190407
223,london,0.02241587753242081
224,verdict,0.022146696521393873
225,tape,0.022146696521393873
226,haunted,0.022146696521393873
227,despair,0.021791230266649284
228,woman,0.021489958895041416
229,helped,0.021489958895041416
230,slept,0.021458713792105018
231,adventures,0.021458713792105018
232,materials,0.021458713792105018
233,milk,0.021458713792105018
234,fleet,0.021458713792105018
235,bread,0.021458713792105018
236,st,0.021251235455394167
237,new,0.021215867050469406
238,portion,0.021146362576712117
239,harper,0.021146362576712117
240,tea,0.021146362576712117
241,row,0.021146362576712117
242,windows,0.021146362576712117
243,poets,0.021146362576712117
244,lying,0.021146362576712117
245,30,0.021095104676453837
246,collections,0.020851870017453002
247,suits,0.020851870017453002
248,wave,0.020851870017453002
249,yorker,0.020851870017453002
250,herald,0.020851870017453002
251,nicholas,0.020851870017453002
252,half,0.020640423524495053
253,ms,0.02057330395352237
254,perfectly,0.02057330395352237
255,observer,0.02057330395352237
256,edition,0.02057330395352237
257,predicted,0.02057330395352237
258,linked,0.02030902976321124
259,eat,0.02030902976321124
260,say,0.020204960097310806
261,head,0.020134138964429144
262,doors,0.020057652243303813
263,eyed,0.020057652243303813
264,positive,0.020057652243303813
265,tragic,0.020057652243303813
266,dawn,0.020057652243303813
267,losing,0.01981797102157756
