,term,score
0,batman,0.7009062049214153
1,kane,0.3987861576898121
2,robin,0.19154876085333436
3,superman,0.14353354881955943
4,asherman,0.14018124098428308
5,bat,0.1344693289893558
6,comics,0.12462067427806629
7,mr,0.12350723088707813
8,cape,0.10902649385476275
9,finger,0.09349954086563271
10,penguin,0.08410874459056986
11,bruce,0.08152887297847894
12,comic,0.06540245082602295
13,wayne,0.06114665473385921
14,said,0.05941260506285538
15,movie,0.057651406857124866
16,bob,0.056969025578185485
17,vinci,0.05607249639371323
18,levitz,0.05607249639371323
19,riddler,0.05607249639371323
20,superhero,0.05607249639371323
21,grayson,0.05243155718847045
22,sidekick,0.05243155718847045
23,dc,0.049848269711226516
24,leonardo,0.049848269711226516
25,joker,0.04784451627318648
26,cartoonist,0.04784451627318648
27,strips,0.04784451627318648
28,villains,0.04620733050598374
29,da,0.0448231096631186
30,tools,0.0436240430287398
31,criminals,0.04162028959069976
32,deaths,0.03859888298063188
33,created,0.03846429980455798
34,strip,0.03797935038545699
35,called,0.03688463183498406
36,costume,0.03685542779601662
37,fights,0.03634216461825425
38,83,0.035396062908213045
39,crime,0.03414104804942809
40,adventure,0.03375887714101031
41,wonder,0.03270122541301147
42,drawing,0.032374656298145156
43,came,0.030228888784087506
44,man,0.029487381478647552
45,better,0.029301023505230325
46,catwoman,0.028036248196856614
47,pedigrees,0.028036248196856614
48,criminology,0.028036248196856614
49,flyer,0.028036248196856614
50,psychopath,0.028036248196856614
51,cooler,0.028036248196856614
52,superheroes,0.028036248196856614
53,tights,0.028036248196856614
54,riddles,0.028036248196856614
55,batplane,0.028036248196856614
56,venues,0.028036248196856614
57,hick,0.028036248196856614
58,supercompetitor,0.028036248196856614
59,batcave,0.028036248196856614
60,batmobile,0.028036248196856614
61,racketeers,0.028036248196856614
62,contraptions,0.028036248196856614
63,dresser,0.028036248196856614
64,scalloped,0.028036248196856614
65,batlegend,0.028036248196856614
66,asher,0.028036248196856614
67,cowl,0.028036248196856614
68,whispers,0.028036248196856614
69,majeski,0.028036248196856614
70,aerialist,0.028036248196856614
71,adapts,0.028036248196856614
72,wears,0.028036248196856614
73,campiness,0.028036248196856614
74,pupp,0.028036248196856614
75,packets,0.028036248196856614
76,hero,0.026815894080639106
77,owned,0.026644847747746243
78,rusty,0.026215778594235226
79,avenge,0.026215778594235226
80,kool,0.026215778594235226
81,gotham,0.026215778594235226
82,lab,0.026215778594235226
83,traumatized,0.026215778594235226
84,atlas,0.026215778594235226
85,punning,0.026215778594235226
86,bunny,0.026215778594235226
87,caped,0.026215778594235226
88,oz,0.026215778594235226
89,insignia,0.026215778594235226
90,spreads,0.026215778594235226
91,disfigured,0.026215778594235226
92,zorro,0.026215778594235226
93,year,0.02603841005392901
94,angeles,0.02599149341402544
95,lot,0.02509277788765961
96,los,0.02509277788765961
97,clip,0.024924134855613258
98,tempted,0.024924134855613258
99,optimist,0.024924134855613258
100,injustices,0.024924134855613258
101,serial,0.024924134855613258
102,sanders,0.024924134855613258
103,cowardly,0.024924134855613258
104,pals,0.024924134855613258
105,edges,0.024924134855613258
106,dark,0.024540008878608438
107,book,0.024268491465774648
108,superstitious,0.02392225813659324
109,superpowers,0.02392225813659324
110,wisecracking,0.02392225813659324
111,knockout,0.02392225813659324
112,alderman,0.02392225813659324
113,ghosts,0.02392225813659324
114,shines,0.02392225813659324
115,cedars,0.02392225813659324
116,hiram,0.02392225813659324
117,bugs,0.02392225813659324
118,librarian,0.02392225813659324
119,1920,0.02317495487539633
120,new,0.023110353298703045
121,assortment,0.02310366525299187
122,murdered,0.02310366525299187
123,mickey,0.02310366525299187
124,vest,0.02310366525299187
125,punishing,0.02310366525299187
126,strangely,0.02310366525299187
127,didn,0.023060562742849944
128,drew,0.022617032545705473
129,echoed,0.0224115548315593
130,deborah,0.0224115548315593
131,belt,0.0224115548315593
132,identify,0.0224115548315593
133,segments,0.0224115548315593
134,medieval,0.0224115548315593
135,rely,0.0224115548315593
136,radio,0.022298194521259192
137,lived,0.022079444134069284
138,mouse,0.0218120215143699
139,thinks,0.0218120215143699
140,crusader,0.0218120215143699
141,carson,0.0218120215143699
142,utility,0.0218120215143699
143,fictional,0.0218120215143699
144,parents,0.021404452498741462
145,character,0.021404452498741462
146,toys,0.021283195650370484
147,boots,0.021283195650370484
148,blank,0.021283195650370484
149,chapters,0.021283195650370484
150,cooper,0.021283195650370484
151,detective,0.021283195650370484
152,agile,0.021283195650370484
153,syndicate,0.02081014479534988
154,laughs,0.02081014479534988
155,allan,0.02081014479534988
156,startled,0.02081014479534988
157,doris,0.02081014479534988
158,television,0.02067842808244466
159,matthew,0.020382218244619735
160,guardian,0.020382218244619735
161,costumes,0.020382218244619735
162,shadows,0.020382218244619735
163,likes,0.020382218244619735
164,basically,0.020382218244619735
165,hugo,0.020382218244619735
166,sinai,0.01999155191174851
167,weekend,0.01999155191174851
168,cigarettes,0.01999155191174851
169,longest,0.019632173722806266
170,boy,0.019457592562330237
171,eyes,0.019306670337996837
172,vowed,0.01929944149031594
173,descended,0.01929944149031594
174,popular,0.01923214990227899
175,myth,0.018989675192728494
176,boxer,0.018989675192728494
177,adam,0.018989675192728494
178,dick,0.018989675192728494
179,chemical,0.018989675192728494
180,kid,0.018989675192728494
181,1998,0.018989675192728494
182,smoke,0.018699908173126542
183,circus,0.018699908173126542
184,criminal,0.018699908173126542
185,adventures,0.018699908173126542
186,kids,0.018699908173126542
187,guess,0.018699908173126542
188,guy,0.01842771389800831
189,sounds,0.01842771389800831
190,heroes,0.01842771389800831
191,wings,0.01842771389800831
192,moves,0.01842771389800831
193,sullivan,0.01842771389800831
194,sarah,0.01842771389800831
195,gas,0.018171082309127125
196,roof,0.018171082309127125
197,cards,0.018171082309127125
198,assembled,0.017928329650877466
199,edition,0.017928329650877466
200,circuit,0.017698031454106523
201,hearts,0.017698031454106523
202,skills,0.017698031454106523
203,story,0.01760734134030007
204,15,0.017545625214420657
205,features,0.01747897188769455
206,yellow,0.01747897188769455
207,circles,0.01747897188769455
208,featured,0.01727010490337638
209,victor,0.01727010490337638
210,victims,0.017070524024714043
211,protection,0.017070524024714043
212,starring,0.017070524024714043
213,window,0.017070524024714043
214,walking,0.016879438570505154
215,kill,0.016879438570505154
216,partner,0.016879438570505154
217,jersey,0.016879438570505154
218,sources,0.016879438570505154
219,place,0.016723382860752894
220,vincent,0.016696154735086507
221,ardent,0.016696154735086507
222,elaborate,0.01652006038156291
223,shadow,0.01652006038156291
224,flying,0.01652006038156291
225,appeared,0.016392805863218757
226,grandson,0.016350612706505736
227,tough,0.016187328149072578
228,dress,0.016187328149072578
229,stands,0.015877561851485134
230,reader,0.015877561851485134
231,mean,0.015877561851485134
232,world,0.015664811930790015
233,watching,0.015587794831883182
234,starred,0.015587794831883182
235,york,0.015334255674014686
236,city,0.015323141209056144
237,watched,0.01531560055676495
238,sell,0.01531560055676495
239,tuesday,0.015185451430052562
240,wall,0.015058968967883765
241,creating,0.014935952218341006
242,send,0.014935952218341006
243,wasn,0.014816216309634108
244,tone,0.014816216309634108
245,just,0.014585934730232186
246,memorable,0.014585918112863165
247,publisher,0.014585918112863165
248,machine,0.014475052468122937
249,characters,0.014475052468122937
250,screen,0.014475052468122937
251,artists,0.014475052468122937
252,trained,0.014366858546451191
253,drove,0.014261210601872956
254,violence,0.014261210601872956
255,credited,0.014261210601872956
256,mental,0.014261210601872956
257,national,0.014070214400732441
258,camp,0.014057092248863748
259,seriously,0.013958410683470684
260,popularity,0.013958410683470684
261,fear,0.013958410683470684
262,green,0.013958410683470684
263,1980,0.013958410683470684
264,entirely,0.013861851467672373
265,closed,0.013861851467672373
266,huge,0.013861851467672373
267,elizabeth,0.013767325229261796
268,observed,0.013767325229261796
269,increased,0.013767325229261796
270,streets,0.013584041393843147
271,debut,0.013495130954143564
272,quiet,0.013407947040319553
273,ahead,0.013407947040319553
274,like,0.013348245838600434
275,released,0.013322423873873121
276,police,0.013238499365262377
277,happened,0.013156114843113
278,1966,0.013156114843113
279,movies,0.01307521480782922
280,continue,0.01307521480782922
281,actress,0.01307521480782922
282,mark,0.01299574670701272
283,chose,0.01299574670701272
284,60,0.012917660730413413
285,inspired,0.012765448510241778
286,league,0.012765448510241778
287,films,0.0126912347464604
288,medical,0.012618227764163
289,1965,0.012546388943829805
290,remember,0.012546388943829805
291,began,0.012538055105273657
292,royal,0.012475681490639826
293,pictures,0.012475681490639826
294,justice,0.012406070321299536
295,physical,0.012406070321299536
296,admitted,0.01233752195951163
297,peter,0.012270004439304219
298,vice,0.01220348721552159
299,executive,0.012073338088809202
300,building,0.012073338088809202
301,suggested,0.012073338088809202
302,need,0.011763571791221759
303,younger,0.011763571791221759
304,columbia,0.011763571791221759
305,scene,0.011645411538079058
306,students,0.011645411538079058
307,battle,0.011587477437698165
308,single,0.011587477437698165
309,1964,0.011587477437698165
310,did,0.01153928661101197
311,really,0.01141802976264099
312,editor,0.011362939126879577
313,paul,0.011362939126879577
314,playing,0.011308516272852736
315,fight,0.011201610496501573
316,1939,0.011149097260629596
317,outside,0.011149097260629596
318,november,0.011149097260629596
319,pay,0.011149097260629596
320,interview,0.011097191127792025
321,picture,0.011097191127792025
322,sister,0.011045878220889661
323,red,0.011045878220889661
324,era,0.011045878220889661
325,look,0.011045878220889661
326,1936,0.010995145133253822
327,france,0.010797758161541613
328,idea,0.010749738126429015
329,action,0.010749738126429015
330,fall,0.010702226249370731
331,failed,0.010702226249370731
332,based,0.010702226249370731
333,studied,0.010655211888018436
334,13,0.010608684730886043
335,looked,0.01056263478377526
