,term,score
0,girl,0.5433119359110681
1,god,0.3103078635232886
2,oh,0.18429428330779785
3,lonely,0.16890375745245043
4,walking,0.16890375745245043
5,burn,0.15357725916856535
6,fear,0.1474948296627738
7,clouds,0.14042754133312566
8,hottest,0.14042754133312566
9,got,0.13824446848148894
10,cause,0.12507524846597526
11,burning,0.11937871388748744
12,telling,0.11937871388748744
13,ain,0.11592158849431645
14,knows,0.1126025049683003
15,ground,0.1126025049683003
16,flame,0.1126025049683003
17,feet,0.10706593914763879
18,world,0.10575727511553575
19,like,0.08883234761720057
20,eyes,0.08865938957808246
21,head,0.08865938957808246
22,away,0.07206247554671077
23,gabby,0.07021377066656283
24,reppin,0.07021377066656283
25,bright,0.07021377066656283
26,death,0.07021377066656283
27,stands,0.07021377066656283
28,deer,0.07021377066656283
29,catastrophe,0.07021377066656283
30,stunts,0.07021377066656283
31,rum,0.07021377066656283
32,lighting,0.07021377066656283
33,comforter,0.07021377066656283
34,audibly,0.07021377066656283
35,disappear,0.07021377066656283
36,gold,0.07021377066656283
37,core,0.07021377066656283
38,fans,0.07021377066656283
39,fantasy,0.07021377066656283
40,horse,0.07021377066656283
41,torture,0.07021377066656283
42,continued,0.07021377066656283
43,bawling,0.07021377066656283
44,ranch,0.07021377066656283
45,backing,0.07021377066656283
46,pills,0.07021377066656283
47,aggy,0.07021377066656283
48,checkin,0.07021377066656283
49,box,0.07021377066656283
50,interfere,0.07021377066656283
51,ghost,0.06405738329663851
52,brought,0.06405738329663851
53,hotter,0.06405738329663851
54,dear,0.06405738329663851
55,looks,0.06405738329663851
56,backyard,0.06405738329663851
57,haters,0.06405738329663851
58,balcony,0.06405738329663851
59,marilyn,0.06405738329663851
60,baby,0.06253762423298763
61,stare,0.05968935694374372
62,callin,0.05968935694374372
63,underneath,0.05968935694374372
64,jump,0.05968935694374372
65,goes,0.05968935694374372
66,doing,0.05968935694374372
67,highway,0.05630125248415015
68,win,0.05630125248415015
69,forget,0.053532969573819394
70,gun,0.053532969573819394
71,just,0.052655509516513675
72,watch,0.05119241972285511
73,gon,0.05119241972285511
74,leave,0.05119241972285511
75,spirit,0.05119241972285511
76,til,0.05119241972285511
77,took,0.05119241972285511
78,girls,0.05119241972285511
79,em,0.05119241972285511
80,everybody,0.05119241972285511
81,fly,0.05119241972285511
82,trying,0.0491649432209246
83,living,0.0491649432209246
84,coming,0.045776838761331026
85,feeling,0.04432969478904123
86,better,0.043008555851000274
87,try,0.041793225839312935
88,look,0.04066800600003599
89,said,0.04066800600003599
90,wanna,0.03962045139140671
91,way,0.03772003437141366
92,night,0.03685216848107595
93,make,0.03525242503851191
94,come,0.03014359227721687
95,say,0.03014359227721687
96,let,0.026327754758256838
97,yeah,0.0259117418997704
98,ll,0.025506824050536267
99,que,0.0
100,reaction,0.0
101,quarrels,0.0
102,putting,0.0
103,quede,0.0
104,pussy,0.0
105,queen,0.0
106,read,0.0
107,reading,0.0
108,ready,0.0
109,real,0.0
110,really,0.0
111,pushin,0.0
112,rapidly,0.0
113,reach,0.0
114,ray,0.0
115,rapper,0.0
116,rated,0.0
117,rationale,0.0
118,raised,0.0
119,raise,0.0
120,rained,0.0
121,rattle,0.0
122,rain,0.0
123,ragin,0.0
124,race,0.0
125,rattlesnakers,0.0
126,razona,0.0
127,queens,0.0
128,raíces,0.0
129,quoting,0.0
130,raíz,0.0
131,quit,0.0
132,quiet,0.0
133,quiere,0.0
134,quick,0.0
135,ransacked,0.0
136,questions,0.0
137,quench,0.0
138,quejido,0.0
139,radio,0.0
140,128,0.0
141,push,0.0
142,preachers,0.0
143,powers,0.0
144,pr,0.0
145,praise,0.0
146,pranto,0.0
147,pray,0.0
148,prayer,0.0
149,preaching,0.0
150,powder,0.0
151,precisely,0.0
152,pregones,0.0
153,pregón,0.0
154,present,0.0
155,presidentes,0.0
156,press,0.0
157,power,0.0
158,poverty,0.0
159,pretty,0.0
160,por,0.0
161,polish,0.0
162,político,0.0
163,poodle,0.0
164,pool,0.0
165,pop,0.0
166,poppin,0.0
167,porch,0.0
168,pour,0.0
169,porque,0.0
170,position,0.0
171,positive,0.0
172,possess,0.0
173,poster,0.0
174,potent,0.0
175,pretending,0.0
176,prey,0.0
177,punishment,0.0
178,puedo,0.0
179,prototype,0.0
180,proud,0.0
181,prove,0.0
182,prudence,0.0
183,pueblo,0.0
184,puedes,0.0
185,puffin,0.0
186,propio,0.0
187,pull,0.0
188,pulling,0.0
189,pulmones,0.0
190,pulque,0.0
191,pump,0.0
192,pumpin,0.0
193,pros,0.0
194,prophets,0.0
195,price,0.0
196,process,0.0
197,pricing,0.0
198,pride,0.0
199,princess,0.0
200,prob,0.0
201,problem,0.0
202,problems,0.0
203,promise,0.0
204,prophesize,0.0
205,promises,0.0
206,promotion,0.0
207,proof,0.0
208,propers,0.0
209,property,0.0
210,prophecy,0.0
211,rear,0.0
212,relentlessly,0.0
213,reason,0.0
214,ríos,0.0
215,runnin,0.0
216,running,0.0
217,runs,0.0
218,runway,0.0
219,rush,0.0
220,russia,0.0
221,ry,0.0
222,sacrifice,0.0
223,run,0.0
224,safer,0.0
225,sail,0.0
226,sake,0.0
227,saliva,0.0
228,sally,0.0
229,salvador,0.0
230,sand,0.0
231,runaway,0.0
232,rumors,0.0
233,santa,0.0
234,rot,0.0
235,roof,0.0
236,rookie,0.0
237,room,0.0
238,rooms,0.0
239,root,0.0
240,rope,0.0
241,rose,0.0
242,rough,0.0
243,rules,0.0
244,round,0.0
245,row,0.0
246,rub,0.0
247,rude,0.0
248,ruffians,0.0
249,ruger,0.0
250,rule,0.0
251,sangre,0.0
252,santos,0.0
253,reasons,0.0
254,se,0.0
255,scraper,0.0
256,scrappy,0.0
257,scream,0.0
258,screamin,0.0
259,screen,0.0
260,screwed,0.0
261,scufflin,0.0
262,sea,0.0
263,school,0.0
264,seamstress,0.0
265,searching,0.0
266,seca,0.0
267,second,0.0
268,secrets,0.0
269,section,0.0
270,seed,0.0
271,science,0.0
272,scholarship,0.0
273,sap,0.0
274,sax,0.0
275,sarasota,0.0
276,satan,0.0
277,satisfaction,0.0
278,save,0.0
279,savin,0.0
280,saving,0.0
281,saw,0.0
282,sayin,0.0
283,scheme,0.0
284,saying,0.0
285,says,0.0
286,scandalous,0.0
287,scanner,0.0
288,scared,0.0
289,scene,0.0
290,schefferville,0.0
291,romance,0.0
292,rolls,0.0
293,rollie,0.0
294,respect,0.0
295,religion,0.0
296,remember,0.0
297,remind,0.0
298,reno,0.0
299,repleta,0.0
300,repping,0.0
301,rescue,0.0
302,respected,0.0
303,relate,0.0
304,respira,0.0
305,respirando,0.0
306,rest,0.0
307,resume,0.0
308,return,0.0
309,reverse,0.0
310,revolution,0.0
311,points,0.0
312,rejoice,0.0
313,rollercoaster,0.0
314,red,0.0
315,rebels,0.0
316,recital,0.0
317,recite,0.0
318,reconstruyo,0.0
319,record,0.0
320,recuerdes,0.0
321,recuerdo,0.0
322,reflection,0.0
323,reign,0.0
324,refuse,0.0
325,regard,0.0
326,regreso,0.0
327,regret,0.0
328,regular,0.0
329,rehearse,0.0
330,rehearsed,0.0
331,revolutionary,0.0
332,rewrite,0.0
333,rexburg,0.0
334,robaron,0.0
335,ritmo,0.0
336,rituales,0.0
337,rival,0.0
338,road,0.0
339,roadrunner,0.0
340,roads,0.0
341,roam,0.0
342,rock,0.0
343,rhyme,0.0
344,rocked,0.0
345,rockin,0.0
346,rocking,0.0
347,rocks,0.0
348,role,0.0
349,roll,0.0
350,rolled,0.0
351,riso,0.0
352,rising,0.0
353,rise,0.0
354,ripped,0.0
355,rhymes,0.0
356,rhyming,0.0
357,rhythm,0.0
358,ribbon,0.0
359,rica,0.0
360,rich,0.0
361,richard,0.0
362,ride,0.0
363,riding,0.0
364,right,0.0
365,righteous,0.0
366,rights,0.0
367,rims,0.0
368,ring,0.0
369,ripe,0.0
370,poisonous,0.0
371,piel,0.0
372,poetical,0.0
373,mouthpiece,0.0
374,mornings,0.0
375,mother,0.0
376,mothers,0.0
377,mountain,0.0
378,mountaineers,0.0
379,mountains,0.0
380,moustache,0.0
381,moved,0.0
382,moonlight,0.0
383,moves,0.0
384,moving,0.0
385,mr,0.0
386,muelas,0.0
387,muere,0.0
388,mueve,0.0
389,muffin,0.0
390,morning,0.0
391,moon,0.0
392,mirror,0.0
393,modern,0.0
394,miss,0.0
395,mistakes,0.0
396,mister,0.0
397,mma,0.0
398,mmm,0.0
399,mmmmm,0.0
400,mmmmmm,0.0
401,moment,0.0
402,monáe,0.0
403,money,0.0
404,monie,0.0
405,monroe,0.0
406,mont,0.0
407,montañas,0.0
408,monterey,0.0
409,montgomery,0.0
410,mulligan,0.0
411,muscle,0.0
412,muscles,0.0
413,neeh,0.0
414,naysayers,0.0
415,near,0.0
416,nebraska,0.0
417,necesito,0.0
418,neck,0.0
419,need,0.0
420,needs,0.0
421,neep,0.0
422,museum,0.0
423,neil,0.0
424,neon,0.0
425,new,0.0
426,nice,0.0
427,nido,0.0
428,nieve,0.0
429,nigga,0.0
430,naturale,0.0
431,natural,0.0
432,nation,0.0
433,nashville,0.0
434,music,0.0
435,mutha,0.0
436,muthafucka,0.0
437,más,0.0
438,mío,0.0
439,na,0.0
440,nace,0.0
441,naciste,0.0
442,nadie,0.0
443,nah,0.0
444,nails,0.0
445,namin,0.0
446,nap,0.0
447,narc,0.0
448,nasdaq,0.0
449,mis,0.0
450,miro,0.0
451,poems,0.0
452,massachusetts,0.0
453,march,0.0
454,marry,0.0
455,marullos,0.0
456,masa,0.0
457,mascando,0.0
458,maserati,0.0
459,masks,0.0
460,masses,0.0
461,mar,0.0
462,master,0.0
463,matchbook,0.0
464,material,0.0
465,mattawa,0.0
466,matter,0.0
467,matters,0.0
468,maybe,0.0
469,maradona,0.0
470,maquilla,0.0
471,minnesota,0.0
472,makin,0.0
473,machos,0.0
474,mack,0.0
475,mad,0.0
476,madre,0.0
477,magic,0.0
478,major,0.0
479,makes,0.0
480,making,0.0
481,map,0.0
482,mama,0.0
483,mami,0.0
484,man,0.0
485,manage,0.0
486,manifest,0.0
487,mano,0.0
488,manos,0.0
489,meals,0.0
490,mean,0.0
491,meaning,0.0
492,miles,0.0
493,mi,0.0
494,mic,0.0
495,michigan,0.0
496,mics,0.0
497,middleman,0.0
498,midnight,0.0
499,mike,0.0
500,million,0.0
501,means,0.0
502,millions,0.0
503,mills,0.0
504,mind,0.0
505,minds,0.0
506,mines,0.0
507,minha,0.0
508,minhas,0.0
509,metropolis,0.0
510,met,0.0
511,messenger,0.0
512,message,0.0
513,meant,0.0
514,measurements,0.0
515,medio,0.0
516,meeting,0.0
517,mejores,0.0
518,melancolía,0.0
519,melt,0.0
520,melted,0.0
521,memory,0.0
522,men,0.0
523,mention,0.0
524,mentions,0.0
525,mercy,0.0
526,merrily,0.0
527,mess,0.0
528,niggas,0.0
529,nights,0.0
530,noche,0.0
531,pellet,0.0
