,term,score
0,yes,0.7459768152933008
1,superwoman,0.4565783340744716
2,vest,0.2029237040330985
3,mess,0.18513122662150497
4,chest,0.17250726299686361
5,oh,0.1521788522024135
6,cause,0.11296187192264792
7,super,0.10146185201654925
8,yeah,0.09360889242833134
9,women,0.08625363149843181
10,fly,0.07397519980739226
11,better,0.06214917227451759
12,slave,0.05073092600827463
13,humanity,0.05073092600827463
14,breaking,0.05073092600827463
15,sorrow,0.05073092600827463
16,complete,0.05073092600827463
17,wear,0.04628280665537624
18,ohh,0.04628280665537624
19,weak,0.04628280665537624
20,sitting,0.04628280665537624
21,searching,0.04628280665537624
22,strength,0.04628280665537624
23,clothes,0.04628280665537624
24,come,0.043558758771157356
25,underneath,0.043126815749215903
26,sisters,0.043126815749215903
27,turning,0.043126815749215903
28,mothers,0.043126815749215903
29,shoulders,0.043126815749215903
30,fighting,0.043126815749215903
31,hang,0.04067883902020369
32,knows,0.04067883902020369
33,days,0.03867869639631752
34,sun,0.03698759990369613
35,start,0.03552270549015718
36,trying,0.03552270549015718
37,home,0.03423057704341913
38,stand,0.033074728761144964
39,coming,0.033074728761144964
40,head,0.032029136805541356
41,said,0.0293834896446374
42,gotta,0.0293834896446374
43,hey,0.028626609408246576
44,tell,0.026626466784360404
45,say,0.021779379385578678
46,let,0.019022356525301688
47,prudence,0.0
48,putting,0.0
49,proud,0.0
50,pussy,0.0
51,prove,0.0
52,pushin,0.0
53,quarrels,0.0
54,que,0.0
55,puedo,0.0
56,pueblo,0.0
57,puedes,0.0
58,pulmones,0.0
59,puffin,0.0
60,pull,0.0
61,push,0.0
62,punishment,0.0
63,pulling,0.0
64,pumpin,0.0
65,pump,0.0
66,pulque,0.0
67,128,0.0
68,quick,0.0
69,quede,0.0
70,queen,0.0
71,rapper,0.0
72,rated,0.0
73,rationale,0.0
74,rattle,0.0
75,rattlesnakers,0.0
76,ray,0.0
77,razona,0.0
78,raíces,0.0
79,raíz,0.0
80,reach,0.0
81,reaction,0.0
82,read,0.0
83,reading,0.0
84,ready,0.0
85,real,0.0
86,rapidly,0.0
87,ransacked,0.0
88,ranch,0.0
89,quit,0.0
90,queens,0.0
91,quejido,0.0
92,quench,0.0
93,questions,0.0
94,quiere,0.0
95,quiet,0.0
96,quoting,0.0
97,raised,0.0
98,race,0.0
99,radio,0.0
100,ragin,0.0
101,rain,0.0
102,rained,0.0
103,raise,0.0
104,prototype,0.0
105,propers,0.0
106,pros,0.0
107,pop,0.0
108,poetical,0.0
109,points,0.0
110,poisonous,0.0
111,polish,0.0
112,político,0.0
113,poodle,0.0
114,pool,0.0
115,poppin,0.0
116,propio,0.0
117,por,0.0
118,porch,0.0
119,porque,0.0
120,position,0.0
121,positive,0.0
122,possess,0.0
123,poster,0.0
124,poems,0.0
125,poe,0.0
126,pode,0.0
127,plus,0.0
128,pittsburgh,0.0
129,pittsfield,0.0
130,pity,0.0
131,place,0.0
132,places,0.0
133,plan,0.0
134,planeta,0.0
135,planned,0.0
136,play,0.0
137,played,0.0
138,player,0.0
139,playing,0.0
140,pleased,0.0
141,plex,0.0
142,pliers,0.0
143,potent,0.0
144,pour,0.0
145,poverty,0.0
146,prey,0.0
147,pricing,0.0
148,pride,0.0
149,princess,0.0
150,prob,0.0
151,problem,0.0
152,problems,0.0
153,process,0.0
154,promise,0.0
155,promises,0.0
156,promotion,0.0
157,proof,0.0
158,property,0.0
159,prophecy,0.0
160,prophesize,0.0
161,prophets,0.0
162,price,0.0
163,pretty,0.0
164,powder,0.0
165,pretending,0.0
166,power,0.0
167,powers,0.0
168,pr,0.0
169,praise,0.0
170,pranto,0.0
171,pray,0.0
172,prayer,0.0
173,preachers,0.0
174,preaching,0.0
175,precisely,0.0
176,pregones,0.0
177,pregón,0.0
178,present,0.0
179,presidentes,0.0
180,press,0.0
181,really,0.0
182,red,0.0
183,rear,0.0
184,rolls,0.0
185,runaway,0.0
186,runnin,0.0
187,running,0.0
188,runs,0.0
189,runway,0.0
190,rush,0.0
191,russia,0.0
192,ry,0.0
193,ríos,0.0
194,sacrifice,0.0
195,safer,0.0
196,sail,0.0
197,sake,0.0
198,saliva,0.0
199,sally,0.0
200,salvador,0.0
201,sand,0.0
202,run,0.0
203,rumors,0.0
204,rum,0.0
205,rot,0.0
206,roof,0.0
207,rookie,0.0
208,room,0.0
209,rooms,0.0
210,root,0.0
211,rope,0.0
212,rose,0.0
213,rough,0.0
214,rules,0.0
215,round,0.0
216,row,0.0
217,rub,0.0
218,rude,0.0
219,ruffians,0.0
220,ruger,0.0
221,rule,0.0
222,sangre,0.0
223,santa,0.0
224,santos,0.0
225,se,0.0
226,scraper,0.0
227,scrappy,0.0
228,scream,0.0
229,screamin,0.0
230,screen,0.0
231,screwed,0.0
232,scufflin,0.0
233,sea,0.0
234,school,0.0
235,seamstress,0.0
236,seca,0.0
237,second,0.0
238,secrets,0.0
239,section,0.0
240,seed,0.0
241,seein,0.0
242,science,0.0
243,scholarship,0.0
244,sap,0.0
245,sax,0.0
246,sarasota,0.0
247,satan,0.0
248,satisfaction,0.0
249,save,0.0
250,savin,0.0
251,saving,0.0
252,saw,0.0
253,sayin,0.0
254,scheme,0.0
255,saying,0.0
256,says,0.0
257,scandalous,0.0
258,scanner,0.0
259,scared,0.0
260,scene,0.0
261,schefferville,0.0
262,romance,0.0
263,rollie,0.0
264,reason,0.0
265,rollercoaster,0.0
266,relentlessly,0.0
267,religion,0.0
268,remember,0.0
269,remind,0.0
270,reno,0.0
271,repleta,0.0
272,reppin,0.0
273,repping,0.0
274,rescue,0.0
275,respect,0.0
276,respected,0.0
277,respira,0.0
