,term,score
0,bit,0.6458361310295241
1,little,0.4893612412084858
2,just,0.38845242364470256
3,sock,0.2348495021925542
4,home,0.20970510037891313
5,respect,0.1842986406899309
6,askin,0.10359679220312487
7,baby,0.07689252883298965
8,gone,0.05871237554813855
9,ain,0.057012105560373706
10,honey,0.05537972678773285
11,yeah,0.05097524917078921
12,wrong,0.04836022296086051
13,money,0.04836022296086051
14,come,0.04447531354252827
15,want,0.03467542161317677
16,sweeter,0.03453226406770829
17,whip,0.03453226406770829
18,kisses,0.03453226406770829
19,fools,0.03453226406770829
20,lyin,0.03453226406770829
21,return,0.03453226406770829
22,tcb,0.03453226406770829
23,propers,0.03453226406770829
24,mister,0.03150445353505772
25,runnin,0.03150445353505772
26,guess,0.03150445353505772
27,babe,0.029356187774069276
28,tired,0.029356187774069276
29,means,0.029356187774069276
30,got,0.027196343088727887
31,whoa,0.0263283772414187
32,tryin,0.0263283772414187
33,care,0.02517725710145413
34,gon,0.02517725710145413
35,walk,0.024180111480430255
36,start,0.024180111480430255
37,ooh,0.02115230094777968
38,gotta,0.02000118080781511
39,hey,0.01948597656757683
40,wanna,0.01948597656757683
41,need,0.01855132084762104
42,gonna,0.01597622465414066
43,cause,0.01537850576659793
44,oh,0.012948414121490085
45,know,0.012350695233947355
46,don,0.011621580001524832
47,reaction,0.0
48,reading,0.0
49,pump,0.0
50,pumpin,0.0
51,read,0.0
52,punishment,0.0
53,pulmones,0.0
54,push,0.0
55,pushin,0.0
56,reach,0.0
57,raíz,0.0
58,raíces,0.0
59,pulque,0.0
60,ragin,0.0
61,razona,0.0
62,pulling,0.0
63,ready,0.0
64,real,0.0
65,pull,0.0
66,puffin,0.0
67,really,0.0
68,puedo,0.0
69,puedes,0.0
70,rear,0.0
71,pueblo,0.0
72,prudence,0.0
73,reason,0.0
74,reasons,0.0
75,pussy,0.0
76,putting,0.0
77,ray,0.0
78,radio,0.0
79,rain,0.0
80,rained,0.0
81,raise,0.0
82,race,0.0
83,quoting,0.0
84,raised,0.0
85,quit,0.0
86,proud,0.0
87,ranch,0.0
88,ransacked,0.0
89,quiet,0.0
90,rapidly,0.0
91,rapper,0.0
92,quiere,0.0
93,quick,0.0
94,questions,0.0
95,quench,0.0
96,quejido,0.0
97,queens,0.0
98,queen,0.0
99,quede,0.0
100,rated,0.0
101,rationale,0.0
102,que,0.0
103,rattle,0.0
104,quarrels,0.0
105,rattlesnakers,0.0
106,prove,0.0
107,128,0.0
108,prototype,0.0
109,pop,0.0
110,poetical,0.0
111,points,0.0
112,poisonous,0.0
113,polish,0.0
114,político,0.0
115,poodle,0.0
116,pool,0.0
117,poppin,0.0
118,pour,0.0
119,por,0.0
120,porch,0.0
121,porque,0.0
122,position,0.0
123,positive,0.0
124,possess,0.0
125,poster,0.0
126,poems,0.0
127,poe,0.0
128,pode,0.0
129,plus,0.0
130,pittsburgh,0.0
131,pittsfield,0.0
132,pity,0.0
133,place,0.0
134,places,0.0
135,plan,0.0
136,planeta,0.0
137,planned,0.0
138,play,0.0
139,played,0.0
140,player,0.0
141,playing,0.0
142,pleased,0.0
143,plex,0.0
144,pliers,0.0
145,potent,0.0
146,poverty,0.0
147,pros,0.0
148,promise,0.0
149,pricing,0.0
150,pride,0.0
151,princess,0.0
152,prob,0.0
153,problem,0.0
154,problems,0.0
155,process,0.0
156,promises,0.0
157,powder,0.0
158,rebels,0.0
159,proof,0.0
160,property,0.0
161,prophecy,0.0
162,prophesize,0.0
163,prophets,0.0
164,propio,0.0
165,price,0.0
166,prey,0.0
167,pretty,0.0
168,pretending,0.0
169,power,0.0
170,powers,0.0
171,pr,0.0
172,praise,0.0
173,pranto,0.0
174,pray,0.0
175,prayer,0.0
176,preachers,0.0
177,preaching,0.0
178,precisely,0.0
179,pregones,0.0
180,pregón,0.0
181,present,0.0
182,presidentes,0.0
183,press,0.0
184,promotion,0.0
185,regret,0.0
186,recital,0.0
187,recite,0.0
188,russia,0.0
189,ry,0.0
190,ríos,0.0
191,sacrifice,0.0
192,safer,0.0
193,said,0.0
194,sail,0.0
195,sake,0.0
196,saliva,0.0
197,sally,0.0
198,salvador,0.0
199,sand,0.0
200,sangre,0.0
201,santa,0.0
202,santos,0.0
203,sap,0.0
204,sarasota,0.0
205,rush,0.0
206,runway,0.0
207,runs,0.0
208,rude,0.0
209,rope,0.0
210,rose,0.0
211,rot,0.0
212,rough,0.0
213,round,0.0
214,row,0.0
215,rub,0.0
216,ruffians,0.0
217,running,0.0
218,ruger,0.0
219,rule,0.0
220,rules,0.0
221,rum,0.0
222,rumors,0.0
223,run,0.0
224,runaway,0.0
225,satan,0.0
226,satisfaction,0.0
227,save,0.0
228,seca,0.0
229,screen,0.0
230,screwed,0.0
231,scufflin,0.0
232,se,0.0
233,sea,0.0
234,seamstress,0.0
235,searching,0.0
236,second,0.0
237,scream,0.0
238,secrets,0.0
239,section,0.0
240,seed,0.0
241,seein,0.0
242,seeing,0.0
243,seek,0.0
244,seen,0.0
245,screamin,0.0
246,scrappy,0.0
247,savin,0.0
248,scandalous,0.0
249,saving,0.0
250,saw,0.0
251,sax,0.0
252,say,0.0
253,sayin,0.0
254,saying,0.0
255,says,0.0
256,scanner,0.0
257,scraper,0.0
258,scared,0.0
259,scene,0.0
260,schefferville,0.0
261,scheme,0.0
262,scholarship,0.0
263,school,0.0
264,science,0.0
265,root,0.0
266,rooms,0.0
267,room,0.0
268,respirando,0.0
269,reno,0.0
270,repleta,0.0
271,reppin,0.0
272,repping,0.0
273,rescue,0.0
274,respected,0.0
275,respira,0.0
276,rest,0.0
277,remember,0.0
278,resume,0.0
279,reverse,0.0
280,revolution,0.0
281,revolutionary,0.0
282,rewrite,0.0
283,rexburg,0.0
284,rhyme,0.0
285,remind,0.0
286,religion,0.0
287,rhyming,0.0
288,regard,0.0
289,reconstruyo,0.0
290,record,0.0
291,recuerdes,0.0
292,recuerdo,0.0
293,red,0.0
294,reflection,0.0
295,refuse,0.0
296,regreso,0.0
297,relentlessly,0.0
298,pipe,0.0
299,regular,0.0
300,rehearse,0.0
301,rehearsed,0.0
302,reign,0.0
303,rejoice,0.0
304,relate,0.0
305,rhymes,0.0
306,rhythm,0.0
307,rookie,0.0
308,rocks,0.0
309,roads,0.0
310,roam,0.0
311,robaron,0.0
312,rock,0.0
313,rocked,0.0
314,rockin,0.0
315,rocking,0.0
316,role,0.0
317,road,0.0
318,roll,0.0
319,rolled,0.0
320,rollercoaster,0.0
321,rollie,0.0
322,rolls,0.0
323,romance,0.0
324,roof,0.0
325,roadrunner,0.0
326,rival,0.0
327,ribbon,0.0
328,rights,0.0
329,rica,0.0
330,rich,0.0
331,richard,0.0
332,ride,0.0
333,riding,0.0
334,right,0.0
335,righteous,0.0
336,rims,0.0
337,rituales,0.0
338,ring,0.0
339,ripe,0.0
340,ripped,0.0
341,rise,0.0
342,rising,0.0
343,riso,0.0
344,ritmo,0.0
345,pirate,0.0
346,peyote,0.0
347,pink,0.0
348,mmm,0.0
349,minnesota,0.0
350,miro,0.0
351,mirror,0.0
352,mis,0.0
353,miss,0.0
354,mistakes,0.0
355,mma,0.0
356,mmmmm,0.0
357,minha,0.0
358,mmmmmm,0.0
359,modern,0.0
360,moment,0.0
361,monie,0.0
362,monroe,0.0
363,mont,0.0
364,montañas,0.0
365,minhas,0.0
366,mines,0.0
367,merrily,0.0
368,mics,0.0
369,message,0.0
370,messenger,0.0
371,met,0.0
372,metropolis,0.0
