,term,score
0,stand,0.8704184965033918
1,darlin,0.3337679400278369
2,won,0.17930582634157574
3,woah,0.16688397001391844
4,oh,0.14601011243853537
5,afraid,0.08921114706430293
6,long,0.06814844131801534
7,just,0.06257576247365801
8,crumble,0.05562799000463948
9,moon,0.05562799000463948
10,mountains,0.05562799000463948
11,shed,0.05562799000463948
12,trouble,0.05075049301469462
13,tear,0.05075049301469462
14,tumble,0.05075049301469462
15,sea,0.047289853826796006
16,sky,0.044605573532151464
17,land,0.0405580185428275
18,dark,0.0405580185428275
19,light,0.037534859846906285
20,fall,0.0351209142483477
21,look,0.03221988236498403
22,night,0.02919672366906281
23,come,0.02388174618714055
24,ll,0.020208191923938846
25,quejido,0.0
26,quench,0.0
27,128,0.0
28,quiet,0.0
29,questions,0.0
30,quick,0.0
31,quiere,0.0
32,quit,0.0
33,quoting,0.0
34,queens,0.0
35,putting,0.0
36,queen,0.0
37,quede,0.0
38,prudence,0.0
39,pueblo,0.0
40,puedes,0.0
41,puedo,0.0
42,puffin,0.0
43,pull,0.0
44,pulling,0.0
45,pulmones,0.0
46,pulque,0.0
47,pump,0.0
48,pumpin,0.0
49,punishment,0.0
50,push,0.0
51,pushin,0.0
52,pussy,0.0
53,quarrels,0.0
54,que,0.0
55,race,0.0
56,raise,0.0
57,radio,0.0
58,ragin,0.0
59,read,0.0
60,reading,0.0
61,ready,0.0
62,real,0.0
63,really,0.0
64,rear,0.0
65,reason,0.0
66,reasons,0.0
67,rebels,0.0
68,recital,0.0
69,recite,0.0
70,reconstruyo,0.0
71,record,0.0
72,recuerdes,0.0
73,recuerdo,0.0
74,reaction,0.0
75,reach,0.0
76,raíz,0.0
77,rapidly,0.0
78,rain,0.0
79,rained,0.0
80,proud,0.0
81,raised,0.0
82,ranch,0.0
83,ransacked,0.0
84,rapper,0.0
85,raíces,0.0
86,rated,0.0
87,rationale,0.0
88,rattle,0.0
89,rattlesnakers,0.0
90,ray,0.0
91,razona,0.0
92,prove,0.0
93,prophesize,0.0
94,prototype,0.0
95,plus,0.0
96,poe,0.0
97,poems,0.0
98,poetical,0.0
99,points,0.0
100,poisonous,0.0
101,polish,0.0
102,político,0.0
103,poodle,0.0
104,pool,0.0
105,pop,0.0
106,poppin,0.0
107,por,0.0
108,porch,0.0
109,porque,0.0
110,position,0.0
111,positive,0.0
112,possess,0.0
113,pode,0.0
114,pliers,0.0
115,pros,0.0
116,plex,0.0
117,pills,0.0
118,pink,0.0
119,pipe,0.0
120,pirate,0.0
121,pittsburgh,0.0
122,pittsfield,0.0
123,pity,0.0
124,place,0.0
125,places,0.0
126,plan,0.0
127,planeta,0.0
128,planned,0.0
129,play,0.0
130,played,0.0
131,player,0.0
132,playing,0.0
133,pleased,0.0
134,poster,0.0
135,potent,0.0
136,pour,0.0
137,poverty,0.0
138,pricing,0.0
139,pride,0.0
140,princess,0.0
141,prob,0.0
142,problem,0.0
143,problems,0.0
144,process,0.0
145,promise,0.0
146,promises,0.0
147,promotion,0.0
148,proof,0.0
149,propers,0.0
150,property,0.0
151,prophecy,0.0
152,reflection,0.0
153,prophets,0.0
154,propio,0.0
155,price,0.0
156,prey,0.0
157,pretty,0.0
158,prayer,0.0
159,powder,0.0
160,power,0.0
161,powers,0.0
162,pr,0.0
163,praise,0.0
164,pranto,0.0
165,pray,0.0
166,preachers,0.0
167,pretending,0.0
168,preaching,0.0
169,precisely,0.0
170,pregones,0.0
171,pregón,0.0
172,present,0.0
173,presidentes,0.0
174,press,0.0
175,red,0.0
176,rejoice,0.0
177,refuse,0.0
178,sand,0.0
179,safer,0.0
180,said,0.0
181,sail,0.0
182,sake,0.0
183,saliva,0.0
184,sally,0.0
185,salvador,0.0
186,sangre,0.0
187,ríos,0.0
188,santa,0.0
189,santos,0.0
190,sap,0.0
191,sarasota,0.0
192,satan,0.0
193,satisfaction,0.0
194,save,0.0
195,sacrifice,0.0
196,ry,0.0
197,saving,0.0
198,rum,0.0
199,row,0.0
200,rub,0.0
201,rude,0.0
202,ruffians,0.0
203,ruger,0.0
204,rule,0.0
205,rules,0.0
206,rumors,0.0
207,russia,0.0
208,run,0.0
209,runaway,0.0
210,runnin,0.0
211,running,0.0
212,runs,0.0
213,runway,0.0
214,rush,0.0
215,savin,0.0
216,saw,0.0
217,regard,0.0
218,seed,0.0
219,se,0.0
220,seamstress,0.0
221,searching,0.0
222,seca,0.0
223,second,0.0
224,secrets,0.0
225,section,0.0
226,seein,0.0
227,screwed,0.0
228,seeing,0.0
229,seek,0.0
230,seen,0.0
231,sees,0.0
232,self,0.0
233,sell,0.0
234,semi,0.0
235,scufflin,0.0
236,screen,0.0
237,sax,0.0
238,scene,0.0
239,say,0.0
240,sayin,0.0
241,saying,0.0
242,says,0.0
243,scandalous,0.0
244,scanner,0.0
245,scared,0.0
246,schefferville,0.0
247,screamin,0.0
248,scheme,0.0
249,scholarship,0.0
250,school,0.0
251,science,0.0
252,scraper,0.0
253,scrappy,0.0
254,scream,0.0
255,round,0.0
256,rough,0.0
257,rot,0.0
258,rewrite,0.0
259,respirando,0.0
260,rest,0.0
261,resume,0.0
262,return,0.0
263,reverse,0.0
264,revolution,0.0
265,revolutionary,0.0
266,rexburg,0.0
267,respected,0.0
268,rhyme,0.0
269,rhymes,0.0
270,rhyming,0.0
271,rhythm,0.0
272,ribbon,0.0
273,rica,0.0
274,rich,0.0
275,respira,0.0
276,respect,0.0
277,rose,0.0
278,relate,0.0
279,regreso,0.0
280,regret,0.0
281,regular,0.0
282,rehearse,0.0
283,rehearsed,0.0
284,reign,0.0
285,piel,0.0
286,relentlessly,0.0
287,rescue,0.0
288,religion,0.0
289,remember,0.0
290,remind,0.0
291,reno,0.0
292,repleta,0.0
293,reppin,0.0
294,repping,0.0
295,richard,0.0
296,ride,0.0
297,riding,0.0
298,rollie,0.0
299,rockin,0.0
300,rocking,0.0
301,rocks,0.0
302,role,0.0
303,roll,0.0
304,rolled,0.0
305,rollercoaster,0.0
306,rolls,0.0
307,right,0.0
308,romance,0.0
309,roof,0.0
310,rookie,0.0
311,room,0.0
312,rooms,0.0
313,root,0.0
314,rope,0.0
315,rocked,0.0
316,rock,0.0
317,robaron,0.0
318,roam,0.0
319,righteous,0.0
320,rights,0.0
321,rims,0.0
322,ring,0.0
323,ripe,0.0
324,ripped,0.0
325,rise,0.0
326,rising,0.0
327,riso,0.0
328,ritmo,0.0
329,rituales,0.0
330,rival,0.0
331,road,0.0
332,roadrunner,0.0
333,roads,0.0
334,piernas,0.0
335,photo,0.0
336,pieces,0.0
337,miro,0.0
338,mills,0.0
339,mind,0.0
340,minds,0.0
