,term,score
0,freedom,0.4948061340038898
1,ma,0.32933261699505345
2,seek,0.309920374776406
3,father,0.309920374776406
4,truth,0.2712647655195994
5,rain,0.2634660935960428
6,hear,0.2020568741759233
7,oh,0.17431425938756728
8,running,0.1568385514643285
9,want,0.15560259299556006
10,tryna,0.1413731811439685
11,new,0.10102843708796165
12,fall,0.09783462341017654
13,tell,0.08133189371937072
14,away,0.07952011840672982
15,rot,0.0774800936941015
16,forgive,0.0774800936941015
17,regular,0.0774800936941015
18,flags,0.0774800936941015
19,painting,0.0774800936941015
20,march,0.0774800936941015
21,quit,0.0774800936941015
22,bitter,0.0774800936941015
23,storm,0.07068659057198425
24,loose,0.07068659057198425
25,tears,0.07068659057198425
26,thunder,0.07068659057198425
27,cause,0.06900955380944779
28,telling,0.0658665233990107
29,blind,0.0658665233990107
30,cut,0.0658665233990107
31,white,0.0658665233990107
32,sweet,0.0658665233990107
33,winner,0.0658665233990107
34,flames,0.0658665233990107
35,lord,0.06212778883907164
36,chains,0.06212778883907164
37,hell,0.06212778883907164
38,blue,0.05649025025860714
39,burn,0.05649025025860714
40,walk,0.05425295310391987
41,break,0.052279517154776176
42,ooh,0.04745944998180262
43,hey,0.04372071542186357
44,won,0.04162362695375988
45,need,0.04162362695375988
46,ve,0.0358458796867118
47,let,0.02905237656459455
48,love,0.02905237656459455
49,yeah,0.028593311128463084
50,don,0.02607535682068579
51,playing,0.0
52,questions,0.0
53,quiere,0.0
54,quick,0.0
55,quejido,0.0
56,quiet,0.0
57,player,0.0
58,quoting,0.0
59,played,0.0
60,play,0.0
61,race,0.0
62,radio,0.0
63,quench,0.0
64,quede,0.0
65,queens,0.0
66,queen,0.0
67,que,0.0
68,quarrels,0.0
69,putting,0.0
70,pussy,0.0
71,pushin,0.0
72,push,0.0
73,punishment,0.0
74,pleased,0.0
75,pumpin,0.0
76,pump,0.0
77,pulque,0.0
78,plex,0.0
79,ragin,0.0
80,rained,0.0
81,planned,0.0
82,razona,0.0
83,reason,0.0
84,pittsburgh,0.0
85,rear,0.0
86,really,0.0
87,real,0.0
88,ready,0.0
89,reading,0.0
90,read,0.0
91,pittsfield,0.0
92,reaction,0.0
93,pity,0.0
94,reach,0.0
95,raíz,0.0
96,raíces,0.0
97,ray,0.0
98,planeta,0.0
99,rattlesnakers,0.0
100,rattle,0.0
101,place,0.0
102,rationale,0.0
103,rated,0.0
104,rapper,0.0
105,rapidly,0.0
106,ransacked,0.0
107,places,0.0
108,ranch,0.0
109,raised,0.0
110,plan,0.0
111,raise,0.0
112,pulling,0.0
113,pulmones,0.0
114,puffin,0.0
115,pull,0.0
116,preachers,0.0
117,pr,0.0
118,praise,0.0
119,pranto,0.0
120,pray,0.0
121,poisonous,0.0
122,prayer,0.0
123,preaching,0.0
124,polish,0.0
125,points,0.0
126,precisely,0.0
127,pregones,0.0
128,poetical,0.0
129,pregón,0.0
130,present,0.0
131,powers,0.0
132,power,0.0
133,press,0.0
134,possess,0.0
135,poppin,0.0
136,por,0.0
137,porch,0.0
138,porque,0.0
139,position,0.0
140,positive,0.0
141,poster,0.0
142,powder,0.0
143,pool,0.0
144,poodle,0.0
145,potent,0.0
146,pour,0.0
147,poverty,0.0
148,político,0.0
149,presidentes,0.0
150,pretending,0.0
151,pop,0.0
152,prototype,0.0
153,plus,0.0
154,prophecy,0.0
155,prophesize,0.0
156,prophets,0.0
157,propio,0.0
158,pros,0.0
159,proud,0.0
160,propers,0.0
161,prove,0.0
162,prudence,0.0
163,pueblo,0.0
164,puedes,0.0
165,puedo,0.0
166,pliers,0.0
167,property,0.0
168,proof,0.0
169,pretty,0.0
170,prob,0.0
171,prey,0.0
172,price,0.0
173,poems,0.0
174,pricing,0.0
175,pride,0.0
176,princess,0.0
177,poe,0.0
178,promotion,0.0
179,problem,0.0
180,problems,0.0
181,process,0.0
182,promise,0.0
183,pode,0.0
184,promises,0.0
185,reasons,0.0
186,128,0.0
187,rebels,0.0
188,rookie,0.0
189,rush,0.0
190,russia,0.0
191,ry,0.0
192,ríos,0.0
193,sacrifice,0.0
194,safer,0.0
195,said,0.0
196,sail,0.0
197,sake,0.0
198,saliva,0.0
199,sally,0.0
200,salvador,0.0
201,sand,0.0
202,sangre,0.0
203,santa,0.0
204,santos,0.0
205,sap,0.0
206,runway,0.0
207,runs,0.0
208,runnin,0.0
209,rub,0.0
210,rooms,0.0
211,root,0.0
212,rope,0.0
213,rose,0.0
214,rough,0.0
215,round,0.0
216,row,0.0
217,rude,0.0
218,runaway,0.0
219,ruffians,0.0
220,ruger,0.0
221,rule,0.0
222,rules,0.0
223,rum,0.0
224,rumors,0.0
225,run,0.0
226,sarasota,0.0
227,satan,0.0
228,satisfaction,0.0
229,searching,0.0
230,screamin,0.0
231,screen,0.0
232,screwed,0.0
233,scufflin,0.0
234,se,0.0
235,sea,0.0
236,seamstress,0.0
237,seca,0.0
238,scrappy,0.0
239,second,0.0
240,secrets,0.0
241,section,0.0
242,seed,0.0
243,seein,0.0
244,seeing,0.0
245,seen,0.0
246,scream,0.0
247,scraper,0.0
248,save,0.0
249,says,0.0
250,savin,0.0
251,saving,0.0
252,saw,0.0
253,sax,0.0
254,say,0.0
255,sayin,0.0
256,saying,0.0
257,scandalous,0.0
258,science,0.0
259,scanner,0.0
260,scared,0.0
261,scene,0.0
262,schefferville,0.0
263,scheme,0.0
264,scholarship,0.0
265,school,0.0
266,room,0.0
267,roof,0.0
268,recital,0.0
269,romance,0.0
270,remind,0.0
271,reno,0.0
272,repleta,0.0
273,reppin,0.0
274,repping,0.0
275,rescue,0.0
276,respect,0.0
277,respected,0.0
278,respira,0.0
279,respirando,0.0
280,rest,0.0
281,resume,0.0
282,return,0.0
283,reverse,0.0
284,revolution,0.0
285,revolutionary,0.0
286,rewrite,0.0
287,remember,0.0
288,religion,0.0
289,relentlessly,0.0
290,refuse,0.0
291,recite,0.0
292,reconstruyo,0.0
293,record,0.0
294,recuerdes,0.0
295,recuerdo,0.0
296,red,0.0
297,reflection,0.0
298,pipe,0.0
299,relate,0.0
300,regard,0.0
301,regreso,0.0
302,regret,0.0
303,rehearse,0.0
304,rehearsed,0.0
305,reign,0.0
306,rejoice,0.0
307,rexburg,0.0
308,rhyme,0.0
309,rhymes,0.0
310,rockin,0.0
311,road,0.0
312,roadrunner,0.0
313,roads,0.0
314,roam,0.0
315,robaron,0.0
316,rock,0.0
317,rocked,0.0
318,rocking,0.0
319,rituales,0.0
320,rocks,0.0
321,role,0.0
322,roll,0.0
323,rolled,0.0
324,rollercoaster,0.0
325,rollie,0.0
326,rolls,0.0
327,rival,0.0
328,ritmo,0.0
329,rhyming,0.0
330,right,0.0
331,rhythm,0.0
332,ribbon,0.0
333,rica,0.0
334,rich,0.0
335,richard,0.0
336,ride,0.0
337,riding,0.0
338,righteous,0.0
339,riso,0.0
340,rights,0.0
341,rims,0.0
342,ring,0.0
343,ripe,0.0
344,ripped,0.0
345,rise,0.0
346,rising,0.0
347,pirate,0.0
348,petite,0.0
349,pink,0.0
350,mma,0.0
351,minnesota,0.0
352,miro,0.0
353,mirror,0.0
354,mis,0.0
355,miss,0.0
356,mistakes,0.0
357,mister,0.0
358,mmm,0.0
359,minha,0.0
360,mmmmm,0.0
361,mmmmmm,0.0
362,modern,0.0
363,moment,0.0
364,money,0.0
365,monie,0.0
366,monroe,0.0
367,minhas,0.0
368,mines,0.0
369,nap,0.0
370,mics,0.0
371,message,0.0
372,messenger,0.0
373,met,0.0
374,metropolis,0.0
375,mi,0.0
376,mic,0.0
377,michigan,0.0
378,middleman,0.0
379,minds,0.0
380,midnight,0.0
381,mike,0.0
382,miles,0.0
383,million,0.0
384,millions,0.0
385,mills,0.0
386,mind,0.0
387,mont,0.0
388,montañas,0.0
389,monterey,0.0
390,muthafucka,0.0
391,muffin,0.0
392,mulligan,0.0
393,muscle,0.0
394,muscles,0.0
395,museum,0.0
396,music,0.0
397,mutha,0.0
398,más,0.0
399,montgomery,0.0
400,mío,0.0
401,na,0.0
402,nace,0.0
403,naciste,0.0
404,nadie,0.0
405,nah,0.0
406,nails,0.0
407,mueve,0.0
408,muere,0.0
409,muelas,0.0
410,mr,0.0
411,monáe,0.0
412,moon,0.0
413,moonlight,0.0
414,morning,0.0
415,mornings,0.0
416,mother,0.0
417,mothers,0.0
418,mountain,0.0
419,mountaineers,0.0
420,mountains,0.0
421,moustache,0.0
422,mouthpiece,0.0
423,moved,0.0
424,moves,0.0
425,moving,0.0
426,mess,0.0
427,merrily,0.0
428,mercy,0.0
429,magic,0.0
430,macbook,0.0
431,machine,0.0
432,macho,0.0
433,machos,0.0
434,mack,0.0
435,mad,0.0
436,madre,0.0
437,major,0.0
438,manifest,0.0
439,make,0.0
440,makes,0.0
441,makin,0.0
442,making,0.0
443,mama,0.0
444,mami,0.0
445,man,0.0
446,lyrical,0.0
447,lying,0.0
448,lyin,0.0
449,ly,0.0
450,louisiana,0.0
451,louisville,0.0
452,lovely,0.0
453,lover,0.0
454,lovers,0.0
455,loves,0.0
456,lovin,0.0
457,loving,0.0
458,low,0.0
459,loyal,0.0
460,lucha,0.0
461,luck,0.0
462,lucky,0.0
463,luna,0.0
464,lure,0.0
465,manage,0.0
466,mano,0.0
467,mentions,0.0
468,medio,0.0
469,maybe,0.0
470,meals,0.0
471,mean,0.0
472,meaning,0.0
473,means,0.0
474,meant,0.0
475,measurements,0.0
476,meeting,0.0
477,manos,0.0
478,mejores,0.0
479,melancolía,0.0
480,melt,0.0
481,melted,0.0
482,memory,0.0
483,men,0.0
484,mention,0.0
485,matters,0.0
486,matter,0.0
487,mattawa,0.0
488,material,0.0
489,map,0.0
490,maquilla,0.0
491,mar,0.0
492,maradona,0.0
493,marilyn,0.0
494,marry,0.0
495,marullos,0.0
496,masa,0.0
497,mascando,0.0
498,maserati,0.0
499,masks,0.0
500,massachusetts,0.0
501,masses,0.0
502,master,0.0
503,matchbook,0.0
504,namin,0.0
505,narc,0.0
506,pills,0.0
507,paripititumon,0.0
508,pane,0.0
509,paper,0.0
510,papers,0.0
511,para,0.0
512,paranoia,0.0
513,parejas,0.0
514,parentheses,0.0
515,parkersburg,0.0
516,palpitar,0.0
517,partner,0.0
518,party,0.0
519,pasadena,0.0
520,pasar,0.0
521,pass,0.0
522,passed,0.0
523,passion,0.0
524,panama,0.0
525,paloma,0.0
526,nasdaq,0.0
527,package,0.0
528,overseas,0.0
529,ow,0.0
530,owe,0.0
531,oye,0.0
532,ozone,0.0
533,pa,0.0
534,pack,0.0
535,packaged,0.0
536,palm,0.0
537,padilla,0.0
538,padre,0.0
539,pages,0.0
540,paid,0.0
541,pain,0.0
542,painful,0.0
543,paint,0.0
544,past,0.0
545,path,0.0
546,patient,0.0
547,photo,0.0
548,pestañeo,0.0
549,pete,0.0
550,petersburg,0.0
551,self,0.0
552,peyote,0.0
553,phase,0.0
554,phife,0.0
555,piano,0.0
556,patria,0.0
557,pick,0.0
558,picture,0.0
559,pie,0.0
560,piece,0.0
561,pieces,0.0
562,piel,0.0
563,piernas,0.0
564,persuasion,0.0
565,person,0.0
566,pero,0.0
567,permanent,0.0
568,paul,0.0
569,paws,0.0
570,pay,0.0
571,peace,0.0
572,peanut,0.0
573,peas,0.0
574,pedazo,0.0
575,peina,0.0
576,pellet,0.0
577,pen,0.0
578,pena,0.0
579,penar,0.0
580,people,0.0
581,perdono,0.0
582,perfect,0.0
583,overjoyed,0.0
584,overcome,0.0
585,oven,0.0
586,nos,0.0
587,night,0.0
588,nights,0.0
589,noche,0.0
590,noise,0.0
591,nope,0.0
592,norma,0.0
593,northern,0.0
594,nostalgia,0.0
595,nyc,0.0
596,nothin,0.0
597,novelties,0.0
598,nubes,0.0
599,nude,0.0
600,nuff,0.0
601,numb,0.0
602,nunca,0.0
603,niggas,0.0
604,nigga,0.0
605,nieve,0.0
606,nido,0.0
607,nashville,0.0
608,nation,0.0
609,natural,0.0
610,naturale,0.0
611,naysayers,0.0
612,near,0.0
613,nebraska,0.0
614,necesito,0.0
615,neck,0.0
616,needs,0.0
617,neeh,0.0
618,neep,0.0
619,neil,0.0
620,neon,0.0
621,nice,0.0
622,nuvens,0.0
623,não,0.0
624,outta,0.0
625,orient,0.0
626,open,0.0
627,opened,0.0
628,operación,0.0
629,opinions,0.0
630,opposite,0.0
631,order,0.0
632,orgullo,0.0
633,orleans,0.0
634,obey,0.0
635,oskaloosa,0.0
636,otoño,0.0
637,ottawa,0.0
638,ought,0.0
639,outcast,0.0
640,outs,0.0
641,outside,0.0
642,opelaka,0.0
643,op,0.0
644,oooooh,0.0
645,ooooh,0.0
646,obra,0.0
647,oddities,0.0
648,odds,0.0
649,ohh,0.0
650,oigo,0.0
651,okay,0.0
652,oklahoma,0.0
653,ol,0.0
654,old,0.0
655,older,0.0
656,ole,0.0
657,olvidar,0.0
658,olvido,0.0
659,ombabika,0.0
660,ones,0.0
661,sees,0.0
662,set,0.0
663,sell,0.0
664,trip,0.0
665,tree,0.0
666,trees,0.0
667,trend,0.0
668,tribulations,0.0
669,tried,0.0
670,trigger,0.0
671,trill,0.0
672,trippin,0.0
673,treadmill,0.0
674,trouble,0.0
675,true,0.0
676,try,0.0
677,tryin,0.0
678,trying,0.0
679,tu,0.0
680,tulsa,0.0
681,treat,0.0
682,tread,0.0
683,tune,0.0
684,train,0.0
685,track,0.0
686,trade,0.0
687,traffic,0.0
688,trago,0.0
689,trail,0.0
690,trailblazing,0.0
691,trails,0.0
692,trained,0.0
693,traveled,0.0
694,traitor,0.0
695,transcends,0.0
696,transgender,0.0
697,transmissions,0.0
698,trap,0.0
699,trapped,0.0
700,travel,0.0
701,tumble,0.0
702,turban,0.0
703,town,0.0
704,unify,0.0
705,underdog,0.0
706,underneath,0.0
707,underrated,0.0
708,understand,0.0
709,unfold,0.0
710,unforgivenlike,0.0
711,uniform,0.0
712,unimpeachable,0.0
713,ukulele,0.0
714,universe,0.0
715,unsee,0.0
716,uphill,0.0
717,usa,0.0
718,usb,0.0
719,use,0.0
720,used,0.0
721,una,0.0
722,uh,0.0
723,turn,0.0
724,tuyo,0.0
725,turned,0.0
726,turnin,0.0
727,turning,0.0
728,turnpike,0.0
729,turns,0.0
730,tus,0.0
731,tusslin,0.0
732,twice,0.0
733,ugh,0.0
734,twiddle,0.0
735,twisted,0.0
736,type,0.0
737,typical,0.0
738,tú,0.0
739,ubers,0.0
740,ufc,0.0
741,trabajo,0.0
742,toughest,0.0
743,team,0.0
744,thrill,0.0
745,thinking,0.0
746,thinks,0.0
747,thong,0.0
748,thou,0.0
749,thought,0.0
750,thoughts,0.0
751,thousand,0.0
752,throne,0.0
753,think,0.0
754,throwing,0.0
755,thug,0.0
756,thumb,0.0
757,thumper,0.0
758,ti,0.0
759,tickets,0.0
760,tide,0.0
761,thinkin,0.0
762,things,0.0
763,tiemblan,0.0
764,tenderness,0.0
765,teardrops,0.0
766,tease,0.0
767,teased,0.0
768,teenage,0.0
769,tellin,0.0
770,telly,0.0
771,temper,0.0
772,tengo,0.0
773,thing,0.0
774,tennessee,0.0
775,tequila,0.0
776,terminator,0.0
777,test,0.0
778,texarkana,0.0
779,texas,0.0
780,thank,0.0
781,tied,0.0
782,tiempos,0.0
783,tough,0.0
784,tongue,0.0
785,todos,0.0
786,toilet,0.0
787,told,0.0
788,toll,0.0
789,tomen,0.0
790,tomorrow,0.0
791,tone,0.0
792,tonight,0.0
793,todd,0.0
794,took,0.0
795,toronto,0.0
796,torture,0.0
797,toss,0.0
798,totally,0.0
799,totin,0.0
800,touch,0.0
801,todo,0.0
802,today,0.0
803,tiene,0.0
804,timbales,0.0
805,tierra,0.0
806,tiger,0.0
807,tigers,0.0
808,tight,0.0
809,tightrope,0.0
810,til,0.0
811,till,0.0
812,time,0.0
813,toda,0.0
814,times,0.0
815,tiny,0.0
816,tip,0.0
817,tippin,0.0
818,tired,0.0
819,title,0.0
820,tocopilla,0.0
821,useless,0.0
822,uvas,0.0
823,va,0.0
824,wire,0.0
825,window,0.0
826,windows,0.0
827,wings,0.0
828,winnemucca,0.0
829,winslow,0.0
830,winter,0.0
831,wiped,0.0
832,wisdom,0.0
833,win,0.0
834,wish,0.0
835,wishin,0.0
836,wishing,0.0
837,wit,0.0
838,woah,0.0
839,woke,0.0
840,wolf,0.0
841,wind,0.0
842,wildest,0.0
843,woman,0.0
844,whipping,0.0
845,western,0.0
846,wet,0.0
847,wetter,0.0
848,whatsoever,0.0
849,wheel,0.0
850,wheels,0.0
851,whip,0.0
852,whiskey,0.0
853,wild,0.0
854,whispered,0.0
855,whispers,0.0
856,whoa,0.0
857,whoaaa,0.0
858,wichita,0.0
859,wicked,0.0
860,wide,0.0
861,wolverines,0.0
862,women,0.0
863,vader,0.0
864,ye,0.0
865,writtens,0.0
866,wrong,0.0
867,x23,0.0
868,xy,0.0
869,ya,0.0
870,yah,0.0
871,yawnin,0.0
872,years,0.0
873,writing,0.0
874,yes,0.0
875,yo,0.0
876,yoda,0.0
877,york,0.0
878,young,0.0
879,youth,0.0
880,yup,0.0
881,written,0.0
882,writers,0.0
883,wonder,0.0
884,workin,0.0
885,wonders,0.0
886,woo,0.0
887,woodwork,0.0
888,word,0.0
889,words,0.0
890,work,0.0
891,workers,0.0
892,working,0.0
893,wrapped,0.0
894,world,0.0
895,worries,0.0
896,worrisome,0.0
897,worry,0.0
898,worst,0.0
899,worth,0.0
900,wow,0.0
901,west,0.0
902,went,0.0
903,welcome,0.0
904,vole,0.0
905,vigila,0.0
906,virtual,0.0
907,vision,0.0
908,viva,0.0
909,vive,0.0
910,viña,0.0
911,voices,0.0
912,volunteers,0.0
913,viento,0.0
914,voodoo,0.0
915,voz,0.0
916,wack,0.0
917,wait,0.0
918,waited,0.0
919,waiter,0.0
920,waiting,0.0
921,view,0.0
922,vida,0.0
923,weird,0.0
924,veo,0.0
925,vale,0.0
926,vamos,0.0
927,vapors,0.0
928,veins,0.0
929,venas,0.0
930,vende,0.0
931,vento,0.0
932,verano,0.0
933,victorious,0.0
934,verse,0.0
935,versed,0.0
936,versos,0.0
937,vest,0.0
938,vez,0.0
939,vicksburg,0.0
940,victories,0.0
941,wake,0.0
942,walked,0.0
943,walkin,0.0
944,way,0.0
945,water,0.0
946,watergate,0.0
947,waterloo,0.0
948,waters,0.0
949,waterville,0.0
950,wave,0.0
951,waves,0.0
952,weak,0.0
953,walking,0.0
954,wear,0.0
