,term,score
0,baby,0.5241157969294536
1,love,0.4045210535071031
2,finally,0.35790173683448706
3,need,0.31612435101670616
4,gives,0.29422405167828525
5,ear,0.1961493677855235
6,come,0.14736612769407487
7,stops,0.14711202583914262
8,ooh,0.12014881068849245
9,asks,0.09807468389276175
10,smiling,0.09807468389276175
11,calls,0.08947543420862177
12,worth,0.08947543420862177
13,tears,0.08947543420862177
14,hurts,0.08947543420862177
15,stop,0.08756524626446335
16,fighting,0.083374169460574
17,perfect,0.083374169460574
18,honey,0.07864166085555561
19,make,0.07386094798677012
20,everybody,0.07150563677696835
21,work,0.06394114642336785
22,feel,0.051475155660106214
23,little,0.051475155660106214
24,night,0.051475155660106214
25,away,0.0503284786066846
26,champagne,0.049037341946380875
27,melt,0.049037341946380875
28,lips,0.049037341946380875
29,taste,0.049037341946380875
30,whipping,0.049037341946380875
31,pane,0.049037341946380875
32,gonna,0.04537389091205846
33,glow,0.04473771710431088
34,kiss,0.04473771710431088
35,window,0.04473771710431088
36,stars,0.04473771710431088
37,cause,0.043676316410787806
38,say,0.042104607912592816
39,near,0.03932083042777781
40,dance,0.037387459888217
41,beat,0.037387459888217
42,wind,0.037387459888217
43,oh,0.03677464122791846
44,sun,0.035752818388484174
45,past,0.035752818388484174
46,thing,0.035752818388484174
47,bring,0.035752818388484174
48,know,0.0350770667266478
49,face,0.03433682751419311
50,touch,0.03433682751419311
51,boy,0.028402561172390293
52,way,0.02634369591805885
53,like,0.020680189297391384
54,time,0.02032069115352004
55,just,0.01838732061395923
56,praise,0.0
57,quiere,0.0
58,pode,0.0
59,quiet,0.0
60,plus,0.0
61,pliers,0.0
62,quit,0.0
63,poe,0.0
64,quoting,0.0
65,plex,0.0
66,race,0.0
67,radio,0.0
68,pleased,0.0
69,ragin,0.0
70,quick,0.0
71,questions,0.0
72,rain,0.0
73,points,0.0
74,push,0.0
75,pushin,0.0
76,pussy,0.0
77,putting,0.0
78,quarrels,0.0
79,poisonous,0.0
80,que,0.0
81,quench,0.0
82,quede,0.0
83,queen,0.0
84,queens,0.0
85,poetical,0.0
86,poems,0.0
87,quejido,0.0
88,playing,0.0
89,raise,0.0
90,rained,0.0
91,pumpin,0.0
92,reasons,0.0
93,reason,0.0
94,rear,0.0
95,really,0.0
96,plan,0.0
97,planeta,0.0
98,real,0.0
99,ready,0.0
100,planned,0.0
101,reading,0.0
102,read,0.0
103,reaction,0.0
104,reach,0.0
105,raíz,0.0
106,raíces,0.0
107,razona,0.0
108,ray,0.0
109,rattlesnakers,0.0
110,rattle,0.0
111,rationale,0.0
112,rated,0.0
113,rapper,0.0
114,play,0.0
115,rapidly,0.0
116,ransacked,0.0
117,ranch,0.0
118,raised,0.0
119,played,0.0
120,player,0.0
121,punishment,0.0
122,pulque,0.0
123,pump,0.0
124,pretending,0.0
125,porque,0.0
126,prob,0.0
127,position,0.0
128,positive,0.0
129,princess,0.0
130,pride,0.0
131,possess,0.0
132,poster,0.0
133,pricing,0.0
134,price,0.0
135,prey,0.0
136,potent,0.0
137,pretty,0.0
138,pour,0.0
139,press,0.0
140,problems,0.0
141,presidentes,0.0
142,present,0.0
143,pregón,0.0
144,poverty,0.0
145,powder,0.0
146,pregones,0.0
147,precisely,0.0
148,preaching,0.0
149,power,0.0
150,powers,0.0
151,preachers,0.0
152,pr,0.0
153,prayer,0.0
154,pray,0.0
155,problem,0.0
156,process,0.0
157,pranto,0.0
158,proud,0.0
159,pulmones,0.0
160,polish,0.0
161,político,0.0
162,pulling,0.0
163,pull,0.0
164,puffin,0.0
165,puedo,0.0
166,poodle,0.0
