,term,score
0,girls,0.6505475925383742
1,run,0.5911641178962134
2,mutha,0.32777221622722497
3,world,0.292560919414814
4,check,0.04380429016489828
5,boy,0.042188123274993626
6,yeah,0.040320433765662016
7,persuasion,0.036419135136358326
8,devour,0.036419135136358326
9,children,0.033225882567118135
10,build,0.033225882567118135
11,pay,0.033225882567118135
12,endless,0.030960233813105174
13,goes,0.030960233813105174
14,nation,0.029202860109932186
15,men,0.029202860109932186
16,crazy,0.029202860109932186
17,power,0.026552962960749972
18,hope,0.026552962960749972
19,touch,0.025501332489852018
20,baby,0.02432819979356908
21,come,0.023452740471365485
22,like,0.023038196365456346
23,hold,0.021094061637496813
24,love,0.020483889042177707
25,think,0.019114827351371627
26,don,0.01838488891476936
27,make,0.018285057463425874
28,repping,0.018209567568179163
29,neck,0.018209567568179163
30,grads,0.018209567568179163
31,millions,0.018209567568179163
32,shine,0.018209567568179163
33,grind,0.018209567568179163
34,texas,0.018209567568179163
35,latest,0.018209567568179163
36,playing,0.018209567568179163
37,41,0.018209567568179163
38,rollie,0.018209567568179163
39,business,0.018209567568179163
40,disrespect,0.018209567568179163
41,dj,0.018209567568179163
42,rocking,0.018209567568179163
43,barber,0.018209567568179163
44,hood,0.018209567568179163
45,smart,0.018209567568179163
46,remind,0.016612941283559068
47,buy,0.016612941283559068
48,accept,0.016612941283559068
49,houston,0.016612941283559068
50,fade,0.016612941283559068
51,college,0.016612941283559068
52,club,0.016612941283559068
53,freak,0.015480116906552587
54,glass,0.015480116906552587
55,women,0.015480116906552587
56,scared,0.015480116906552587
57,cut,0.015480116906552587
58,bear,0.015480116906552587
59,raise,0.015480116906552587
60,niggas,0.014601430054966093
61,later,0.014601430054966093
62,strong,0.01388349062193249
63,beat,0.01388349062193249
64,hot,0.01388349062193249
65,respect,0.01388349062193249
66,taking,0.01388349062193249
67,help,0.013276481480374986
68,play,0.013276481480374986
69,getting,0.013276481480374986
70,ll,0.01323011801213765
71,know,0.01302554729313919
72,money,0.012750666244926009
73,work,0.011871979393339513
74,better,0.011154039960305912
75,try,0.010838850592816272
76,good,0.010547030818748407
77,need,0.009782490073380952
78,won,0.009782490073380952
79,time,0.007545902447092839
80,let,0.006827963014059237
81,oh,0.006827963014059237
82,just,0.006827963014059237
83,razona,0.0
84,ray,0.0
85,pussy,0.0
