,term,score
0,lovely,0.859701069550574
1,day,0.5075169782631679
2,look,0.028727376128103846
3,impossible,0.016532712875972577
4,lies,0.016532712875972577
5,alright,0.016168096181690784
6,instead,0.015083114260573146
7,know,0.01478258837308879
8,ahead,0.013256835988746624
9,world,0.012450938380261638
10,face,0.011576502474067045
11,gonna,0.01147319798657227
12,just,0.00929880006347312
13,way,0.008881655151321707
14,bears,0.008266356437986289
15,wake,0.007541557130286573
16,heavy,0.007541557130286573
17,warning,0.007541557130286573
18,morning,0.007541557130286573
19,hurts,0.007541557130286573
20,sunlight,0.007541557130286573
21,love,0.0061992000423154135
22,eyes,0.005218991295219906
23,mind,0.004920369582793858
24,queens,0.0
25,128,0.0
26,quejido,0.0
27,quench,0.0
28,questions,0.0
29,queen,0.0
30,quiere,0.0
31,quick,0.0
32,putting,0.0
33,quede,0.0
34,que,0.0
35,prudence,0.0
36,pueblo,0.0
37,puedes,0.0
38,puedo,0.0
39,puffin,0.0
40,pull,0.0
41,pulling,0.0
42,pulmones,0.0
43,pulque,0.0
44,pump,0.0
45,pumpin,0.0
46,punishment,0.0
47,push,0.0
48,pushin,0.0
49,pussy,0.0
50,quit,0.0
51,quarrels,0.0
52,quiet,0.0
53,rain,0.0
54,quoting,0.0
55,reasons,0.0
56,read,0.0
57,reading,0.0
58,ready,0.0
59,real,0.0
60,really,0.0
61,rear,0.0
62,reason,0.0
63,rebels,0.0
64,reach,0.0
65,recital,0.0
66,recite,0.0
67,reconstruyo,0.0
68,record,0.0
69,recuerdes,0.0
70,recuerdo,0.0
71,red,0.0
72,reaction,0.0
73,raíz,0.0
74,race,0.0
75,ransacked,0.0
76,radio,0.0
77,ragin,0.0
78,proud,0.0
79,rained,0.0
80,raise,0.0
81,raised,0.0
82,ranch,0.0
83,rapidly,0.0
84,raíces,0.0
85,rapper,0.0
86,rated,0.0
87,rationale,0.0
88,rattle,0.0
89,rattlesnakers,0.0
90,ray,0.0
91,razona,0.0
92,prove,0.0
93,prophecy,0.0
94,prototype,0.0
95,pliers,0.0
96,pode,0.0
97,poe,0.0
98,poems,0.0
99,poetical,0.0
100,points,0.0
101,poisonous,0.0
102,polish,0.0
103,político,0.0
104,poodle,0.0
105,pool,0.0
106,pop,0.0
107,poppin,0.0
108,por,0.0
109,porch,0.0
110,porque,0.0
111,position,0.0
112,positive,0.0
113,plus,0.0
114,plex,0.0
115,poster,0.0
116,pleased,0.0
117,piernas,0.0
118,pills,0.0
119,pink,0.0
120,pipe,0.0
121,pirate,0.0
122,pittsburgh,0.0
123,pittsfield,0.0
124,pity,0.0
125,place,0.0
126,places,0.0
127,plan,0.0
128,planeta,0.0
129,planned,0.0
130,play,0.0
131,played,0.0
132,player,0.0
133,playing,0.0
134,possess,0.0
135,potent,0.0
136,pros,0.0
137,prey,0.0
138,pricing,0.0
139,pride,0.0
140,princess,0.0
141,prob,0.0
142,problem,0.0
143,problems,0.0
144,process,0.0
145,promise,0.0
146,promises,0.0
147,promotion,0.0
148,proof,0.0
149,propers,0.0
150,property,0.0
