,term,score
0,rollercoaster,0.6926717836003393
1,killer,0.38962787827519085
2,queen,0.3113769694279061
3,closer,0.2597519188501273
4,say,0.1629758721964288
5,don,0.15969846411858044
6,little,0.1494350999699668
7,running,0.1280743140259609
8,come,0.12223190414732162
9,tell,0.09962339997997786
10,everyday,0.09490533186411286
11,shot,0.07610030056280764
12,gun,0.0723585159270509
13,yeah,0.07004786784214251
14,road,0.06403715701298045
15,stop,0.05649034271051744
16,let,0.053379364450496125
17,night,0.04981169998998893
18,think,0.04981169998998893
19,away,0.04870207860782944
20,runaway,0.04745266593205643
21,bones,0.04745266593205643
22,stole,0.04745266593205643
23,lit,0.04745266593205643
24,waited,0.04745266593205643
25,looked,0.04745266593205643
26,teenage,0.04329198647502121
27,summer,0.04329198647502121
28,saw,0.04329198647502121
29,dirt,0.04329198647502121
30,traveled,0.04329198647502121
31,miles,0.04329198647502121
32,clothes,0.04329198647502121
33,nights,0.040339937420560676
34,endless,0.040339937420560676
35,sure,0.040339937420560676
36,floor,0.040339937420560676
37,thought,0.03805015028140382
38,hour,0.03805015028140382
39,lovers,0.03617925796352545
40,took,0.03459744104754512
41,far,0.033227208909064915
42,face,0.033227208909064915
43,fall,0.029959396536100767
44,god,0.029959396536100767
45,hey,0.026776742312872838
46,wanna,0.026776742312872838
47,won,0.025492380952911443
48,man,0.023324033079014136
49,like,0.020011894511203776
50,oh,0.017793121483498712
51,pulling,0.0
52,punishment,0.0
53,rear,0.0
54,prove,0.0
55,prudence,0.0
56,pushin,0.0
57,read,0.0
58,really,0.0
59,push,0.0
60,pueblo,0.0
61,puedes,0.0
62,real,0.0
63,pulmones,0.0
64,pumpin,0.0
65,pump,0.0
66,puedo,0.0
67,reading,0.0
68,pulque,0.0
69,puffin,0.0
70,ready,0.0
71,pull,0.0
72,reaction,0.0
73,rapper,0.0
74,reach,0.0
75,rained,0.0
76,radio,0.0
77,ragin,0.0
78,razona,0.0
79,ray,0.0
80,rattlesnakers,0.0
81,rain,0.0
82,rattle,0.0
83,quoting,0.0
84,rationale,0.0
85,raise,0.0
86,raised,0.0
87,ranch,0.0
88,ransacked,0.0
89,rated,0.0
90,race,0.0
91,quit,0.0
92,pussy,0.0
93,raíces,0.0
94,putting,0.0
95,quarrels,0.0
96,rapidly,0.0
97,raíz,0.0
98,que,0.0
99,quede,0.0
100,queens,0.0
101,quiet,0.0
102,quejido,0.0
103,quench,0.0
104,questions,0.0
105,quick,0.0
106,quiere,0.0
107,prototype,0.0
108,proud,0.0
109,process,0.0
110,pros,0.0
111,poetical,0.0
112,poisonous,0.0
113,polish,0.0
114,político,0.0
115,poodle,0.0
116,pool,0.0
117,pop,0.0
118,poppin,0.0
119,por,0.0
120,porch,0.0
121,porque,0.0
122,position,0.0
123,positive,0.0
124,possess,0.0
125,poster,0.0
126,potent,0.0
127,points,0.0
128,poems,0.0
129,poverty,0.0
130,poe,0.0
131,pity,0.0
132,place,0.0
133,places,0.0
134,plan,0.0
135,planeta,0.0
136,planned,0.0
137,play,0.0
138,played,0.0
139,player,0.0
140,playing,0.0
141,pleased,0.0
142,plex,0.0
143,pliers,0.0
144,plus,0.0
145,pode,0.0
146,pour,0.0
147,powder,0.0
148,propio,0.0
149,price,0.0
150,pride,0.0
151,princess,0.0
152,prob,0.0
153,problem,0.0
154,problems,0.0
155,reasons,0.0
156,promise,0.0
157,promises,0.0
158,promotion,0.0
159,proof,0.0
160,propers,0.0
161,property,0.0
162,prophecy,0.0
163,prophesize,0.0
164,prophets,0.0
165,pricing,0.0
166,prey,0.0
167,power,0.0
168,pretty,0.0
169,powers,0.0
170,pr,0.0
171,praise,0.0
172,pranto,0.0
173,pray,0.0
174,prayer,0.0
175,preachers,0.0
176,preaching,0.0
177,precisely,0.0
178,pregones,0.0
179,pregón,0.0
180,present,0.0
181,presidentes,0.0
182,press,0.0
183,pretending,0.0
184,reason,0.0
185,regular,0.0
186,rebels,0.0
187,sail,0.0
188,rush,0.0
189,russia,0.0
190,ry,0.0
191,ríos,0.0
192,sacrifice,0.0
193,safer,0.0
194,said,0.0
195,sake,0.0
196,runs,0.0
197,saliva,0.0
198,sally,0.0
199,salvador,0.0
200,sand,0.0
201,sangre,0.0
202,santa,0.0
203,santos,0.0
204,runway,0.0
205,runnin,0.0
206,rookie,0.0
207,row,0.0
208,rooms,0.0
209,root,0.0
210,rope,0.0
211,rose,0.0
212,rot,0.0
213,rough,0.0
214,round,0.0
215,rub,0.0
216,run,0.0
217,rude,0.0
218,ruffians,0.0
219,ruger,0.0
220,rule,0.0
221,rules,0.0
222,rum,0.0
223,rumors,0.0
224,sap,0.0
225,sarasota,0.0
226,satan,0.0
227,searching,0.0
228,screamin,0.0
229,screen,0.0
230,screwed,0.0
231,scufflin,0.0
232,se,0.0
233,sea,0.0
234,seamstress,0.0
235,seca,0.0
236,satisfaction,0.0
237,second,0.0
238,secrets,0.0
239,section,0.0
240,seed,0.0
241,seein,0.0
242,seeing,0.0
243,seek,0.0
244,scream,0.0
245,scrappy,0.0
246,scraper,0.0
247,science,0.0
248,save,0.0
249,savin,0.0
250,saving,0.0
251,sax,0.0
252,sayin,0.0
253,saying,0.0
254,says,0.0
255,scandalous,0.0
256,scanner,0.0
257,scared,0.0
258,scene,0.0
259,schefferville,0.0
260,scheme,0.0
261,scholarship,0.0
262,school,0.0
263,room,0.0
264,roof,0.0
265,recital,0.0
266,respected,0.0
267,remind,0.0
268,reno,0.0
269,repleta,0.0
270,reppin,0.0
271,repping,0.0
272,rescue,0.0
273,respect,0.0
274,respira,0.0
275,religion,0.0
276,respirando,0.0
277,rest,0.0
278,resume,0.0
279,return,0.0
280,reverse,0.0
281,revolution,0.0
282,revolutionary,0.0
283,remember,0.0
284,relentlessly,0.0
285,romance,0.0
286,refuse,0.0
287,recite,0.0
288,reconstruyo,0.0
289,record,0.0
290,recuerdes,0.0
291,recuerdo,0.0
292,red,0.0
293,reflection,0.0
294,regard,0.0
295,relate,0.0
296,regreso,0.0
297,regret,0.0
298,pittsburgh,0.0
299,rehearse,0.0
300,rehearsed,0.0
301,reign,0.0
302,rejoice,0.0
303,rewrite,0.0
304,rexburg,0.0
305,rhyme,0.0
306,rocked,0.0
307,rituales,0.0
308,rival,0.0
309,roadrunner,0.0
310,roads,0.0
311,roam,0.0
312,robaron,0.0
313,rock,0.0
314,rockin,0.0
315,rhymes,0.0
316,rocking,0.0
317,rocks,0.0
318,role,0.0
319,roll,0.0
320,rolled,0.0
321,rollie,0.0
322,rolls,0.0
323,ritmo,0.0
324,riso,0.0
325,rising,0.0
326,rise,0.0
327,rhyming,0.0
328,rhythm,0.0
329,ribbon,0.0
330,rica,0.0
331,rich,0.0
332,richard,0.0
333,ride,0.0
334,riding,0.0
335,right,0.0
336,righteous,0.0
337,rights,0.0
338,rims,0.0
339,ring,0.0
340,ripe,0.0
341,ripped,0.0
342,pittsfield,0.0
343,photo,0.0
344,pirate,0.0
345,mmm,0.0
346,miro,0.0
347,mirror,0.0
348,mis,0.0
349,miss,0.0
350,mistakes,0.0
351,mister,0.0
352,mma,0.0
353,mmmmm,0.0
354,minhas,0.0
355,mmmmmm,0.0
356,modern,0.0
357,moment,0.0
358,money,0.0
359,monie,0.0
360,monroe,0.0
361,mont,0.0
362,minnesota,0.0
363,minha,0.0
364,monterey,0.0
365,mics,0.0
366,message,0.0
367,messenger,0.0
368,met,0.0
369,metropolis,0.0
370,mi,0.0
371,mic,0.0
372,michigan,0.0
373,middleman,0.0
374,mines,0.0
375,midnight,0.0
376,mike,0.0
377,million,0.0
378,millions,0.0
379,mills,0.0
380,mind,0.0
381,minds,0.0
382,montañas,0.0
383,montgomery,0.0
384,nasdaq,0.0
385,mío,0.0
386,muscle,0.0
387,muscles,0.0
388,museum,0.0
389,music,0.0
390,mutha,0.0
391,muthafucka,0.0
392,más,0.0
393,na,0.0
394,muffin,0.0
395,nace,0.0
396,naciste,0.0
397,nadie,0.0
398,nah,0.0
399,nails,0.0
400,namin,0.0
401,nap,0.0
402,mulligan,0.0
403,mueve,0.0
404,monáe,0.0
405,mountaineers,0.0
406,moon,0.0
407,moonlight,0.0
408,morning,0.0
409,mornings,0.0
410,mother,0.0
411,mothers,0.0
412,mountain,0.0
413,mountains,0.0
414,muere,0.0
415,moustache,0.0
416,mouthpiece,0.0
417,moved,0.0
418,moves,0.0
419,moving,0.0
420,mr,0.0
421,muelas,0.0
422,mess,0.0
423,merrily,0.0
424,mercy,0.0
425,magic,0.0
426,macbook,0.0
427,machine,0.0
428,macho,0.0
429,machos,0.0
430,mack,0.0
431,mad,0.0
432,madre,0.0
433,major,0.0
434,lyrical,0.0
435,make,0.0
436,makes,0.0
437,makin,0.0
438,making,0.0
439,mama,0.0
440,mami,0.0
441,manage,0.0
442,ma,0.0
443,lying,0.0
444,mentions,0.0
445,loving,0.0
446,louisiana,0.0
447,louisville,0.0
448,love,0.0
449,lovely,0.0
450,lover,0.0
451,loves,0.0
452,lovin,0.0
453,low,0.0
454,lyin,0.0
455,loyal,0.0
456,lucha,0.0
457,luck,0.0
458,lucky,0.0
459,luna,0.0
460,lure,0.0
461,ly,0.0
462,manifest,0.0
463,mano,0.0
464,manos,0.0
465,medio,0.0
466,maybe,0.0
467,meals,0.0
468,mean,0.0
469,meaning,0.0
470,means,0.0
471,meant,0.0
472,measurements,0.0
473,meeting,0.0
474,map,0.0
475,mejores,0.0
476,melancolía,0.0
477,melt,0.0
478,melted,0.0
479,memory,0.0
480,men,0.0
481,mention,0.0
