,term,score
0,country,0.3737686747899047
1,nation,0.32851239696387846
2,cheer,0.24581436203080725
3,friday,0.24581436203080725
4,big,0.17212363098294292
5,stations,0.1638762413538715
6,volunteers,0.1638762413538715
7,eighty,0.1638762413538715
8,mountaineers,0.1638762413538715
9,crank,0.1638762413538715
10,thousand,0.1495074699159619
11,nights,0.13931266433791673
12,right,0.13205566510338032
13,yeah,0.09071551411826209
14,mills,0.08193812067693575
15,rolls,0.08193812067693575
16,devils,0.08193812067693575
17,rebels,0.08193812067693575
18,mines,0.08193812067693575
19,chevrolets,0.08193812067693575
20,fabric,0.08193812067693575
21,assembly,0.08193812067693575
22,tigers,0.08193812067693575
23,herd,0.08193812067693575
24,pump,0.08193812067693575
25,apple,0.08193812067693575
26,heels,0.08193812067693575
27,apron,0.08193812067693575
28,steer,0.08193812067693575
29,bulldogs,0.08193812067693575
30,fedex,0.08193812067693575
31,buckeyes,0.08193812067693575
32,lines,0.08193812067693575
33,bruins,0.08193812067693575
34,steel,0.08193812067693575
35,beer,0.08193812067693575
36,hurricanes,0.08193812067693575
37,race,0.08193812067693575
38,ice,0.08193812067693575
39,fix,0.08193812067693575
40,uniform,0.08193812067693575
41,fourteen,0.08193812067693575
42,ford,0.08193812067693575
43,supe,0.08193812067693575
44,hogs,0.08193812067693575
45,logos,0.08193812067693575
46,cavaliers,0.08193812067693575
47,chevrolet,0.08193812067693575
48,ac,0.08193812067693575
49,wolverines,0.08193812067693575
50,seminoles,0.08193812067693575
51,package,0.07475373495798095
52,coal,0.07475373495798095
53,roads,0.07475373495798095
54,fields,0.07475373495798095
55,tide,0.07475373495798095
56,caps,0.07475373495798095
57,drink,0.07475373495798095
58,map,0.07475373495798095
59,water,0.07475373495798095
60,factories,0.07475373495798095
61,wild,0.07475373495798095
62,dirt,0.07475373495798095
63,cats,0.07475373495798095
64,tea,0.07475373495798095
65,irish,0.07475373495798095
66,fighting,0.06965633216895836
67,pie,0.06965633216895836
68,glass,0.06965633216895836
69,underneath,0.06965633216895836
70,songs,0.06965633216895836
71,cold,0.0657024793927757
72,pray,0.0657024793927757
73,streets,0.06247194645000355
74,city,0.06247194645000355
75,door,0.06247194645000355
76,music,0.06247194645000355
77,bring,0.059740569765372294
78,old,0.055287560731048735
79,drive,0.055287560731048735
80,work,0.053420690884798304
81,long,0.05019015794202616
82,night,0.04300577222307134
83,want,0.04113890237682092
84,know,0.029305716953252573
85,quoting,0.0
86,quit,0.0
87,quick,0.0
88,pop,0.0
89,quiere,0.0
90,poppin,0.0
91,rain,0.0
92,polish,0.0
93,por,0.0
94,quench,0.0
95,quiet,0.0
96,ragin,0.0
97,radio,0.0
98,político,0.0
99,poodle,0.0
100,porch,0.0
101,pool,0.0
102,questions,0.0
103,powers,0.0
104,poisonous,0.0
105,poe,0.0
106,reason,0.0
107,rear,0.0
108,really,0.0
109,real,0.0
110,ready,0.0
111,reading,0.0
112,read,0.0
113,reaction,0.0
114,plus,0.0
115,reach,0.0
116,raíz,0.0
117,raíces,0.0
118,razona,0.0
119,pode,0.0
120,ray,0.0
121,rained,0.0
122,rattlesnakers,0.0
123,rattle,0.0
124,rationale,0.0
125,rated,0.0
126,poems,0.0
127,rapper,0.0
128,rapidly,0.0
129,ransacked,0.0
130,ranch,0.0
131,raised,0.0
132,porque,0.0
133,raise,0.0
134,poetical,0.0
135,points,0.0
136,quejido,0.0
137,push,0.0
138,position,0.0
139,prey,0.0
140,proof,0.0
141,promotion,0.0
142,promises,0.0
143,promise,0.0
144,process,0.0
145,problems,0.0
146,problem,0.0
147,prob,0.0
148,princess,0.0
149,pour,0.0
150,pride,0.0
151,pricing,0.0
152,poverty,0.0
153,price,0.0
154,powder,0.0
155,positive,0.0
156,pretty,0.0
157,pretending,0.0
158,press,0.0
159,presidentes,0.0
160,power,0.0
161,present,0.0
162,pregón,0.0
163,pregones,0.0
164,precisely,0.0
165,preaching,0.0
166,preachers,0.0
167,prayer,0.0
168,pranto,0.0
169,praise,0.0
170,propers,0.0
171,property,0.0
172,prophecy,0.0
173,prophesize,0.0
174,queens,0.0
175,queen,0.0
176,quede,0.0
177,que,0.0
178,quarrels,0.0
179,putting,0.0
180,pussy,0.0
181,pushin,0.0
182,pr,0.0
183,punishment,0.0
184,pumpin,0.0
185,possess,0.0
186,pulque,0.0
187,pulmones,0.0
188,pulling,0.0
189,pull,0.0
190,puffin,0.0
191,puedo,0.0
192,puedes,0.0
193,pueblo,0.0
194,poster,0.0
195,prudence,0.0
196,prove,0.0
197,proud,0.0
198,prototype,0.0
199,potent,0.0
200,pros,0.0
201,propio,0.0
202,prophets,0.0
203,reasons,0.0
204,128,0.0
205,recital,0.0
206,sake,0.0
207,russia,0.0
208,ry,0.0
209,ríos,0.0
210,sacrifice,0.0
211,safer,0.0
212,said,0.0
213,sail,0.0
214,saliva,0.0
215,runway,0.0
216,sally,0.0
217,salvador,0.0
218,sand,0.0
219,sangre,0.0
220,santa,0.0
221,santos,0.0
222,sap,0.0
223,rush,0.0
224,runs,0.0
225,satan,0.0
226,ruffians,0.0
227,rose,0.0
228,rot,0.0
229,rough,0.0
230,round,0.0
231,row,0.0
232,rub,0.0
233,rude,0.0
234,ruger,0.0
235,running,0.0
236,rule,0.0
237,rules,0.0
238,rum,0.0
239,rumors,0.0
240,run,0.0
241,runaway,0.0
242,runnin,0.0
243,sarasota,0.0
244,satisfaction,0.0
245,root,0.0
246,searching,0.0
247,screamin,0.0
248,screen,0.0
249,screwed,0.0
250,scufflin,0.0
251,se,0.0
252,sea,0.0
253,seamstress,0.0
254,seca,0.0
255,scrappy,0.0
256,second,0.0
257,secrets,0.0
258,section,0.0
259,seed,0.0
260,seein,0.0
261,seeing,0.0
262,seek,0.0
263,scream,0.0
264,scraper,0.0
265,save,0.0
266,says,0.0
267,savin,0.0
268,saving,0.0
269,saw,0.0
270,sax,0.0
271,say,0.0
272,sayin,0.0
273,saying,0.0
