,term,score
0,care,0.5768743738205226
1,flown,0.46154566835438193
2,flag,0.4210770551987955
3,sea,0.22420806698261303
4,shining,0.13187019095839483
5,reign,0.13187019095839483
6,hearts,0.13187019095839483
7,bone,0.12030773005679872
8,promise,0.10574075207468317
9,home,0.08897911168811423
10,eyes,0.0832566783048741
11,good,0.07637957150299876
12,ain,0.07257171855712988
13,holds,0.06593509547919742
14,leads,0.06593509547919742
15,orleans,0.06593509547919742
16,knocking,0.06593509547919742
17,mercy,0.06593509547919742
18,superdome,0.06593509547919742
19,stayed,0.06593509547919742
20,shotgun,0.06593509547919742
21,hearing,0.06593509547919742
22,forsaken,0.06593509547919742
23,throne,0.06593509547919742
24,intentions,0.06593509547919742
25,bugle,0.06593509547919742
26,stumbling,0.06593509547919742
27,cavalry,0.06593509547919742
28,shack,0.06593509547919742
29,chicago,0.06015386502839936
30,stone,0.06015386502839936
31,map,0.06015386502839936
32,muscle,0.06015386502839936
33,dry,0.05605201674565326
34,gone,0.05605201674565326
35,looking,0.05605201674565326
36,blowin,0.05605201674565326
37,turned,0.052870376037341585
38,door,0.050270786294855194
39,spirit,0.04807286448504355
40,help,0.04807286448504355
41,free,0.0461689380121091
42,road,0.044489555844057116
43,set,0.044489555844057116
44,new,0.04298729730379742
45,soul,0.04298729730379742
46,hands,0.04298729730379742
47,work,0.04298729730379742
48,run,0.04038770756131103
49,love,0.024723398376968794
50,ll,0.023952493409445982
51,played,0.0
52,quit,0.0
53,quiere,0.0
54,quick,0.0
55,questions,0.0
56,quench,0.0
57,quejido,0.0
58,quiet,0.0
59,queens,0.0
60,polish,0.0
61,queen,0.0
62,quede,0.0
63,que,0.0
64,quarrels,0.0
65,putting,0.0
66,quoting,0.0
67,pushin,0.0
68,push,0.0
69,player,0.0
70,punishment,0.0
71,pumpin,0.0
72,pump,0.0
73,pulque,0.0
74,pulmones,0.0
75,pulling,0.0
76,pussy,0.0
77,rained,0.0
78,race,0.0
79,ray,0.0
80,reason,0.0
81,rear,0.0
82,really,0.0
83,real,0.0
84,plan,0.0
85,ready,0.0
86,reading,0.0
87,read,0.0
88,reaction,0.0
89,reach,0.0
90,raíz,0.0
91,raíces,0.0
92,planeta,0.0
93,razona,0.0
94,rattlesnakers,0.0
95,radio,0.0
96,rattle,0.0
97,rationale,0.0
98,rated,0.0
99,planned,0.0
100,rapper,0.0
101,rapidly,0.0
102,ransacked,0.0
103,ranch,0.0
104,raised,0.0
105,raise,0.0
106,puffin,0.0
107,play,0.0
108,rain,0.0
109,ragin,0.0
110,pull,0.0
111,prove,0.0
112,puedo,0.0
113,pray,0.0
114,poetical,0.0
115,powers,0.0
116,pr,0.0
117,praise,0.0
118,poems,0.0
119,pranto,0.0
120,poe,0.0
121,power,0.0
122,pode,0.0
123,prayer,0.0
124,preachers,0.0
125,plus,0.0
126,preaching,0.0
127,precisely,0.0
128,points,0.0
129,powder,0.0
130,pregón,0.0
131,porch,0.0
132,poodle,0.0
133,poisonous,0.0
134,pool,0.0
135,pop,0.0
136,poppin,0.0
137,por,0.0
138,porque,0.0
139,poverty,0.0
140,position,0.0
141,positive,0.0
142,possess,0.0
143,poster,0.0
144,potent,0.0
145,pour,0.0
146,pregones,0.0
147,present,0.0
148,puedes,0.0
149,prototype,0.0
150,property,0.0
151,prophecy,0.0
152,prophesize,0.0
153,prophets,0.0
154,propio,0.0
155,pros,0.0
156,plex,0.0
157,pliers,0.0
158,proud,0.0
159,político,0.0
160,pleased,0.0
161,playing,0.0
162,prudence,0.0
163,pueblo,0.0
164,propers,0.0
165,proof,0.0
166,presidentes,0.0
167,pride,0.0
168,press,0.0
169,pretending,0.0
170,pretty,0.0
171,prey,0.0
172,price,0.0
173,pricing,0.0
174,princess,0.0
175,rebels,0.0
176,prob,0.0
177,problem,0.0
178,problems,0.0
179,process,0.0
180,promises,0.0
181,promotion,0.0
182,reasons,0.0
183,128,0.0
184,recital,0.0
185,recite,0.0
186,rush,0.0
187,russia,0.0
188,ry,0.0
189,ríos,0.0
190,sacrifice,0.0
191,safer,0.0
192,said,0.0
193,sail,0.0
194,sake,0.0
195,saliva,0.0
196,sally,0.0
197,salvador,0.0
198,sand,0.0
199,sangre,0.0
200,santa,0.0
201,santos,0.0
202,sap,0.0
203,runway,0.0
204,runs,0.0
205,running,0.0
206,rub,0.0
207,root,0.0
208,rope,0.0
209,rose,0.0
210,rot,0.0
211,rough,0.0
212,round,0.0
213,row,0.0
214,rude,0.0
215,runnin,0.0
216,ruffians,0.0
217,ruger,0.0
218,rule,0.0
219,rules,0.0
220,rum,0.0
221,rumors,0.0
222,runaway,0.0
223,sarasota,0.0
224,satan,0.0
225,satisfaction,0.0
226,seca,0.0
227,screamin,0.0
228,screen,0.0
229,screwed,0.0
230,scufflin,0.0
231,se,0.0
232,seamstress,0.0
233,searching,0.0
234,second,0.0
235,scrappy,0.0
236,secrets,0.0
237,section,0.0
238,seed,0.0
239,seein,0.0
240,seeing,0.0
241,seek,0.0
242,seen,0.0
243,scream,0.0
244,scraper,0.0
245,save,0.0
246,says,0.0
247,savin,0.0
248,saving,0.0
249,saw,0.0
250,sax,0.0
251,say,0.0
252,sayin,0.0
253,saying,0.0
254,scandalous,0.0
255,science,0.0
256,scanner,0.0
257,scared,0.0
258,scene,0.0
259,schefferville,0.0
260,scheme,0.0
261,scholarship,0.0
262,school,0.0
263,rooms,0.0
264,room,0.0
265,rookie,0.0
266,respira,0.0
267,reno,0.0
268,repleta,0.0
269,reppin,0.0
270,repping,0.0
271,rescue,0.0
272,respect,0.0
273,respected,0.0
274,respirando,0.0
275,remember,0.0
276,rest,0.0
277,resume,0.0
278,return,0.0
279,reverse,0.0
280,revolution,0.0
281,revolutionary,0.0
282,rewrite,0.0
283,remind,0.0
284,religion,0.0
285,rhyme,0.0
286,place,0.0
287,reconstruyo,0.0
288,record,0.0
289,recuerdes,0.0
290,recuerdo,0.0
291,red,0.0
292,reflection,0.0
293,refuse,0.0
294,regard,0.0
295,relentlessly,0.0
296,regreso,0.0
297,regret,0.0
298,regular,0.0
299,rehearse,0.0
300,rehearsed,0.0
301,rejoice,0.0
302,relate,0.0
303,rexburg,0.0
304,rhymes,0.0
305,roof,0.0
306,rocking,0.0
307,roadrunner,0.0
308,roads,0.0
309,roam,0.0
310,robaron,0.0
311,rock,0.0
312,rocked,0.0
313,rockin,0.0
314,rocks,0.0
315,rituales,0.0
316,role,0.0
317,roll,0.0
318,rolled,0.0
319,rollercoaster,0.0
320,rollie,0.0
321,rolls,0.0
322,romance,0.0
323,rival,0.0
324,ritmo,0.0
325,rhyming,0.0
326,right,0.0
327,rhythm,0.0
328,ribbon,0.0
329,rica,0.0
330,rich,0.0
331,richard,0.0
332,ride,0.0
333,riding,0.0
334,righteous,0.0
335,riso,0.0
336,rights,0.0
337,rims,0.0
338,ring,0.0
339,ripe,0.0
340,ripped,0.0
341,rise,0.0
342,rising,0.0
343,places,0.0
344,picture,0.0
345,pity,0.0
346,mmmmmm,0.0
347,mis,0.0
348,miss,0.0
349,mistakes,0.0
350,mister,0.0
351,mma,0.0
352,mmm,0.0
353,mmmmm,0.0
354,modern,0.0
355,miro,0.0
356,moment,0.0
357,money,0.0
358,monie,0.0
359,monroe,0.0
360,mont,0.0
361,montañas,0.0
362,monterey,0.0
363,mirror,0.0
364,minnesota,0.0
365,monáe,0.0
366,mike,0.0
367,metropolis,0.0
368,mi,0.0
369,mic,0.0
370,michigan,0.0
371,mics,0.0
372,middleman,0.0
373,midnight,0.0
374,miles,0.0
375,minhas,0.0
376,million,0.0
377,millions,0.0
378,mills,0.0
379,mind,0.0
380,minds,0.0
381,mines,0.0
382,minha,0.0
383,montgomery,0.0
384,moon,0.0
385,natural,0.0
386,naciste,0.0
387,music,0.0
388,mutha,0.0
389,muthafucka,0.0
390,más,0.0
391,mío,0.0
392,na,0.0
393,nace,0.0
394,nadie,0.0
395,muscles,0.0
396,nah,0.0
397,nails,0.0
398,namin,0.0
399,nap,0.0
400,narc,0.0
401,nasdaq,0.0
402,nashville,0.0
403,museum,0.0
404,mulligan,0.0
405,moonlight,0.0
406,moustache,0.0
407,morning,0.0
408,mornings,0.0
409,mother,0.0
410,mothers,0.0
411,mountain,0.0
412,mountaineers,0.0
413,mountains,0.0
414,mouthpiece,0.0
415,muffin,0.0
416,moved,0.0
417,moves,0.0
418,moving,0.0
419,mr,0.0
420,muelas,0.0
421,muere,0.0
422,mueve,0.0
423,met,0.0
424,messenger,0.0
425,message,0.0
426,make,0.0
427,macho,0.0
428,machos,0.0
429,mack,0.0
430,mad,0.0
431,madre,0.0
432,magic,0.0
433,major,0.0
434,makes,0.0
435,macbook,0.0
436,makin,0.0
437,making,0.0
438,mama,0.0
439,mami,0.0
440,man,0.0
441,manage,0.0
442,manifest,0.0
443,machine,0.0
444,ma,0.0
445,mess,0.0
446,loyal,0.0
447,lovely,0.0
448,lover,0.0
449,lovers,0.0
450,loves,0.0
451,lovin,0.0
452,loving,0.0
453,low,0.0
454,lucha,0.0
455,lyrical,0.0
456,luck,0.0
457,lucky,0.0
458,luna,0.0
459,lure,0.0
460,ly,0.0
461,lyin,0.0
462,lying,0.0
463,mano,0.0
464,manos,0.0
465,maquilla,0.0
466,mejores,0.0
467,mean,0.0
468,meaning,0.0
469,means,0.0
470,meant,0.0
