,term,score
0,woke,0.44982682159832355
1,gon,0.40084722790564825
2,creepin,0.34986530568758495
3,stay,0.34296072302492897
4,catch,0.2735904828419893
5,niggas,0.24046387877594905
6,sleepin,0.19992303182147714
7,scandalous,0.19992303182147714
8,oh,0.18741069245942166
9,ooh,0.1530754009927078
10,close,0.12746727345342287
11,make,0.12546989760434096
12,want,0.10037591808347278
13,eyes,0.09466654722226413
14,late,0.08497818230228192
15,right,0.08055154523485694
16,don,0.06728262890336699
17,long,0.06123016039708312
18,need,0.0537010301565713
19,peanut,0.049980757955369284
20,wishing,0.049980757955369284
21,kool,0.049980757955369284
22,daylight,0.049980757955369284
23,butter,0.049980757955369284
24,chocolate,0.049980757955369284
25,wake,0.045598413806998216
26,aid,0.045598413806998216
27,cake,0.045598413806998216
28,pride,0.045598413806998216
29,baby,0.04451659311584729
30,used,0.04248909115114096
31,waste,0.04248909115114096
32,like,0.04215609960565659
33,hard,0.04007731312932484
34,ah,0.04007731312932484
35,nigga,0.04007731312932484
36,shit,0.04007731312932484
37,wait,0.03810674700276989
38,play,0.036440657082331664
39,trying,0.03499742434691264
40,hands,0.032585646325096515
41,feeling,0.03155551574075471
42,believe,0.03155551574075471
43,better,0.03061508019854156
44,boy,0.028948990278103333
45,wanna,0.028203302176725443
46,won,0.02685051507828565
47,feel,0.026232736050170485
48,away,0.025648367220364128
49,time,0.02071163537249712
50,yeah,0.018444935912139686
51,know,0.017875952409552573
52,quick,0.0
53,pulque,0.0
54,pulmones,0.0
55,quiere,0.0
56,quench,0.0
57,questions,0.0
58,punishment,0.0
59,push,0.0
60,quejido,0.0
61,queens,0.0
62,queen,0.0
63,pump,0.0
64,que,0.0
65,quarrels,0.0
66,putting,0.0
67,pussy,0.0
68,pushin,0.0
69,pumpin,0.0
70,quede,0.0
71,raise,0.0
72,quiet,0.0
73,razona,0.0
74,raíz,0.0
75,reach,0.0
76,reaction,0.0
77,read,0.0
78,reading,0.0
79,ready,0.0
80,real,0.0
81,really,0.0
82,rear,0.0
83,reason,0.0
84,reasons,0.0
85,rebels,0.0
86,recital,0.0
87,recite,0.0
88,reconstruyo,0.0
89,raíces,0.0
90,ray,0.0
91,quit,0.0
92,rattlesnakers,0.0
93,quoting,0.0
94,race,0.0
95,radio,0.0
96,ragin,0.0
97,rain,0.0
98,rained,0.0
99,pull,0.0
100,raised,0.0
101,ranch,0.0
102,ransacked,0.0
103,rapidly,0.0
104,rapper,0.0
105,rated,0.0
106,rationale,0.0
107,rattle,0.0
108,pulling,0.0
109,128,0.0
110,puffin,0.0
111,pr,0.0
112,político,0.0
113,poodle,0.0
114,pool,0.0
115,pop,0.0
116,poppin,0.0
117,por,0.0
118,porch,0.0
119,porque,0.0
120,position,0.0
121,positive,0.0
122,possess,0.0
123,poster,0.0
124,potent,0.0
125,pour,0.0
126,poverty,0.0
127,powder,0.0
128,power,0.0
129,polish,0.0
130,poisonous,0.0
131,points,0.0
132,player,0.0
133,pity,0.0
134,place,0.0
135,places,0.0
136,plan,0.0
137,planeta,0.0
138,planned,0.0
139,played,0.0
140,playing,0.0
141,poetical,0.0
142,pleased,0.0
143,plex,0.0
144,pliers,0.0
145,plus,0.0
146,pode,0.0
147,poe,0.0
148,poems,0.0
149,powers,0.0
150,praise,0.0
151,puedo,0.0
152,pranto,0.0
153,promise,0.0
154,promises,0.0
155,promotion,0.0
156,proof,0.0
157,propers,0.0
158,property,0.0
159,prophecy,0.0
160,prophesize,0.0
161,record,0.0
162,propio,0.0
163,pros,0.0
164,prototype,0.0
165,proud,0.0
166,prove,0.0
