,term,score
0,soar,0.4647452681574343
1,wings,0.30983017877162283
2,spread,0.30983017877162283
3,wait,0.2362233131161399
4,don,0.2259206570386601
5,answers,0.20655345251441523
6,unfold,0.20655345251441523
7,open,0.15748220874409327
8,door,0.15748220874409327
9,path,0.15491508938581142
10,waiting,0.1446324370355069
11,hands,0.13466537976219897
12,scared,0.13169470858122082
13,hold,0.11963631872265604
14,fly,0.11294761984658266
15,know,0.1108128359259848
16,world,0.10370487202274482
17,approval,0.10327672625720762
18,insecurity,0.10327672625720762
19,forgettin,0.10327672625720762
20,acceptance,0.10327672625720762
21,love,0.09681307154289638
22,look,0.08972723904199204
23,control,0.08779647238748053
24,low,0.08281294375082658
25,keeps,0.08281294375082658
26,outside,0.07874110437204664
27,tryin,0.07874110437204664
28,times,0.07874110437204664
29,life,0.07777865401705862
30,thing,0.0752984132310551
31,change,0.07231621851775345
32,face,0.07231621851775345
33,start,0.07231621851775345
34,feeling,0.06520410042546845
35,mind,0.061473233860489265
36,good,0.05981815936132802
37,oh,0.05808784292573782
38,ll,0.0562765948933536
39,pretending,0.05163836312860381
40,reflection,0.05163836312860381
41,pull,0.05163836312860381
42,foreign,0.05163836312860381
43,crying,0.05163836312860381
44,mirror,0.05163836312860381
45,fears,0.05163836312860381
46,ended,0.05163836312860381
47,wonders,0.05163836312860381
48,passed,0.05163836312860381
49,gonna,0.04778059663259246
50,fit,0.04711067912088686
51,thinks,0.04711067912088686
52,lift,0.04711067912088686
53,push,0.04711067912088686
54,window,0.04711067912088686
55,comes,0.04389823619374027
56,regret,0.04389823619374027
57,end,0.04389823619374027
58,game,0.04140647187541329
59,win,0.04140647187541329
60,tried,0.04140647187541329
61,stay,0.03937055218602332
62,years,0.03937055218602332
63,strong,0.03937055218602332
64,em,0.03764920661552755
65,heart,0.03764920661552755
66,high,0.036158109258876726
67,makes,0.036158109258876726
68,wrong,0.036158109258876726
69,road,0.03484286817830636
70,head,0.03260205021273423
71,ooh,0.03163042525115977
72,girl,0.030736616930244633
73,boy,0.02990907968066401
74,gotta,0.02990907968066401
75,way,0.02774100883065174
76,need,0.02774100883065174
77,tell,0.027102741243442814
78,feel,0.027102741243442814
79,ve,0.02389029831629623
80,say,0.022168952745800465
81,time,0.02139853399796925
82,got,0.02033423927015373
83,just,0.019362614308579277
84,let,0.019362614308579277
85,prophets,0.0
86,proud,0.0
87,pumpin,0.0
88,punishment,0.0
89,pump,0.0
90,prophesize,0.0
91,school,0.0
92,pros,0.0
93,propio,0.0
94,prove,0.0
95,pulque,0.0
96,pulmones,0.0
97,pulling,0.0
98,pussy,0.0
99,science,0.0
100,puffin,0.0
101,puedo,0.0
102,puedes,0.0
103,pueblo,0.0
104,prudence,0.0
105,prototype,0.0
106,pushin,0.0
107,que,0.0
108,scholarship,0.0
109,ransacked,0.0
110,ragin,0.0
111,rain,0.0
112,rained,0.0
113,raise,0.0
114,raised,0.0
115,ranch,0.0
116,scene,0.0
117,putting,0.0
118,scanner,0.0
119,rapidly,0.0
120,scandalous,0.0
121,rapper,0.0
122,rated,0.0
123,rationale,0.0
124,radio,0.0
125,race,0.0
126,quoting,0.0
127,quit,0.0
128,quiet,0.0
129,quiere,0.0
130,quick,0.0
131,questions,0.0
132,quench,0.0
133,schefferville,0.0
134,quejido,0.0
135,queens,0.0
136,scheme,0.0
137,queen,0.0
138,quede,0.0
139,scraper,0.0
140,quarrels,0.0
141,prophecy,0.0
142,scream,0.0
143,property,0.0
144,positive,0.0
145,pop,0.0
146,poppin,0.0
147,por,0.0
148,porch,0.0
149,porque,0.0
150,position,0.0
151,possess,0.0
152,poodle,0.0
153,poster,0.0
154,potent,0.0
155,pour,0.0
156,poverty,0.0
157,powder,0.0
158,power,0.0
159,pool,0.0
160,político,0.0
161,pr,0.0
