,term,score
0,child,0.3692642439925835
1,just,0.32574981385685187
2,hush,0.2895818871862774
3,folks,0.23220264045832661
4,understand,0.22078544149822493
5,people,0.1773797169736698
6,complication,0.1447909435931387
7,rumors,0.1447909435931387
8,steeple,0.1447909435931387
9,trip,0.1447909435931387
10,test,0.1447909435931387
11,supreme,0.1447909435931387
12,obey,0.1447909435931387
13,peace,0.1447909435931387
14,lip,0.1447909435931387
15,faith,0.1447909435931387
16,pushin,0.1447909435931387
17,slip,0.1447909435931387
18,scheme,0.1447909435931387
19,destination,0.1447909435931387
20,wishin,0.1447909435931387
21,bite,0.13209558301139004
22,surely,0.13209558301139004
23,wet,0.13209558301139004
24,beautiful,0.12308808133086116
25,greater,0.12308808133086116
26,time,0.12000047024571897
27,kind,0.11610132022916331
28,pass,0.11610132022916331
29,dream,0.11610132022916331
30,ahead,0.11610132022916331
31,remember,0.11039272074911247
32,road,0.09769736016736377
33,don,0.0974566585709306
34,best,0.09439845796688574
35,mind,0.08618367234273895
36,day,0.08386330639839557
37,little,0.0759944979050862
38,cause,0.06448081008046139
39,say,0.062160444136118
40,oh,0.054291635642808644
41,ll,0.05259875786873335
42,questions,0.0
43,reasons,0.0
44,puedo,0.0
45,quench,0.0
46,quejido,0.0
47,queens,0.0
48,puffin,0.0
49,queen,0.0
50,pull,0.0
51,pump,0.0
52,pumpin,0.0
53,que,0.0
54,quarrels,0.0
55,pulling,0.0
56,putting,0.0
57,rebels,0.0
58,recital,0.0
59,quick,0.0
60,pussy,0.0
61,recite,0.0
62,pulmones,0.0
63,push,0.0
64,pulque,0.0
65,punishment,0.0
66,quede,0.0
67,rear,0.0
68,quiere,0.0
69,ransacked,0.0
70,raíz,0.0
71,reach,0.0
72,raíces,0.0
73,razona,0.0
74,ray,0.0
75,rattlesnakers,0.0
76,reaction,0.0
77,read,0.0
78,rattle,0.0
79,rationale,0.0
80,reading,0.0
81,rated,0.0
82,rapper,0.0
83,rapidly,0.0
84,ready,0.0
85,quiet,0.0
86,ranch,0.0
87,raised,0.0
88,raise,0.0
89,rained,0.0
90,pueblo,0.0
91,rain,0.0
92,real,0.0
93,ragin,0.0
94,really,0.0
95,radio,0.0
96,race,0.0
97,quoting,0.0
98,reason,0.0
99,quit,0.0
100,puedes,0.0
101,128,0.0
102,prudence,0.0
103,prove,0.0
104,polish,0.0
105,político,0.0
106,poodle,0.0
107,pool,0.0
108,pop,0.0
109,poppin,0.0
110,por,0.0
111,porch,0.0
112,porque,0.0
113,position,0.0
114,positive,0.0
115,possess,0.0
116,poster,0.0
117,potent,0.0
118,pour,0.0
119,poverty,0.0
120,powder,0.0
121,poisonous,0.0
122,points,0.0
123,poetical,0.0
124,played,0.0
125,pity,0.0
126,place,0.0
127,places,0.0
128,plan,0.0
129,planeta,0.0
130,planned,0.0
131,play,0.0
132,player,0.0
133,poems,0.0
134,playing,0.0
135,pleased,0.0
136,plex,0.0
137,pliers,0.0
138,plus,0.0
139,pode,0.0
140,poe,0.0
141,power,0.0
142,powers,0.0
143,pr,0.0
144,record,0.0
145,problems,0.0
146,process,0.0
147,promise,0.0
148,promises,0.0
149,promotion,0.0
150,proof,0.0
151,propers,0.0
152,property,0.0
153,prob,0.0
154,prophecy,0.0
155,prophesize,0.0
156,prophets,0.0
157,propio,0.0
158,pros,0.0
159,prototype,0.0
160,proud,0.0
161,problem,0.0
162,princess,0.0
163,praise,0.0
164,pregón,0.0
165,pranto,0.0
166,pray,0.0
167,prayer,0.0
168,preachers,0.0
169,preaching,0.0
170,precisely,0.0
171,pregones,0.0
172,present,0.0
173,pride,0.0
174,presidentes,0.0
175,press,0.0
176,pretending,0.0
177,pretty,0.0
178,prey,0.0
179,price,0.0
180,pricing,0.0
181,reconstruyo,0.0
182,rehearsed,0.0
183,recuerdes,0.0
184,salvador,0.0
185,sacrifice,0.0
186,safer,0.0
187,said,0.0
188,sail,0.0
189,sake,0.0
190,saliva,0.0
191,sally,0.0
192,sand,0.0
193,ry,0.0
194,sangre,0.0
195,santa,0.0
196,santos,0.0
197,sap,0.0
198,sarasota,0.0
199,satan,0.0
200,satisfaction,0.0
201,ríos,0.0
202,russia,0.0
203,savin,0.0
204,rule,0.0
205,rough,0.0
206,round,0.0
207,row,0.0
208,rub,0.0
209,rude,0.0
210,ruffians,0.0
211,ruger,0.0
212,rules,0.0
213,rush,0.0
214,rum,0.0
215,run,0.0
216,runaway,0.0
217,runnin,0.0
218,running,0.0
219,runs,0.0
220,runway,0.0
221,save,0.0
222,saving,0.0
223,recuerdo,0.0
224,seed,0.0
225,sea,0.0
226,seamstress,0.0
227,searching,0.0
228,seca,0.0
229,second,0.0
230,secrets,0.0
231,section,0.0
232,seein,0.0
233,scufflin,0.0
234,seeing,0.0
235,seek,0.0
236,seen,0.0
237,sees,0.0
238,self,0.0
239,sell,0.0
240,semi,0.0
241,se,0.0
242,screwed,0.0
243,saw,0.0
244,scene,0.0
245,sax,0.0
246,sayin,0.0
247,saying,0.0
248,says,0.0
249,scandalous,0.0
250,scanner,0.0
251,scared,0.0
252,schefferville,0.0
253,screen,0.0
254,scholarship,0.0
255,school,0.0
256,science,0.0
257,scraper,0.0
258,scrappy,0.0
259,scream,0.0
260,screamin,0.0
261,rot,0.0
262,rose,0.0
263,rope,0.0
264,reverse,0.0
265,respect,0.0
266,respected,0.0
267,respira,0.0
268,respirando,0.0
269,rest,0.0
270,resume,0.0
271,return,0.0
272,revolution,0.0
273,repping,0.0
274,revolutionary,0.0
275,rewrite,0.0
276,rexburg,0.0
277,rhyme,0.0
278,rhymes,0.0
279,rhyming,0.0
280,rhythm,0.0
281,rescue,0.0
282,reppin,0.0
283,root,0.0
284,rehearse,0.0
285,red,0.0
286,reflection,0.0
287,refuse,0.0
288,regard,0.0
289,regreso,0.0
290,regret,0.0
291,regular,0.0
292,pittsburgh,0.0
293,repleta,0.0
294,reign,0.0
295,rejoice,0.0
296,relate,0.0
297,relentlessly,0.0
298,religion,0.0
299,remind,0.0
300,reno,0.0
301,ribbon,0.0
302,rica,0.0
303,rich,0.0
304,rolled,0.0
305,rock,0.0
306,rocked,0.0
307,rockin,0.0
308,rocking,0.0
309,rocks,0.0
310,role,0.0
311,roll,0.0
312,rollercoaster,0.0
313,richard,0.0
314,rollie,0.0
315,rolls,0.0
316,romance,0.0
317,roof,0.0
318,rookie,0.0
319,room,0.0
320,rooms,0.0
321,robaron,0.0
322,roam,0.0
323,roads,0.0
324,roadrunner,0.0
325,ride,0.0
326,riding,0.0
327,right,0.0
328,righteous,0.0
329,rights,0.0
330,rims,0.0
331,ring,0.0
332,ripe,0.0
333,ripped,0.0
334,rise,0.0
335,rising,0.0
336,riso,0.0
337,ritmo,0.0
338,rituales,0.0
339,rival,0.0
340,pittsfield,0.0
341,pick,0.0
342,pirate,0.0
343,mister,0.0
344,minhas,0.0
345,minnesota,0.0
346,miro,0.0
347,mirror,0.0
348,mis,0.0
349,miss,0.0
350,mistakes,0.0
351,mma,0.0
352,mines,0.0
353,mmm,0.0
354,mmmmm,0.0
355,mmmmmm,0.0
356,modern,0.0
357,moment,0.0
358,money,0.0
359,monie,0.0
360,minha,0.0
361,minds,0.0
362,mont,0.0
363,mic,0.0
364,merrily,0.0
365,mess,0.0
366,message,0.0
367,messenger,0.0
368,met,0.0
369,metropolis,0.0
370,mi,0.0
371,michigan,0.0
372,mills,0.0
373,mics,0.0
374,middleman,0.0
375,midnight,0.0
376,mike,0.0
377,miles,0.0
378,million,0.0
379,millions,0.0
380,monroe,0.0
381,montañas,0.0
382,mentions,0.0
383,muthafucka,0.0
384,muffin,0.0
385,mulligan,0.0
386,muscle,0.0
387,muscles,0.0
388,museum,0.0
389,music,0.0
390,mutha,0.0
391,más,0.0
392,muere,0.0
393,mío,0.0
394,na,0.0
395,nace,0.0
396,naciste,0.0
397,nadie,0.0
398,nah,0.0
399,nails,0.0
400,mueve,0.0
401,muelas,0.0
402,monterey,0.0
403,mothers,0.0
404,montgomery,0.0
405,monáe,0.0
406,moon,0.0
407,moonlight,0.0
408,morning,0.0
409,mornings,0.0
410,mother,0.0
411,mountain,0.0
412,mr,0.0
413,mountaineers,0.0
414,mountains,0.0
415,moustache,0.0
416,mouthpiece,0.0
417,moved,0.0
418,moves,0.0
419,moving,0.0
420,mercy,0.0
421,mention,0.0
422,pipe,0.0
423,mad,0.0
424,lyrical,0.0
425,ma,0.0
426,macbook,0.0
427,machine,0.0
428,macho,0.0
429,machos,0.0
430,mack,0.0
431,madre,0.0
432,lyin,0.0
433,magic,0.0
434,major,0.0
435,make,0.0
436,makes,0.0
437,makin,0.0
438,making,0.0
439,mama,0.0
440,lying,0.0
441,ly,0.0
442,man,0.0
443,loves,0.0
444,lotta,0.0
445,louisiana,0.0
446,louisville,0.0
447,love,0.0
448,lovely,0.0
449,lover,0.0
450,lovers,0.0
451,lovin,0.0
452,lure,0.0
453,loving,0.0
454,low,0.0
455,loyal,0.0
456,lucha,0.0
457,luck,0.0
458,lucky,0.0
459,luna,0.0
460,mami,0.0
461,manage,0.0
462,men,0.0
463,meant,0.0
464,matter,0.0
465,matters,0.0
466,maybe,0.0
467,meals,0.0
468,mean,0.0
469,meaning,0.0
470,means,0.0
471,measurements,0.0
472,material,0.0
473,medio,0.0
474,meeting,0.0
475,mejores,0.0
476,melancolía,0.0
477,melt,0.0
478,melted,0.0
479,memory,0.0
480,mattawa,0.0
481,matchbook,0.0
482,manifest,0.0
483,marilyn,0.0
484,mano,0.0
485,manos,0.0
486,map,0.0
487,maquilla,0.0
488,mar,0.0
489,maradona,0.0
490,march,0.0
491,marry,0.0
492,master,0.0
493,marullos,0.0
494,masa,0.0
495,mascando,0.0
496,maserati,0.0
497,masks,0.0
498,massachusetts,0.0
499,masses,0.0
500,namin,0.0
501,nap,0.0
502,narc,0.0
503,parejas,0.0
504,palpitar,0.0
505,panama,0.0
506,pane,0.0
507,paper,0.0
508,papers,0.0
509,para,0.0
510,paranoia,0.0
511,parentheses,0.0
512,palm,0.0
513,paripititumon,0.0
514,parkersburg,0.0
515,partner,0.0
516,party,0.0
517,pasadena,0.0
518,pasar,0.0
519,passed,0.0
520,paloma,0.0
521,painting,0.0
522,past,0.0
523,pack,0.0
524,overjoyed,0.0
525,overseas,0.0
526,ow,0.0
527,owe,0.0
528,oye,0.0
529,ozone,0.0
530,pa,0.0
531,package,0.0
532,paint,0.0
533,packaged,0.0
534,padilla,0.0
535,padre,0.0
536,pages,0.0
537,paid,0.0
538,pain,0.0
539,painful,0.0
540,passion,0.0
541,path,0.0
542,nasdaq,0.0
543,senators,0.0
544,petersburg,0.0
545,petite,0.0
546,peyote,0.0
547,phase,0.0
548,phife,0.0
549,photo,0.0
550,piano,0.0
551,picture,0.0
552,pestañeo,0.0
553,pie,0.0
554,piece,0.0
555,pieces,0.0
556,piel,0.0
557,piernas,0.0
558,pills,0.0
559,pink,0.0
560,pete,0.0
561,persuasion,0.0
562,patient,0.0
563,peina,0.0
564,patria,0.0
565,paul,0.0
566,paws,0.0
567,pay,0.0
568,peanut,0.0
569,peas,0.0
570,pedazo,0.0
571,pellet,0.0
572,person,0.0
573,pen,0.0
574,pena,0.0
575,penar,0.0
576,perdono,0.0
577,perfect,0.0
578,permanent,0.0
579,pero,0.0
580,overcome,0.0
581,oven,0.0
582,outta,0.0
583,northern,0.0
584,niggas,0.0
585,night,0.0
586,nights,0.0
587,noche,0.0
588,noise,0.0
589,nope,0.0
590,norma,0.0
591,nos,0.0
592,nieve,0.0
593,nostalgia,0.0
594,nothin,0.0
595,novelties,0.0
596,nubes,0.0
597,nude,0.0
598,nuff,0.0
599,numb,0.0
600,nigga,0.0
601,nido,0.0
602,outside,0.0
603,necesito,0.0
604,nashville,0.0
605,nation,0.0
606,natural,0.0
607,naturale,0.0
608,naysayers,0.0
609,near,0.0
610,nebraska,0.0
611,neck,0.0
612,nice,0.0
613,need,0.0
614,needs,0.0
615,neeh,0.0
616,neep,0.0
617,neil,0.0
618,neon,0.0
619,new,0.0
620,nunca,0.0
621,nuvens,0.0
622,nyc,0.0
623,orgullo,0.0
624,opelaka,0.0
625,open,0.0
626,opened,0.0
627,operación,0.0
628,opinions,0.0
629,opposite,0.0
630,order,0.0
631,orient,0.0
632,não,0.0
633,orleans,0.0
634,oskaloosa,0.0
635,otoño,0.0
636,ottawa,0.0
637,ought,0.0
638,outcast,0.0
639,outs,0.0
640,op,0.0
641,oooooh,0.0
642,ooooh,0.0
643,ooh,0.0
644,obra,0.0
645,oddities,0.0
646,odds,0.0
647,ohh,0.0
648,oigo,0.0
649,okay,0.0
650,oklahoma,0.0
651,ol,0.0
652,old,0.0
653,older,0.0
654,ole,0.0
655,olvidar,0.0
656,olvido,0.0
657,ombabika,0.0
658,ones,0.0
659,seminoles,0.0
660,settin,0.0
661,send,0.0
662,try,0.0
663,tried,0.0
664,trigger,0.0
665,trill,0.0
666,trippin,0.0
667,trouble,0.0
668,true,0.0
669,truth,0.0
670,tryin,0.0
671,trend,0.0
672,trying,0.0
673,tryna,0.0
674,tu,0.0
675,tulsa,0.0
676,tumble,0.0
677,tune,0.0
678,turban,0.0
679,tribulations,0.0
680,trees,0.0
681,turned,0.0
682,transgender,0.0
683,trail,0.0
684,trailblazing,0.0
685,trails,0.0
686,train,0.0
687,trained,0.0
688,traitor,0.0
689,transcends,0.0
690,transmissions,0.0
691,tree,0.0
692,trap,0.0
693,trapped,0.0
694,travel,0.0
695,traveled,0.0
696,tread,0.0
697,treadmill,0.0
698,treat,0.0
699,turn,0.0
700,turnin,0.0
701,traffic,0.0
702,uphill,0.0
703,unfold,0.0
704,unforgivenlike,0.0
705,uniform,0.0
706,unify,0.0
707,unimpeachable,0.0
708,universe,0.0
709,unsee,0.0
710,usa,0.0
711,underneath,0.0
712,usb,0.0
713,use,0.0
714,used,0.0
715,useless,0.0
716,uvas,0.0
717,va,0.0
718,vader,0.0
719,underrated,0.0
720,underdog,0.0
721,turning,0.0
722,twisted,0.0
723,turnpike,0.0
724,turns,0.0
725,tus,0.0
726,tusslin,0.0
727,tuyo,0.0
728,twice,0.0
729,twiddle,0.0
730,type,0.0
731,una,0.0
732,typical,0.0
733,tú,0.0
734,ubers,0.0
735,ufc,0.0
736,ugh,0.0
737,uh,0.0
738,ukulele,0.0
739,trago,0.0
740,trade,0.0
741,vamos,0.0
742,thumb,0.0
743,thought,0.0
744,thoughts,0.0
745,thousand,0.0
746,thrill,0.0
747,throne,0.0
748,throwing,0.0
749,thug,0.0
750,thumper,0.0
751,thong,0.0
752,thunder,0.0
753,ti,0.0
754,tickets,0.0
755,tide,0.0
756,tied,0.0
757,tiemblan,0.0
758,tiempos,0.0
759,thou,0.0
760,thinks,0.0
761,tierra,0.0
762,tequila,0.0
763,tellin,0.0
764,telling,0.0
765,telly,0.0
766,temper,0.0
767,tenderness,0.0
768,tengo,0.0
769,tennessee,0.0
770,terminator,0.0
771,thinking,0.0
772,texarkana,0.0
773,texas,0.0
774,thank,0.0
775,thing,0.0
776,things,0.0
777,think,0.0
778,thinkin,0.0
779,tiene,0.0
780,tiger,0.0
781,track,0.0
782,torture,0.0
783,tomen,0.0
784,tomorrow,0.0
785,tone,0.0
786,tongue,0.0
787,tonight,0.0
788,took,0.0
789,toronto,0.0
790,toss,0.0
791,told,0.0
792,totally,0.0
793,totin,0.0
794,touch,0.0
795,tough,0.0
796,toughest,0.0
797,town,0.0
798,trabajo,0.0
799,toll,0.0
800,toilet,0.0
801,tigers,0.0
802,tip,0.0
803,tight,0.0
804,tightrope,0.0
805,til,0.0
806,till,0.0
807,timbales,0.0
808,times,0.0
809,tiny,0.0
810,tippin,0.0
811,todos,0.0
812,tired,0.0
813,title,0.0
814,tocopilla,0.0
815,toda,0.0
816,today,0.0
817,todd,0.0
818,todo,0.0
819,vale,0.0
820,vapors,0.0
821,senses,0.0
822,wisdom,0.0
823,wings,0.0
824,winnemucca,0.0
825,winner,0.0
826,winslow,0.0
827,winter,0.0
828,wiped,0.0
829,wire,0.0
830,wish,0.0
831,window,0.0
832,wishing,0.0
833,wit,0.0
834,woah,0.0
835,woke,0.0
836,wolf,0.0
837,wolverines,0.0
838,woman,0.0
839,windows,0.0
840,wind,0.0
841,won,0.0
842,whispers,0.0
843,whatsoever,0.0
