,term,score
0,learn,0.31050456015113664
1,got,0.2876595766955844
2,grandpa,0.24350176864217885
3,campbell,0.24350176864217885
4,knees,0.24350176864217885
5,live,0.23060346244102234
6,sitting,0.22215138112144656
7,life,0.18338342530914728
8,just,0.18260961595290176
9,right,0.130813300517658
10,famine,0.12175088432108942
11,wisdom,0.12175088432108942
12,feast,0.12175088432108942
13,chorus,0.12175088432108942
14,proud,0.12175088432108942
15,porch,0.12175088432108942
16,stances,0.12175088432108942
17,crash,0.12175088432108942
18,carolina,0.12175088432108942
19,led,0.12175088432108942
20,breathe,0.12175088432108942
21,word,0.11107569056072328
22,mistakes,0.11107569056072328
23,left,0.11107569056072328
24,stories,0.11107569056072328
25,searching,0.11107569056072328
26,sit,0.11107569056072328
27,loves,0.11107569056072328
28,chances,0.11107569056072328
29,say,0.10453815488115484
30,till,0.10350152005037887
31,went,0.10350152005037887
32,laugh,0.10350152005037887
33,really,0.09762653697780353
34,hang,0.09762653697780353
35,thought,0.09762653697780353
36,making,0.09762653697780353
37,days,0.09282632629001271
38,years,0.09282632629001271
39,love,0.09130480797645088
40,help,0.08876780598199853
41,burn,0.08876780598199853
42,woman,0.08525215577966831
43,walk,0.08525215577966831
44,running,0.08215113252964655
45,home,0.08215113252964655
46,set,0.08215113252964655
47,best,0.07937717270709298
48,did,0.07937717270709298
49,things,0.07457696201930215
50,boy,0.07051844171128797
51,tell,0.06390176825893598
52,little,0.06390176825893598
53,think,0.06390176825893598
54,know,0.043545018182560985
55,wit,0.0
56,pueblo,0.0
57,puedes,0.0
58,puedo,0.0
59,puffin,0.0
60,pulling,0.0
61,pull,0.0
62,prove,0.0
63,pulmones,0.0
64,pulque,0.0
65,pump,0.0
66,pumpin,0.0
67,punishment,0.0
68,prudence,0.0
69,prototype,0.0
70,writing,0.0
71,pushin,0.0
72,pride,0.0
73,princess,0.0
74,prob,0.0
75,problem,0.0
76,problems,0.0
77,process,0.0
78,promise,0.0
79,promises,0.0
80,promotion,0.0
81,proof,0.0
82,propers,0.0
83,property,0.0
84,prophecy,0.0
85,prophesize,0.0
86,prophets,0.0
87,propio,0.0
88,pros,0.0
89,push,0.0
90,putting,0.0
91,pussy,0.0
92,rattle,0.0
93,raised,0.0
94,ranch,0.0
95,ransacked,0.0
96,rapidly,0.0
