,term,score
0,heroes,0.641110630655943
1,day,0.4125922360098938
2,oh,0.267104986775592
3,just,0.267104986775592
4,forever,0.17135922267179174
5,beat,0.16293364088240922
6,heads,0.142469029034654
7,swim,0.142469029034654
8,dolphins,0.142469029034654
9,wall,0.12111420091454747
10,king,0.10862242725493948
11,lovers,0.10862242725493948
12,remember,0.10862242725493948
13,queen,0.10387327532208532
14,drive,0.09613065359533149
15,fall,0.0899482895454991
16,away,0.0731100952385012
17,maybe,0.071234514517327
18,kissed,0.071234514517327
19,safer,0.071234514517327
20,shame,0.071234514517327
21,guns,0.071234514517327
22,fact,0.06498862768752302
23,drink,0.06498862768752302
24,wish,0.06498862768752302
25,mean,0.060557100457273735
26,standing,0.060557100457273735
27,steal,0.060557100457273735
28,lying,0.060557100457273735
29,like,0.06008250799306711
30,time,0.05903805188137341
31,shot,0.057119740890597244
32,stay,0.05431121362746974
33,help,0.05193663766104266
34,yes,0.04987968639722046
35,better,0.04363379956741647
36,cause,0.03172338744246774
37,say,0.03058180954093611
38,ll,0.025877633559197328
39,puedes,0.0
40,pueblo,0.0
41,pulling,0.0
42,quick,0.0
43,puedo,0.0
44,puffin,0.0
45,pull,0.0
46,quiere,0.0
47,questions,0.0
48,putting,0.0
49,quench,0.0
50,pulmones,0.0
51,quarrels,0.0
52,pulque,0.0
53,quejido,0.0
54,pump,0.0
55,pumpin,0.0
56,queens,0.0
57,punishment,0.0
58,push,0.0
59,quede,0.0
60,que,0.0
61,pushin,0.0
62,pussy,0.0
63,128,0.0
64,rain,0.0
65,quiet,0.0
66,really,0.0
67,raíz,0.0
68,reach,0.0
69,reaction,0.0
70,read,0.0
71,reading,0.0
72,ready,0.0
73,real,0.0
74,rear,0.0
75,quit,0.0
76,reason,0.0
77,reasons,0.0
78,rebels,0.0
79,recital,0.0
80,recite,0.0
81,reconstruyo,0.0
82,record,0.0
83,raíces,0.0
84,razona,0.0
85,ray,0.0
86,rattlesnakers,0.0
87,quoting,0.0
88,race,0.0
89,radio,0.0
90,ragin,0.0
91,prove,0.0
92,rained,0.0
93,raise,0.0
