,term,score
0,wrong,0.7226308281289695
1,uh,0.37371914042229065
2,huh,0.37371914042229065
3,confident,0.3329059410826584
4,rated,0.13316237643306336
5,yeah,0.1105702694259058
6,underrated,0.09987178232479751
7,complicated,0.09111496192504911
8,oh,0.07489698295236123
9,tonight,0.05338844863175581
10,ha,0.05076338571689495
11,la,0.04854392664671798
12,ve,0.04620531187592904
13,say,0.04287612327066359
14,mind,0.039631009834207045
15,make,0.03342860416548023
16,behave,0.03329059410826584
17,letting,0.03329059410826584
18,tongue,0.03329059410826584
19,choice,0.03037165397501637
20,dangerous,0.03037165397501637
21,fake,0.03037165397501637
22,lights,0.03037165397501637
23,bitch,0.03037165397501637
24,cause,0.029651087601069253
25,freak,0.028300632991696946
26,used,0.028300632991696946
27,tied,0.028300632991696946
28,time,0.027590723898981276
29,game,0.026694224315877906
30,ready,0.026694224315877906
31,chains,0.026694224315877906
32,ground,0.026694224315877906
33,boss,0.02427196332335899
34,play,0.02427196332335899
35,leave,0.02427196332335899
36,bout,0.021018125962405626
37,run,0.020391731741878576
38,better,0.020391731741878576
39,hold,0.01928200220679009
40,hey,0.018785323066059536
41,right,0.01788427458157532
42,gonna,0.01540177062530968
43,come,0.014292041090221195
44,player,0.0
45,quench,0.0
46,questions,0.0
47,quick,0.0
48,quiere,0.0
49,playing,0.0
50,pulmones,0.0
51,quejido,0.0
52,quiet,0.0
53,quit,0.0
54,quoting,0.0
55,race,0.0
56,pleased,0.0
57,pulque,0.0
58,queen,0.0
59,queens,0.0
60,played,0.0
61,pump,0.0
62,quede,0.0
63,planned,0.0
64,quarrels,0.0
65,putting,0.0
66,pussy,0.0
67,pumpin,0.0
68,pushin,0.0
69,push,0.0
70,punishment,0.0
71,que,0.0
72,polish,0.0
73,pull,0.0
74,radio,0.0
75,raíces,0.0
76,raíz,0.0
77,reach,0.0
78,reaction,0.0
79,read,0.0
80,pity,0.0
81,reading,0.0
82,pittsfield,0.0
83,pittsburgh,0.0
84,real,0.0
85,really,0.0
86,rear,0.0
87,pirate,0.0
88,reason,0.0
89,pipe,0.0
90,razona,0.0
91,ray,0.0
92,place,0.0
93,ranch,0.0
94,planeta,0.0
95,ragin,0.0
96,rain,0.0
97,rained,0.0
98,raise,0.0
99,raised,0.0
100,plan,0.0
101,rattlesnakers,0.0
102,ransacked,0.0
103,rapidly,0.0
104,rapper,0.0
105,places,0.0
106,rationale,0.0
107,rattle,0.0
108,pulling,0.0
109,puedes,0.0
110,plex,0.0
111,pray,0.0
112,poetical,0.0
113,powers,0.0
114,pr,0.0
115,poems,0.0
116,praise,0.0
117,pranto,0.0
118,prayer,0.0
119,powder,0.0
120,preachers,0.0
121,preaching,0.0
122,precisely,0.0
123,poe,0.0
124,pregones,0.0
125,pregón,0.0
126,power,0.0
127,poverty,0.0
128,presidentes,0.0
129,points,0.0
130,político,0.0
131,poodle,0.0
132,pool,0.0
133,pop,0.0
134,poppin,0.0
135,por,0.0
136,porch,0.0
137,pour,0.0
138,porque,0.0
139,position,0.0
140,positive,0.0
141,possess,0.0
142,poster,0.0
143,potent,0.0
144,present,0.0
145,pode,0.0
146,puffin,0.0
147,prototype,0.0
148,property,0.0
149,prophecy,0.0
150,prophesize,0.0
151,prophets,0.0
152,propio,0.0
153,pros,0.0
