,term,score
0,usa,0.5373062438452386
1,way,0.3527945329235368
2,like,0.3021260775931308
3,matter,0.28722774472735774
4,whoa,0.2275875082822696
5,cause,0.2126955733842071
6,want,0.17984456993798717
7,break,0.16113162980575993
8,bad,0.14361387236367887
9,love,0.13431426991926929
10,know,0.12811411480807172
11,far,0.1254104938870609
12,world,0.11989637995865812
13,coast,0.11940138752116414
14,people,0.1097067112720191
15,ll,0.1084384926909566
16,won,0.09621669079732821
17,best,0.07784538577755748
18,say,0.07689061651162565
19,fall,0.07538445829005855
20,just,0.06715713495963464
21,sweater,0.05970069376058207
22,gentleman,0.05970069376058207
23,sunshine,0.05970069376058207
24,blow,0.05970069376058207
25,losing,0.05970069376058207
26,apart,0.05970069376058207
27,chevy,0.05970069376058207
28,blowing,0.05970069376058207
29,letter,0.05970069376058207
30,east,0.05970069376058207
31,doors,0.05970069376058207
32,bullet,0.05970069376058207
33,west,0.05970069376058207
34,winter,0.05970069376058207
35,lights,0.05446609955556814
36,reading,0.05446609955556814
37,runs,0.05446609955556814
38,baby,0.05317389334605178
39,dinner,0.05075209586146785
40,bit,0.05075209586146785
41,time,0.04947900156930118
42,walking,0.04787129078789296
43,track,0.04787129078789296
44,rise,0.04787129078789296
45,cold,0.04787129078789296
46,sky,0.04787129078789296
47,wind,0.04551750165645392
48,open,0.04551750165645392
49,city,0.04551750165645392
50,deep,0.04551750165645392
51,yeah,0.04406397643299117
52,hair,0.043527401302103655
53,touch,0.041803497962353636
54,run,0.0365689037573397
55,girl,0.03553554457214011
56,mind,0.03553554457214011
57,day,0.03457880340298944
58,little,0.03133430955232576
59,tell,0.03133430955232576
60,night,0.03133430955232576
61,let,0.022385711653211546
62,push,0.0
63,pumpin,0.0
64,pushin,0.0
65,real,0.0
66,pussy,0.0
67,ready,0.0
68,read,0.0
69,punishment,0.0
70,really,0.0
71,raised,0.0
72,pulque,0.0
73,rear,0.0
74,pump,0.0
75,quarrels,0.0
76,pulmones,0.0
77,pulling,0.0
78,pull,0.0
79,reason,0.0
80,reasons,0.0
81,puffin,0.0
82,rebels,0.0
83,puedo,0.0
84,recital,0.0
85,puedes,0.0
86,putting,0.0
87,reach,0.0
88,que,0.0
89,rattle,0.0
90,ranch,0.0
91,ransacked,0.0
92,rained,0.0
93,rain,0.0
94,ragin,0.0
95,rapidly,0.0
96,radio,0.0
97,race,0.0
98,rapper,0.0
99,rated,0.0
100,rationale,0.0
101,quit,0.0
102,quiet,0.0
103,quiere,0.0
104,reaction,0.0
105,rattlesnakers,0.0
106,quick,0.0
107,ray,0.0
108,questions,0.0
109,quench,0.0
110,quejido,0.0
111,razona,0.0
112,queens,0.0
113,raíces,0.0
114,queen,0.0
115,raíz,0.0
116,raise,0.0
117,quede,0.0
118,quoting,0.0
119,promotion,0.0
120,pueblo,0.0
121,position,0.0
122,poodle,0.0
123,pool,0.0
124,pop,0.0
125,poppin,0.0
126,por,0.0
127,porch,0.0
128,porque,0.0
129,positive,0.0
130,polish,0.0
131,possess,0.0
132,poster,0.0
133,potent,0.0
134,pour,0.0
135,poverty,0.0
136,powder,0.0
137,power,0.0
138,político,0.0
139,poisonous,0.0
140,prudence,0.0
141,playing,0.0
142,places,0.0
143,plan,0.0
144,planeta,0.0
145,planned,0.0
146,play,0.0
147,played,0.0
148,player,0.0
149,pleased,0.0
150,points,0.0
151,plex,0.0
152,pliers,0.0
153,plus,0.0
154,pode,0.0
155,poe,0.0
156,poems,0.0
157,poetical,0.0
158,powers,0.0
159,pr,0.0
160,praise,0.0
161,property,0.0
162,problems,0.0
163,process,0.0
164,promise,0.0
165,promises,0.0
166,reconstruyo,0.0
167,proof,0.0
168,propers,0.0
169,prophecy,0.0
170,pranto,0.0
171,prophesize,0.0
172,prophets,0.0
173,propio,0.0
174,pros,0.0
175,prototype,0.0
176,proud,0.0
177,prove,0.0
178,problem,0.0
179,prob,0.0
180,princess,0.0
181,pride,0.0
182,pray,0.0
183,prayer,0.0
184,preachers,0.0
185,preaching,0.0
186,precisely,0.0
187,pregones,0.0
188,pregón,0.0
189,present,0.0
190,presidentes,0.0
191,press,0.0
192,pretending,0.0
193,pretty,0.0
194,prey,0.0
195,price,0.0
196,pricing,0.0
197,recite,0.0
198,remind,0.0
199,record,0.0
200,saliva,0.0
201,ry,0.0
202,ríos,0.0
203,sacrifice,0.0
204,safer,0.0
205,said,0.0
206,sail,0.0
207,sake,0.0
208,sally,0.0
209,rush,0.0
210,salvador,0.0
211,sand,0.0
212,sangre,0.0
213,santa,0.0
214,santos,0.0
215,sap,0.0
216,sarasota,0.0
217,russia,0.0
218,runway,0.0
219,recuerdes,0.0
220,rude,0.0
221,rope,0.0
222,rose,0.0
223,rot,0.0
224,rough,0.0
225,round,0.0
226,row,0.0
227,rub,0.0
228,ruffians,0.0
229,running,0.0
230,ruger,0.0
231,rule,0.0
232,rules,0.0
233,rum,0.0
234,rumors,0.0
235,runaway,0.0
236,runnin,0.0
237,satan,0.0
238,satisfaction,0.0
239,save,0.0
240,seca,0.0
241,screen,0.0
242,screwed,0.0
243,scufflin,0.0
244,se,0.0
245,sea,0.0
246,seamstress,0.0
247,searching,0.0
248,second,0.0
249,savin,0.0
250,secrets,0.0
251,section,0.0
252,seed,0.0
253,seein,0.0
254,seeing,0.0
255,seek,0.0
256,seen,0.0
257,screamin,0.0
258,scream,0.0
259,scrappy,0.0
260,scraper,0.0
261,saving,0.0
262,saw,0.0
263,sax,0.0
264,sayin,0.0
265,saying,0.0
266,says,0.0
267,scandalous,0.0
268,scanner,0.0
269,scared,0.0
270,scene,0.0
271,schefferville,0.0
272,scheme,0.0
273,scholarship,0.0
274,school,0.0
275,science,0.0
276,root,0.0
277,rooms,0.0
278,room,0.0
279,rest,0.0
280,reppin,0.0
281,repping,0.0
282,rescue,0.0
283,respect,0.0
284,respected,0.0
285,respira,0.0
286,respirando,0.0
287,resume,0.0
288,rhyming,0.0
289,return,0.0
290,reverse,0.0
291,revolution,0.0
292,revolutionary,0.0
293,rewrite,0.0
294,rexburg,0.0
295,rhyme,0.0
296,repleta,0.0
297,reno,0.0
298,pity,0.0
299,remember,0.0
300,recuerdo,0.0
301,red,0.0
302,reflection,0.0
303,refuse,0.0
304,regard,0.0
305,regreso,0.0
306,regret,0.0
307,regular,0.0
308,rehearse,0.0
309,rehearsed,0.0
310,reign,0.0
311,rejoice,0.0
312,relate,0.0
313,relentlessly,0.0
314,religion,0.0
315,rhymes,0.0
316,rhythm,0.0
317,rookie,0.0
318,rocks,0.0
319,roads,0.0
320,roam,0.0
321,robaron,0.0
322,rock,0.0
323,rocked,0.0
324,rockin,0.0
325,rocking,0.0
326,role,0.0
327,ribbon,0.0
328,roll,0.0
329,rolled,0.0
330,rollercoaster,0.0
331,rollie,0.0
332,rolls,0.0
333,romance,0.0
334,roof,0.0
335,roadrunner,0.0
336,road,0.0
337,rival,0.0
338,rituales,0.0
339,rica,0.0
340,rich,0.0
341,richard,0.0
342,ride,0.0
343,riding,0.0
344,right,0.0
345,righteous,0.0
346,rights,0.0
347,rims,0.0
348,ring,0.0
349,ripe,0.0
350,ripped,0.0
351,rising,0.0
352,riso,0.0
353,ritmo,0.0
354,place,0.0
355,petersburg,0.0
356,pittsfield,0.0
357,moment,0.0
358,mistakes,0.0
359,mister,0.0
360,mma,0.0
361,mmm,0.0
362,mmmmm,0.0
363,mmmmmm,0.0
364,modern,0.0
365,money,0.0
366,mis,0.0
367,monie,0.0
368,monroe,0.0
369,mont,0.0
370,montañas,0.0
371,monterey,0.0
372,montgomery,0.0
373,monáe,0.0
374,miss,0.0
375,mirror,0.0
376,met,0.0
377,miles,0.0
378,mi,0.0
379,mic,0.0
380,michigan,0.0
381,mics,0.0
382,middleman,0.0
383,midnight,0.0
384,mike,0.0
385,million,0.0
386,miro,0.0
387,millions,0.0
388,mills,0.0
389,minds,0.0
390,mines,0.0
391,minha,0.0
392,minhas,0.0
393,minnesota,0.0
394,moon,0.0
395,moonlight,0.0
396,morning,0.0
397,naciste,0.0
398,music,0.0
399,mutha,0.0
400,muthafucka,0.0
401,más,0.0
402,mío,0.0
403,na,0.0
404,nace,0.0
405,nadie,0.0
406,mornings,0.0
407,nah,0.0
408,nails,0.0
409,namin,0.0
410,nap,0.0
411,narc,0.0
412,nasdaq,0.0
413,nashville,0.0
414,museum,0.0
415,muscles,0.0
416,muscle,0.0
417,mulligan,0.0
418,mother,0.0
419,mothers,0.0
420,mountain,0.0
421,mountaineers,0.0
422,mountains,0.0
423,moustache,0.0
424,mouthpiece,0.0
425,moved,0.0
426,moves,0.0
427,moving,0.0
428,mr,0.0
429,muelas,0.0
430,muere,0.0
