,term,score
0,coming,0.7196013135355864
1,world,0.35624569174692844
2,want,0.33645426442765464
3,got,0.294930357828296
4,let,0.2512759151049572
5,know,0.23967662896585026
6,shout,0.07883887349260763
7,time,0.049005319279533915
8,wanna,0.044487452038445466
9,just,0.044342808547933626
10,make,0.039582854638547604
11,positive,0.03941943674630381
12,spreadin,0.03941943674630381
13,planned,0.03941943674630381
14,shell,0.03941943674630381
15,abilities,0.03941943674630381
16,completely,0.03941943674630381
17,knew,0.03160866650469666
18,understand,0.030054496260829896
19,oh,0.029561872365289087
20,ll,0.028640098023906217
21,hand,0.02760219756088096
22,fear,0.02760219756088096
23,break,0.026598175368067398
24,hear,0.025700046911985228
25,new,0.025700046911985228
26,live,0.024887590897489504
27,good,0.022831844450139395
28,need,0.021176793310723568
29,think,0.02068955577535597
30,feel,0.02068955577535597
31,ve,0.018237257075407038
32,gonna,0.018237257075407038
33,come,0.016923224857427966
34,like,0.016624094650184714
35,love,0.014780936182644543
36,rationale,0.0
37,quarrels,0.0
38,rebels,0.0
39,reasons,0.0
40,pussy,0.0
41,putting,0.0
42,que,0.0
43,push,0.0
44,quede,0.0
45,queen,0.0
46,queens,0.0
47,reason,0.0
48,quejido,0.0
49,rear,0.0
50,pushin,0.0
51,punishment,0.0
52,questions,0.0
53,pumpin,0.0
54,recital,0.0
55,pump,0.0
56,pulque,0.0
57,pulmones,0.0
58,pulling,0.0
59,pull,0.0
60,puffin,0.0
61,puedo,0.0
62,puedes,0.0
63,pueblo,0.0
64,recite,0.0
65,prudence,0.0
66,quench,0.0
67,really,0.0
68,rattle,0.0
69,raised,0.0
70,rattlesnakers,0.0
71,rated,0.0
72,ray,0.0
73,rapper,0.0
74,razona,0.0
75,rapidly,0.0
76,raíces,0.0
77,raíz,0.0
78,ransacked,0.0
79,ranch,0.0
80,reach,0.0
81,reaction,0.0
82,prove,0.0
83,raise,0.0
84,real,0.0
85,read,0.0
86,rained,0.0
87,rain,0.0
88,ragin,0.0
89,radio,0.0
90,race,0.0
91,quoting,0.0
92,quit,0.0
93,quiet,0.0
94,quiere,0.0
95,reading,0.0
96,quick,0.0
97,ready,0.0
98,128,0.0
99,proof,0.0
100,proud,0.0
101,pop,0.0
102,poetical,0.0
103,points,0.0
104,poisonous,0.0
105,polish,0.0
106,político,0.0
107,poodle,0.0
108,pool,0.0
109,poppin,0.0
110,poe,0.0
111,por,0.0
112,porch,0.0
113,porque,0.0
114,position,0.0
115,possess,0.0
116,poster,0.0
117,potent,0.0
118,poems,0.0
119,pode,0.0
120,poverty,0.0
121,plan,0.0
122,pipe,0.0
123,pirate,0.0
124,pittsburgh,0.0
125,pittsfield,0.0
126,pity,0.0
127,place,0.0
128,places,0.0
129,planeta,0.0
130,plus,0.0
131,play,0.0
132,played,0.0
133,player,0.0
134,playing,0.0
135,pleased,0.0
136,plex,0.0
137,pliers,0.0
138,pour,0.0
139,powder,0.0
140,prototype,0.0
141,promotion,0.0
142,princess,0.0
143,prob,0.0
144,problem,0.0
145,problems,0.0
146,process,0.0
147,promise,0.0
148,promises,0.0
149,record,0.0
150,pricing,0.0
151,propers,0.0
152,property,0.0
153,prophecy,0.0
154,prophesize,0.0
155,prophets,0.0
156,propio,0.0
157,pros,0.0
158,pride,0.0
159,price,0.0
160,power,0.0
161,preaching,0.0
162,powers,0.0
163,pr,0.0
164,praise,0.0
165,pranto,0.0
166,pray,0.0
167,prayer,0.0
168,preachers,0.0
169,precisely,0.0
170,prey,0.0
171,pregones,0.0
172,pregón,0.0
173,present,0.0
174,presidentes,0.0
175,press,0.0
176,pretending,0.0
177,pretty,0.0
178,reconstruyo,0.0
179,regular,0.0
180,recuerdes,0.0
181,recuerdo,0.0
182,ry,0.0
183,ríos,0.0
184,sacrifice,0.0
185,safer,0.0
186,said,0.0
187,sail,0.0
188,sake,0.0
189,saliva,0.0
190,sally,0.0
191,salvador,0.0
192,sand,0.0
193,sangre,0.0
194,santa,0.0
195,santos,0.0
196,sap,0.0
197,sarasota,0.0
198,satan,0.0
199,russia,0.0
200,rush,0.0
201,runway,0.0
202,ruger,0.0
203,rot,0.0
204,rough,0.0
205,round,0.0
206,row,0.0
207,rub,0.0
208,rude,0.0
209,ruffians,0.0
210,rule,0.0
211,runs,0.0
212,rules,0.0
213,rum,0.0
214,rumors,0.0
215,run,0.0
216,runaway,0.0
217,runnin,0.0
218,running,0.0
219,satisfaction,0.0
220,save,0.0
221,savin,0.0
222,second,0.0
223,screwed,0.0
224,scufflin,0.0
225,se,0.0
226,sea,0.0
227,seamstress,0.0
228,searching,0.0
229,seca,0.0
230,secrets,0.0
231,screamin,0.0
232,section,0.0
233,seed,0.0
234,seein,0.0
235,seeing,0.0
236,seek,0.0
237,seen,0.0
238,sees,0.0
239,screen,0.0
240,scream,0.0
241,saving,0.0
242,scanner,0.0
243,saw,0.0
244,sax,0.0
245,say,0.0
246,sayin,0.0
247,saying,0.0
248,says,0.0
249,scandalous,0.0
250,scared,0.0
251,scrappy,0.0
252,scene,0.0
253,schefferville,0.0
254,scheme,0.0
255,scholarship,0.0
256,school,0.0
257,science,0.0
258,scraper,0.0
259,rose,0.0
260,rope,0.0
261,root,0.0
262,return,0.0
263,rescue,0.0
264,respect,0.0
265,respected,0.0
266,respira,0.0
267,respirando,0.0
268,rest,0.0
269,resume,0.0
270,reverse,0.0
271,reppin,0.0
272,revolution,0.0
273,revolutionary,0.0
274,rewrite,0.0
275,rexburg,0.0
276,rhyme,0.0
277,rhymes,0.0
278,rhyming,0.0
279,repping,0.0
280,repleta,0.0
281,ribbon,0.0
282,rehearse,0.0
283,red,0.0
284,reflection,0.0
285,refuse,0.0
286,regard,0.0
287,regreso,0.0
288,regret,0.0
289,pills,0.0
290,rehearsed,0.0
291,reno,0.0
292,reign,0.0
293,rejoice,0.0
294,relate,0.0
295,relentlessly,0.0
296,religion,0.0
297,remember,0.0
298,remind,0.0
299,rhythm,0.0
300,rica,0.0
301,rooms,0.0
302,roll,0.0
