,term,score
0,candle,0.4260965131634034
1,legend,0.26688430473152475
2,burned,0.26688430473152475
3,jeane,0.20016322854864357
4,goodbye,0.20016322854864357
5,cling,0.20016322854864357
6,norma,0.20016322854864357
7,knowing,0.20016322854864357
8,crawled,0.20016322854864357
9,liked,0.20016322854864357
10,set,0.18007957815123887
11,did,0.17399891317107366
12,lived,0.17016055799922772
13,rain,0.17016055799922772
14,long,0.1634766003425501
15,kid,0.1605018554277211
16,wind,0.15261012080632844
17,grace,0.12174186090382955
18,marilyn,0.12174186090382955
19,knew,0.10700123695181407
20,life,0.1004965143288894
21,just,0.10007245668612992
22,ve,0.09260477970749671
23,like,0.08441349576592348
24,hold,0.07729005580457883
25,know,0.07158971760438383
26,whispered,0.06672107618288119
27,hollywood,0.06672107618288119
28,superstar,0.06672107618288119
29,treadmill,0.06672107618288119
30,sees,0.06672107618288119
31,woodwork,0.06672107618288119
32,22nd,0.06672107618288119
33,row,0.06672107618288119
34,papers,0.06672107618288119
35,sexual,0.06672107618288119
36,monroe,0.06672107618288119
37,played,0.06672107618288119
38,toughest,0.06672107618288119
39,nude,0.06672107618288119
40,price,0.06672107618288119
41,hounded,0.06672107618288119
42,role,0.06672107618288119
43,created,0.06672107618288119
44,died,0.06087093045191477
45,press,0.06087093045191477
46,loneliness,0.06087093045191477
47,tough,0.06087093045191477
48,brain,0.05672018599974257
49,paid,0.05672018599974257
50,pain,0.053500618475907036
51,change,0.04671929581660395
52,young,0.04671929581660395
53,man,0.03279488217132299
54,say,0.028644137719150795
55,oh,0.02501811417153248
56,reading,0.0
57,real,0.0
58,push,0.0
59,ready,0.0
60,pushin,0.0
61,pussy,0.0
62,read,0.0
63,pumpin,0.0
64,reaction,0.0
65,reach,0.0
66,putting,0.0
67,raíz,0.0
68,punishment,0.0
69,ragin,0.0
70,pump,0.0
71,raíces,0.0
72,really,0.0
73,rear,0.0
74,reason,0.0
75,pulmones,0.0
76,pulling,0.0
77,pull,0.0
78,puffin,0.0
79,puedo,0.0
80,puedes,0.0
81,reasons,0.0
82,pulque,0.0
83,razona,0.0
84,quarrels,0.0
85,ray,0.0
86,rained,0.0
87,raise,0.0
88,radio,0.0
89,race,0.0
90,quoting,0.0
91,raised,0.0
92,ranch,0.0
93,quit,0.0
94,ransacked,0.0
95,quiet,0.0
96,rapidly,0.0
97,quiere,0.0
98,quick,0.0
99,questions,0.0
100,quench,0.0
101,quejido,0.0
102,queens,0.0
103,rapper,0.0
104,queen,0.0
105,quede,0.0
106,rated,0.0
107,rationale,0.0
108,que,0.0
109,rattle,0.0
110,rattlesnakers,0.0
111,pueblo,0.0
112,promise,0.0
113,prudence,0.0
114,por,0.0
115,poisonous,0.0
116,polish,0.0
117,político,0.0
118,poodle,0.0
119,pool,0.0
120,pop,0.0
121,poppin,0.0
122,porch,0.0
123,powder,0.0
124,porque,0.0
125,position,0.0
126,positive,0.0
127,possess,0.0
128,poster,0.0
129,potent,0.0
130,pour,0.0
131,points,0.0
132,poetical,0.0
133,poems,0.0
134,poe,0.0
135,pittsfield,0.0
136,pity,0.0
137,place,0.0
138,places,0.0
139,plan,0.0
140,planeta,0.0
141,planned,0.0
142,play,0.0
143,player,0.0
144,playing,0.0
