,term,score
0,dancer,0.348011770795176
1,tiny,0.348011770795176
2,sheets,0.23200784719678397
3,headlights,0.23200784719678397
4,linen,0.23200784719678397
5,busy,0.2116652539042433
6,closer,0.2116652539042433
7,count,0.2116652539042433
8,today,0.19723195426781526
9,highway,0.18603661730918547
10,lay,0.18603661730918547
11,hold,0.1343795730136954
12,day,0.1343795730136954
13,pirate,0.11600392359839198
14,marry,0.11600392359839198
15,seamstress,0.11600392359839198
16,jean,0.11600392359839198
17,real,0.11600392359839198
18,slowly,0.11600392359839198
19,ballerina,0.11600392359839198
20,eyed,0.10583262695212164
21,lady,0.10583262695212164
22,band,0.10583262695212164
23,softly,0.10583262695212164
24,feels,0.10583262695212164
25,dancing,0.10583262695212164
26,smile,0.09861597713390763
27,lying,0.09861597713390763
28,sand,0.09861597713390763
29,near,0.09301830865459274
30,seen,0.09301830865459274
31,pretty,0.08844468048763728
32,music,0.08844468048763728
33,man,0.08552773479086602
34,blue,0.08457773297133206
35,hand,0.08122803066942326
36,hear,0.07563036219010837
37,auditorium,0.05800196179919599
38,handing,0.05800196179919599
39,piano,0.05800196179919599
40,sings,0.05800196179919599
41,hums,0.05800196179919599
42,tickets,0.05800196179919599
43,laughs,0.05800196179919599
44,boulevard,0.05800196179919599
45,ve,0.053668787558668545
46,jesus,0.05291631347606082
47,freaks,0.05291631347606082
48,tune,0.05291631347606082
49,baby,0.05166087588430308
50,say,0.04980184004236333
51,songs,0.049307988566953814
52,turning,0.049307988566953814
53,looking,0.049307988566953814
54,words,0.04650915432729637
55,bad,0.04650915432729637
56,knows,0.04650915432729637
57,oh,0.043497490912398185
58,ll,0.04214118740962474
59,street,0.04061401533471163
60,makes,0.04061401533471163
61,stand,0.03781518109505418
62,god,0.03661972914023327
63,just,0.021748745456199092
64,rationale,0.0
65,quejido,0.0
66,quit,0.0
67,read,0.0
68,quiet,0.0
69,quiere,0.0
70,quick,0.0
71,questions,0.0
72,quench,0.0
73,reading,0.0
74,planned,0.0
75,ready,0.0
76,planeta,0.0
77,really,0.0
78,rear,0.0
79,queens,0.0
80,quoting,0.0
81,queen,0.0
82,quede,0.0
83,reason,0.0
84,pode,0.0
85,que,0.0
86,quarrels,0.0
87,reasons,0.0
88,putting,0.0
89,pussy,0.0
90,rebels,0.0
91,pushin,0.0
92,reaction,0.0
93,race,0.0
94,rated,0.0
95,plus,0.0
96,rattle,0.0
97,rattlesnakers,0.0
98,ray,0.0
99,rapper,0.0
100,razona,0.0
101,rapidly,0.0
102,play,0.0
103,played,0.0
104,ransacked,0.0
105,player,0.0
106,raíces,0.0
107,playing,0.0
108,push,0.0
109,ranch,0.0
110,raised,0.0
111,pleased,0.0
112,plex,0.0
113,raise,0.0
114,rained,0.0
115,rain,0.0
116,ragin,0.0
117,pliers,0.0
118,raíz,0.0
119,radio,0.0
120,reach,0.0
121,poe,0.0
122,pulling,0.0
123,poems,0.0
124,punishment,0.0
125,pray,0.0
126,prayer,0.0
127,preachers,0.0
128,preaching,0.0
129,precisely,0.0
130,pregones,0.0
131,pregón,0.0
132,present,0.0
133,presidentes,0.0
134,press,0.0
135,pretending,0.0
136,poodle,0.0
137,prey,0.0
138,price,0.0
139,pricing,0.0
140,pranto,0.0
141,pool,0.0
142,praise,0.0
143,pour,0.0
144,porque,0.0
145,position,0.0
146,positive,0.0
147,possess,0.0
148,poster,0.0
149,potent,0.0
150,por,0.0
151,pr,0.0
152,poverty,0.0
153,poppin,0.0
154,powder,0.0
155,power,0.0
156,powers,0.0
157,pop,0.0
158,pride,0.0
159,princess,0.0
160,prob,0.0
161,puedo,0.0
162,prototype,0.0
163,proud,0.0
164,prove,0.0
165,prudence,0.0
166,pueblo,0.0
167,puedes,0.0
168,puffin,0.0
169,pros,0.0
170,pull,0.0
171,porch,0.0
172,pulmones,0.0
173,pulque,0.0
174,pump,0.0
175,pumpin,0.0
176,poetical,0.0
177,recital,0.0
178,problem,0.0
179,proof,0.0
180,problems,0.0
181,process,0.0
182,promise,0.0
183,político,0.0
184,promises,0.0
185,promotion,0.0
186,polish,0.0
187,prophets,0.0
188,propers,0.0
189,poisonous,0.0
190,property,0.0
191,points,0.0
192,prophecy,0.0
193,prophesize,0.0
194,propio,0.0
195,relate,0.0
196,recite,0.0
197,safer,0.0
198,runs,0.0
199,runway,0.0
200,rush,0.0
201,russia,0.0
202,ry,0.0
203,ríos,0.0
204,sacrifice,0.0
205,said,0.0
206,runnin,0.0
207,sail,0.0
208,sake,0.0
209,saliva,0.0
210,sally,0.0
211,salvador,0.0
212,sangre,0.0
213,santa,0.0
214,running,0.0
215,runaway,0.0
216,sap,0.0
217,row,0.0
218,rooms,0.0
219,root,0.0
220,rope,0.0
221,rose,0.0
222,rot,0.0
223,rough,0.0
224,round,0.0
225,rub,0.0
226,run,0.0
227,rude,0.0
228,ruffians,0.0
229,ruger,0.0
230,rule,0.0
231,rules,0.0
232,rum,0.0
233,rumors,0.0
234,santos,0.0
235,sarasota,0.0
236,reconstruyo,0.0
237,searching,0.0
238,scream,0.0
239,screamin,0.0
240,screen,0.0
241,screwed,0.0
242,scufflin,0.0
243,se,0.0
244,sea,0.0
245,seca,0.0
246,scraper,0.0
247,second,0.0
248,secrets,0.0
249,section,0.0
250,seed,0.0
251,seein,0.0
252,seeing,0.0
253,seek,0.0
254,scrappy,0.0
255,science,0.0
256,satan,0.0
257,saying,0.0
258,satisfaction,0.0
259,save,0.0
260,savin,0.0
261,saving,0.0
262,saw,0.0
263,sax,0.0
264,sayin,0.0
265,says,0.0
266,school,0.0
267,scandalous,0.0
268,scanner,0.0
269,scared,0.0
270,scene,0.0
271,schefferville,0.0
272,scheme,0.0
273,scholarship,0.0
274,room,0.0
275,rookie,0.0
276,roof,0.0
277,respirando,0.0
278,repleta,0.0
279,reppin,0.0
280,repping,0.0
281,rescue,0.0
282,respect,0.0
283,respected,0.0
284,respira,0.0
285,rest,0.0
286,remind,0.0
287,resume,0.0
288,return,0.0
289,reverse,0.0
290,revolution,0.0
291,revolutionary,0.0
292,rewrite,0.0
293,rexburg,0.0
294,reno,0.0
295,remember,0.0
296,romance,0.0
297,regreso,0.0
298,record,0.0
299,recuerdes,0.0
300,recuerdo,0.0
301,red,0.0
302,reflection,0.0
303,refuse,0.0
304,regard,0.0
305,regret,0.0
306,religion,0.0
307,regular,0.0
308,rehearse,0.0
309,rehearsed,0.0
310,reign,0.0
311,rejoice,0.0
312,places,0.0
313,relentlessly,0.0
314,rhyme,0.0
315,rhymes,0.0
316,rhyming,0.0
317,rockin,0.0
318,road,0.0
319,roadrunner,0.0
320,roads,0.0
