,term,score
0,times,0.5494903520024425
1,going,0.4550231341118032
2,means,0.30634136326576555
3,time,0.29865692315726744
4,win,0.2889527266279654
5,round,0.2747451760012212
6,broke,0.2747451760012212
7,come,0.1547047853209934
8,let,0.13512091095188955
9,know,0.1288835200389837
10,don,0.12127496554964888
11,propio,0.0
12,pushin,0.0
13,pussy,0.0
14,putting,0.0
15,quarrels,0.0
16,que,0.0
17,quede,0.0
18,prophesize,0.0
19,prophecy,0.0
20,queen,0.0
21,queens,0.0
22,quejido,0.0
23,quench,0.0
24,questions,0.0
25,push,0.0
26,punishment,0.0
27,pros,0.0
28,puedes,0.0
29,prototype,0.0
30,proud,0.0
31,prophets,0.0
32,prove,0.0
33,prudence,0.0
34,pueblo,0.0
35,puedo,0.0
36,pumpin,0.0
37,puffin,0.0
38,pull,0.0
39,pulling,0.0
40,pulmones,0.0
41,pulque,0.0
42,quick,0.0
43,pump,0.0
44,128,0.0
45,property,0.0
46,reason,0.0
47,reach,0.0
48,reaction,0.0
49,read,0.0
50,reading,0.0
51,ready,0.0
52,real,0.0
53,really,0.0
54,rear,0.0
55,reasons,0.0
56,quiet,0.0
57,rebels,0.0
58,recital,0.0
59,recite,0.0
60,reconstruyo,0.0
61,record,0.0
62,recuerdes,0.0
63,recuerdo,0.0
64,red,0.0
65,raíz,0.0
66,raíces,0.0
67,razona,0.0
68,ray,0.0
69,quit,0.0
70,quoting,0.0
71,race,0.0
72,radio,0.0
73,ragin,0.0
74,rain,0.0
75,rained,0.0
76,raise,0.0
77,raised,0.0
78,ranch,0.0
79,ransacked,0.0
80,rapidly,0.0
81,rapper,0.0
82,rated,0.0
83,rationale,0.0
84,rattle,0.0
85,rattlesnakers,0.0
86,quiere,0.0
87,promises,0.0
88,propers,0.0
89,poetical,0.0
90,pleased,0.0
91,plex,0.0
92,pliers,0.0
93,plus,0.0
94,pode,0.0
95,poe,0.0
96,poems,0.0
97,points,0.0
98,player,0.0
99,poisonous,0.0
100,polish,0.0
101,político,0.0
102,poodle,0.0
103,pool,0.0
104,pop,0.0
105,poppin,0.0
106,playing,0.0
107,played,0.0
108,porch,0.0
109,pirate,0.0
110,piece,0.0
111,pieces,0.0
112,piel,0.0
113,piernas,0.0
114,pills,0.0
115,pink,0.0
116,pipe,0.0
117,pittsburgh,0.0
118,play,0.0
119,pittsfield,0.0
120,pity,0.0
121,place,0.0
122,places,0.0
123,plan,0.0
124,planeta,0.0
125,planned,0.0
126,por,0.0
127,porque,0.0
128,proof,0.0
129,pride,0.0
130,presidentes,0.0
131,press,0.0
132,pretending,0.0
133,pretty,0.0
134,prey,0.0
135,price,0.0
136,pricing,0.0
137,princess,0.0
138,pregón,0.0
139,prob,0.0
140,problem,0.0
141,problems,0.0
142,process,0.0
143,promise,0.0
144,refuse,0.0
145,promotion,0.0
146,present,0.0
147,pregones,0.0
148,position,0.0
149,power,0.0
150,positive,0.0
151,possess,0.0
152,poster,0.0
153,potent,0.0
154,pour,0.0
155,poverty,0.0
156,powder,0.0
157,powers,0.0
158,precisely,0.0
159,pr,0.0
160,praise,0.0
161,pranto,0.0
162,pray,0.0
163,prayer,0.0
164,preachers,0.0
165,preaching,0.0
166,reflection,0.0
167,regret,0.0
168,regard,0.0
169,regreso,0.0
170,sake,0.0
171,saliva,0.0
172,sally,0.0
173,salvador,0.0
174,sand,0.0
175,sangre,0.0
176,santa,0.0
177,santos,0.0
178,sap,0.0
179,sarasota,0.0
180,satan,0.0
181,satisfaction,0.0
182,save,0.0
183,savin,0.0
184,saving,0.0
185,saw,0.0
186,sax,0.0
187,sail,0.0
188,said,0.0
189,safer,0.0
190,runaway,0.0
191,ruffians,0.0
192,ruger,0.0
193,rule,0.0
194,rules,0.0
195,rum,0.0
196,rumors,0.0
197,run,0.0
198,runnin,0.0
199,sacrifice,0.0
200,running,0.0
201,runs,0.0
202,runway,0.0
203,rush,0.0
204,russia,0.0
205,ry,0.0
206,ríos,0.0
207,say,0.0
208,sayin,0.0
209,saying,0.0
210,seek,0.0
211,seca,0.0
212,second,0.0
213,secrets,0.0
214,section,0.0
215,seed,0.0
216,seein,0.0
217,seeing,0.0
218,seen,0.0
219,seamstress,0.0
220,sees,0.0
221,self,0.0
222,sell,0.0
223,semi,0.0
224,seminoles,0.0
225,senators,0.0
226,send,0.0
227,searching,0.0
228,sea,0.0
229,says,0.0
230,school,0.0
231,scandalous,0.0
232,scanner,0.0
233,scared,0.0
234,scene,0.0
235,schefferville,0.0
236,scheme,0.0
237,scholarship,0.0
238,science,0.0
239,se,0.0
240,scraper,0.0
241,scrappy,0.0
242,scream,0.0
243,screamin,0.0
244,screen,0.0
245,screwed,0.0
246,scufflin,0.0
247,rude,0.0
248,rub,0.0
249,row,0.0
250,rexburg,0.0
251,rest,0.0
252,resume,0.0
253,return,0.0
254,reverse,0.0
255,revolution,0.0
256,revolutionary,0.0
257,rewrite,0.0
258,rhyme,0.0
259,respira,0.0
260,rhymes,0.0
261,rhyming,0.0
262,rhythm,0.0
263,ribbon,0.0
264,rica,0.0
265,rich,0.0
266,richard,0.0
267,respirando,0.0
268,respected,0.0
269,riding,0.0
270,relentlessly,0.0
271,picture,0.0
272,regular,0.0
273,rehearse,0.0
274,rehearsed,0.0
275,reign,0.0
276,rejoice,0.0
277,relate,0.0
278,religion,0.0
279,respect,0.0
280,remember,0.0
281,remind,0.0
282,reno,0.0
283,repleta,0.0
284,reppin,0.0
285,repping,0.0
286,rescue,0.0
287,ride,0.0
288,right,0.0
289,rough,0.0
290,romance,0.0
291,rocks,0.0
292,role,0.0
293,roll,0.0
294,rolled,0.0
295,rollercoaster,0.0
296,rollie,0.0
297,rolls,0.0
298,roof,0.0
299,rockin,0.0
300,rookie,0.0
301,room,0.0
302,rooms,0.0
303,root,0.0
304,rope,0.0
305,rose,0.0
306,rot,0.0
307,rocking,0.0
308,rocked,0.0
309,righteous,0.0
310,riso,0.0
311,rights,0.0
312,rims,0.0
313,ring,0.0
314,ripe,0.0
315,ripped,0.0
316,rise,0.0
317,rising,0.0
318,ritmo,0.0
319,rock,0.0
320,rituales,0.0
321,rival,0.0
322,road,0.0
323,roadrunner,0.0
324,roads,0.0
325,roam,0.0
326,robaron,0.0
327,pie,0.0
328,phife,0.0
329,pick,0.0
330,piano,0.0
331,million,0.0
332,millions,0.0
333,mills,0.0
334,mind,0.0
335,minds,0.0
336,mines,0.0
337,minha,0.0
338,minhas,0.0
339,minnesota,0.0
340,miro,0.0
341,mirror,0.0
342,mis,0.0
343,miss,0.0
344,mistakes,0.0
345,mister,0.0
346,mma,0.0
347,mmm,0.0
348,miles,0.0
349,mike,0.0
350,midnight,0.0
351,mess,0.0
352,melted,0.0
353,memory,0.0
354,men,0.0
355,mention,0.0
356,mentions,0.0
357,mercy,0.0
358,merrily,0.0
359,message,0.0
360,middleman,0.0
361,messenger,0.0
362,met,0.0
363,metropolis,0.0
364,mi,0.0
365,mic,0.0
366,michigan,0.0
367,mics,0.0
368,mmmmm,0.0
369,mmmmmm,0.0
370,modern,0.0
371,mulligan,0.0
372,moves,0.0
373,moving,0.0
374,mr,0.0
375,muelas,0.0
376,muere,0.0
377,mueve,0.0
378,muffin,0.0
379,muscle,0.0
380,mouthpiece,0.0
381,muscles,0.0
382,museum,0.0
383,music,0.0
384,mutha,0.0
385,muthafucka,0.0
386,más,0.0
387,mío,0.0
388,moved,0.0
389,moustache,0.0
390,moment,0.0
391,monáe,0.0
392,money,0.0
393,monie,0.0
394,monroe,0.0
395,mont,0.0
396,montañas,0.0
397,monterey,0.0
398,montgomery,0.0
399,moon,0.0
400,mountains,0.0
401,moonlight,0.0
402,morning,0.0
403,mornings,0.0
404,mother,0.0
405,mothers,0.0
406,mountain,0.0
407,mountaineers,0.0
408,melt,0.0
409,melancolía,0.0
410,mejores,0.0
411,lyrical,0.0
412,luck,0.0
413,lucky,0.0
414,luna,0.0
415,lure,0.0
416,ly,0.0
417,lyin,0.0
418,lying,0.0
419,ma,0.0
420,loyal,0.0
421,macbook,0.0
422,machine,0.0
423,macho,0.0
424,machos,0.0
425,mack,0.0
426,mad,0.0
427,madre,0.0
428,lucha,0.0
429,low,0.0
430,major,0.0
431,lotta,0.0
432,los,0.0
433,lose,0.0
434,loser,0.0
435,losing,0.0
436,lost,0.0
437,lot,0.0
438,lots,0.0
439,louisiana,0.0
440,loving,0.0
441,louisville,0.0
442,love,0.0
443,lovely,0.0
444,lover,0.0
445,lovers,0.0
446,loves,0.0
447,lovin,0.0
448,magic,0.0
449,make,0.0
450,meeting,0.0
451,matter,0.0
452,masks,0.0
453,massachusetts,0.0
454,masses,0.0
455,master,0.0
456,matchbook,0.0
457,material,0.0
458,mattawa,0.0
459,matters,0.0
460,mascando,0.0
461,maybe,0.0
462,meals,0.0
463,mean,0.0
464,meaning,0.0
465,meant,0.0
466,measurements,0.0
467,medio,0.0
468,maserati,0.0
469,masa,0.0
470,makes,0.0
471,mano,0.0
472,makin,0.0
473,making,0.0
474,mama,0.0
475,mami,0.0
476,man,0.0
477,manage,0.0
478,manifest,0.0
479,manos,0.0
480,marullos,0.0
481,map,0.0
482,maquilla,0.0
483,mar,0.0
484,maradona,0.0
485,march,0.0
486,marilyn,0.0
487,marry,0.0
488,na,0.0
489,nace,0.0
490,naciste,0.0
491,palpitar,0.0
492,paid,0.0
493,pain,0.0
494,painful,0.0
495,paint,0.0
496,painting,0.0
497,palm,0.0
498,paloma,0.0
499,panama,0.0
500,padre,0.0
501,pane,0.0
502,paper,0.0
503,papers,0.0
504,para,0.0
505,paranoia,0.0
506,parejas,0.0
507,parentheses,0.0
508,pages,0.0
509,padilla,0.0
510,parkersburg,0.0
511,overjoyed,0.0
512,ought,0.0
513,outcast,0.0
514,outs,0.0
515,outside,0.0
516,outta,0.0
517,oven,0.0
518,overcome,0.0
519,overseas,0.0
520,packaged,0.0
521,ow,0.0
522,owe,0.0
523,oye,0.0
524,ozone,0.0
525,pa,0.0
526,pack,0.0
527,package,0.0
528,paripititumon,0.0
529,partner,0.0
530,otoño,0.0
531,persuasion,0.0
532,penar,0.0
533,people,0.0
534,perdono,0.0
535,perfect,0.0
536,permanent,0.0
537,pero,0.0
538,person,0.0
539,pestañeo,0.0
540,pen,0.0
541,pete,0.0
542,petersburg,0.0
543,petite,0.0
544,peyote,0.0
545,phase,0.0
546,sentado,0.0
547,photo,0.0
548,pena,0.0
549,pellet,0.0
550,party,0.0
551,patient,0.0
552,pasadena,0.0
553,pasar,0.0
554,pass,0.0
555,passed,0.0
556,passion,0.0
557,past,0.0
558,path,0.0
559,patria,0.0
560,peina,0.0
561,paul,0.0
562,paws,0.0
563,pay,0.0
564,peace,0.0
565,peanut,0.0
566,peas,0.0
567,pedazo,0.0
568,ottawa,0.0
569,oskaloosa,0.0
570,nadie,0.0
571,night,0.0
572,neon,0.0
573,new,0.0
574,nice,0.0
575,nido,0.0
576,nieve,0.0
577,nigga,0.0
578,niggas,0.0
579,nights,0.0
580,neep,0.0
581,noche,0.0
582,noise,0.0
583,nope,0.0
584,norma,0.0
585,northern,0.0
586,nos,0.0
587,nostalgia,0.0
588,neil,0.0
589,neeh,0.0
590,novelties,0.0
591,nation,0.0
592,nah,0.0
593,nails,0.0
594,namin,0.0
595,nap,0.0
596,narc,0.0
597,nasdaq,0.0
598,nashville,0.0
599,natural,0.0
600,needs,0.0
601,naturale,0.0
602,naysayers,0.0
603,near,0.0
604,nebraska,0.0
605,necesito,0.0
606,neck,0.0
607,need,0.0
608,nothin,0.0
609,nubes,0.0
610,orleans,0.0
611,opelaka,0.0
612,olvido,0.0
613,ombabika,0.0
614,ones,0.0
615,ooh,0.0
616,ooooh,0.0
617,oooooh,0.0
618,op,0.0
619,open,0.0
620,ole,0.0
621,opened,0.0
622,operación,0.0
623,opinions,0.0
624,opposite,0.0
625,order,0.0
626,orgullo,0.0
627,orient,0.0
628,olvidar,0.0
629,older,0.0
630,nude,0.0
631,obra,0.0
632,nuff,0.0
633,numb,0.0
634,nunca,0.0
635,nuvens,0.0
636,nyc,0.0
637,não,0.0
638,obey,0.0
639,oddities,0.0
640,old,0.0
641,odds,0.0
642,oh,0.0
643,ohh,0.0
644,oigo,0.0
645,okay,0.0
