,term,score
0,funk,0.5454876919546435
1,nation,0.44255954498481437
2,nothin,0.33234430054585395
3,groove,0.2736953063318797
4,gettin,0.25815973457447505
5,fail,0.22996657139650964
6,stop,0.21901219120126308
7,feet,0.1753330344274981
8,promise,0.12907986728723753
9,constrictions,0.11498328569825482
10,dance,0.10519982065649885
11,ha,0.10519982065649885
12,chance,0.10519982065649885
13,just,0.1034754881302691
14,way,0.0864793732981837
15,don,0.07739356162459325
16,funkin,0.0689899714189529
17,givin,0.0689899714189529
18,ay,0.04599331427930193
19,shall,0.04599331427930193
20,foot,0.04599331427930193
21,moved,0.04599331427930193
22,guide,0.04599331427930193
23,alley,0.04599331427930193
24,good,0.039959178163670526
25,hang,0.03687996208206786
26,low,0.03687996208206786
27,ready,0.03687996208206786
28,ah,0.03687996208206786
29,high,0.0322053446726637
30,believe,0.029038030075613865
31,freakin,0.022996657139650965
32,groovin,0.022996657139650965
33,suckah,0.022996657139650965
34,aye,0.022996657139650965
35,gonna,0.02127863727886138
36,come,0.019745467305794566
37,time,0.019059269884946432
38,wide,0.01753330344274981
39,bout,0.014519015037806933
40,god,0.014519015037806933
41,gotta,0.013319726054556842
42,tell,0.01206994974584865
43,away,0.011801075679669903
44,got,0.009055661340905777
45,saw,0.0
46,punishment,0.0
47,pull,0.0
48,pulling,0.0
49,pulmones,0.0
50,pulque,0.0
51,pump,0.0
52,pumpin,0.0
53,push,0.0
54,pushin,0.0
55,scufflin,0.0
56,pussy,0.0
57,screwed,0.0
58,putting,0.0
59,screen,0.0
60,puffin,0.0
61,puedo,0.0
62,que,0.0
63,puedes,0.0
64,proof,0.0
65,propers,0.0
66,sea,0.0
67,property,0.0
68,prophecy,0.0
69,prophesize,0.0
70,prophets,0.0
71,propio,0.0
72,pros,0.0
73,prototype,0.0
74,proud,0.0
75,se,0.0
76,prove,0.0
77,prudence,0.0
78,pueblo,0.0
79,quarrels,0.0
80,quede,0.0
81,promises,0.0
82,raise,0.0
83,ranch,0.0
84,ransacked,0.0
85,rapidly,0.0
86,rapper,0.0
87,rated,0.0
88,rationale,0.0
89,rattle,0.0
90,rattlesnakers,0.0
91,ray,0.0
92,razona,0.0
93,raíces,0.0
94,raíz,0.0
95,scraper,0.0
96,science,0.0
97,reach,0.0
98,raised,0.0
99,rained,0.0
100,queen,0.0
101,rain,0.0
102,queens,0.0
103,quejido,0.0
104,screamin,0.0
105,quench,0.0
106,questions,0.0
107,quick,0.0
108,quiere,0.0
109,scream,0.0
110,quiet,0.0
111,quit,0.0
112,quoting,0.0
113,race,0.0
114,radio,0.0
115,ragin,0.0
116,scrappy,0.0
117,promotion,0.0
118,seamstress,0.0
119,read,0.0
120,process,0.0
121,poisonous,0.0
122,polish,0.0
123,político,0.0
124,poodle,0.0
125,pool,0.0
126,pop,0.0
127,poppin,0.0
128,por,0.0
129,porch,0.0
130,porque,0.0
131,position,0.0
132,positive,0.0
133,possess,0.0
134,poster,0.0
135,potent,0.0
136,points,0.0
137,seek,0.0
138,seen,0.0
139,pleased,0.0
140,play,0.0
141,played,0.0
142,player,0.0
143,playing,0.0
144,sell,0.0
145,self,0.0
146,plex,0.0
147,poetical,0.0
148,pliers,0.0
149,plus,0.0
150,sees,0.0
151,pode,0.0
152,poe,0.0
153,poems,0.0
154,pour,0.0
155,poverty,0.0
156,powder,0.0
157,pricing,0.0
158,pretending,0.0
159,secrets,0.0
160,pretty,0.0
161,prey,0.0
162,price,0.0
163,second,0.0
164,pride,0.0
165,presidentes,0.0
166,princess,0.0
167,prob,0.0
168,seca,0.0
169,searching,0.0
170,problem,0.0
171,problems,0.0
172,press,0.0
173,section,0.0
174,power,0.0
175,prayer,0.0
176,powers,0.0
177,pr,0.0
178,praise,0.0
179,seeing,0.0
180,pranto,0.0
181,pray,0.0
182,preachers,0.0
183,present,0.0
184,seein,0.0
185,seed,0.0
186,preaching,0.0
187,precisely,0.0
188,pregones,0.0
189,pregón,0.0
190,reaction,0.0
191,reading,0.0
192,saving,0.0
193,ruffians,0.0
194,sayin,0.0
195,rolls,0.0
196,romance,0.0
197,roof,0.0
198,rookie,0.0
199,room,0.0
200,rooms,0.0
201,root,0.0
202,rope,0.0
203,rose,0.0
204,rot,0.0
205,rough,0.0
206,round,0.0
207,row,0.0
208,rub,0.0
209,rollie,0.0
210,rollercoaster,0.0
211,saying,0.0
212,rock,0.0
213,road,0.0
214,roadrunner,0.0
215,scandalous,0.0
216,roads,0.0
217,roam,0.0
218,robaron,0.0
219,rocked,0.0
220,says,0.0
221,rockin,0.0
222,rocking,0.0
223,rocks,0.0
224,role,0.0
225,roll,0.0
226,rolled,0.0
227,rude,0.0
228,ruger,0.0
229,rituales,0.0
230,rule,0.0
231,sake,0.0
232,saliva,0.0
233,sally,0.0
234,salvador,0.0
235,sand,0.0
236,sangre,0.0
237,santa,0.0
238,santos,0.0
239,sap,0.0
240,sarasota,0.0
241,satan,0.0
242,satisfaction,0.0
243,save,0.0
244,sax,0.0
245,savin,0.0
246,sail,0.0
247,said,0.0
248,safer,0.0
249,running,0.0
250,rules,0.0
251,rum,0.0
252,rumors,0.0
253,run,0.0
254,runaway,0.0
255,runnin,0.0
256,runs,0.0
257,sacrifice,0.0
258,runway,0.0
259,rush,0.0
260,say,0.0
261,russia,0.0
262,ry,0.0
263,ríos,0.0
264,rival,0.0
265,ritmo,0.0
266,school,0.0
267,repping,0.0
268,regular,0.0
269,rehearse,0.0
270,planned,0.0
271,reign,0.0
272,scholarship,0.0
273,rejoice,0.0
274,scheme,0.0
275,relate,0.0
276,relentlessly,0.0
277,religion,0.0
278,remember,0.0
279,remind,0.0
280,reno,0.0
281,repleta,0.0
282,reppin,0.0
283,regret,0.0
284,regreso,0.0
285,regard,0.0
286,recital,0.0
287,real,0.0
288,really,0.0
289,rear,0.0
290,reason,0.0
