,term,score
0,run,0.43459946254822013
1,wanna,0.40036282409195945
2,away,0.36409398691500555
3,just,0.22803492085913118
4,billion,0.2027162562118273
5,blows,0.2027162562118273
6,strangers,0.2027162562118273
7,place,0.18494196795507714
8,dollars,0.18494196795507714
9,pride,0.18494196795507714
10,rich,0.18494196795507714
11,catching,0.18494196795507714
12,die,0.17233090974117732
13,wind,0.15455662148442717
14,fly,0.14779915070967242
15,til,0.14779915070967242
16,eyes,0.12798557435866156
17,think,0.10639698675702702
18,chase,0.09247098397753857
19,morning,0.09247098397753857
20,arms,0.08616545487058866
21,wide,0.07727831074221359
22,oh,0.07601164028637707
23,sun,0.07389957535483621
24,know,0.07250282502560573
25,queen,0.0
26,que,0.0
27,quede,0.0
28,prudence,0.0
29,queens,0.0
30,quiere,0.0
31,questions,0.0
32,quejido,0.0
33,quick,0.0
34,quench,0.0
35,pull,0.0
36,quarrels,0.0
37,pulling,0.0
38,pussy,0.0
39,pushin,0.0
40,push,0.0
41,pueblo,0.0
42,quiet,0.0
43,puedes,0.0
44,puedo,0.0
45,punishment,0.0
46,pumpin,0.0
47,pump,0.0
48,pulque,0.0
49,pulmones,0.0
50,puffin,0.0
51,putting,0.0
52,128,0.0
53,quit,0.0
54,quoting,0.0
55,reach,0.0
56,reaction,0.0
57,read,0.0
58,reading,0.0
59,ready,0.0
60,real,0.0
61,really,0.0
62,rear,0.0
63,reason,0.0
64,reasons,0.0
65,rebels,0.0
66,recital,0.0
67,recite,0.0
68,reconstruyo,0.0
69,record,0.0
70,recuerdes,0.0
71,recuerdo,0.0
72,raíz,0.0
73,raíces,0.0
74,razona,0.0
75,raised,0.0
76,race,0.0
77,radio,0.0
78,proud,0.0
79,ragin,0.0
80,rain,0.0
81,rained,0.0
82,raise,0.0
83,ranch,0.0
84,ray,0.0
85,ransacked,0.0
86,rapidly,0.0
87,rapper,0.0
88,rated,0.0
89,rationale,0.0
90,rattle,0.0
91,rattlesnakers,0.0
92,prove,0.0
93,property,0.0
94,prototype,0.0
95,pros,0.0
96,poe,0.0
97,poems,0.0
98,poetical,0.0
99,points,0.0
100,poisonous,0.0
101,polish,0.0
102,político,0.0
103,poodle,0.0
104,pool,0.0
105,pop,0.0
106,poppin,0.0
107,por,0.0
108,porch,0.0
109,porque,0.0
110,position,0.0
111,positive,0.0
112,possess,0.0
113,pode,0.0
114,plus,0.0
115,pliers,0.0
116,places,0.0
117,pills,0.0
118,pink,0.0
119,pipe,0.0
120,pirate,0.0
121,pittsburgh,0.0
122,pittsfield,0.0
123,pity,0.0
124,plan,0.0
125,plex,0.0
126,planeta,0.0
127,planned,0.0
128,play,0.0
129,played,0.0
130,player,0.0
131,playing,0.0
132,pleased,0.0
133,poster,0.0
134,potent,0.0
135,pour,0.0
136,promises,0.0
137,pricing,0.0
138,princess,0.0
139,prob,0.0
140,problem,0.0
141,problems,0.0
142,process,0.0
143,promise,0.0
144,promotion,0.0
145,prey,0.0
146,proof,0.0
147,propers,0.0
148,reflection,0.0
149,prophecy,0.0
150,prophesize,0.0
151,prophets,0.0
152,propio,0.0
153,price,0.0
154,pretty,0.0
155,poverty,0.0
156,prayer,0.0
157,powder,0.0
158,power,0.0
159,powers,0.0
160,pr,0.0
161,praise,0.0
162,pranto,0.0
163,pray,0.0
164,preachers,0.0
165,pretending,0.0
166,preaching,0.0
167,precisely,0.0
168,pregones,0.0
169,pregón,0.0
170,present,0.0
171,presidentes,0.0
172,press,0.0
173,red,0.0
174,rehearse,0.0
175,refuse,0.0
176,santos,0.0
177,sake,0.0
178,saliva,0.0
179,sally,0.0
180,salvador,0.0
181,sand,0.0
182,sangre,0.0
183,santa,0.0
184,sap,0.0
185,said,0.0
186,sarasota,0.0
187,satan,0.0
188,satisfaction,0.0
189,save,0.0
190,savin,0.0
191,saving,0.0
192,saw,0.0
193,sail,0.0
194,safer,0.0
195,say,0.0
196,runaway,0.0
197,rude,0.0
198,ruffians,0.0
199,ruger,0.0
200,rule,0.0
201,rules,0.0
202,rum,0.0
203,rumors,0.0
204,runnin,0.0
205,sacrifice,0.0
206,running,0.0
207,runs,0.0
208,runway,0.0
209,rush,0.0
210,russia,0.0
211,ry,0.0
212,ríos,0.0
213,sax,0.0
214,sayin,0.0
215,row,0.0
216,seeing,0.0
217,searching,0.0
218,seca,0.0
219,second,0.0
220,secrets,0.0
221,section,0.0
222,seed,0.0
223,seein,0.0
224,seek,0.0
225,sea,0.0
226,seen,0.0
227,sees,0.0
228,self,0.0
229,sell,0.0
230,semi,0.0
231,seminoles,0.0
232,senators,0.0
233,seamstress,0.0
234,se,0.0
235,saying,0.0
236,scholarship,0.0
237,says,0.0
238,scandalous,0.0
239,scanner,0.0
240,scared,0.0
241,scene,0.0
242,schefferville,0.0
243,scheme,0.0
244,school,0.0
245,scufflin,0.0
246,science,0.0
247,scraper,0.0
248,scrappy,0.0
249,scream,0.0
250,screamin,0.0
251,screen,0.0
252,screwed,0.0
253,rub,0.0
254,round,0.0
255,regard,0.0
256,rewrite,0.0
257,respirando,0.0
258,rest,0.0
259,resume,0.0
260,return,0.0
261,reverse,0.0
262,revolution,0.0
263,revolutionary,0.0
264,rexburg,0.0
265,respected,0.0
266,rhyme,0.0
267,rhymes,0.0
268,rhyming,0.0
269,rhythm,0.0
270,ribbon,0.0
271,rica,0.0
272,richard,0.0
273,respira,0.0
274,respect,0.0
275,riding,0.0
276,relate,0.0
277,regreso,0.0
278,regret,0.0
279,regular,0.0
280,piel,0.0
281,rehearsed,0.0
282,reign,0.0
283,rejoice,0.0
284,relentlessly,0.0
285,rescue,0.0
286,religion,0.0
287,remember,0.0
288,remind,0.0
289,reno,0.0
290,repleta,0.0
291,reppin,0.0
292,repping,0.0
293,ride,0.0
294,right,0.0
295,rough,0.0
296,romance,0.0
297,rocks,0.0
298,role,0.0
299,roll,0.0
300,rolled,0.0
301,rollercoaster,0.0
302,rollie,0.0
303,rolls,0.0
304,roof,0.0
305,rockin,0.0
306,rookie,0.0
307,room,0.0
308,rooms,0.0
309,root,0.0
310,rope,0.0
311,rose,0.0
312,rot,0.0
313,rocking,0.0
314,rocked,0.0
315,righteous,0.0
316,riso,0.0
317,rights,0.0
318,rims,0.0
319,ring,0.0
320,ripe,0.0
321,ripped,0.0
322,rise,0.0
323,rising,0.0
324,ritmo,0.0
325,rock,0.0
326,rituales,0.0
327,rival,0.0
328,road,0.0
329,roadrunner,0.0
330,roads,0.0
331,roam,0.0
332,robaron,0.0
333,piernas,0.0
334,photo,0.0
335,pieces,0.0
336,piece,0.0
337,mills,0.0
338,mind,0.0
339,minds,0.0
340,mines,0.0
341,minha,0.0
342,minhas,0.0
343,minnesota,0.0
344,miro,0.0
345,mirror,0.0
346,mis,0.0
347,miss,0.0
348,mistakes,0.0
349,mister,0.0
350,mma,0.0
351,mmm,0.0
352,mmmmm,0.0
353,mmmmmm,0.0
354,millions,0.0
355,million,0.0
356,miles,0.0
357,messenger,0.0
358,men,0.0
359,mention,0.0
360,mentions,0.0
361,mercy,0.0
362,merrily,0.0
363,mess,0.0
364,message,0.0
365,met,0.0
366,mike,0.0
367,metropolis,0.0
368,mi,0.0
369,mic,0.0
370,michigan,0.0
371,mics,0.0
372,middleman,0.0
373,midnight,0.0
374,modern,0.0
375,moment,0.0
376,money,0.0
377,museum,0.0
378,muelas,0.0
379,muere,0.0
380,mueve,0.0
381,muffin,0.0
382,mulligan,0.0
383,muscle,0.0
384,muscles,0.0
385,music,0.0
386,moving,0.0
387,mutha,0.0
388,muthafucka,0.0
389,más,0.0
390,mío,0.0
391,na,0.0
392,nace,0.0
393,naciste,0.0
394,mr,0.0
395,moves,0.0
396,monie,0.0
397,moonlight,0.0
398,monroe,0.0
399,mont,0.0
400,montañas,0.0
401,monterey,0.0
402,montgomery,0.0
403,monáe,0.0
404,moon,0.0
405,mornings,0.0
406,moved,0.0
407,mother,0.0
408,mothers,0.0
409,mountain,0.0
410,mountaineers,0.0
411,mountains,0.0
412,moustache,0.0
413,mouthpiece,0.0
414,memory,0.0
415,melted,0.0
416,melt,0.0
417,machine,0.0
418,lure,0.0
419,ly,0.0
420,lyin,0.0
421,lying,0.0
422,lyrical,0.0
423,ma,0.0
424,macbook,0.0
425,macho,0.0
426,lucky,0.0
427,machos,0.0
428,mack,0.0
429,mad,0.0
430,madre,0.0
431,magic,0.0
432,major,0.0
433,make,0.0
434,luna,0.0
435,luck,0.0
436,makin,0.0
437,love,0.0
438,losing,0.0
439,lost,0.0
440,lot,0.0
441,lots,0.0
442,lotta,0.0
