,term,score
0,la,0.46942566939013924
1,tierra,0.4464203284218857
2,te,0.32894129462665267
3,tiene,0.23178534499128264
4,que,0.18585820283676377
5,en,0.1751491583510318
6,mi,0.1445563799841496
7,su,0.13136186876327385
8,alma,0.12876963610626815
9,el,0.12390546855784253
10,estás,0.1030157088850145
11,entonando,0.1030157088850145
12,sigue,0.1030157088850145
13,da,0.1030157088850145
14,ese,0.1030157088850145
15,duele,0.1030157088850145
16,los,0.09398322703618647
17,cada,0.09398322703618647
18,del,0.09398322703618647
19,más,0.09398322703618647
20,tú,0.09398322703618647
21,medio,0.09398322703618647
22,si,0.09398322703618647
23,cuando,0.0875745791755159
24,empuja,0.07726178166376088
25,vive,0.07726178166376088
26,como,0.07726178166376088
27,lamento,0.07726178166376088
28,quejido,0.07726178166376088
29,cal,0.07726178166376088
30,suspira,0.07726178166376088
31,raíz,0.07726178166376088
32,al,0.07048742027713985
33,junto,0.05150785444250725
34,siguen,0.05150785444250725
35,dolor,0.05150785444250725
36,nostalgia,0.05150785444250725
37,son,0.05150785444250725
38,va,0.05150785444250725
39,le,0.05150785444250725
40,melancolía,0.05150785444250725
41,voz,0.05150785444250725
42,bella,0.05150785444250725
43,luna,0.05150785444250725
44,pregones,0.05150785444250725
45,corre,0.05150785444250725
46,recuerdo,0.05150785444250725
47,llevo,0.05150785444250725
48,calle,0.05150785444250725
49,grito,0.05150785444250725
50,guajiro,0.05150785444250725
51,fuerza,0.05150785444250725
52,canción,0.046991613518093237
53,sangre,0.046991613518093237
54,pueblo,0.046991613518093237
55,santa,0.046991613518093237
56,oigo,0.046991613518093237
57,noche,0.046991613518093237
58,corazón,0.046991613518093237
59,lo,0.04378728958775795
60,yo,0.039271048663343924
61,ve,0.03574487843076795
62,pregón,0.025753927221253626
63,atrás,0.025753927221253626
64,tambores,0.025753927221253626
65,aunque,0.025753927221253626
66,lejano,0.025753927221253626
67,hay,0.025753927221253626
68,regreso,0.025753927221253626
69,sufro,0.025753927221253626
70,penar,0.025753927221253626
71,propio,0.025753927221253626
72,cumbanchar,0.025753927221253626
73,timbales,0.025753927221253626
74,dejas,0.025753927221253626
75,naciste,0.025753927221253626
76,raíces,0.025753927221253626
77,olvidar,0.025753927221253626
78,lejos,0.025753927221253626
79,sé,0.025753927221253626
80,llega,0.025753927221253626
81,esa,0.025753927221253626
82,esté,0.025753927221253626
83,donde,0.025753927221253626
84,llegando,0.025753927221253626
85,llanto,0.025753927221253626
86,señor,0.025753927221253626
87,sentimiento,0.025753927221253626
88,llorar,0.025753927221253626
89,nunca,0.023495806759046618
90,día,0.023495806759046618
91,porque,0.023495806759046618
92,hermano,0.023495806759046618
93,por,0.023495806759046618
94,puedes,0.023495806759046618
95,dentro,0.023495806759046618
96,siento,0.023495806759046618
97,canta,0.023495806759046618
98,tus,0.023495806759046618
99,canto,0.023495806759046618
100,hace,0.023495806759046618
101,escucha,0.023495806759046618
102,olvido,0.023495806759046618
103,una,0.023495806759046618
104,se,0.020650911426307088
105,pulmones,0.0
