,term,score
0,believer,0.6994633804388642
1,pain,0.405071408002759
2,oh,0.20399148545343385
3,ooh,0.19042108171309297
4,rained,0.15543630676419204
5,rain,0.132137800154969
6,things,0.11901317607068311
7,bullets,0.11657723007314404
8,veins,0.11657723007314404
9,build,0.10635566555624443
10,came,0.09347801723140592
11,let,0.08742492233718593
12,fly,0.08499572712556588
13,break,0.07866022108242751
14,drive,0.07866022108242751
15,inhibited,0.07771815338209602
16,limited,0.07771815338209602
17,second,0.07771815338209602
18,flowin,0.07771815338209602
19,master,0.07771815338209602
20,ebbin,0.07771815338209602
21,lived,0.0660689000774845
22,sea,0.0660689000774845
23,blood,0.0660689000774845
24,broke,0.05925452373288476
25,taking,0.05925452373288476
26,open,0.05925452373288476
27,life,0.05853025731757137
28,til,0.05666381808371059
29,spirit,0.05666381808371059
30,did,0.05066942484965909
31,like,0.04916333328821658
32,love,0.04371246116859297
33,way,0.04175151667579524
34,heartache,0.03885907669104801
35,broken,0.03885907669104801
36,masses,0.03885907669104801
37,fired,0.03885907669104801
38,speaking,0.03885907669104801
39,ashes,0.03885907669104801
40,feelings,0.03885907669104801
41,hoping,0.03885907669104801
42,age,0.03885907669104801
43,sail,0.03885907669104801
44,drown,0.03885907669104801
45,beauty,0.03885907669104801
46,shook,0.03885907669104801
47,writing,0.03885907669104801
48,chokin,0.03885907669104801
49,sulkin,0.03885907669104801
50,poems,0.03885907669104801
51,prayer,0.03885907669104801
52,cloud,0.03885907669104801
53,lesson,0.03885907669104801
54,grace,0.03545188851874814
55,crowd,0.03545188851874814
56,future,0.03545188851874814
57,falling,0.03545188851874814
58,dove,0.03545188851874814
59,seeing,0.03545188851874814
60,send,0.03545188851874814
61,building,0.03545188851874814
62,brain,0.03303445003874225
63,ma,0.03303445003874225
64,singing,0.03303445003874225
65,flames,0.03303445003874225
66,ones,0.03303445003874225
67,tired,0.03303445003874225
68,turned,0.031159339077135306
69,heard,0.031159339077135306
70,feelin,0.031159339077135306
71,words,0.031159339077135306
72,message,0.031159339077135306
73,ground,0.031159339077135306
74,inside,0.02962726186644238
75,hate,0.02962726186644238
76,took,0.028331909041855296
77,thing,0.028331909041855296
78,face,0.027209823386436495
79,young,0.027209823386436495
80,head,0.024533805735609718
81,look,0.022507282389549535
82,tell,0.020395447041836746
83,think,0.020395447041836746
84,ve,0.01797800856183086
85,say,0.016682655737243774
86,don,0.013077737030648557
87,push,0.0
88,queens,0.0
89,queen,0.0
90,really,0.0
91,raíz,0.0
92,reach,0.0
93,quede,0.0
94,reaction,0.0
95,que,0.0
96,quarrels,0.0
97,pumpin,0.0
98,putting,0.0
99,read,0.0
100,quejido,0.0
101,ready,0.0
102,pussy,0.0
103,real,0.0
104,punishment,0.0
105,pushin,0.0
106,reading,0.0
107,raise,0.0
108,raíces,0.0
109,quit,0.0
110,ranch,0.0
111,ransacked,0.0
112,pump,0.0
113,rapidly,0.0
114,rapper,0.0
115,ragin,0.0
116,radio,0.0
117,race,0.0
118,quoting,0.0
119,rated,0.0
120,razona,0.0
121,rationale,0.0
122,rattle,0.0
123,quiet,0.0
124,quiere,0.0
125,quick,0.0
126,rattlesnakers,0.0
127,ray,0.0
128,questions,0.0
129,raised,0.0
130,quench,0.0
131,128,0.0
132,pulque,0.0
133,position,0.0
134,possess,0.0
135,poster,0.0
136,potent,0.0
137,pour,0.0
138,poverty,0.0
139,powder,0.0
140,power,0.0
141,powers,0.0
142,pr,0.0
143,praise,0.0
144,pranto,0.0
145,pray,0.0
146,preachers,0.0
147,preaching,0.0
148,precisely,0.0
149,positive,0.0
150,porque,0.0
151,pulmones,0.0
152,porch,0.0
153,plex,0.0
154,pliers,0.0
155,plus,0.0
156,pode,0.0
157,poe,0.0
158,poetical,0.0
159,points,0.0
160,poisonous,0.0
161,polish,0.0
162,político,0.0
163,poodle,0.0
164,pool,0.0
165,pop,0.0
166,poppin,0.0
167,por,0.0
168,pregones,0.0
169,pregón,0.0
170,present,0.0
171,presidentes,0.0
172,prophecy,0.0
173,prophesize,0.0
174,prophets,0.0
175,propio,0.0
176,pros,0.0
177,prototype,0.0
178,proud,0.0
179,prove,0.0
180,prudence,0.0
181,pueblo,0.0
182,puedes,0.0
183,puedo,0.0
184,puffin,0.0
185,pull,0.0
186,pulling,0.0
187,property,0.0
188,propers,0.0
189,rear,0.0
190,pride,0.0
191,press,0.0
192,pretending,0.0
193,pretty,0.0
194,prey,0.0
195,price,0.0
196,pricing,0.0
197,princess,0.0
198,promotion,0.0
199,prob,0.0
200,problem,0.0
201,problems,0.0
202,process,0.0
203,promise,0.0
204,promises,0.0
205,proof,0.0
206,reign,0.0
207,reason,0.0
208,russia,0.0
209,run,0.0
210,runaway,0.0
211,runnin,0.0
212,running,0.0
213,runs,0.0
214,runway,0.0
215,rush,0.0
216,ry,0.0
217,rum,0.0
218,ríos,0.0
219,sacrifice,0.0
220,safer,0.0
221,said,0.0
222,sake,0.0
223,saliva,0.0
224,sally,0.0
225,rumors,0.0
226,rules,0.0
227,sand,0.0
228,rose,0.0
229,romance,0.0
230,roof,0.0
231,rookie,0.0
232,room,0.0
