,term,score
0,lifting,0.801285444988033
1,higher,0.4970772623464398
2,keeps,0.24311363984669565
3,love,0.1867690429795833
4,said,0.05017369712161691
5,lifted,0.04331272675610989
6,lift,0.039515039757862955
7,face,0.03032834914706637
8,alright,0.028238331173577616
9,quench,0.021656363378054946
10,closest,0.021656363378054946
11,departed,0.021656363378054946
12,showed,0.021656363378054946
13,downhearted,0.021656363378054946
14,disappointment,0.021656363378054946
15,finally,0.019757519878931477
16,desire,0.019757519878931477
17,glad,0.019757519878931477
18,friend,0.019757519878931477
19,arms,0.018410268975794068
20,mama,0.018410268975794068
21,sock,0.018410268975794068
22,million,0.018410268975794068
23,forever,0.01736525998904969
24,loving,0.01736525998904969
25,soon,0.01736525998904969
26,honey,0.01736525998904969
27,came,0.01736525998904969
28,know,0.015491086447939686
29,yes,0.015164174573533185
30,woman,0.015164174573533185
31,listen,0.015164174573533185
32,stand,0.014119165586788808
33,going,0.013672816168053
34,girl,0.012890481125354198
35,tell,0.01136648757528624
36,world,0.01087307118452793
37,ve,0.010019236672148832
38,let,0.008120393173025361
39,ll,0.00786718965545574
40,que,0.0
41,pulque,0.0
42,quick,0.0
43,questions,0.0
44,pueblo,0.0
45,puedes,0.0
46,puedo,0.0
47,puffin,0.0
48,pull,0.0
49,pulling,0.0
50,pulmones,0.0
51,quejido,0.0
52,pump,0.0
53,quarrels,0.0
54,pumpin,0.0
55,punishment,0.0
56,queens,0.0
57,push,0.0
58,pushin,0.0
59,pussy,0.0
60,queen,0.0
61,putting,0.0
62,quede,0.0
63,quiere,0.0
64,128,0.0
65,quiet,0.0
66,quit,0.0
67,reach,0.0
68,reaction,0.0
69,read,0.0
70,reading,0.0
71,ready,0.0
72,real,0.0
73,really,0.0
74,rear,0.0
75,reason,0.0
76,reasons,0.0
77,rebels,0.0
78,recital,0.0
79,recite,0.0
80,reconstruyo,0.0
81,record,0.0
82,recuerdes,0.0
83,recuerdo,0.0
84,raíz,0.0
85,raíces,0.0
86,razona,0.0
87,raised,0.0
88,quoting,0.0
89,race,0.0
90,radio,0.0
91,ragin,0.0
92,rain,0.0
93,rained,0.0
94,raise,0.0
95,ranch,0.0
96,ray,0.0
97,ransacked,0.0
98,rapidly,0.0
99,rapper,0.0
100,rated,0.0
101,rationale,0.0
102,rattle,0.0
103,rattlesnakers,0.0
104,prudence,0.0
105,promotion,0.0
106,prove,0.0
107,porch,0.0
108,polish,0.0
109,político,0.0
110,poodle,0.0
111,pool,0.0
112,pop,0.0
113,poppin,0.0
114,por,0.0
115,porque,0.0
116,points,0.0
117,position,0.0
118,positive,0.0
119,possess,0.0
120,poster,0.0
121,potent,0.0
122,pour,0.0
123,poverty,0.0
124,poisonous,0.0
125,poetical,0.0
126,proud,0.0
127,played,0.0
128,pity,0.0
129,place,0.0
130,places,0.0
131,plan,0.0
132,planeta,0.0
133,planned,0.0
134,play,0.0
135,player,0.0
136,poems,0.0
137,playing,0.0
138,pleased,0.0
139,plex,0.0
140,pliers,0.0
141,plus,0.0
142,pode,0.0
143,poe,0.0
144,powder,0.0
145,power,0.0
146,powers,0.0
147,proof,0.0
148,prob,0.0
149,problem,0.0
150,problems,0.0
151,process,0.0
152,promise,0.0
153,promises,0.0
154,reflection,0.0
155,propers,0.0
156,pr,0.0
157,property,0.0
158,prophecy,0.0
159,prophesize,0.0
160,prophets,0.0
161,propio,0.0
162,pros,0.0
163,prototype,0.0
164,princess,0.0
165,pride,0.0
166,pricing,0.0
167,price,0.0
168,praise,0.0
169,pranto,0.0
170,pray,0.0
171,prayer,0.0
172,preachers,0.0
173,preaching,0.0
174,precisely,0.0
175,pregones,0.0
176,pregón,0.0
177,present,0.0
178,presidentes,0.0
179,press,0.0
180,pretending,0.0
181,pretty,0.0
182,prey,0.0
183,red,0.0
184,remember,0.0
185,refuse,0.0
186,salvador,0.0
187,ríos,0.0
188,sacrifice,0.0
189,safer,0.0
190,sail,0.0
191,sake,0.0
192,saliva,0.0
193,sally,0.0
194,sand,0.0
195,savin,0.0
196,sangre,0.0
197,santa,0.0
198,santos,0.0
199,sap,0.0
200,sarasota,0.0
201,satan,0.0
202,satisfaction,0.0
203,ry,0.0
204,russia,0.0
205,rush,0.0
206,runway,0.0
207,round,0.0
208,row,0.0
209,rub,0.0
210,rude,0.0
211,ruffians,0.0
212,ruger,0.0
213,rule,0.0
214,rules,0.0
215,rum,0.0
216,rumors,0.0
217,run,0.0
218,runaway,0.0
219,runnin,0.0
220,running,0.0
221,runs,0.0
222,save,0.0
223,saving,0.0
224,rot,0.0
225,second,0.0
226,screwed,0.0
227,scufflin,0.0
228,se,0.0
229,sea,0.0
230,seamstress,0.0
231,searching,0.0
232,seca,0.0
233,secrets,0.0
234,saw,0.0
235,section,0.0
236,seed,0.0
237,seein,0.0
238,seeing,0.0
239,seek,0.0
240,seen,0.0
241,sees,0.0
242,screen,0.0
243,screamin,0.0
244,scream,0.0
245,scrappy,0.0
246,sax,0.0
247,say,0.0
248,sayin,0.0
249,saying,0.0
250,says,0.0
251,scandalous,0.0
252,scanner,0.0
253,scared,0.0
254,scene,0.0
255,schefferville,0.0
256,scheme,0.0
257,scholarship,0.0
258,school,0.0
259,science,0.0
260,scraper,0.0
261,rough,0.0
262,rose,0.0
263,regard,0.0
264,revolutionary,0.0
265,respira,0.0
266,respirando,0.0
267,rest,0.0
268,resume,0.0
269,return,0.0
270,reverse,0.0
271,revolution,0.0
272,rewrite,0.0
273,richard,0.0
274,rexburg,0.0
275,rhyme,0.0
276,rhymes,0.0
277,rhyming,0.0
278,rhythm,0.0
279,ribbon,0.0
280,rica,0.0
281,respected,0.0
282,respect,0.0
283,rescue,0.0
284,repping,0.0
285,regreso,0.0
286,regret,0.0
287,regular,0.0
288,rehearse,0.0
289,rehearsed,0.0
290,reign,0.0
291,rejoice,0.0
292,relate,0.0
293,relentlessly,0.0
294,religion,0.0
295,pittsburgh,0.0
296,remind,0.0
297,reno,0.0
298,repleta,0.0
299,reppin,0.0
300,rich,0.0
301,ride,0.0
302,rope,0.0
303,rollercoaster,0.0
304,rocked,0.0
305,rockin,0.0
306,rocking,0.0
307,rocks,0.0
308,role,0.0
309,roll,0.0
310,rolled,0.0
311,rollie,0.0
312,riding,0.0
313,rolls,0.0
314,romance,0.0
315,roof,0.0
316,rookie,0.0
317,room,0.0
318,rooms,0.0
319,root,0.0
320,rock,0.0
321,robaron,0.0
322,roam,0.0
323,roads,0.0
324,right,0.0
325,righteous,0.0
326,rights,0.0
327,rims,0.0
328,ring,0.0
329,ripe,0.0
330,ripped,0.0
331,rise,0.0
332,rising,0.0
333,riso,0.0
334,ritmo,0.0
335,rituales,0.0
336,rival,0.0
337,road,0.0
338,roadrunner,0.0
339,pittsfield,0.0
340,piano,0.0
341,pirate,0.0
342,modern,0.0
343,miss,0.0
344,mistakes,0.0
345,mister,0.0
346,mma,0.0
347,mmm,0.0
348,mmmmm,0.0
349,mmmmmm,0.0
350,moment,0.0
351,mirror,0.0
352,money,0.0
353,monie,0.0
354,monroe,0.0
355,mont,0.0
356,montañas,0.0
357,monterey,0.0
358,montgomery,0.0
359,mis,0.0
360,miro,0.0
361,moon,0.0
362,mike,0.0
363,metropolis,0.0
364,mi,0.0
365,mic,0.0
366,michigan,0.0
367,mics,0.0
368,middleman,0.0
369,midnight,0.0
370,miles,0.0
371,minnesota,0.0
372,millions,0.0
373,mills,0.0
374,mind,0.0
375,minds,0.0
376,mines,0.0
377,minha,0.0
378,minhas,0.0
379,monáe,0.0
380,moonlight,0.0
381,messenger,0.0
382,naciste,0.0
383,music,0.0
384,mutha,0.0
385,muthafucka,0.0
386,más,0.0
387,mío,0.0
388,na,0.0
389,nace,0.0
390,nadie,0.0
391,muscles,0.0
