,term,score
0,tip,0.628440398822049
1,low,0.41393262739774433
2,high,0.36146574410626864
3,balance,0.22444299957930328
4,tightrope,0.22444299957930328
5,baby,0.15992454854556729
6,gotta,0.155997591359735
7,talkin,0.1433345878033267
8,bout,0.11336226013140825
9,yeah,0.09939433283981831
10,ya,0.09540050468898546
11,like,0.09465284074429499
12,ukulele,0.0897771998317213
13,scene,0.0819054787447581
14,play,0.06545599320044461
15,lady,0.06142910905856858
16,callin,0.05724030281339127
17,talk,0.05724030281339127
18,got,0.053028919347311965
19,just,0.050495054124294086
20,little,0.047120165496729004
21,terminator,0.04488859991586065
22,shut,0.04488859991586065
23,tippin,0.04488859991586065
24,surely,0.04095273937237905
25,funky,0.04095273937237905
26,cause,0.03998113713639182
27,watch,0.032727996600222305
28,mind,0.026718966608462385
29,ain,0.024703405795061237
30,know,0.024082062037071462
31,rope,0.022444299957930326
32,section,0.022444299957930326
33,thong,0.022444299957930326
34,backwards,0.022444299957930326
35,mmmmmm,0.022444299957930326
36,monáe,0.022444299957930326
37,complain,0.022444299957930326
38,cautious,0.022444299957930326
39,dow,0.022444299957930326
40,whoaaa,0.022444299957930326
41,leftfoot,0.022444299957930326
42,horn,0.022444299957930326
43,sinner,0.022444299957930326
44,rattlesnakers,0.022444299957930326
45,ooooh,0.022444299957930326
46,friction,0.022444299957930326
47,brass,0.022444299957930326
48,daddy,0.022444299957930326
49,damage,0.022444299957930326
50,jones,0.022444299957930326
51,funkiest,0.022444299957930326
52,sorta,0.022444299957930326
53,gap,0.022444299957930326
54,walkin,0.022444299957930326
55,fold,0.022444299957930326
56,blaming,0.022444299957930326
57,flavor,0.022444299957930326
58,gentlemen,0.022444299957930326
59,nasdaq,0.022444299957930326
60,cabbage,0.022444299957930326
61,voodoo,0.022444299957930326
62,lead,0.022444299957930326
63,metropolis,0.022444299957930326
64,oooooh,0.022444299957930326
65,adabadee,0.022444299957930326
66,acrobatics,0.022444299957930326
67,alligators,0.022444299957930326
68,sax,0.022444299957930326
69,matchbook,0.022444299957930326
70,equivocating,0.022444299957930326
71,screen,0.022444299957930326
72,act,0.022444299957930326
73,allow,0.022444299957930326
74,elevated,0.022444299957930326
75,classy,0.022444299957930326
76,macbook,0.022444299957930326
77,gonna,0.02076754525157963
78,jumpin,0.020476369686189527
79,dancin,0.020476369686189527
80,manage,0.020476369686189527
81,shows,0.020476369686189527
