,term,score
0,power,0.7437502226797771
1,people,0.6248507721356263
2,right,0.13700409218350923
3,singing,0.10839977080313264
4,better,0.05207089767796886
5,got,0.05021219683206858
6,ask,0.04250426450761579
7,treat,0.04250426450761579
8,comrades,0.04250426450761579
9,workers,0.04250426450761579
10,town,0.03613325693437754
11,million,0.03613325693437754
12,working,0.03613325693437754
13,really,0.034082250603812
14,revolution,0.034082250603812
15,feet,0.03240645641222268
16,brothers,0.03240645641222268
17,free,0.029762249361139297
18,woman,0.029762249361139297
19,street,0.029762249361139297
20,home,0.028679655890067806
21,away,0.021811693722137843
22,want,0.02134023545733551
23,come,0.01824757746518088
24,say,0.01824757746518088
25,pumpin,0.0
26,rebels,0.0
27,punishment,0.0
28,raíz,0.0
29,push,0.0
30,pulque,0.0
31,pushin,0.0
32,pussy,0.0
33,putting,0.0
34,quarrels,0.0
35,que,0.0
36,quede,0.0
37,pump,0.0
38,pulling,0.0
39,pulmones,0.0
40,reconstruyo,0.0
41,pros,0.0
42,record,0.0
43,prototype,0.0
44,proud,0.0
45,prove,0.0
46,prudence,0.0
47,pueblo,0.0
48,queen,0.0
49,puedes,0.0
50,recite,0.0
51,puedo,0.0
52,puffin,0.0
53,pull,0.0
54,recital,0.0
55,reasons,0.0
56,quejido,0.0
57,queens,0.0
58,rated,0.0
59,reading,0.0
60,ranch,0.0
61,read,0.0
62,ransacked,0.0
63,rapidly,0.0
64,rapper,0.0
65,rationale,0.0
66,raíces,0.0
67,rattle,0.0
68,rattlesnakers,0.0
69,ray,0.0
70,razona,0.0
71,reaction,0.0
72,reach,0.0
73,raised,0.0
74,ready,0.0
75,raise,0.0
76,rained,0.0
77,rain,0.0
78,real,0.0
79,ragin,0.0
80,radio,0.0
81,race,0.0
82,quoting,0.0
83,quiet,0.0
84,quiere,0.0
85,quick,0.0
86,questions,0.0
87,quench,0.0
88,rear,0.0
89,reason,0.0
90,quit,0.0
91,prophecy,0.0
92,propio,0.0
93,prophets,0.0
94,plus,0.0
95,pode,0.0
96,poe,0.0
97,poems,0.0
98,poetical,0.0
99,points,0.0
100,poisonous,0.0
101,polish,0.0
102,político,0.0
103,poodle,0.0
104,pool,0.0
105,pop,0.0
106,poppin,0.0
107,por,0.0
108,porch,0.0
109,porque,0.0
110,position,0.0
111,pliers,0.0
112,plex,0.0
113,pleased,0.0
114,pity,0.0
115,piernas,0.0
116,pills,0.0
117,pink,0.0
118,pipe,0.0
