,term,score
0,alabama,0.37200403310081487
1,summer,0.37200403310081487
2,singing,0.3466373487883638
3,sweet,0.3466373487883638
4,home,0.27513268178261835
5,long,0.27057983059268126
6,things,0.1873244981026255
7,ah,0.1634807099108449
8,song,0.14443222866181826
9,smoking,0.13591878886789585
10,whiskey,0.13591878886789585
11,tomorrow,0.13591878886789585
12,favorite,0.13591878886789585
13,sipping,0.13591878886789585
14,bottle,0.1240013443669383
15,thinking,0.1240013443669383
16,lake,0.1155457829294546
17,different,0.1155457829294546
18,funny,0.10898713994056328
19,making,0.10898713994056328
20,trying,0.09517277699101333
21,bout,0.08581277389620799
22,love,0.06370610256332118
23,sand,0.0577728914647273
24,roll,0.051814169214248515
25,man,0.05010531440140981
26,hair,0.04954876815397262
27,ll,0.03703180230783124
28,life,0.034120564031840384
29,shined,0.03397969721697396
30,northern,0.03397969721697396
31,summertime,0.03397969721697396
32,began,0.03397969721697396
33,splashing,0.03397969721697396
34,short,0.03397969721697396
35,campfire,0.03397969721697396
36,michigan,0.03397969721697396
37,simple,0.03397969721697396
38,spot,0.03397969721697396
39,blister,0.03397969721697396
40,dock,0.03397969721697396
41,internet,0.03397969721697396
42,1989,0.03397969721697396
43,caught,0.03397969721697396
44,catching,0.031000336091734575
45,watching,0.031000336091734575
46,seventeen,0.031000336091734575
47,thoughts,0.031000336091734575
48,strange,0.031000336091734575
49,rocks,0.031000336091734575
50,didn,0.031000336091734575
51,bar,0.031000336091734575
52,leaves,0.031000336091734575
53,moonlight,0.031000336091734575
54,waves,0.031000336091734575
55,wild,0.031000336091734575
56,hit,0.02888644573236365
57,end,0.02888644573236365
58,forever,0.02724678498514082
59,thought,0.02724678498514082
60,inside,0.025907084607124257
61,couldn,0.025907084607124257
62,forget,0.025907084607124257
63,talking,0.025907084607124257
64,wait,0.025907084607124257
65,days,0.025907084607124257
66,rock,0.02477438407698631
67,play,0.02477438407698631
68,sing,0.02477438407698631
69,sun,0.02477438407698631
70,start,0.023793194247753332
71,change,0.023793194247753332
72,far,0.023793194247753332
73,soul,0.022153533500530502
74,hear,0.022153533500530502
75,girl,0.020225678613451186
76,hold,0.019681132592375996
77,boy,0.019681132592375996
78,way,0.01825447251709649
79,night,0.01783447199727455
80,think,0.01783447199727455
81,come,0.014587881107765679
82,like,0.014330029785942075
83,pumpin,0.0
84,pump,0.0
85,quench,0.0
86,punishment,0.0
87,quejido,0.0
88,pulque,0.0
89,pussy,0.0
90,queens,0.0
91,pode,0.0
92,putting,0.0
93,poe,0.0
94,quede,0.0
95,que,0.0
96,quarrels,0.0
97,push,0.0
98,pushin,0.0
99,questions,0.0
100,poems,0.0
101,queen,0.0
102,radio,0.0
103,quick,0.0
104,playing,0.0
105,rattle,0.0
106,rattlesnakers,0.0
107,ray,0.0
108,pliers,0.0
109,plex,0.0
110,pleased,0.0
111,razona,0.0
112,quiere,0.0
113,raíces,0.0
114,player,0.0
115,raíz,0.0
116,reach,0.0
117,reaction,0.0
118,read,0.0
119,rationale,0.0
120,rated,0.0
121,rapper,0.0
122,rapidly,0.0
123,ransacked,0.0
124,ranch,0.0
125,raised,0.0
126,raise,0.0
127,plus,0.0
128,rained,0.0
129,rain,0.0
130,ragin,0.0
131,pulmones,0.0
132,race,0.0
133,quoting,0.0
134,quit,0.0
135,quiet,0.0
136,poetical,0.0
137,prove,0.0
138,pulling,0.0
139,position,0.0
140,price,0.0
141,prey,0.0
142,pretty,0.0
143,pretending,0.0
144,press,0.0
145,presidentes,0.0
146,present,0.0
147,poppin,0.0
148,pregón,0.0
149,pregones,0.0
