,term,score
0,born,0.6550333354348646
1,way,0.5363738563242367
2,baby,0.24253000175581238
3,track,0.23653981557370116
4,hey,0.17926285134655226
5,right,0.15847409391397901
6,don,0.09164030176121152
7,drag,0.09076640466119693
8,ooh,0.08339671720816612
9,ain,0.07492679648420134
10,dna,0.06807480349589769
11,love,0.06806857456942425
12,just,0.06806857456942425
13,queen,0.06617721623606357
14,mistakes,0.06210596210661442
15,cause,0.060632500438953095
16,hide,0.05787100174463202
17,regret,0.05787100174463202
18,beautiful,0.05787100174463202
19,matter,0.05458611128623873
20,makes,0.04766719999336634
21,set,0.045933318966065444
22,orient,0.04538320233059846
23,beige,0.04538320233059846
24,rejoice,0.04538320233059846
25,god,0.042979250838528264
26,capital,0.041403974737742946
27,white,0.03858066782975468
28,black,0.03858066782975468
29,life,0.034178507783707374
30,subway,0.02269160116529923
31,lesbian,0.02269160116529923
32,disabilities,0.02269160116529923
33,paws,0.02269160116529923
34,evergreen,0.02269160116529923
35,gay,0.02269160116529923
36,lebanese,0.02269160116529923
37,rolled,0.02269160116529923
38,prudence,0.02269160116529923
39,vole,0.02269160116529923
40,descent,0.02269160116529923
41,lipstick,0.02269160116529923
42,bullied,0.02269160116529923
43,outcast,0.02269160116529923
44,bi,0.02269160116529923
45,transgender,0.02269160116529923
46,religion,0.02269160116529923
47,brave,0.02269160116529923
48,insecure,0.02269160116529923
49,record,0.02269160116529923
50,boudoir,0.02269160116529923
51,amore,0.02269160116529923
52,youth,0.02269160116529923
53,lover,0.02269160116529923
54,superstars,0.02269160116529923
55,cholo,0.02269160116529923
56,yah,0.02269160116529923
57,chola,0.02269160116529923
58,teased,0.02269160116529923
59,left,0.020701987368871473
60,church,0.020701987368871473
61,straight,0.020701987368871473
62,fe,0.020701987368871473
63,survive,0.01929033391487734
64,glass,0.01929033391487734
65,different,0.01929033391487734
66,mama,0.01929033391487734
67,doesn,0.01929033391487734
68,friends,0.01929033391487734
69,babe,0.01929033391487734
70,perfect,0.01929033391487734
71,today,0.01929033391487734
72,loving,0.018195370428746242
73,kid,0.018195370428746242
74,mi,0.018195370428746242
75,told,0.018195370428746242
76,broke,0.01730072011844958
77,respect,0.01730072011844958
78,hair,0.016544304059015892
79,sin,0.016544304059015892
80,listen,0.015889066664455446
81,far,0.015889066664455446
82,truth,0.015889066664455446
83,young,0.015889066664455446
84,wrong,0.015889066664455446
85,head,0.014326416946176087
86,believe,0.014326416946176087
87,girl,0.013506683990247409
88,hold,0.013143036808593998
89,said,0.013143036808593998
90,say,0.009741769558172105
91,yeah,0.008374125290607272
92,ll,0.008243264431657458
93,quit,0.0
94,que,0.0
95,pushin,0.0
96,pussy,0.0
97,poems,0.0
98,quiet,0.0
99,real,0.0
100,quiere,0.0
101,putting,0.0
102,quarrels,0.0
103,político,0.0
104,quick,0.0
105,poetical,0.0
106,questions,0.0
107,quench,0.0
108,quede,0.0
109,quejido,0.0
110,polish,0.0
111,poisonous,0.0
112,points,0.0
113,queens,0.0
114,plus,0.0
115,ready,0.0
116,quoting,0.0
117,reaction,0.0
118,reach,0.0
119,raíz,0.0
120,raíces,0.0
121,razona,0.0
122,ray,0.0
123,rattlesnakers,0.0
124,rattle,0.0
125,rationale,0.0
126,pode,0.0
127,poe,0.0
128,rated,0.0
129,read,0.0
130,rapper,0.0
131,rapidly,0.0
132,reading,0.0
133,ransacked,0.0
134,ranch,0.0
135,raised,0.0
136,raise,0.0
137,poodle,0.0
138,rained,0.0
139,rain,0.0
140,ragin,0.0
141,race,0.0
142,radio,0.0
143,pr,0.0
144,pool,0.0
145,pretty,0.0
146,process,0.0
147,problems,0.0
148,problem,0.0
149,prob,0.0
150,princess,0.0
151,possess,0.0
152,pride,0.0
153,pricing,0.0
154,poster,0.0
155,potent,0.0
156,price,0.0
157,pour,0.0
158,prey,0.0
159,poverty,0.0
160,pretending,0.0
161,promise,0.0
162,press,0.0
