,term,score
0,edge,0.9039954585119916
1,tonight,0.21215799277827804
2,hangin,0.19843802747824207
3,glory,0.18103885699527122
4,moment,0.16869394907745447
5,baby,0.07855276300841327
6,yeah,0.06509485915245798
7,alright,0.057499740525742624
8,right,0.04737968474158819
9,truth,0.046316623558888936
10,rush,0.04409733943960935
11,brush,0.04409733943960935
12,reason,0.04409733943960935
13,dangerous,0.040230857110060275
14,hot,0.033621061909885244
15,far,0.03087774903925929
16,fall,0.027841000131581837
17,run,0.02701126670971021
18,feel,0.023144784380161126
19,limit,0.022048669719804674
20,isn,0.022048669719804674
21,final,0.022048669719804674
22,belong,0.022048669719804674
23,gonna,0.02040147150953518
24,kiss,0.020115428555030138
25,hoo,0.020115428555030138
26,thinks,0.020115428555030138
27,dancing,0.020115428555030138
28,shades,0.020115428555030138
29,flames,0.018743772119717162
30,knows,0.01767983273152317
31,hell,0.01767983273152317
32,shot,0.01767983273152317
33,love,0.0165349891799861
34,everybody,0.01607554677539014
35,wrong,0.015438874519629645
36,home,0.014877289790168079
37,ain,0.012133976919542131
38,need,0.011844921185397048
39,life,0.011070037531348142
40,man,0.010837408010528087
41,cause,0.009819095376051658
42,got,0.008682361300928865
43,ll,0.008009704275279243
44,know,0.007885854211277118
45,pulque,0.0
46,quarrels,0.0
47,rebels,0.0
48,quejido,0.0
49,queens,0.0
50,record,0.0
51,puedes,0.0
52,puedo,0.0
53,queen,0.0
54,quede,0.0
55,que,0.0
56,puffin,0.0
57,pull,0.0
58,pump,0.0
59,putting,0.0
60,pussy,0.0
61,pulling,0.0
62,pushin,0.0
63,push,0.0
64,recital,0.0
65,reasons,0.0
66,punishment,0.0
67,pulmones,0.0
68,pumpin,0.0
69,reconstruyo,0.0
70,recite,0.0
71,razona,0.0
72,quick,0.0
73,rear,0.0
74,rained,0.0
75,raíces,0.0
76,rattlesnakers,0.0
77,raíz,0.0
78,rattle,0.0
79,rationale,0.0
80,rated,0.0
81,rapper,0.0
82,rapidly,0.0
83,reach,0.0
84,ransacked,0.0
85,ranch,0.0
86,raised,0.0
87,reaction,0.0
88,raise,0.0
89,read,0.0
90,quench,0.0
91,rain,0.0
92,reading,0.0
93,ready,0.0
94,ragin,0.0
95,real,0.0
96,radio,0.0
97,race,0.0
98,really,0.0
99,quoting,0.0
100,quit,0.0
101,quiet,0.0
102,quiere,0.0
103,ray,0.0
104,questions,0.0
105,128,0.0
106,prophecy,0.0
107,pueblo,0.0
108,porch,0.0
109,polish,0.0
110,político,0.0
111,poodle,0.0
112,pool,0.0
113,pop,0.0
114,poppin,0.0
115,por,0.0
116,porque,0.0
117,points,0.0
118,position,0.0
119,positive,0.0
120,possess,0.0
121,poster,0.0
122,potent,0.0
123,pour,0.0
124,poverty,0.0
125,poisonous,0.0
126,poetical,0.0
127,power,0.0
128,played,0.0
129,pity,0.0
130,place,0.0
131,places,0.0
132,plan,0.0
133,planeta,0.0
134,planned,0.0
135,play,0.0
136,player,0.0
137,poems,0.0
138,playing,0.0
139,pleased,0.0
140,plex,0.0
141,pliers,0.0
142,plus,0.0
143,pode,0.0
144,poe,0.0
145,powder,0.0
146,powers,0.0
147,prudence,0.0
148,propers,0.0
149,problem,0.0
150,problems,0.0
151,process,0.0
152,promise,0.0
153,promises,0.0
154,promotion,0.0
155,proof,0.0
156,property,0.0
157,princess,0.0
158,prophesize,0.0
159,prophets,0.0
160,propio,0.0
161,pros,0.0
162,prototype,0.0
163,proud,0.0
164,prove,0.0
165,prob,0.0
166,pride,0.0
167,pr,0.0
168,pregones,0.0
169,praise,0.0
170,pranto,0.0
171,pray,0.0
172,prayer,0.0
173,preachers,0.0
174,preaching,0.0
175,precisely,0.0
176,pregón,0.0
177,pricing,0.0
178,present,0.0
179,presidentes,0.0
180,press,0.0
181,pretending,0.0
182,pretty,0.0
183,prey,0.0
184,price,0.0
185,recuerdes,0.0
186,relentlessly,0.0
187,recuerdo,0.0
188,salvador,0.0
189,sacrifice,0.0
190,safer,0.0
191,said,0.0
192,sail,0.0
193,sake,0.0
194,saliva,0.0
195,sally,0.0
196,sand,0.0
197,ry,0.0
198,sangre,0.0
199,santa,0.0
200,santos,0.0
201,sap,0.0
202,sarasota,0.0
203,satan,0.0
204,satisfaction,0.0
205,ríos,0.0
206,russia,0.0
207,red,0.0
208,ruger,0.0
209,rot,0.0
210,rough,0.0
211,round,0.0
212,row,0.0
213,rub,0.0
214,rude,0.0
215,ruffians,0.0
216,rule,0.0
217,runway,0.0
218,rules,0.0
219,rum,0.0
220,rumors,0.0
221,runaway,0.0
222,runnin,0.0
223,running,0.0
224,runs,0.0
225,save,0.0
226,savin,0.0
227,saving,0.0
228,second,0.0
229,screwed,0.0
230,scufflin,0.0
231,se,0.0
232,sea,0.0
233,seamstress,0.0
234,searching,0.0
235,seca,0.0
236,secrets,0.0
237,saw,0.0
238,section,0.0
239,seed,0.0
240,seein,0.0
241,seeing,0.0
242,seek,0.0
243,seen,0.0
244,sees,0.0
245,screen,0.0
246,screamin,0.0
247,scream,0.0
248,scrappy,0.0
249,sax,0.0
250,say,0.0
251,sayin,0.0
252,saying,0.0
253,says,0.0
254,scandalous,0.0
255,scanner,0.0
256,scared,0.0
257,scene,0.0
258,schefferville,0.0
259,scheme,0.0
260,scholarship,0.0
261,school,0.0
262,science,0.0
263,scraper,0.0
264,rose,0.0
265,rope,0.0
266,root,0.0
267,return,0.0
268,rescue,0.0
269,respect,0.0
270,respected,0.0
271,respira,0.0
272,respirando,0.0
273,rest,0.0
274,resume,0.0
275,reverse,0.0
276,ribbon,0.0
277,revolution,0.0
278,revolutionary,0.0
279,rewrite,0.0
280,rexburg,0.0
281,rhyme,0.0
282,rhymes,0.0
283,rhyming,0.0
284,repping,0.0
285,reppin,0.0
286,repleta,0.0
287,reno,0.0
288,reflection,0.0
289,refuse,0.0
290,regard,0.0
291,regreso,0.0
292,regret,0.0
293,regular,0.0
294,rehearse,0.0
295,rehearsed,0.0
296,reign,0.0
297,rejoice,0.0
298,relate,0.0
299,pittsburgh,0.0
300,religion,0.0
301,remember,0.0
302,remind,0.0
303,rhythm,0.0
304,rica,0.0
305,rooms,0.0
306,roll,0.0
307,robaron,0.0
308,rock,0.0
309,rocked,0.0
310,rockin,0.0
311,rocking,0.0
312,rocks,0.0
313,role,0.0
314,rolled,0.0
315,rich,0.0
316,rollercoaster,0.0
317,rollie,0.0
318,rolls,0.0
319,romance,0.0
320,roof,0.0
321,rookie,0.0
322,room,0.0
323,roam,0.0
324,roads,0.0
325,roadrunner,0.0
326,road,0.0
327,richard,0.0
328,ride,0.0
329,riding,0.0
330,righteous,0.0
331,rights,0.0
332,rims,0.0
333,ring,0.0
334,ripe,0.0
335,ripped,0.0
336,rise,0.0
