,term,score
0,home,0.5140016792236564
1,alabama,0.4467704890798312
2,sweet,0.4163055345411901
3,lord,0.2181528222009967
4,skies,0.21764819150474643
5,blue,0.1983574138245458
6,boo,0.16323614362855982
7,coming,0.14189874827435764
8,does,0.10882409575237321
9,neil,0.10882409575237321
10,bother,0.10882409575237321
11,governor,0.10882409575237321
12,southern,0.09928233090662915
13,pick,0.09928233090662915
14,heard,0.08726112888039869
15,young,0.07620058626593348
16,yes,0.07620058626593348
17,watergate,0.05441204787618661
18,singin,0.05441204787618661
19,wheels,0.05441204787618661
20,answer,0.05441204787618661
21,conscience,0.05441204787618661
22,bamie,0.05441204787618661
23,mont,0.05441204787618661
24,montgomery,0.05441204787618661
25,swampers,0.05441204787618661
26,ole,0.05441204787618661
27,mr,0.05441204787618661
28,ol,0.05441204787618661
29,shoals,0.05441204787618661
30,kin,0.05441204787618661
31,southland,0.05441204787618661
32,lordy,0.05441204787618661
33,birmingham,0.05441204787618661
34,man,0.053489445940854384
35,known,0.049641165453314574
36,turnin,0.049641165453314574
37,carry,0.049641165453314574
38,miss,0.049641165453314574
39,muscle,0.049641165453314574
40,songs,0.04625617050457668
41,turn,0.04625617050457668
42,song,0.04625617050457668
43,got,0.04285293079247743
44,true,0.041485288081704645
45,remember,0.041485288081704645
46,yeah,0.04016052484921236
47,sing,0.039671482764909165
48,sin,0.039671482764909165
49,hope,0.039671482764909165
50,truth,0.03810029313296674
51,big,0.03810029313296674
52,did,0.03547468706858941
53,bout,0.03435322519072068
54,feeling,0.03435322519072068
55,need,0.029231079553546452
56,tell,0.028558528287222665
57,think,0.028558528287222665
58,ve,0.02517353333848477
59,baby,0.024231715313993034
60,come,0.02335972802168929
61,oh,0.020402650915612736
62,love,0.020402650915612736
63,don,0.018311975322557173
64,polish,0.0
65,raised,0.0
66,ranch,0.0
67,político,0.0
68,ransacked,0.0
69,quejido,0.0
70,rapidly,0.0
71,pool,0.0
72,rapper,0.0
73,rated,0.0
74,poisonous,0.0
75,points,0.0
76,poetical,0.0
77,poodle,0.0
78,pop,0.0
79,por,0.0
80,poems,0.0
81,rained,0.0
82,poppin,0.0
83,rain,0.0
84,ragin,0.0
85,radio,0.0
86,race,0.0
87,quoting,0.0
88,quit,0.0
89,quiet,0.0
90,quiere,0.0
91,quick,0.0
92,questions,0.0
93,quench,0.0
94,raise,0.0
95,pray,0.0
96,queens,0.0
97,playing,0.0
98,recite,0.0
99,recital,0.0
100,rebels,0.0
101,reasons,0.0
102,reason,0.0
103,rear,0.0
104,really,0.0
105,real,0.0
106,ready,0.0
107,reading,0.0
108,planned,0.0
109,play,0.0
110,played,0.0
111,player,0.0
112,read,0.0
113,rationale,0.0
114,pleased,0.0
115,reaction,0.0
116,reach,0.0
117,raíz,0.0
118,plex,0.0
119,pliers,0.0
120,plus,0.0
121,raíces,0.0
122,razona,0.0
123,ray,0.0
124,pode,0.0
125,poe,0.0
126,rattlesnakers,0.0
127,rattle,0.0
128,porch,0.0
129,quede,0.0
130,queen,0.0
131,promotion,0.0
132,problem,0.0
133,praise,0.0
134,problems,0.0
135,process,0.0
136,promise,0.0
137,promises,0.0
138,proof,0.0
139,porque,0.0
140,propers,0.0
141,property,0.0
142,pr,0.0
143,prophecy,0.0
144,powers,0.0
145,power,0.0
146,prob,0.0
147,princess,0.0
148,pride,0.0
149,pricing,0.0
150,price,0.0
151,prey,0.0
152,pretty,0.0
153,pretending,0.0
154,press,0.0
155,presidentes,0.0
156,present,0.0
157,pregón,0.0
158,pregones,0.0
159,precisely,0.0
160,pranto,0.0
161,preaching,0.0
162,preachers,0.0
163,powder,0.0
164,prophesize,0.0
165,prophets,0.0
166,pulque,0.0
167,prayer,0.0
168,que,0.0
169,quarrels,0.0
170,putting,0.0
171,pussy,0.0
172,pushin,0.0
173,position,0.0
174,positive,0.0
175,push,0.0
176,punishment,0.0
177,pumpin,0.0
178,possess,0.0
179,poster,0.0
180,pump,0.0
181,pulmones,0.0
182,propio,0.0
183,pulling,0.0
184,pull,0.0
185,puffin,0.0
186,potent,0.0
187,pour,0.0
188,puedo,0.0
189,puedes,0.0
190,pueblo,0.0
191,poverty,0.0
192,prudence,0.0
193,prove,0.0
194,reconstruyo,0.0
195,prototype,0.0
196,pros,0.0
197,proud,0.0
198,relate,0.0
199,record,0.0
200,sake,0.0
201,russia,0.0
202,ry,0.0
203,ríos,0.0
204,sacrifice,0.0
205,safer,0.0
206,said,0.0
207,sail,0.0
208,saliva,0.0
209,runway,0.0
210,sally,0.0
211,salvador,0.0
212,sand,0.0
213,sangre,0.0
214,santa,0.0
215,santos,0.0
216,sap,0.0
217,rush,0.0
218,runs,0.0
219,root,0.0
220,ruffians,0.0
221,rose,0.0
222,rot,0.0
223,rough,0.0
224,round,0.0
225,row,0.0
226,rub,0.0
227,rude,0.0
228,ruger,0.0
229,running,0.0
230,rule,0.0
231,rules,0.0
232,rum,0.0
233,rumors,0.0
234,run,0.0
235,runaway,0.0
236,runnin,0.0
237,sarasota,0.0
238,satan,0.0
239,satisfaction,0.0
240,seamstress,0.0
241,scream,0.0
242,screamin,0.0
243,screen,0.0
244,screwed,0.0
245,scufflin,0.0
246,se,0.0
247,sea,0.0
248,searching,0.0
249,save,0.0
250,seca,0.0
251,second,0.0
252,secrets,0.0
253,section,0.0
254,seed,0.0
255,seein,0.0
256,seeing,0.0
257,scrappy,0.0
258,scraper,0.0
259,science,0.0
260,school,0.0
261,savin,0.0
262,saving,0.0
263,saw,0.0
264,sax,0.0
265,say,0.0
266,sayin,0.0
267,saying,0.0
268,says,0.0
269,scandalous,0.0
270,scanner,0.0
271,scared,0.0
272,scene,0.0
273,schefferville,0.0
274,scheme,0.0
275,scholarship,0.0
276,rope,0.0
277,rooms,0.0
278,recuerdes,0.0
279,return,0.0
280,rescue,0.0
281,respect,0.0
282,respected,0.0
283,respira,0.0
284,respirando,0.0
285,rest,0.0
286,resume,0.0
287,reverse,0.0
288,reppin,0.0
289,revolution,0.0
290,revolutionary,0.0
291,rewrite,0.0
292,rexburg,0.0
293,rhyme,0.0
294,rhymes,0.0
295,rhyming,0.0
296,repping,0.0
297,repleta,0.0
298,room,0.0
299,regular,0.0
300,recuerdo,0.0
301,red,0.0
302,reflection,0.0
303,refuse,0.0
304,regard,0.0
305,regreso,0.0
306,regret,0.0
307,rehearse,0.0
308,reno,0.0
309,rehearsed,0.0
310,reign,0.0
311,rejoice,0.0
312,plan,0.0
313,relentlessly,0.0
314,religion,0.0
315,remind,0.0
316,rhythm,0.0
317,ribbon,0.0
318,rica,0.0
319,role,0.0
320,roam,0.0
321,robaron,0.0
322,rock,0.0
323,rocked,0.0
324,rockin,0.0
325,rocking,0.0
326,rocks,0.0
327,roll,0.0
328,rich,0.0
329,rolled,0.0
330,rollercoaster,0.0
331,rollie,0.0
332,rolls,0.0
333,romance,0.0
334,roof,0.0
335,rookie,0.0
336,roads,0.0
337,roadrunner,0.0
338,road,0.0
339,rival,0.0
340,richard,0.0
341,ride,0.0
342,riding,0.0
343,right,0.0
344,righteous,0.0
345,rights,0.0
346,rims,0.0
347,ring,0.0
348,ripe,0.0
349,ripped,0.0
350,rise,0.0
351,rising,0.0
352,riso,0.0
353,ritmo,0.0
354,rituales,0.0
355,planeta,0.0
356,128,0.0
357,places,0.0
358,mmmmmm,0.0
359,mirror,0.0
360,mis,0.0
361,mistakes,0.0
362,mister,0.0
363,mma,0.0
364,mmm,0.0
365,mmmmm,0.0
366,modern,0.0
367,minnesota,0.0
368,moment,0.0
369,money,0.0
370,monie,0.0
371,monroe,0.0
372,montañas,0.0
373,monterey,0.0
374,monáe,0.0
375,miro,0.0
376,minhas,0.0
377,message,0.0
378,midnight,0.0
379,met,0.0
380,metropolis,0.0
381,mi,0.0
382,mic,0.0
383,michigan,0.0
384,mics,0.0
385,middleman,0.0
386,mike,0.0
387,minha,0.0
388,miles,0.0
389,million,0.0
390,millions,0.0
391,mills,0.0
392,mind,0.0
393,minds,0.0
394,mines,0.0
395,moon,0.0
396,moonlight,0.0
397,morning,0.0
398,nah,0.0
399,muthafucka,0.0
400,más,0.0
401,mío,0.0
402,na,0.0
403,nace,0.0
404,naciste,0.0
405,nadie,0.0
406,nails,0.0
407,mornings,0.0
408,namin,0.0
409,nap,0.0
410,narc,0.0
411,nasdaq,0.0
412,nashville,0.0
413,nation,0.0
414,natural,0.0
415,mutha,0.0
416,music,0.0
417,museum,0.0
418,muscles,0.0
419,mother,0.0
420,mothers,0.0
421,mountain,0.0
422,mountaineers,0.0
423,mountains,0.0
424,moustache,0.0
425,mouthpiece,0.0
426,moved,0.0
427,moves,0.0
428,moving,0.0
429,muelas,0.0
430,muere,0.0
431,mueve,0.0
432,muffin,0.0
433,mulligan,0.0
434,messenger,0.0
435,mess,0.0
436,place,0.0
437,make,0.0
438,macho,0.0
439,machos,0.0
440,mack,0.0
441,mad,0.0
442,madre,0.0
443,magic,0.0
444,major,0.0
445,makes,0.0
446,macbook,0.0
447,makin,0.0
448,making,0.0
449,mama,0.0
450,mami,0.0
451,manage,0.0
452,manifest,0.0
453,mano,0.0
454,machine,0.0
455,ma,0.0
456,merrily,0.0
457,loyal,0.0
458,lovely,0.0
459,lover,0.0
460,lovers,0.0
