,term,score
0,work,0.8578170857235358
1,thing,0.2475613516244688
2,girl,0.17684432757520768
3,yeah,0.15663319594921504
4,got,0.14206394964620894
5,hold,0.12291647117563977
6,don,0.12141393795184975
7,follow,0.10824437946028122
8,just,0.09548876457408977
9,bout,0.08039021610880956
10,wanna,0.0718501822500966
11,happy,0.06472000335163666
12,sweat,0.06366500180703658
13,okay,0.06366500180703658
14,worry,0.06366500180703658
15,saying,0.05808281459062346
16,fine,0.05412218973014061
17,things,0.05199625391577537
18,gonna,0.0490906305998926
19,talking,0.0485400025137275
20,grew,0.04244333453802438
21,live,0.04019510805440478
22,going,0.04019510805440478
23,love,0.03978698523920408
24,long,0.03899719043683152
25,plan,0.03872187639374898
26,cause,0.03780320129991233
27,mad,0.03608145982009374
28,job,0.03608145982009374
29,doesn,0.03608145982009374
30,ain,0.035036565576348676
31,matter,0.03403339361223825
32,hate,0.03236000167581833
33,life,0.03196446626456544
34,em,0.0309451689530586
35,know,0.022770213758521136
36,read,0.02122166726901219
37,wasn,0.02122166726901219
38,length,0.02122166726901219
39,palm,0.02122166726901219
40,stride,0.02122166726901219
41,overcome,0.02122166726901219
42,tone,0.02122166726901219
43,ashamed,0.02122166726901219
44,celebrating,0.02122166726901219
45,skin,0.02122166726901219
46,runway,0.02122166726901219
47,book,0.01936093819687449
48,criticize,0.01936093819687449
49,storm,0.01936093819687449
50,happen,0.01936093819687449
51,alive,0.01804072991004687
52,working,0.01804072991004687
53,beautiful,0.01804072991004687
54,great,0.01804072991004687
55,told,0.017016696806119124
56,feelin,0.017016696806119124
57,afraid,0.017016696806119124
58,pretty,0.016180000837909166
59,taking,0.016180000837909166
60,let,0.01591479409568163
61,girls,0.0154725844765293
62,care,0.0154725844765293
63,hair,0.0154725844765293
64,queen,0.0154725844765293
65,ll,0.015418551886645643
66,high,0.014859792551081547
67,woman,0.014859792551081547
68,change,0.014859792551081547
69,light,0.014319271765771458
70,running,0.014319271765771458
71,hear,0.013835759447153803
72,coming,0.013835759447153803
73,hands,0.013835759447153803
74,did,0.013835759447153803
75,god,0.01339836935146826
76,head,0.01339836935146826
77,gotta,0.012291647117563977
78,good,0.012291647117563977
79,look,0.012291647117563977
80,man,0.010430918045426273
81,ve,0.009818126119978518
82,baby,0.009450800324978083
83,pull,0.0
84,prudence,0.0
85,pulmones,0.0
86,pulque,0.0
87,pussy,0.0
88,pushin,0.0
89,puffin,0.0
90,putting,0.0
91,pueblo,0.0
92,puedes,0.0
93,pulling,0.0
94,push,0.0
95,puedo,0.0
96,punishment,0.0
97,pumpin,0.0
98,pump,0.0
99,radio,0.0
100,quarrels,0.0
101,rattle,0.0
102,ranch,0.0
103,ransacked,0.0
104,rapidly,0.0
105,rapper,0.0
106,rated,0.0
107,rationale,0.0
108,rattlesnakers,0.0
109,que,0.0
110,ray,0.0
111,razona,0.0
112,raíces,0.0
113,raíz,0.0
114,reach,0.0
115,reaction,0.0
116,raised,0.0
117,raise,0.0
118,rained,0.0
119,rain,0.0
120,ragin,0.0
121,proud,0.0
122,race,0.0
123,quoting,0.0
124,quit,0.0
125,quiet,0.0
126,quiere,0.0
127,quick,0.0
128,questions,0.0
129,quench,0.0
130,quejido,0.0
131,queens,0.0
132,quede,0.0
133,prove,0.0
134,128,0.0
135,prototype,0.0
136,pop,0.0
137,powers,0.0
138,power,0.0
139,powder,0.0
140,poverty,0.0
141,pour,0.0
142,potent,0.0
143,poster,0.0
144,possess,0.0
145,positive,0.0
146,position,0.0
147,porque,0.0
148,porch,0.0
149,por,0.0
150,poppin,0.0
151,pool,0.0
152,praise,0.0
153,poodle,0.0
154,político,0.0
155,polish,0.0
156,poisonous,0.0
157,points,0.0
158,poetical,0.0
159,poems,0.0
160,poe,0.0
161,pode,0.0
162,plus,0.0
163,pliers,0.0
164,plex,0.0
165,pleased,0.0
166,playing,0.0
167,pr,0.0
168,pranto,0.0
169,pros,0.0
170,princess,0.0
171,propio,0.0
172,prophets,0.0
173,prophesize,0.0
174,prophecy,0.0
175,property,0.0
176,propers,0.0
177,proof,0.0
178,promotion,0.0
179,promises,0.0
180,promise,0.0
181,process,0.0
182,problems,0.0
183,problem,0.0
184,prob,0.0
185,pride,0.0
186,pray,0.0
187,pricing,0.0
188,ready,0.0
189,price,0.0
190,prey,0.0
191,pretending,0.0
192,press,0.0
193,presidentes,0.0
194,present,0.0
195,pregón,0.0
196,pregones,0.0
197,precisely,0.0
198,preaching,0.0
199,preachers,0.0
200,prayer,0.0
201,reading,0.0
202,regret,0.0
203,real,0.0
204,rollercoaster,0.0
205,rumors,0.0
206,run,0.0
207,runaway,0.0
208,runnin,0.0
209,runs,0.0
210,rush,0.0
211,russia,0.0
212,ry,0.0
213,ríos,0.0
214,sacrifice,0.0
215,safer,0.0
216,said,0.0
217,sail,0.0
218,sake,0.0
219,saliva,0.0
220,sally,0.0
221,salvador,0.0
222,rum,0.0
223,rules,0.0
224,rule,0.0
225,rope,0.0
226,rolls,0.0
227,romance,0.0
228,roof,0.0
229,rookie,0.0
230,room,0.0
231,rooms,0.0
232,root,0.0
233,rose,0.0
234,ruger,0.0
235,rot,0.0
236,rough,0.0
237,round,0.0
238,row,0.0
239,rub,0.0
240,rude,0.0
241,ruffians,0.0
242,sand,0.0
243,sangre,0.0
244,santa,0.0
245,scufflin,0.0
246,science,0.0
247,scraper,0.0
248,scrappy,0.0
249,scream,0.0
250,screamin,0.0
251,screen,0.0
252,screwed,0.0
253,se,0.0
254,scholarship,0.0
255,sea,0.0
256,seamstress,0.0
257,searching,0.0
258,seca,0.0
259,second,0.0
260,secrets,0.0
261,section,0.0
262,school,0.0
263,scheme,0.0
264,santos,0.0
265,saw,0.0
266,sap,0.0
267,sarasota,0.0
268,satan,0.0
269,satisfaction,0.0
270,save,0.0
271,savin,0.0
272,saving,0.0
273,sax,0.0
274,schefferville,0.0
275,say,0.0
276,sayin,0.0
277,says,0.0
278,scandalous,0.0
279,scanner,0.0
280,scared,0.0
281,scene,0.0
282,rollie,0.0
283,rolled,0.0
284,really,0.0
285,roll,0.0
286,rejoice,0.0
287,relate,0.0
288,relentlessly,0.0
289,religion,0.0
290,remember,0.0
291,remind,0.0
292,reno,0.0
293,repleta,0.0
294,reppin,0.0
295,repping,0.0
296,rescue,0.0
297,respect,0.0
298,respected,0.0
299,respira,0.0
300,respirando,0.0
301,rest,0.0
302,resume,0.0
303,reign,0.0
304,rehearsed,0.0
305,rehearse,0.0
306,record,0.0
307,rear,0.0
308,reason,0.0
309,reasons,0.0
310,rebels,0.0
311,recital,0.0
312,recite,0.0
313,reconstruyo,0.0
314,recuerdes,0.0
315,regular,0.0
316,recuerdo,0.0
317,red,0.0
318,reflection,0.0
319,refuse,0.0
320,regard,0.0
321,regreso,0.0
322,played,0.0
323,return,0.0
324,reverse,0.0
325,revolution,0.0
326,roads,0.0
327,rising,0.0
328,riso,0.0
329,ritmo,0.0
330,rituales,0.0
331,rival,0.0
332,road,0.0
333,roadrunner,0.0
334,roam,0.0
335,ripped,0.0
336,robaron,0.0
337,rock,0.0
338,rocked,0.0
339,rockin,0.0
340,rocking,0.0
341,rocks,0.0
342,role,0.0
343,rise,0.0
344,ripe,0.0
345,revolutionary,0.0
346,rica,0.0
347,rewrite,0.0
348,rexburg,0.0
349,rhyme,0.0
350,rhymes,0.0
351,rhyming,0.0
352,rhythm,0.0
353,ribbon,0.0
354,rich,0.0
355,ring,0.0
356,richard,0.0
357,ride,0.0
358,riding,0.0
359,right,0.0
360,righteous,0.0
361,rights,0.0
362,rims,0.0
363,player,0.0
364,picture,0.0
365,play,0.0
366,moon,0.0
367,monie,0.0
368,monroe,0.0
369,mont,0.0
370,montañas,0.0
371,monterey,0.0
372,montgomery,0.0
373,monáe,0.0
374,moonlight,0.0
375,mouthpiece,0.0
376,morning,0.0
377,mornings,0.0
378,mother,0.0
379,mothers,0.0
380,mountain,0.0
381,mountaineers,0.0
382,mountains,0.0
383,money,0.0
384,moment,0.0
385,modern,0.0
386,mmmmmm,0.0
387,mind,0.0
388,minds,0.0
389,mines,0.0
390,minha,0.0
391,minhas,0.0
392,minnesota,0.0
393,miro,0.0
394,mirror,0.0
395,mis,0.0
396,miss,0.0
397,mistakes,0.0
398,mister,0.0
399,mma,0.0
400,mmm,0.0
401,mmmmm,0.0
402,moustache,0.0
403,moved,0.0
404,millions,0.0
405,nation,0.0
406,nah,0.0
407,nails,0.0
408,namin,0.0
409,nap,0.0
410,narc,0.0
411,nasdaq,0.0
412,nashville,0.0
413,natural,0.0
414,moves,0.0
415,naturale,0.0
416,naysayers,0.0
417,near,0.0
418,nebraska,0.0
419,necesito,0.0
420,neck,0.0
421,need,0.0
422,nadie,0.0
423,naciste,0.0
424,nace,0.0
425,na,0.0
426,moving,0.0
427,mr,0.0
428,muelas,0.0
429,muere,0.0
430,mueve,0.0
431,muffin,0.0
432,mulligan,0.0
433,muscle,0.0
434,muscles,0.0
435,museum,0.0
436,music,0.0
437,mutha,0.0
438,muthafucka,0.0
439,más,0.0
440,mío,0.0
441,mills,0.0
442,million,0.0
443,planned,0.0
444,mar,0.0
445,mami,0.0
446,manage,0.0
447,manifest,0.0
448,mano,0.0
449,manos,0.0
450,map,0.0
451,maquilla,0.0
452,maradona,0.0
453,massachusetts,0.0
454,march,0.0
455,marilyn,0.0
456,marry,0.0
457,marullos,0.0
458,masa,0.0
459,mascando,0.0
460,maserati,0.0
461,mama,0.0
462,making,0.0
463,makin,0.0
464,makes,0.0
465,lure,0.0
466,ly,0.0
467,lyin,0.0
468,lying,0.0
469,lyrical,0.0
470,ma,0.0
471,macbook,0.0
472,machine,0.0
473,macho,0.0
474,machos,0.0
475,mack,0.0
476,madre,0.0
477,magic,0.0
478,major,0.0
479,make,0.0
480,masks,0.0
481,masses,0.0
482,miles,0.0
483,met,0.0
484,mention,0.0
485,mentions,0.0
486,mercy,0.0
487,merrily,0.0
488,mess,0.0
489,message,0.0
490,messenger,0.0
491,metropolis,0.0
492,master,0.0
493,mi,0.0
494,mic,0.0
495,michigan,0.0
496,mics,0.0
497,middleman,0.0
498,midnight,0.0
499,mike,0.0
500,men,0.0
501,memory,0.0
502,melted,0.0
503,melt,0.0
504,matchbook,0.0
505,material,0.0
506,mattawa,0.0
507,matters,0.0
508,maybe,0.0
509,meals,0.0
510,mean,0.0
511,meaning,0.0
512,means,0.0
513,meant,0.0
514,measurements,0.0
515,medio,0.0
516,meeting,0.0
517,mejores,0.0
518,melancolía,0.0
519,needs,0.0
520,neeh,0.0
521,neep,0.0
522,path,0.0
523,party,0.0
524,pasadena,0.0
525,pasar,0.0
526,pass,0.0
527,passed,0.0
528,passion,0.0
529,past,0.0
530,patient,0.0
531,peina,0.0
532,patria,0.0
533,paul,0.0
534,paws,0.0
535,pay,0.0
536,peace,0.0
537,peanut,0.0
538,peas,0.0
539,partner,0.0
540,parkersburg,0.0
541,paripititumon,0.0
542,parentheses,0.0
543,pages,0.0
544,paid,0.0
545,pain,0.0
546,painful,0.0
547,paint,0.0
548,painting,0.0
549,paloma,0.0
550,palpitar,0.0
551,panama,0.0
552,pane,0.0
553,paper,0.0
554,papers,0.0
555,para,0.0
556,paranoia,0.0
557,parejas,0.0
558,pedazo,0.0
559,pellet,0.0
560,neil,0.0
561,pink,0.0
562,seein,0.0
