,term,score
0,hey,0.42076587920804376
1,come,0.3201224282306602
2,control,0.31694798862443463
3,victorious,0.27962413895008
4,degrading,0.27962413895008
5,force,0.27962413895008
6,stop,0.1664402107780462
7,truth,0.13053189599104797
8,ascend,0.09320804631669333
9,confined,0.09320804631669333
10,transmissions,0.09320804631669333
11,greed,0.09320804631669333
12,wrapped,0.09320804631669333
13,trapped,0.09320804631669333
14,belts,0.09320804631669333
15,packaged,0.09320804631669333
16,paranoia,0.09320804631669333
17,lie,0.09320804631669333
18,resume,0.09320804631669333
19,pr,0.09320804631669333
20,switch,0.09320804631669333
21,attack,0.09320804631669333
22,minds,0.09320804631669333
23,bloom,0.09320804631669333
24,dumbed,0.09320804631669333
25,drugs,0.09320804631669333
26,seed,0.09320804631669333
27,unify,0.09320804631669333
28,flick,0.09320804631669333
29,interchanging,0.09320804631669333
30,toll,0.09320804631669333
31,green,0.08503550646201952
32,red,0.08503550646201952
33,tape,0.08503550646201952
34,flag,0.08503550646201952
35,fat,0.08503550646201952
36,push,0.08503550646201952
37,cats,0.08503550646201952
38,eye,0.07923699715610866
39,end,0.07923699715610866
40,die,0.07923699715610866
41,endless,0.07923699715610866
42,time,0.0772493714808416
43,promise,0.07473932391626396
44,rise,0.07473932391626396
45,revolution,0.07473932391626396
46,afraid,0.07473932391626396
47,open,0.07106445730143485
48,heart,0.06795740185000188
49,power,0.06795740185000188
50,hope,0.06795740185000188
51,watch,0.06795740185000188
52,coming,0.06076827475567929
53,try,0.05548007025934873
54,mind,0.05548007025934873
55,let,0.03494981912559169
56,ll,0.033860042195772794
57,know,0.033336481244090235
58,putting,0.0
59,pussy,0.0
60,raíz,0.0
61,reach,0.0
62,read,0.0
63,quarrels,0.0
64,raíces,0.0
65,reaction,0.0
66,rain,0.0
67,pushin,0.0
68,reading,0.0
69,ready,0.0
70,razona,0.0
71,real,0.0
72,really,0.0
73,pumpin,0.0
74,rear,0.0
75,pump,0.0
76,reason,0.0
77,pulque,0.0
78,pulmones,0.0
79,pulling,0.0
80,punishment,0.0
81,rattle,0.0
82,ray,0.0
83,rattlesnakers,0.0
84,rained,0.0
85,raise,0.0
86,raised,0.0
87,ranch,0.0
88,ragin,0.0
89,puffin,0.0
90,radio,0.0
91,race,0.0
92,quoting,0.0
93,quit,0.0
94,quiet,0.0
95,quiere,0.0
96,ransacked,0.0
97,quick,0.0
98,rapidly,0.0
99,questions,0.0
100,quench,0.0
101,quejido,0.0
102,rapper,0.0
103,rated,0.0
104,queens,0.0
105,queen,0.0
106,rationale,0.0
107,quede,0.0
108,que,0.0
109,pull,0.0
110,propio,0.0
111,puedo,0.0
112,porque,0.0
113,político,0.0
114,poodle,0.0
115,pool,0.0
116,pop,0.0
117,poppin,0.0
118,por,0.0
119,porch,0.0
120,position,0.0
121,praise,0.0
122,positive,0.0
123,possess,0.0
124,poster,0.0
125,potent,0.0
126,pour,0.0
127,poverty,0.0
128,powder,0.0
129,polish,0.0
130,poisonous,0.0
131,points,0.0
132,poetical,0.0
133,places,0.0
134,plan,0.0
135,planeta,0.0
136,planned,0.0
137,play,0.0
138,played,0.0
139,player,0.0
140,playing,0.0
141,pleased,0.0
142,plex,0.0
143,pliers,0.0
144,plus,0.0
145,pode,0.0
146,poe,0.0
147,poems,0.0
148,powers,0.0
149,pranto,0.0
150,puedes,0.0
151,prophesize,0.0
152,process,0.0
153,promises,0.0
154,promotion,0.0
155,proof,0.0
156,propers,0.0
157,property,0.0
158,prophecy,0.0
159,prophets,0.0
160,pray,0.0
161,rebels,0.0
162,pros,0.0
163,prototype,0.0
164,proud,0.0
165,prove,0.0
166,prudence,0.0
167,pueblo,0.0
168,problems,0.0
169,problem,0.0
170,prob,0.0
171,princess,0.0
172,prayer,0.0
173,preachers,0.0
174,preaching,0.0
175,precisely,0.0
176,pregones,0.0
177,pregón,0.0
178,present,0.0
179,presidentes,0.0
180,press,0.0
181,pretending,0.0
182,pretty,0.0
183,prey,0.0
184,price,0.0
185,pricing,0.0
186,pride,0.0
187,reasons,0.0
188,regular,0.0
189,recital,0.0
190,saliva,0.0
191,ry,0.0
192,ríos,0.0
193,sacrifice,0.0
194,safer,0.0
195,said,0.0
196,sail,0.0
197,sake,0.0
198,sally,0.0
199,rush,0.0
200,salvador,0.0
201,sand,0.0
202,sangre,0.0
203,santa,0.0
204,santos,0.0
205,sap,0.0
206,sarasota,0.0
207,russia,0.0
208,runway,0.0
209,rope,0.0
210,ruger,0.0
211,rot,0.0
212,rough,0.0
213,round,0.0
214,row,0.0
215,rub,0.0
216,rude,0.0
217,ruffians,0.0
218,rule,0.0
219,runs,0.0
220,rules,0.0
221,rum,0.0
222,rumors,0.0
223,run,0.0
224,runaway,0.0
225,runnin,0.0
226,running,0.0
227,satan,0.0
228,satisfaction,0.0
229,save,0.0
230,searching,0.0
231,screamin,0.0
232,screen,0.0
233,screwed,0.0
234,scufflin,0.0
235,se,0.0
236,sea,0.0
237,seamstress,0.0
238,seca,0.0
239,savin,0.0
240,second,0.0
241,secrets,0.0
242,section,0.0
243,seein,0.0
244,seeing,0.0
245,seek,0.0
246,seen,0.0
247,scream,0.0
248,scrappy,0.0
249,scraper,0.0
