,term,score
0,rockin,0.6513517718689869
1,free,0.499921652005224
2,world,0.3584556272800221
3,got,0.15138360783525928
4,people,0.13456059656025685
5,kid,0.08807468620433448
6,street,0.07691102338541908
7,hand,0.07691102338541908
8,light,0.07411340648623407
9,sign,0.05491934500410585
10,shuffling,0.05491934500410585
11,hates,0.05491934500410585
12,says,0.05491934500410585
13,styrofoam,0.05491934500410585
14,points,0.05491934500410585
15,layer,0.05491934500410585
16,boxes,0.05491934500410585
17,school,0.05491934500410585
18,garbage,0.05491934500410585
19,stores,0.05491934500410585
20,fuel,0.05491934500410585
21,ozone,0.05491934500410585
22,satan,0.05491934500410585
23,department,0.05491934500410585
24,gentler,0.05491934500410585
25,homeless,0.05491934500410585
26,toilet,0.05491934500410585
27,kinder,0.05491934500410585
28,man,0.05398814142023667
29,sleeping,0.05010398245146053
30,shoes,0.05010398245146053
31,thousand,0.05010398245146053
32,cool,0.05010398245146053
33,roads,0.05010398245146053
34,dead,0.05010398245146053
35,colors,0.05010398245146053
36,machine,0.05010398245146053
37,saying,0.05010398245146053
38,red,0.05010398245146053
39,warning,0.05010398245146053
40,paper,0.05010398245146053
41,lot,0.046687428348407695
42,white,0.046687428348407695
43,gone,0.046687428348407695
44,hit,0.046687428348407695
45,alive,0.046687428348407695
46,ahead,0.04403734310216724
47,near,0.04403734310216724
48,feet,0.041872065795762366
49,forget,0.041872065795762366
50,gun,0.041872065795762366
51,blue,0.04004134991846182
52,hope,0.04004134991846182
53,burn,0.04004134991846182
54,woman,0.03845551169270954
55,road,0.03705670324311704
56,old,0.03705670324311704
57,drive,0.03705670324311704
58,fall,0.03467350889909481
59,better,0.03364014914006421
60,try,0.032689550310631366
61,way,0.029503608217368034
62,night,0.02882478658741888
63,feel,0.02882478658741888
64,away,0.028182676409689304
65,life,0.027573509790770934
66,ve,0.025408232484366054
67,baby,0.024457633654933208
68,like,0.023160766992948247
69,love,0.020592869931720728
70,ll,0.019950759753991146
71,don,0.01848270244734394
72,pull,0.0
73,pulling,0.0
74,pulmones,0.0
75,saliva,0.0
76,pulque,0.0
77,science,0.0
78,puffin,0.0
79,pump,0.0
80,pumpin,0.0
81,punishment,0.0
82,scraper,0.0
83,scream,0.0
84,scrappy,0.0
85,screwed,0.0
86,prophesize,0.0
87,prophets,0.0
88,propio,0.0
89,pros,0.0
90,se,0.0
91,prototype,0.0
92,scufflin,0.0
93,proud,0.0
94,puedo,0.0
95,screen,0.0
96,prove,0.0
97,screamin,0.0
98,prudence,0.0
99,pueblo,0.0
100,pushin,0.0
101,puedes,0.0
102,push,0.0
103,que,0.0
104,pussy,0.0
105,raised,0.0
106,rain,0.0
107,schefferville,0.0
108,scene,0.0
109,rained,0.0
110,raise,0.0
111,scared,0.0
112,ranch,0.0
113,radio,0.0
114,ransacked,0.0
115,rapidly,0.0
116,rapper,0.0
117,rated,0.0
118,rationale,0.0
119,rattle,0.0
120,ragin,0.0
121,race,0.0
122,putting,0.0
123,quench,0.0
124,quarrels,0.0
125,prophecy,0.0
126,quede,0.0
127,queen,0.0
128,queens,0.0
129,quejido,0.0
130,scholarship,0.0
131,quoting,0.0
132,questions,0.0
133,quick,0.0
134,quiere,0.0
135,scheme,0.0
136,quiet,0.0
137,quit,0.0
138,sea,0.0
139,proof,0.0
140,seamstress,0.0
141,property,0.0
142,pool,0.0
143,pop,0.0
144,poppin,0.0
145,por,0.0
146,porch,0.0
147,porque,0.0
148,position,0.0
149,positive,0.0
150,possess,0.0
151,poster,0.0
152,potent,0.0
153,pour,0.0
154,poverty,0.0
155,powder,0.0
156,power,0.0
157,poodle,0.0
158,político,0.0
159,polish,0.0
160,pliers,0.0
161,play,0.0
162,played,0.0
163,player,0.0
164,playing,0.0
165,pleased,0.0
166,plex,0.0
167,plus,0.0
168,poisonous,0.0
169,pode,0.0
170,poe,0.0
171,seeing,0.0
172,poems,0.0
173,poetical,0.0
174,seein,0.0
175,seed,0.0
176,powers,0.0
177,pr,0.0
178,problems,0.0
179,pricing,0.0
180,pride,0.0
181,princess,0.0
182,prob,0.0
183,seca,0.0
184,problem,0.0
185,process,0.0
186,prey,0.0
187,promise,0.0
188,promises,0.0
189,searching,0.0
190,promotion,0.0
191,rattlesnakers,0.0
192,propers,0.0
193,price,0.0
194,pretty,0.0
195,praise,0.0
196,secrets,0.0
197,section,0.0
198,pranto,0.0
199,pray,0.0
200,prayer,0.0
201,preachers,0.0
202,preaching,0.0
203,precisely,0.0
204,pretending,0.0
205,second,0.0
206,pregones,0.0
207,pregón,0.0
208,present,0.0
209,presidentes,0.0
210,press,0.0
211,scanner,0.0
212,reaction,0.0
213,ray,0.0
214,roll,0.0
215,rocked,0.0
216,santos,0.0
217,rocking,0.0
218,santa,0.0
219,rocks,0.0
220,role,0.0
221,rolled,0.0
222,sap,0.0
223,rollercoaster,0.0
224,rollie,0.0
225,rolls,0.0
226,romance,0.0
227,roof,0.0
228,rookie,0.0
229,rock,0.0
230,robaron,0.0
231,rights,0.0
232,savin,0.0
233,ring,0.0
234,ripe,0.0
235,ripped,0.0
236,rise,0.0
237,rising,0.0
238,riso,0.0
239,ritmo,0.0
240,roam,0.0
241,save,0.0
242,rituales,0.0
243,rival,0.0
244,satisfaction,0.0
245,roadrunner,0.0
246,sarasota,0.0
247,room,0.0
248,rooms,0.0
249,root,0.0
250,ry,0.0
251,running,0.0
252,runs,0.0
253,runway,0.0
254,sand,0.0
255,rush,0.0
256,russia,0.0
257,ríos,0.0
258,rope,0.0
259,sacrifice,0.0
260,safer,0.0
261,said,0.0
262,salvador,0.0
263,sail,0.0
264,sally,0.0
265,runnin,0.0
266,runaway,0.0
267,run,0.0
268,rumors,0.0
269,rum,0.0
270,rules,0.0
271,sangre,0.0
272,rule,0.0
273,ruger,0.0
274,ruffians,0.0
275,rude,0.0
276,rub,0.0
277,row,0.0
278,round,0.0
279,rough,0.0
280,rot,0.0
281,rose,0.0
282,rims,0.0
283,righteous,0.0
284,razona,0.0
285,regreso,0.0
286,recuerdes,0.0
287,recuerdo,0.0
288,sayin,0.0
289,reflection,0.0
290,refuse,0.0
291,regard,0.0
292,regret,0.0
293,reconstruyo,0.0
294,regular,0.0
295,rehearse,0.0
296,rehearsed,0.0
297,reign,0.0
298,planned,0.0
299,relate,0.0
300,record,0.0
301,recite,0.0
302,right,0.0
303,ready,0.0
304,raíces,0.0
305,raíz,0.0
306,reach,0.0
