,term,score
0,girl,0.5190526718489543
1,oh,0.4161546115596004
2,just,0.3567039527653717
3,ve,0.2567333537046198
4,cause,0.17652013028717503
5,making,0.12713376365955417
6,little,0.12482372961420724
7,let,0.11890131758845725
8,eyes,0.10010080933806438
9,things,0.09711754772132473
10,hold,0.09183235603452047
11,don,0.08003805495073725
12,world,0.07960344176240175
13,worrisome,0.07927479879849852
14,ribbon,0.07927479879849852
15,twiddle,0.07927479879849852
16,exposed,0.07927479879849852
17,apologies,0.07927479879849852
18,typical,0.07927479879849852
19,rights,0.07927479879849852
20,dum,0.07927479879849852
21,numb,0.07927479879849852
22,lucky,0.07927479879849852
23,pink,0.07927479879849852
24,petite,0.07927479879849852
25,captivity,0.07927479879849852
26,clear,0.07927479879849852
27,thumb,0.07927479879849852
28,succumbed,0.07927479879849852
29,burdensome,0.07927479879849852
30,prototype,0.07927479879849852
31,comparison,0.07927479879849852
32,forcing,0.07927479879849852
33,reasons,0.07232393480923859
34,dear,0.07232393480923859
35,sit,0.07232393480923859
36,surprise,0.07232393480923859
37,rule,0.07232393480923859
38,guess,0.07232393480923859
39,hide,0.06739221832421043
40,destiny,0.06739221832421043
41,freak,0.06739221832421043
42,sight,0.06739221832421043
43,exactly,0.06739221832421043
44,step,0.06739221832421043
45,stare,0.06739221832421043
46,late,0.06739221832421043
47,moment,0.06739221832421043
48,kind,0.06356688182977709
49,pretty,0.06044135433495047
50,outside,0.06044135433495047
51,fear,0.055509637849922314
52,hand,0.055509637849922314
53,makes,0.055509637849922314
54,big,0.055509637849922314
55,living,0.055509637849922314
56,old,0.05349049034569052
57,drive,0.05349049034569052
58,stand,0.051684301355488974
59,run,0.04855877386066237
60,look,0.04591617801726024
61,good,0.04591617801726024
62,won,0.04258777312596717
63,think,0.041607909871402414
64,night,0.041607909871402414
65,ll,0.028798458271062553
66,know,0.028353162068175057
67,razona,0.0
68,puffin,0.0
69,ray,0.0
70,pull,0.0
71,pulling,0.0
72,rained,0.0
73,screwed,0.0
74,pulmones,0.0
75,rattlesnakers,0.0
76,pulque,0.0
77,rattle,0.0
78,pump,0.0
79,rationale,0.0
80,puedo,0.0
81,puedes,0.0
82,punishment,0.0
83,pueblo,0.0
84,screamin,0.0
85,prudence,0.0
86,prove,0.0
87,scufflin,0.0
88,proud,0.0
89,raíces,0.0
90,se,0.0
91,pros,0.0
92,raíz,0.0
93,propio,0.0
94,prophets,0.0
95,pumpin,0.0
96,push,0.0
97,rain,0.0
98,pushin,0.0
99,raise,0.0
100,ragin,0.0
101,radio,0.0
102,race,0.0
103,raised,0.0
104,quoting,0.0
105,quit,0.0
106,quiet,0.0
107,quiere,0.0
108,ranch,0.0
109,screen,0.0
110,quick,0.0
111,questions,0.0
112,quench,0.0
113,quejido,0.0
114,queens,0.0
115,prophecy,0.0
116,queen,0.0
117,ransacked,0.0
118,quede,0.0
119,que,0.0
120,quarrels,0.0
121,putting,0.0
122,rapidly,0.0
123,rapper,0.0
124,rated,0.0
125,pussy,0.0
126,prophesize,0.0
127,saying,0.0
128,property,0.0
129,polish,0.0
130,poodle,0.0
131,pool,0.0
132,pop,0.0
133,poppin,0.0
134,seed,0.0
135,por,0.0
136,porch,0.0
137,porque,0.0
138,position,0.0
139,positive,0.0
140,possess,0.0
141,poster,0.0
142,section,0.0
143,potent,0.0
144,pour,0.0
145,político,0.0
146,poisonous,0.0
147,poverty,0.0
148,seein,0.0
149,planned,0.0
150,play,0.0
151,played,0.0
152,player,0.0
153,playing,0.0
154,pleased,0.0
155,plex,0.0
156,pliers,0.0
157,seeing,0.0
158,plus,0.0
159,pode,0.0
160,poe,0.0
161,poems,0.0
162,poetical,0.0
163,points,0.0
164,secrets,0.0
165,powder,0.0
166,propers,0.0
167,pretending,0.0
168,seamstress,0.0
169,price,0.0
170,pricing,0.0
171,pride,0.0
172,princess,0.0
173,prob,0.0
174,problem,0.0
175,problems,0.0
176,process,0.0
177,promise,0.0
178,reaction,0.0
179,sea,0.0
180,promises,0.0
181,promotion,0.0
182,proof,0.0
183,prey,0.0
184,press,0.0
185,second,0.0
186,presidentes,0.0
187,power,0.0
188,powers,0.0
189,pr,0.0
190,praise,0.0
191,pranto,0.0
192,pray,0.0
193,seca,0.0
194,prayer,0.0
195,preachers,0.0
196,preaching,0.0
197,precisely,0.0
198,searching,0.0
199,pregones,0.0
200,pregón,0.0
201,present,0.0
202,reach,0.0
203,reason,0.0
204,read,0.0
205,romance,0.0
206,rookie,0.0
207,room,0.0
208,rooms,0.0
209,root,0.0
210,rope,0.0
211,rose,0.0
212,rot,0.0
213,rough,0.0
214,round,0.0
215,row,0.0
216,rub,0.0
217,rude,0.0
218,ruffians,0.0
219,ruger,0.0
220,scanner,0.0
221,roof,0.0
222,scared,0.0
223,reading,0.0
224,rolls,0.0
225,roadrunner,0.0
226,roads,0.0
227,roam,0.0
228,robaron,0.0
229,rock,0.0
230,rocked,0.0
231,rockin,0.0
232,rocking,0.0
233,rocks,0.0
234,role,0.0
235,roll,0.0
236,rolled,0.0
237,scene,0.0
238,rollercoaster,0.0
239,rollie,0.0
240,rules,0.0
241,rum,0.0
242,rumors,0.0
243,runaway,0.0
244,santa,0.0
245,santos,0.0
246,sap,0.0
247,sarasota,0.0
248,scandalous,0.0
249,satan,0.0
250,satisfaction,0.0
251,save,0.0
252,savin,0.0
253,saving,0.0
254,saw,0.0
255,sax,0.0
256,say,0.0
257,sayin,0.0
258,says,0.0
259,sangre,0.0
260,sand,0.0
261,salvador,0.0
262,ry,0.0
263,runnin,0.0
264,running,0.0
265,runs,0.0
266,runway,0.0
267,rush,0.0
268,russia,0.0
269,ríos,0.0
270,sally,0.0
271,sacrifice,0.0
272,safer,0.0
273,said,0.0
274,sail,0.0
275,sake,0.0
276,saliva,0.0
277,road,0.0
278,rival,0.0
279,rituales,0.0
280,science,0.0
281,regreso,0.0
282,regret,0.0
283,regular,0.0
284,rehearse,0.0
285,planeta,0.0
286,reign,0.0
287,rejoice,0.0
288,relate,0.0
289,relentlessly,0.0
290,religion,0.0
291,remember,0.0
292,remind,0.0
293,reno,0.0
294,repleta,0.0
295,reppin,0.0
296,regard,0.0
297,refuse,0.0
298,reflection,0.0
299,scraper,0.0
300,ready,0.0
301,real,0.0
302,really,0.0
303,rear,0.0
304,scream,0.0
305,scrappy,0.0
306,rebels,0.0
307,red,0.0
308,recital,0.0
309,recite,0.0
310,reconstruyo,0.0
311,record,0.0
312,recuerdes,0.0
313,recuerdo,0.0
314,repping,0.0
315,rescue,0.0
316,ritmo,0.0
317,school,0.0
318,rich,0.0
319,richard,0.0
320,ride,0.0
321,scheme,0.0
322,riding,0.0
323,right,0.0
324,righteous,0.0
325,schefferville,0.0
326,rims,0.0
327,ring,0.0
328,ripe,0.0
329,ripped,0.0
330,rise,0.0
331,rising,0.0
332,riso,0.0
333,rica,0.0
334,scholarship,0.0
335,rhythm,0.0
336,return,0.0
337,respect,0.0
338,respected,0.0
339,respira,0.0
340,respirando,0.0
341,rest,0.0
342,resume,0.0
343,reverse,0.0
344,rhyming,0.0
345,revolution,0.0
346,revolutionary,0.0
347,rewrite,0.0
348,rexburg,0.0
349,rhyme,0.0
350,rhymes,0.0
351,rehearsed,0.0
352,128,0.0
353,plan,0.0
354,money,0.0
355,mistakes,0.0
356,mister,0.0
357,mma,0.0
358,mmm,0.0
359,mmmmm,0.0
360,mmmmmm,0.0
361,modern,0.0
362,monie,0.0
363,mis,0.0
364,monroe,0.0
365,mont,0.0
366,montañas,0.0
367,monterey,0.0
368,montgomery,0.0
369,monáe,0.0
370,moon,0.0
371,miss,0.0
372,mirror,0.0
373,naturale,0.0
374,million,0.0
375,mic,0.0
376,michigan,0.0
377,mics,0.0
378,middleman,0.0
379,midnight,0.0
380,mike,0.0
381,miles,0.0
382,millions,0.0
383,miro,0.0
384,mills,0.0
385,mind,0.0
386,minds,0.0
387,mines,0.0
388,minha,0.0
389,minhas,0.0
390,minnesota,0.0
391,moonlight,0.0
392,morning,0.0
393,mornings,0.0
394,nadie,0.0
395,mutha,0.0
396,muthafucka,0.0
397,más,0.0
398,mío,0.0
399,na,0.0
400,nace,0.0
401,naciste,0.0
402,nah,0.0
403,mother,0.0
404,nails,0.0
405,namin,0.0
406,nap,0.0
407,narc,0.0
408,nasdaq,0.0
409,nashville,0.0
410,nation,0.0
411,music,0.0
412,museum,0.0
413,muscles,0.0
414,muscle,0.0
415,mothers,0.0
416,mountain,0.0
417,mountaineers,0.0
418,mountains,0.0
419,moustache,0.0
420,mouthpiece,0.0
421,moved,0.0
422,moves,0.0
423,moving,0.0
424,mr,0.0
425,muelas,0.0
426,muere,0.0
427,mueve,0.0
428,muffin,0.0
429,mulligan,0.0
430,mi,0.0
431,metropolis,0.0
432,met,0.0
433,mama,0.0
434,mack,0.0
435,mad,0.0
436,madre,0.0
437,magic,0.0
438,major,0.0
439,make,0.0
440,makin,0.0
441,mami,0.0
442,maradona,0.0
443,man,0.0
444,manage,0.0
445,manifest,0.0
446,mano,0.0
447,manos,0.0
448,map,0.0
449,maquilla,0.0
450,machos,0.0
451,macho,0.0
452,machine,0.0
453,macbook,0.0
454,lovers,0.0
455,loves,0.0
456,lovin,0.0
457,loving,0.0
458,low,0.0
459,loyal,0.0
460,lucha,0.0
461,luck,0.0
462,luna,0.0
463,lure,0.0
464,ly,0.0
465,lyin,0.0
466,lying,0.0
467,lyrical,0.0
468,ma,0.0
469,mar,0.0
470,march,0.0
471,messenger,0.0
472,melted,0.0
473,meant,0.0
474,measurements,0.0
475,medio,0.0
476,meeting,0.0
477,mejores,0.0
478,melancolía,0.0
479,melt,0.0
480,memory,0.0
481,marilyn,0.0
482,men,0.0
483,mention,0.0
484,mentions,0.0
485,mercy,0.0
486,merrily,0.0
487,mess,0.0
488,message,0.0
489,means,0.0
490,meaning,0.0
491,mean,0.0
492,meals,0.0
493,marry,0.0
494,marullos,0.0
495,masa,0.0
496,mascando,0.0
497,maserati,0.0
498,masks,0.0
499,massachusetts,0.0
500,masses,0.0
501,master,0.0
502,matchbook,0.0
503,material,0.0
504,mattawa,0.0
505,matter,0.0
506,matters,0.0
507,maybe,0.0
508,natural,0.0
509,naysayers,0.0
510,places,0.0
511,pass,0.0
512,parentheses,0.0
513,paripititumon,0.0
514,parkersburg,0.0
515,partner,0.0
516,party,0.0
517,pasadena,0.0
518,pasar,0.0
519,passed,0.0
520,paranoia,0.0
521,passion,0.0
522,past,0.0
523,path,0.0
524,patient,0.0
525,patria,0.0
526,paul,0.0
527,paws,0.0
528,parejas,0.0
529,para,0.0
530,near,0.0
531,painful,0.0
532,package,0.0
533,packaged,0.0
534,padilla,0.0
535,padre,0.0
536,pages,0.0
537,paid,0.0
538,pain,0.0
539,paint,0.0
540,papers,0.0
541,painting,0.0
542,palm,0.0
543,paloma,0.0
544,palpitar,0.0
545,panama,0.0
546,pane,0.0
547,paper,0.0
548,pay,0.0
549,peace,0.0
550,peanut,0.0
551,piel,0.0
552,photo,0.0
553,piano,0.0
554,pick,0.0
555,seek,0.0
556,pie,0.0
557,piece,0.0
558,pieces,0.0
559,piernas,0.0
560,peas,0.0
561,pills,0.0
562,pipe,0.0
563,pirate,0.0
564,pittsburgh,0.0
565,pittsfield,0.0
566,pity,0.0
567,place,0.0
568,phife,0.0
569,phase,0.0
570,peyote,0.0
571,petersburg,0.0
572,pedazo,0.0
573,peina,0.0
574,pellet,0.0
575,pen,0.0
576,pena,0.0
577,penar,0.0
578,people,0.0
579,perdono,0.0
580,perfect,0.0
581,permanent,0.0
582,pero,0.0
583,person,0.0
584,persuasion,0.0
585,pestañeo,0.0
586,pete,0.0
587,pack,0.0
588,pa,0.0
589,ozone,0.0
590,nude,0.0
591,norma,0.0
592,northern,0.0
593,nos,0.0
594,nostalgia,0.0
595,nothin,0.0
596,novelties,0.0
597,nubes,0.0
598,nuff,0.0
599,ohh,0.0
600,nunca,0.0
601,nuvens,0.0
602,nyc,0.0
603,não,0.0
604,obey,0.0
605,obra,0.0
606,oddities,0.0
607,nope,0.0
608,noise,0.0
609,noche,0.0
610,nights,0.0
611,nebraska,0.0
612,necesito,0.0
613,neck,0.0
614,need,0.0
615,needs,0.0
616,neeh,0.0
617,neep,0.0
618,neil,0.0
619,neon,0.0
620,new,0.0
621,nice,0.0
622,nido,0.0
623,nieve,0.0
624,nigga,0.0
625,niggas,0.0
626,odds,0.0
627,oigo,0.0
628,oye,0.0
