,term,score
0,yeah,0.4451593374964535
1,try,0.39490029806325694
2,tenderness,0.36187820665192705
3,squeeze,0.24125213776795137
4,tease,0.22009899929067034
5,gotta,0.20960083669756954
6,little,0.18993420399678515
7,weary,0.18093910332596352
8,got,0.16625115890653414
9,nah,0.16507424946800275
10,man,0.14822594081803994
11,don,0.14208536326189422
12,ve,0.13951801508421452
13,easier,0.12062606888397569
14,rub,0.12062606888397569
15,love,0.1130765919876132
16,gentle,0.11004949964533517
17,leave,0.08794771010307297
18,girls,0.08794771010307297
19,waiting,0.08446453980954279
20,ooh,0.07388797057090225
21,hold,0.06986694556585651
22,just,0.0678459551925679
23,know,0.0647140806261937
24,dress,0.060313034441987844
25,soft,0.060313034441987844
26,spoke,0.060313034441987844
27,grief,0.060313034441987844
28,surprised,0.060313034441987844
29,anticipating,0.060313034441987844
30,happiness,0.060313034441987844
31,sentimental,0.060313034441987844
32,wearing,0.060313034441987844
33,shaggy,0.060313034441987844
34,bruise,0.060313034441987844
35,softly,0.055024749822667585
36,possess,0.055024749822667585
37,advice,0.055024749822667585
38,groove,0.05127265217337962
39,easy,0.05127265217337962
40,bear,0.05127265217337962
41,regret,0.05127265217337962
42,words,0.04836229913259309
43,gets,0.04598436755405936
44,forget,0.04598436755405936
45,oh,0.04523063679504528
46,care,0.04397385505153648
47,watch,0.04397385505153648
48,ll,0.043820291742238844
49,makes,0.04223226990477139
50,young,0.04223226990477139
51,old,0.040696082934739086
52,things,0.03694398528545113
53,won,0.032401190116961506
54,want,0.030281534595376636
55,baby,0.026859644828051497
56,pushin,0.0
57,read,0.0
58,reaction,0.0
59,push,0.0
60,reading,0.0
61,ready,0.0
62,pussy,0.0
63,reach,0.0
64,putting,0.0
65,real,0.0
66,punishment,0.0
67,pulling,0.0
68,pumpin,0.0
69,pump,0.0
70,pulque,0.0
71,pulmones,0.0
72,raíz,0.0
73,pull,0.0
74,really,0.0
75,puffin,0.0
76,rear,0.0
77,puedo,0.0
78,puedes,0.0
79,pueblo,0.0
80,prudence,0.0
81,quarrels,0.0
82,quejido,0.0
83,que,0.0
84,ragin,0.0
85,rapidly,0.0
86,ransacked,0.0
87,ranch,0.0
88,rated,0.0
89,rationale,0.0
90,raised,0.0
91,rattle,0.0
92,rattlesnakers,0.0
93,raise,0.0
94,rained,0.0
95,rain,0.0
96,proud,0.0
97,ray,0.0
98,razona,0.0
99,quede,0.0
100,radio,0.0
101,race,0.0
102,quoting,0.0
103,quit,0.0
104,quiet,0.0
105,quiere,0.0
106,quick,0.0
107,questions,0.0
108,quench,0.0
109,rapper,0.0
110,queens,0.0
111,queen,0.0
112,raíces,0.0
113,prove,0.0
114,problems,0.0
115,prototype,0.0
116,poetical,0.0
117,poisonous,0.0
118,polish,0.0
119,político,0.0
120,poodle,0.0
121,pool,0.0
122,pop,0.0
123,poppin,0.0
124,por,0.0
125,porch,0.0
126,porque,0.0
127,position,0.0
128,positive,0.0
129,poster,0.0
130,potent,0.0
131,pour,0.0
132,points,0.0
133,poems,0.0
134,powder,0.0
135,poe,0.0
136,pity,0.0
137,place,0.0
138,places,0.0
139,plan,0.0
140,planeta,0.0
141,planned,0.0
142,play,0.0
143,played,0.0
144,player,0.0
145,playing,0.0
146,pleased,0.0
147,plex,0.0
148,pliers,0.0
149,plus,0.0
150,pode,0.0
151,poverty,0.0
152,power,0.0
153,pros,0.0
154,pricing,0.0
155,princess,0.0
156,prob,0.0
157,problem,0.0
158,reasons,0.0
159,process,0.0
160,promise,0.0
161,promises,0.0
162,promotion,0.0
163,proof,0.0
164,propers,0.0
165,property,0.0
166,prophecy,0.0
167,prophesize,0.0
168,prophets,0.0
169,propio,0.0
170,pride,0.0
171,price,0.0
172,powers,0.0
173,prey,0.0
174,pr,0.0
175,praise,0.0
176,pranto,0.0
177,pray,0.0
178,prayer,0.0
179,preachers,0.0
180,preaching,0.0
181,precisely,0.0
182,pregones,0.0
183,pregón,0.0
184,present,0.0
185,presidentes,0.0
186,press,0.0
187,pretending,0.0
188,pretty,0.0
189,reason,0.0
190,128,0.0
191,rebels,0.0
192,sacrifice,0.0
193,running,0.0
194,runs,0.0
195,runway,0.0
196,rush,0.0
197,russia,0.0
198,ry,0.0
199,ríos,0.0
200,safer,0.0
201,runaway,0.0
202,said,0.0
203,sail,0.0
204,sake,0.0
205,saliva,0.0
206,sally,0.0
207,salvador,0.0
208,sand,0.0
209,runnin,0.0
210,run,0.0
211,santa,0.0
212,rough,0.0
213,rookie,0.0
214,room,0.0
215,rooms,0.0
216,root,0.0
217,rope,0.0
218,rose,0.0
219,rot,0.0
220,round,0.0
221,rumors,0.0
222,row,0.0
223,rude,0.0
224,ruffians,0.0
225,ruger,0.0
226,rule,0.0
227,rules,0.0
228,rum,0.0
229,sangre,0.0
230,santos,0.0
231,recital,0.0
232,scufflin,0.0
233,science,0.0
234,scraper,0.0
235,scrappy,0.0
236,scream,0.0
237,screamin,0.0
238,screen,0.0
239,screwed,0.0
240,se,0.0
241,scholarship,0.0
242,sea,0.0
243,seamstress,0.0
244,searching,0.0
245,seca,0.0
246,second,0.0
247,secrets,0.0
248,section,0.0
249,school,0.0
250,scheme,0.0
251,sap,0.0
252,sax,0.0
253,sarasota,0.0
254,satan,0.0
255,satisfaction,0.0
256,save,0.0
257,savin,0.0
258,saving,0.0
259,saw,0.0
260,say,0.0
261,schefferville,0.0
262,sayin,0.0
263,saying,0.0
264,says,0.0
265,scandalous,0.0
266,scanner,0.0
267,scared,0.0
268,scene,0.0
269,roof,0.0
270,romance,0.0
271,rolls,0.0
272,respected,0.0
273,remind,0.0
274,reno,0.0
275,repleta,0.0
276,reppin,0.0
277,repping,0.0
278,rescue,0.0
279,respect,0.0
280,respira,0.0
281,religion,0.0
282,respirando,0.0
283,rest,0.0
284,resume,0.0
285,return,0.0
286,reverse,0.0
287,revolution,0.0
288,revolutionary,0.0
289,remember,0.0
290,relentlessly,0.0
291,rollie,0.0
292,refuse,0.0
293,recite,0.0
294,reconstruyo,0.0
295,record,0.0
296,recuerdes,0.0
297,recuerdo,0.0
298,red,0.0
299,reflection,0.0
300,regard,0.0
301,relate,0.0
302,regreso,0.0
303,regular,0.0
304,rehearse,0.0
305,rehearsed,0.0
306,pittsburgh,0.0
307,reign,0.0
308,rejoice,0.0
309,rewrite,0.0
310,rexburg,0.0
311,rhyme,0.0
312,rock,0.0
313,rituales,0.0
314,rival,0.0
315,road,0.0
316,roadrunner,0.0
317,roads,0.0
318,roam,0.0
319,robaron,0.0
320,rocked,0.0
321,rhymes,0.0
322,rockin,0.0
323,rocking,0.0
324,rocks,0.0
325,role,0.0
326,roll,0.0
327,rolled,0.0
328,rollercoaster,0.0
329,ritmo,0.0
330,riso,0.0
331,rising,0.0
332,rise,0.0
333,rhyming,0.0
334,rhythm,0.0
335,ribbon,0.0
336,rica,0.0
337,rich,0.0
338,richard,0.0
339,ride,0.0
340,riding,0.0
341,right,0.0
342,righteous,0.0
343,rights,0.0
344,rims,0.0
345,ring,0.0
346,ripe,0.0
347,ripped,0.0
348,pittsfield,0.0
349,petite,0.0
350,pirate,0.0
351,mmmmm,0.0
352,mirror,0.0
353,mis,0.0
354,miss,0.0
355,mistakes,0.0
356,mister,0.0
357,mma,0.0
358,mmm,0.0
359,mmmmmm,0.0
