,term,score
0,high,0.7513235931262937
1,hopes,0.48945264889694284
2,didn,0.17024439961632795
3,wanted,0.13995460729998474
4,eh,0.13995460729998474
5,living,0.1306649727176163
6,mama,0.09914722368258208
7,shooting,0.09330307153332316
8,killing,0.09330307153332316
9,vision,0.09330307153332316
10,dime,0.09330307153332316
11,stars,0.08512219980816398
12,million,0.07931777894606566
13,rise,0.0748155203470075
14,stay,0.07113690722090646
15,couldn,0.07113690722090646
16,said,0.06755173944008758
17,feeling,0.05890720074832823
18,make,0.0585561689656156
19,gonna,0.05395790255798929
20,complicated,0.04256109990408199
21,tied,0.03965888947303283
22,hate,0.03556845361045323
23,know,0.03337046764845208
24,waiting,0.03266624317940407
25,little,0.02448537145424487
26,don,0.023550347902611544
27,manifest,0.02332576788333079
28,weird,0.02332576788333079
29,wannabes,0.02332576788333079
30,legacy,0.02332576788333079
31,uphill,0.02332576788333079
32,wildest,0.02332576788333079
33,museum,0.02332576788333079
34,rewrite,0.02332576788333079
35,biographies,0.02332576788333079
36,crusaders,0.02332576788333079
37,novelties,0.02332576788333079
38,oddities,0.02332576788333079
39,fulfill,0.02332576788333079
40,victories,0.02332576788333079
41,history,0.02332576788333079
42,prophecy,0.02332576788333079
43,haven,0.02332576788333079
44,stranger,0.021280549952040994
45,come,0.020028049482406277
46,sight,0.019829444736516415
47,greater,0.019829444736516415
48,destiny,0.019829444736516415
49,seen,0.018703880086751876
50,dreams,0.018703880086751876
51,days,0.017784226805226615
52,love,0.017492725160616118
53,burn,0.017006671034831895
54,change,0.016333121589702036
55,light,0.015739008873936814
56,best,0.015207556939937496
57,run,0.014287903658412237
58,day,0.013510347888017518
59,ain,0.01283679844288766
60,say,0.010014024741203139
61,got,0.00918525910897788
62,oh,0.008746362580308059
63,second,0.0
64,pushin,0.0
65,pump,0.0
66,pumpin,0.0
67,seamstress,0.0
68,sea,0.0
69,punishment,0.0
70,push,0.0
71,pussy,0.0
72,pulmones,0.0
73,putting,0.0
74,quarrels,0.0
75,que,0.0
76,quede,0.0
77,queen,0.0
78,pulque,0.0
79,pulling,0.0
80,propio,0.0
81,reaction,0.0
82,read,0.0
83,puffin,0.0
84,puedo,0.0
85,searching,0.0
86,puedes,0.0
87,pueblo,0.0
88,prudence,0.0
89,prove,0.0
90,reading,0.0
91,proud,0.0
92,seca,0.0
93,prototype,0.0
94,pros,0.0
95,pull,0.0
96,raíz,0.0
97,raíces,0.0
98,rapper,0.0
99,raise,0.0
100,raised,0.0
101,ranch,0.0
102,ransacked,0.0
103,rapidly,0.0
104,screen,0.0
105,rated,0.0
106,queens,0.0
107,rationale,0.0
108,rattle,0.0
109,screamin,0.0
110,rattlesnakers,0.0
111,ray,0.0
112,razona,0.0
113,rained,0.0
114,rain,0.0
115,screwed,0.0
116,ragin,0.0
117,reach,0.0
118,radio,0.0
119,race,0.0
120,quoting,0.0
121,quit,0.0
122,quiet,0.0
123,quiere,0.0
124,quick,0.0
125,scufflin,0.0
126,questions,0.0
127,quench,0.0
128,prophets,0.0
129,quejido,0.0
130,se,0.0
131,secrets,0.0
132,prophesize,0.0
133,scream,0.0
134,pool,0.0
135,pop,0.0
136,poppin,0.0
137,por,0.0
138,porch,0.0
139,porque,0.0
140,position,0.0
141,positive,0.0
142,possess,0.0
143,poster,0.0
144,seek,0.0
145,potent,0.0
146,pour,0.0
147,poverty,0.0
148,powder,0.0
149,sees,0.0
150,poodle,0.0
151,político,0.0
152,pliers,0.0
153,play,0.0
154,played,0.0
155,player,0.0
156,playing,0.0
157,pleased,0.0
158,plex,0.0
159,plus,0.0
160,polish,0.0
161,pode,0.0
162,poe,0.0
163,poems,0.0
164,poetical,0.0
165,points,0.0
166,poisonous,0.0
167,seeing,0.0
168,power,0.0
169,powers,0.0
170,process,0.0
171,pricing,0.0
172,pride,0.0
173,princess,0.0
174,prob,0.0
175,problem,0.0
176,problems,0.0
177,promise,0.0
178,price,0.0
179,promises,0.0
180,promotion,0.0
181,proof,0.0
182,propers,0.0
183,section,0.0
184,property,0.0
185,seed,0.0
186,prey,0.0
187,pr,0.0
188,preaching,0.0
189,praise,0.0
190,pranto,0.0
191,pray,0.0
192,seein,0.0
193,prayer,0.0
194,preachers,0.0
195,precisely,0.0
196,pretty,0.0
197,pregones,0.0
198,pregón,0.0
199,present,0.0
200,presidentes,0.0
201,press,0.0
202,pretending,0.0
203,ready,0.0
204,sap,0.0
205,real,0.0
206,scandalous,0.0
207,rollercoaster,0.0
208,rollie,0.0
209,rolls,0.0
210,romance,0.0
211,roof,0.0
212,sayin,0.0
213,rookie,0.0
214,room,0.0
215,rooms,0.0
216,root,0.0
217,rope,0.0
218,rose,0.0
219,rot,0.0
220,rough,0.0
221,round,0.0
222,rolled,0.0
223,roll,0.0
224,role,0.0
225,roam,0.0
226,ritmo,0.0
227,rituales,0.0
228,rival,0.0
229,road,0.0
230,roadrunner,0.0
231,roads,0.0
232,robaron,0.0
233,rocks,0.0
234,says,0.0
235,rock,0.0
236,saying,0.0
237,rocked,0.0
238,rockin,0.0
239,rocking,0.0
240,row,0.0
241,rub,0.0
242,rude,0.0
243,sake,0.0
244,ríos,0.0
245,sacrifice,0.0
246,safer,0.0
247,satisfaction,0.0
248,sail,0.0
249,satan,0.0
250,saliva,0.0
251,russia,0.0
252,sally,0.0
253,salvador,0.0
254,sand,0.0
255,sarasota,0.0
256,sangre,0.0
257,santa,0.0
258,ry,0.0
259,rush,0.0
260,sax,0.0
261,rumors,0.0
262,ruffians,0.0
263,ruger,0.0
264,saw,0.0
265,rule,0.0
266,rules,0.0
267,rum,0.0
268,saving,0.0
269,runway,0.0
270,savin,0.0
271,save,0.0
272,runaway,0.0
273,runnin,0.0
274,running,0.0
275,runs,0.0
276,riso,0.0
277,rising,0.0
278,really,0.0
279,ripped,0.0
280,rehearse,0.0
281,rehearsed,0.0
282,reign,0.0
283,rejoice,0.0
284,relate,0.0
285,relentlessly,0.0
286,religion,0.0
287,remember,0.0
288,remind,0.0
289,planned,0.0
290,reno,0.0
291,repleta,0.0
292,scraper,0.0
293,reppin,0.0
294,repping,0.0
295,regular,0.0
296,regret,0.0
297,regreso,0.0
298,reconstruyo,0.0
299,rear,0.0
300,santos,0.0
301,reasons,0.0
302,rebels,0.0
303,recital,0.0
304,recite,0.0
305,record,0.0
306,regard,0.0
307,recuerdes,0.0
308,recuerdo,0.0
309,scrappy,0.0
310,red,0.0
311,reflection,0.0
312,refuse,0.0
313,rescue,0.0
314,respect,0.0
315,respected,0.0
316,riding,0.0
317,rica,0.0
318,scene,0.0
319,rich,0.0
320,richard,0.0
321,scared,0.0
322,ride,0.0
323,right,0.0
324,schefferville,0.0
325,scanner,0.0
326,righteous,0.0
327,rights,0.0
328,rims,0.0
329,ring,0.0
330,ripe,0.0
331,ribbon,0.0
332,rhythm,0.0
333,respira,0.0
334,revolutionary,0.0
335,respirando,0.0
336,rest,0.0
337,resume,0.0
338,return,0.0
339,reverse,0.0
340,revolution,0.0
341,science,0.0
342,rhyming,0.0
343,school,0.0
344,scholarship,0.0
345,scheme,0.0
346,rexburg,0.0
347,rhyme,0.0
348,rhymes,0.0
349,reason,0.0
350,pie,0.0
351,planeta,0.0
352,monie,0.0
353,mma,0.0
354,mmm,0.0
355,mmmmm,0.0
356,mmmmmm,0.0
357,modern,0.0
358,moment,0.0
359,money,0.0
360,monroe,0.0
361,mistakes,0.0
362,mont,0.0
363,montañas,0.0
364,monterey,0.0
365,montgomery,0.0
366,monáe,0.0
367,moon,0.0
368,moonlight,0.0
369,mister,0.0
370,miss,0.0
371,mornings,0.0
372,mills,0.0
373,michigan,0.0
374,mics,0.0
375,middleman,0.0
376,midnight,0.0
377,mike,0.0
378,miles,0.0
379,millions,0.0
380,mind,0.0
381,mis,0.0
382,minds,0.0
383,mines,0.0
384,minha,0.0
385,minhas,0.0
386,minnesota,0.0
387,miro,0.0
388,mirror,0.0
389,morning,0.0
390,mother,0.0
391,nebraska,0.0
392,namin,0.0
393,mío,0.0
394,na,0.0
395,nace,0.0
396,naciste,0.0
397,nadie,0.0
398,nah,0.0
399,nails,0.0
400,nap,0.0
401,muthafucka,0.0
402,narc,0.0
403,nasdaq,0.0
404,nashville,0.0
405,nation,0.0
406,natural,0.0
407,naturale,0.0
408,naysayers,0.0
409,más,0.0
410,mutha,0.0
411,mothers,0.0
412,moving,0.0
413,mountain,0.0
414,mountaineers,0.0
415,mountains,0.0
416,moustache,0.0
417,mouthpiece,0.0
418,moved,0.0
419,moves,0.0
420,mr,0.0
421,music,0.0
422,muelas,0.0
423,muere,0.0
424,mueve,0.0
425,muffin,0.0
426,mulligan,0.0
427,muscle,0.0
428,muscles,0.0
429,mic,0.0
430,mi,0.0
431,metropolis,0.0
432,making,0.0
433,mack,0.0
434,mad,0.0
435,madre,0.0
436,magic,0.0
437,major,0.0
438,makes,0.0
439,makin,0.0
440,mami,0.0
441,macho,0.0
442,man,0.0
443,manage,0.0
444,mano,0.0
445,manos,0.0
446,map,0.0
447,maquilla,0.0
448,mar,0.0
449,machos,0.0
450,machine,0.0
451,met,0.0
452,luck,0.0
453,lovers,0.0
