,term,score
0,oh,0.7933175889731725
1,king,0.30010700039030075
2,dare,0.19680996840440426
3,disagree,0.19680996840440426
4,cares,0.17955354716028663
5,died,0.17955354716028663
6,tell,0.12912128998237057
7,babe,0.083654960719634
8,ve,0.06829005469865841
9,just,0.05534773876557017
10,innocent,0.049202492101101065
11,listening,0.049202492101101065
12,masks,0.049202492101101065
13,entitled,0.049202492101101065
14,decide,0.049202492101101065
15,opinions,0.049202492101101065
16,ahh,0.049202492101101065
17,drinking,0.049202492101101065
18,drowning,0.049202492101101065
19,direction,0.049202492101101065
20,thank,0.049202492101101065
21,crown,0.049202492101101065
22,intent,0.049202492101101065
23,delusional,0.049202492101101065
24,able,0.049202492101101065
25,coffee,0.049202492101101065
26,table,0.049202492101101065
27,sunset,0.049202492101101065
28,hurt,0.044888386790071656
29,quiet,0.044888386790071656
30,count,0.044888386790071656
31,asked,0.044888386790071656
32,expect,0.044888386790071656
33,board,0.044888386790071656
34,cars,0.044888386790071656
35,swear,0.044888386790071656
36,busy,0.044888386790071656
37,caps,0.044888386790071656
38,jump,0.041827480359817
39,hide,0.041827480359817
40,stare,0.041827480359817
41,sound,0.041827480359817
42,fast,0.041827480359817
43,waste,0.041827480359817
44,turn,0.041827480359817
45,lost,0.041827480359817
46,save,0.039453256880173496
47,making,0.039453256880173496
48,pass,0.039453256880173496
49,tried,0.039453256880173496
50,got,0.03875007596890453
51,talking,0.037513375048787594
52,ride,0.037513375048787594
53,hate,0.037513375048787594
54,outside,0.037513375048787594
55,happy,0.037513375048787594
56,let,0.03689849251038012
57,everybody,0.035873228330258695
58,em,0.035873228330258695
59,waiting,0.03445246861853294
60,break,0.03319926973775818
61,best,0.03207824513888943
62,things,0.03013836330750353
63,try,0.029286717473180693
64,hold,0.028498216588974633
65,good,0.028498216588974633
66,look,0.028498216588974633
67,life,0.024703233397605377
68,make,0.024703233397605377
69,man,0.024184111277945224
70,say,0.021123204847690574
71,time,0.020389128086575965
72,ll,0.017873976813331013
73,know,0.017597600420867218
74,rained,0.0
75,reaction,0.0
76,quench,0.0
77,quejido,0.0
78,queens,0.0
79,read,0.0
80,queen,0.0
81,reading,0.0
82,ready,0.0
83,real,0.0
84,quede,0.0
85,que,0.0
86,really,0.0
87,rear,0.0
88,quarrels,0.0
89,putting,0.0
90,reason,0.0
91,pussy,0.0
92,pushin,0.0
93,reasons,0.0
94,push,0.0
95,punishment,0.0
96,pumpin,0.0
97,questions,0.0
98,reach,0.0
99,raise,0.0
100,raíz,0.0
101,rain,0.0
102,ragin,0.0
103,raised,0.0
104,pulque,0.0
105,radio,0.0
106,ranch,0.0
107,ransacked,0.0
108,rapidly,0.0
109,rapper,0.0
110,rated,0.0
111,rationale,0.0
112,race,0.0
113,quoting,0.0
114,quit,0.0
115,rattle,0.0
116,rattlesnakers,0.0
117,ray,0.0
118,quiere,0.0
119,razona,0.0
120,raíces,0.0
