,term,score
0,baila,0.4447155229483979
1,todos,0.365150328730787
2,ritmo,0.3557724183587183
3,mueve,0.26682931376903873
4,hey,0.22585094965615807
5,bailar,0.22235776147419894
6,cumbia,0.22235776147419894
7,esta,0.2028612937393261
8,vamos,0.2028612937393261
9,griten,0.17788620917935916
10,que,0.1426389194224672
11,sentado,0.13341465688451937
12,quede,0.13341465688451937
13,nadie,0.13341465688451937
14,igual,0.12171677624359567
15,se,0.1069791895668504
16,sin,0.09727178938796845
17,gozar,0.08894310458967958
18,algo,0.08894310458967958
19,manos,0.08894310458967958
20,alto,0.08894310458967958
21,cintura,0.08894310458967958
22,tomen,0.08894310458967958
23,parejas,0.08894310458967958
24,locura,0.08894310458967958
25,siento,0.08114451749573044
26,hace,0.08114451749573044
27,en,0.0756113318959858
28,su,0.0756113318959858
29,las,0.0756113318959858
30,la,0.06484785959197896
31,questions,0.0
32,prudence,0.0
33,quench,0.0
34,puedo,0.0
35,quejido,0.0
36,pueblo,0.0
37,queens,0.0
38,queen,0.0
39,prove,0.0
40,puedes,0.0
41,pump,0.0
42,quarrels,0.0
43,puffin,0.0
44,pulque,0.0
45,putting,0.0
46,pussy,0.0
47,pushin,0.0
48,pulling,0.0
49,pulmones,0.0
50,push,0.0
51,punishment,0.0
52,quick,0.0
53,pumpin,0.0
54,pull,0.0
55,radio,0.0
56,quiere,0.0
57,raíces,0.0
58,reach,0.0
59,reaction,0.0
60,read,0.0
61,reading,0.0
62,ready,0.0
63,real,0.0
64,really,0.0
65,rear,0.0
66,reason,0.0
67,reasons,0.0
68,rebels,0.0
69,recital,0.0
70,recite,0.0
71,reconstruyo,0.0
72,record,0.0
73,recuerdes,0.0
74,recuerdo,0.0
75,raíz,0.0
76,razona,0.0
77,quiet,0.0
78,ray,0.0
79,quit,0.0
80,quoting,0.0
81,race,0.0
82,prototype,0.0
83,ragin,0.0
84,rain,0.0
85,rained,0.0
86,raise,0.0
87,raised,0.0
88,ranch,0.0
89,ransacked,0.0
90,rapidly,0.0
91,rapper,0.0
92,rated,0.0
93,rationale,0.0
94,rattle,0.0
95,rattlesnakers,0.0
96,proud,0.0
97,promises,0.0
98,pros,0.0
99,pool,0.0
100,poems,0.0
101,poetical,0.0
102,points,0.0
103,poisonous,0.0
104,polish,0.0
105,político,0.0
106,poodle,0.0
107,pop,0.0
108,pode,0.0
109,poppin,0.0
110,por,0.0
111,porch,0.0
112,porque,0.0
113,position,0.0
114,positive,0.0
115,possess,0.0
116,poe,0.0
117,plus,0.0
118,potent,0.0
119,plan,0.0
120,pipe,0.0
121,pirate,0.0
122,pittsburgh,0.0
123,pittsfield,0.0
124,pity,0.0
125,place,0.0
126,places,0.0
127,planeta,0.0
128,pliers,0.0
129,planned,0.0
130,play,0.0
131,played,0.0
132,player,0.0
133,playing,0.0
134,pleased,0.0
135,plex,0.0
136,poster,0.0
137,pour,0.0
138,propio,0.0
139,promise,0.0
140,pricing,0.0
141,pride,0.0
142,princess,0.0
143,prob,0.0
144,problem,0.0
145,problems,0.0
146,process,0.0
147,reflection,0.0
148,prey,0.0
149,promotion,0.0
150,proof,0.0
151,propers,0.0
152,property,0.0
153,prophecy,0.0
154,prophesize,0.0
155,prophets,0.0
156,price,0.0
157,pretty,0.0
158,poverty,0.0
159,prayer,0.0
160,powder,0.0
161,power,0.0
162,powers,0.0
163,pr,0.0
164,praise,0.0
165,pranto,0.0
166,pray,0.0
167,preachers,0.0
168,pretending,0.0
169,preaching,0.0
170,precisely,0.0
171,pregones,0.0
172,pregón,0.0
173,present,0.0
174,presidentes,0.0
175,press,0.0
176,red,0.0
177,relate,0.0
178,refuse,0.0
179,sangre,0.0
180,said,0.0
181,sail,0.0
182,sake,0.0
183,saliva,0.0
184,sally,0.0
185,salvador,0.0
186,sand,0.0
187,santa,0.0
188,sacrifice,0.0
189,santos,0.0
190,sap,0.0
191,sarasota,0.0
192,satan,0.0
193,satisfaction,0.0
194,save,0.0
195,savin,0.0
196,safer,0.0
197,ríos,0.0
198,round,0.0
199,rumors,0.0
200,rub,0.0
201,rude,0.0
202,ruffians,0.0
203,ruger,0.0
204,rule,0.0
205,rules,0.0
206,rum,0.0
207,run,0.0
208,ry,0.0
209,runaway,0.0
210,runnin,0.0
211,running,0.0
212,runs,0.0
213,runway,0.0
214,rush,0.0
215,russia,0.0
216,saving,0.0
217,saw,0.0
218,sax,0.0
219,seed,0.0
220,sea,0.0
221,seamstress,0.0
222,searching,0.0
223,seca,0.0
224,second,0.0
225,secrets,0.0
226,section,0.0
227,seein,0.0
228,say,0.0
229,seeing,0.0
230,seek,0.0
231,seen,0.0
232,sees,0.0
233,self,0.0
234,sell,0.0
235,semi,0.0
236,scufflin,0.0
237,screwed,0.0
238,screen,0.0
239,screamin,0.0
240,sayin,0.0
241,saying,0.0
242,says,0.0
243,scandalous,0.0
244,scanner,0.0
245,scared,0.0
246,scene,0.0
247,schefferville,0.0
248,scheme,0.0
249,scholarship,0.0
250,school,0.0
251,science,0.0
252,scraper,0.0
253,scrappy,0.0
254,scream,0.0
255,row,0.0
256,rough,0.0
257,regard,0.0
258,rewrite,0.0
259,respirando,0.0
260,rest,0.0
261,resume,0.0
262,return,0.0
263,reverse,0.0
264,revolution,0.0
265,revolutionary,0.0
266,rexburg,0.0
267,respected,0.0
268,rhyme,0.0
269,rhymes,0.0
270,rhyming,0.0
271,rhythm,0.0
272,ribbon,0.0
273,rica,0.0
274,rich,0.0
275,respira,0.0
276,respect,0.0
277,rot,0.0
278,pills,0.0
279,regreso,0.0
280,regret,0.0
281,regular,0.0
282,rehearse,0.0
283,rehearsed,0.0
284,reign,0.0
285,rejoice,0.0
286,relentlessly,0.0
287,rescue,0.0
288,religion,0.0
289,remember,0.0
290,remind,0.0
291,reno,0.0
292,repleta,0.0
293,reppin,0.0
294,repping,0.0
295,richard,0.0
296,ride,0.0
297,riding,0.0
298,rolls,0.0
299,rocking,0.0
300,rocks,0.0
301,role,0.0
302,roll,0.0
303,rolled,0.0
304,rollercoaster,0.0
305,rollie,0.0
306,romance,0.0
307,right,0.0
308,roof,0.0
309,rookie,0.0
310,room,0.0
311,rooms,0.0
312,root,0.0
313,rope,0.0
314,rose,0.0
315,rockin,0.0
316,rocked,0.0
317,rock,0.0
318,robaron,0.0
319,righteous,0.0
320,rights,0.0
321,rims,0.0
322,ring,0.0
323,ripe,0.0
324,ripped,0.0
325,rise,0.0
326,rising,0.0
327,riso,0.0
328,rituales,0.0
329,rival,0.0
330,road,0.0
331,roadrunner,0.0
332,roads,0.0
333,roam,0.0
334,pink,0.0
335,128,0.0
336,piernas,0.0
337,miss,0.0
338,mines,0.0
339,minha,0.0
340,minhas,0.0
341,minnesota,0.0
342,miro,0.0
343,mirror,0.0
344,mis,0.0
345,mistakes,0.0
346,mind,0.0
347,mister,0.0
348,mma,0.0
349,mmm,0.0
350,mmmmm,0.0
351,mmmmmm,0.0
352,modern,0.0
353,moment,0.0
354,minds,0.0
355,mills,0.0
356,monie,0.0
357,mi,0.0
358,mercy,0.0
359,merrily,0.0
360,mess,0.0
361,message,0.0
362,messenger,0.0
363,met,0.0
364,metropolis,0.0
365,mic,0.0
366,millions,0.0
367,michigan,0.0
368,mics,0.0
369,middleman,0.0
370,midnight,0.0
371,mike,0.0
372,miles,0.0
373,million,0.0
374,money,0.0
375,monroe,0.0
376,mention,0.0
377,mutha,0.0
378,muere,0.0
379,muffin,0.0
380,mulligan,0.0
381,muscle,0.0
382,muscles,0.0
383,museum,0.0
384,music,0.0
385,muthafucka,0.0
386,mr,0.0
387,más,0.0
388,mío,0.0
389,na,0.0
390,nace,0.0
391,naciste,0.0
392,nah,0.0
393,nails,0.0
394,muelas,0.0
395,moving,0.0
396,mont,0.0
397,mornings,0.0
398,montañas,0.0
399,monterey,0.0
400,montgomery,0.0
401,monáe,0.0
402,moon,0.0
403,moonlight,0.0
404,morning,0.0
405,mother,0.0
406,moves,0.0
407,mothers,0.0
408,mountain,0.0
409,mountaineers,0.0
410,mountains,0.0
411,moustache,0.0
412,mouthpiece,0.0
413,moved,0.0
414,mentions,0.0
415,men,0.0
416,nap,0.0
417,machos,0.0
418,lyin,0.0
419,lying,0.0
420,lyrical,0.0
421,ma,0.0
422,macbook,0.0
423,machine,0.0
424,macho,0.0
425,mack,0.0
426,lure,0.0
427,mad,0.0
428,madre,0.0
429,magic,0.0
430,major,0.0
431,make,0.0
432,makes,0.0
433,makin,0.0
434,ly,0.0
435,luna,0.0
436,mama,0.0
437,lover,0.0
438,lot,0.0
439,lots,0.0
440,lotta,0.0
441,louisiana,0.0
442,louisville,0.0
443,love,0.0
444,lovely,0.0
445,lovers,0.0
446,lucky,0.0
447,loves,0.0
448,lovin,0.0
449,loving,0.0
450,low,0.0
451,loyal,0.0
452,lucha,0.0
453,luck,0.0
454,making,0.0
455,mami,0.0
456,memory,0.0
457,means,0.0
458,mattawa,0.0
459,matter,0.0
460,matters,0.0
461,maybe,0.0
462,meals,0.0
463,mean,0.0
464,meaning,0.0
465,meant,0.0
466,matchbook,0.0
467,measurements,0.0
468,medio,0.0
469,meeting,0.0
470,mejores,0.0
471,melancolía,0.0
472,melt,0.0
473,melted,0.0
474,material,0.0
475,master,0.0
476,man,0.0
477,march,0.0
478,manage,0.0
479,manifest,0.0
480,mano,0.0
481,map,0.0
482,maquilla,0.0
483,mar,0.0
484,maradona,0.0
485,marilyn,0.0
486,masses,0.0
487,marry,0.0
488,marullos,0.0
489,masa,0.0
490,mascando,0.0
491,maserati,0.0
492,masks,0.0
493,massachusetts,0.0
494,namin,0.0
495,narc,0.0
496,piel,0.0
497,paranoia,0.0
498,paloma,0.0
499,palpitar,0.0
500,panama,0.0
501,pane,0.0
502,paper,0.0
503,papers,0.0
504,para,0.0
505,parentheses,0.0
506,painting,0.0
507,paripititumon,0.0
508,parkersburg,0.0
509,partner,0.0
510,party,0.0
511,pasadena,0.0
512,pasar,0.0
513,pass,0.0
514,palm,0.0
515,paint,0.0
516,passion,0.0
517,pa,0.0
518,overcome,0.0
519,overjoyed,0.0
520,overseas,0.0
521,ow,0.0
522,owe,0.0
523,oye,0.0
524,ozone,0.0
525,pack,0.0
526,painful,0.0
527,package,0.0
528,packaged,0.0
529,padilla,0.0
530,padre,0.0
531,pages,0.0
532,paid,0.0
533,pain,0.0
534,passed,0.0
535,past,0.0
536,outta,0.0
537,phife,0.0
538,persuasion,0.0
539,pestañeo,0.0
540,pete,0.0
541,petersburg,0.0
542,petite,0.0
543,peyote,0.0
544,phase,0.0
545,photo,0.0
546,pero,0.0
547,senators,0.0
548,piano,0.0
549,pick,0.0
550,picture,0.0
551,pie,0.0
552,piece,0.0
553,pieces,0.0
554,person,0.0
555,permanent,0.0
556,path,0.0
557,peas,0.0
558,patient,0.0
559,patria,0.0
560,paul,0.0
561,paws,0.0
562,pay,0.0
563,peace,0.0
564,peanut,0.0
565,pedazo,0.0
566,perfect,0.0
567,peina,0.0
568,pellet,0.0
569,pen,0.0
570,pena,0.0
571,penar,0.0
572,people,0.0
573,perdono,0.0
574,oven,0.0
575,outside,0.0
576,nasdaq,0.0
577,northern,0.0
578,niggas,0.0
579,night,0.0
580,nights,0.0
581,noche,0.0
582,noise,0.0
583,nope,0.0
584,norma,0.0
585,nos,0.0
586,nieve,0.0
587,nostalgia,0.0
588,nothin,0.0
589,novelties,0.0
590,nubes,0.0
591,nude,0.0
592,nuff,0.0
593,numb,0.0
594,nigga,0.0
595,nido,0.0
596,nuvens,0.0
597,necesito,0.0
598,nashville,0.0
599,nation,0.0
600,natural,0.0
601,naturale,0.0
602,naysayers,0.0
603,near,0.0
