,term,score
0,piece,0.4621748854443907
1,want,0.38214349882900683
2,pie,0.2773049312666344
3,american,0.2773049312666344
4,need,0.17523980947890413
5,beliefs,0.16309963656513501
6,slice,0.16309963656513501
7,fingers,0.16309963656513501
8,unsee,0.16309963656513501
9,lick,0.16309963656513501
10,called,0.16309963656513501
11,just,0.1630847127520377
12,thing,0.15855322913484066
13,chains,0.13078223446985138
14,flame,0.13078223446985138
15,got,0.1284512844270802
16,gonna,0.1257624092097464
17,whoa,0.1243517873894835
18,like,0.11463819287591107
19,break,0.11005110914564976
20,old,0.11005110914564976
21,antiques,0.10873309104342334
22,dirty,0.10873309104342334
23,looks,0.09919930554753421
24,say,0.0933607733166598
25,years,0.082901191592989
26,life,0.08188789260621575
27,don,0.07318664735660287
28,coming,0.07089004235868904
29,new,0.07089004235868904
30,rooms,0.05436654552171167
31,dignity,0.05436654552171167
32,lets,0.05436654552171167
33,beggar,0.05436654552171167
34,sweep,0.05436654552171167
35,freaks,0.04959965277376711
36,stranger,0.04959965277376711
37,southern,0.04959965277376711
38,choose,0.04959965277376711
39,learning,0.04959965277376711
40,hurting,0.04959965277376711
41,baby,0.048422902835234656
42,smile,0.04621748854443907
43,laugh,0.04621748854443907
44,lose,0.04621748854443907
45,keeps,0.04359407815661713
46,room,0.04359407815661713
47,funny,0.04359407815661713
48,truth,0.03806843156716646
49,money,0.03806843156716646
50,light,0.036683703048549926
51,running,0.036683703048549926
52,live,0.03432449712973055
53,right,0.02920663491315069
54,world,0.027295964202071917
55,let,0.020385589094004713
56,love,0.020385589094004713
57,yeah,0.020063470202029424
58,know,0.019444558669672755
59,quench,0.0
60,questions,0.0
61,pulling,0.0
62,pull,0.0
63,punishment,0.0
64,quejido,0.0
65,queens,0.0
66,pulmones,0.0
67,pulque,0.0
68,pump,0.0
69,quede,0.0
70,que,0.0
71,quarrels,0.0
72,putting,0.0
73,pussy,0.0
74,quick,0.0
75,pumpin,0.0
76,pushin,0.0
77,push,0.0
78,queen,0.0
79,128,0.0
80,quiere,0.0
81,rattlesnakers,0.0
82,razona,0.0
83,raíces,0.0
84,raíz,0.0
85,reach,0.0
86,reaction,0.0
87,read,0.0
88,reading,0.0
89,ready,0.0
90,real,0.0
91,really,0.0
92,rear,0.0
93,reason,0.0
94,reasons,0.0
95,rebels,0.0
96,recital,0.0
97,ray,0.0
98,rattle,0.0
99,quiet,0.0
100,rationale,0.0
101,quit,0.0
102,quoting,0.0
103,race,0.0
104,puedo,0.0
105,radio,0.0
106,ragin,0.0
107,rain,0.0
108,rained,0.0
109,raise,0.0
110,raised,0.0
111,ranch,0.0
112,ransacked,0.0
113,rapidly,0.0
114,rapper,0.0
115,rated,0.0
116,puffin,0.0
117,propers,0.0
118,puedes,0.0
119,position,0.0
120,poodle,0.0
121,pool,0.0
122,pop,0.0
123,poppin,0.0
124,por,0.0
125,porch,0.0
126,porque,0.0
127,positive,0.0
128,polish,0.0
129,possess,0.0
130,poster,0.0
131,potent,0.0
132,pour,0.0
133,poverty,0.0
134,powder,0.0
135,power,0.0
136,político,0.0
137,poisonous,0.0
138,pueblo,0.0
139,playing,0.0
140,places,0.0
141,plan,0.0
142,planeta,0.0
143,planned,0.0
144,play,0.0
145,played,0.0
146,player,0.0
147,pleased,0.0
148,points,0.0
149,plex,0.0
150,pliers,0.0
151,plus,0.0
152,pode,0.0
153,poe,0.0
154,poems,0.0
155,poetical,0.0
156,powers,0.0
157,pr,0.0
158,praise,0.0
159,prophecy,0.0
160,problems,0.0
161,process,0.0
162,promise,0.0
163,promises,0.0
164,promotion,0.0
165,proof,0.0
166,property,0.0
167,prophesize,0.0
168,pranto,0.0
169,prophets,0.0
170,propio,0.0
171,pros,0.0
172,prototype,0.0
173,proud,0.0
174,prove,0.0
175,prudence,0.0
176,problem,0.0
177,prob,0.0
178,princess,0.0
179,pride,0.0
180,pray,0.0
181,prayer,0.0
182,preachers,0.0
183,preaching,0.0
184,precisely,0.0
185,pregones,0.0
186,pregón,0.0
187,present,0.0
188,presidentes,0.0
189,press,0.0
190,pretending,0.0
191,pretty,0.0
192,prey,0.0
193,price,0.0
194,pricing,0.0
195,recite,0.0
196,relate,0.0
197,reconstruyo,0.0
198,sake,0.0
199,russia,0.0
200,ry,0.0
201,ríos,0.0
202,sacrifice,0.0
203,safer,0.0
204,said,0.0
205,sail,0.0
206,saliva,0.0
207,satan,0.0
208,sally,0.0
209,salvador,0.0
210,sand,0.0
211,sangre,0.0
212,santa,0.0
213,santos,0.0
214,sap,0.0
215,rush,0.0
216,runway,0.0
217,runs,0.0
218,runnin,0.0
219,rose,0.0
220,rot,0.0
221,rough,0.0
222,round,0.0
223,row,0.0
224,rub,0.0
225,rude,0.0
226,ruffians,0.0
227,ruger,0.0
228,rule,0.0
229,rules,0.0
230,rum,0.0
231,rumors,0.0
232,run,0.0
233,runaway,0.0
234,sarasota,0.0
235,satisfaction,0.0
236,root,0.0
237,searching,0.0
238,screamin,0.0
239,screen,0.0
240,screwed,0.0
241,scufflin,0.0
242,se,0.0
243,sea,0.0
244,seamstress,0.0
245,seca,0.0
246,save,0.0
247,second,0.0
248,secrets,0.0
249,section,0.0
250,seed,0.0
251,seein,0.0
252,seeing,0.0
253,seek,0.0
254,scream,0.0
255,scrappy,0.0
256,scraper,0.0
257,science,0.0
258,savin,0.0
259,saving,0.0
260,saw,0.0
261,sax,0.0
262,sayin,0.0
263,saying,0.0
264,says,0.0
265,scandalous,0.0
266,scanner,0.0
267,scared,0.0
268,scene,0.0
269,schefferville,0.0
270,scheme,0.0
271,scholarship,0.0
272,school,0.0
273,rope,0.0
274,rookie,0.0
275,record,0.0
276,respirando,0.0
277,repleta,0.0
278,reppin,0.0
279,repping,0.0
280,rescue,0.0
281,respect,0.0
282,respected,0.0
283,respira,0.0
284,rest,0.0
285,rhymes,0.0
286,resume,0.0
287,return,0.0
288,reverse,0.0
289,revolution,0.0
290,revolutionary,0.0
291,rewrite,0.0
292,rexburg,0.0
293,reno,0.0
294,remind,0.0
295,remember,0.0
296,religion,0.0
297,recuerdes,0.0
298,recuerdo,0.0
299,red,0.0
300,reflection,0.0
301,refuse,0.0
302,regard,0.0
303,regreso,0.0
304,regret,0.0
305,regular,0.0
306,rehearse,0.0
307,rehearsed,0.0
308,reign,0.0
309,rejoice,0.0
310,pity,0.0
311,relentlessly,0.0
312,rhyme,0.0
313,rhyming,0.0
314,roof,0.0
315,rocking,0.0
316,roadrunner,0.0
317,roads,0.0
318,roam,0.0
319,robaron,0.0
320,rock,0.0
321,rocked,0.0
322,rockin,0.0
323,rocks,0.0
324,rhythm,0.0
325,role,0.0
326,roll,0.0
327,rolled,0.0
328,rollercoaster,0.0
329,rollie,0.0
330,rolls,0.0
331,romance,0.0
332,road,0.0
333,rival,0.0
334,rituales,0.0
335,ritmo,0.0
336,ribbon,0.0
337,rica,0.0
338,rich,0.0
339,richard,0.0
340,ride,0.0
341,riding,0.0
342,righteous,0.0
343,rights,0.0
344,rims,0.0
345,ring,0.0
346,ripe,0.0
347,ripped,0.0
348,rise,0.0
349,rising,0.0
350,riso,0.0
351,place,0.0
352,peyote,0.0
353,pittsfield,0.0
354,mmmmmm,0.0
355,mis,0.0
356,miss,0.0
357,mistakes,0.0
358,mister,0.0
359,mma,0.0
360,mmm,0.0
361,mmmmm,0.0
362,modern,0.0
363,miro,0.0
364,moment,0.0
365,monie,0.0
366,monroe,0.0
367,mont,0.0
368,montañas,0.0
369,monterey,0.0
370,montgomery,0.0
371,mirror,0.0
372,minnesota,0.0
373,nation,0.0
374,mike,0.0
375,metropolis,0.0
376,mi,0.0
377,mic,0.0
378,michigan,0.0
379,mics,0.0
380,middleman,0.0
381,midnight,0.0
382,miles,0.0
383,minhas,0.0
384,million,0.0
385,millions,0.0
386,mills,0.0
387,mind,0.0
388,minds,0.0
389,mines,0.0
390,minha,0.0
391,monáe,0.0
392,moon,0.0
393,moonlight,0.0
394,nace,0.0
395,museum,0.0
396,music,0.0
397,mutha,0.0
398,muthafucka,0.0
399,más,0.0
400,mío,0.0
401,na,0.0
402,naciste,0.0
403,morning,0.0
404,nadie,0.0
405,nah,0.0
406,nails,0.0
407,namin,0.0
408,nap,0.0
409,narc,0.0
410,nasdaq,0.0
411,muscles,0.0
412,muscle,0.0
413,mulligan,0.0
414,muffin,0.0
415,mornings,0.0
416,mother,0.0
417,mothers,0.0
418,mountain,0.0
419,mountaineers,0.0
420,mountains,0.0
