,term,score
0,survive,0.319015403433309
1,messenger,0.2501760841203046
2,underdog,0.2501760841203046
3,middleman,0.2501760841203046
4,don,0.21048731197957596
5,got,0.19702949690729
6,understand,0.1907413399418442
7,oh,0.18761489453057012
8,thing,0.182401813509297
9,fear,0.17517778712410728
10,hear,0.16310575768821609
11,know,0.13421572491166148
12,want,0.12560660919011743
13,slippers,0.1250880420601523
14,fits,0.1250880420601523
15,convention,0.1250880420601523
16,lifetime,0.1250880420601523
17,op,0.1250880420601523
18,wedding,0.1250880420601523
19,inch,0.1250880420601523
20,photo,0.1250880420601523
21,picture,0.1250880420601523
22,ring,0.1250880420601523
23,pipe,0.1250880420601523
24,regard,0.1250880420601523
25,boiled,0.1250880420601523
26,cake,0.11412024421997143
27,spell,0.11412024421997143
28,water,0.11412024421997143
29,talk,0.10633846781110298
30,cut,0.10633846781110298
31,felt,0.10633846781110298
32,learn,0.10633846781110298
33,room,0.10030245309315738
34,uh,0.10030245309315738
35,huh,0.10030245309315738
36,forget,0.0953706699709221
37,let,0.09380744726528506
38,far,0.08758889356205364
39,free,0.08758889356205364
40,living,0.08758889356205364
41,set,0.0844028721307412
42,bout,0.07897474631605272
43,try,0.07445594705978406
44,boy,0.07245133250559915
45,wanna,0.07058508100392716
46,ain,0.06883931931300431
47,right,0.06719942827694826
48,won,0.06719942827694826
49,need,0.06719942827694826
50,way,0.06719942827694826
51,tell,0.06565329788169186
52,think,0.06565329788169186
53,away,0.06419078399131163
54,cause,0.05570637281073472
55,time,0.05183550675487782
56,yeah,0.04616258363338171
57,pussy,0.0
58,quede,0.0
59,pumpin,0.0
60,pulmones,0.0
61,punishment,0.0
62,que,0.0
63,puffin,0.0
64,queen,0.0
65,push,0.0
66,quarrels,0.0
67,pushin,0.0
68,putting,0.0
69,pull,0.0
70,pulling,0.0
71,pump,0.0
72,pulque,0.0
73,radio,0.0
74,queens,0.0
75,quejido,0.0
76,rated,0.0
77,rationale,0.0
78,rattle,0.0
79,rattlesnakers,0.0
80,ray,0.0
81,razona,0.0
82,raíces,0.0
83,raíz,0.0
84,reach,0.0
85,reaction,0.0
86,read,0.0
87,reading,0.0
88,ready,0.0
89,real,0.0
90,really,0.0
91,rapper,0.0
92,rapidly,0.0
93,ransacked,0.0
94,quoting,0.0
95,quench,0.0
96,questions,0.0
97,quick,0.0
98,quiere,0.0
99,quiet,0.0
100,quit,0.0
101,race,0.0
102,ranch,0.0
103,puedes,0.0
104,ragin,0.0
105,rain,0.0
106,rained,0.0
107,raise,0.0
108,raised,0.0
109,puedo,0.0
110,propers,0.0
111,pueblo,0.0
112,powder,0.0
113,points,0.0
114,poisonous,0.0
115,polish,0.0
116,político,0.0
117,poodle,0.0
118,pool,0.0
119,pop,0.0
120,poppin,0.0
121,por,0.0
122,porch,0.0
123,porque,0.0
124,position,0.0
125,positive,0.0
126,possess,0.0
127,poster,0.0
128,potent,0.0
129,pour,0.0
130,poetical,0.0
131,poems,0.0
132,poe,0.0
133,planned,0.0
134,pittsburgh,0.0
135,pittsfield,0.0
136,pity,0.0
137,place,0.0
138,places,0.0
139,plan,0.0
140,planeta,0.0
141,play,0.0
142,pode,0.0
143,played,0.0
144,player,0.0
145,playing,0.0
146,pleased,0.0
147,plex,0.0
148,pliers,0.0
149,plus,0.0
150,poverty,0.0
151,power,0.0
152,prudence,0.0
153,powers,0.0
154,prob,0.0
155,problem,0.0
156,problems,0.0
157,process,0.0
158,promise,0.0
159,promises,0.0
160,promotion,0.0
161,proof,0.0
162,property,0.0
163,prophecy,0.0
164,prophesize,0.0
165,prophets,0.0
166,propio,0.0
167,pros,0.0
168,prototype,0.0
169,proud,0.0
170,prove,0.0
171,princess,0.0
172,pride,0.0
173,pricing,0.0
174,precisely,0.0
175,pr,0.0
176,praise,0.0
177,pranto,0.0
178,pray,0.0
179,prayer,0.0
180,preachers,0.0
181,preaching,0.0
182,pregones,0.0
183,price,0.0
184,pregón,0.0
185,present,0.0
186,presidentes,0.0
187,press,0.0
188,pretending,0.0
189,pretty,0.0
190,prey,0.0
191,rear,0.0
192,128,0.0
193,reason,0.0
194,said,0.0
195,runway,0.0
196,rush,0.0
197,russia,0.0
198,ry,0.0
199,ríos,0.0
200,sacrifice,0.0
201,safer,0.0
202,sail,0.0
203,running,0.0
204,sake,0.0
205,saliva,0.0
206,sally,0.0
207,salvador,0.0
208,sand,0.0
209,sangre,0.0
210,santa,0.0
211,runs,0.0
212,runnin,0.0
213,sap,0.0
214,rub,0.0
215,root,0.0
216,rope,0.0
217,rose,0.0
218,rot,0.0
219,rough,0.0
220,round,0.0
221,row,0.0
222,rude,0.0
223,runaway,0.0
224,ruffians,0.0
225,ruger,0.0
226,rule,0.0
227,rules,0.0
228,rum,0.0
229,rumors,0.0
230,run,0.0
231,santos,0.0
232,sarasota,0.0
233,rookie,0.0
234,sea,0.0
235,scrappy,0.0
236,scream,0.0
237,screamin,0.0
238,screen,0.0
239,screwed,0.0
