,term,score
0,starts,0.6657832160777121
1,revolution,0.5851695311142657
2,hometown,0.16840843790198332
3,backyard,0.15364228063331817
4,doing,0.1431655253213289
5,standing,0.1431655253213289
6,follow,0.1431655253213289
7,heart,0.12278553560226771
8,yeah,0.10358262430178357
9,just,0.0631473856226897
10,gathered,0.056136145967327765
11,opened,0.056136145967327765
12,learned,0.05121409354443939
13,walls,0.05121409354443939
14,written,0.05121409354443939
15,saw,0.05121409354443939
16,hopes,0.05121409354443939
17,tear,0.05121409354443939
18,brought,0.05121409354443939
19,went,0.047721841773776294
20,moving,0.047721841773776294
21,town,0.047721841773776294
22,felt,0.047721841773776294
23,song,0.047721841773776294
24,dream,0.04501304085494352
25,born,0.04501304085494352
26,rise,0.04501304085494352
27,walking,0.04501304085494352
28,turned,0.04501304085494352
29,sky,0.04501304085494352
30,lay,0.04501304085494352
31,beat,0.042799789350887914
32,took,0.040928511867422565
33,bring,0.040928511867422565
34,play,0.040928511867422565
35,sing,0.040928511867422565
36,street,0.03930753758022481
37,fear,0.03930753758022481
38,money,0.03930753758022481
39,work,0.03659873666139204
40,eyes,0.03544174018487486
41,people,0.03438548515733643
42,look,0.03251420767387109
43,night,0.029463432734448042
44,world,0.028184432467840567
45,come,0.024099903480319606
46,say,0.024099903480319606
47,real,0.0
48,ready,0.0
49,rattle,0.0
50,pumpin,0.0
51,rattlesnakers,0.0
52,ray,0.0
53,razona,0.0
54,pump,0.0
55,pulque,0.0
56,raíces,0.0
57,pulmones,0.0
58,pulling,0.0
59,pull,0.0
60,raíz,0.0
61,reach,0.0
62,reason,0.0
63,rationale,0.0
64,puffin,0.0
65,puedo,0.0
66,puedes,0.0
67,rear,0.0
68,reaction,0.0
69,really,0.0
70,read,0.0
71,reading,0.0
72,punishment,0.0
73,pushin,0.0
74,push,0.0
75,raised,0.0
76,raise,0.0
77,rained,0.0
78,rain,0.0
79,ragin,0.0
80,ranch,0.0
81,ransacked,0.0
82,radio,0.0
83,race,0.0
84,rapidly,0.0
85,pueblo,0.0
86,quoting,0.0
87,quit,0.0
88,quiet,0.0
89,rapper,0.0
90,quiere,0.0
91,quick,0.0
92,questions,0.0
93,quench,0.0
94,quejido,0.0
95,queens,0.0
96,queen,0.0
97,quede,0.0
98,que,0.0
99,quarrels,0.0
100,putting,0.0
101,pussy,0.0
102,rated,0.0
103,128,0.0
104,pros,0.0
105,prudence,0.0
106,powder,0.0
107,points,0.0
108,poisonous,0.0
109,polish,0.0
110,político,0.0
111,poodle,0.0
112,pool,0.0
113,pop,0.0
114,poppin,0.0
115,por,0.0
116,porch,0.0
117,porque,0.0
118,position,0.0
119,positive,0.0
120,possess,0.0
121,poster,0.0
122,potent,0.0
