,term,score
0,think,0.7073012892705016
1,baby,0.39239942117577375
2,thinking,0.2837190507607126
3,pray,0.20780505812877584
4,feel,0.16322337444703883
5,girl,0.154256669998104
6,tell,0.13601947870586567
7,love,0.1166092838054695
8,discover,0.10366218193041586
9,bout,0.09817118869667353
10,candle,0.09457301692023752
11,day,0.09006212449569931
12,burning,0.08812415171655942
13,way,0.08353363652836354
14,forever,0.08312202325151034
15,getting,0.07557944654432265
16,ll,0.0753155117605147
17,gonna,0.07193838941800228
18,light,0.06994582169620273
19,cause,0.06924695667807772
20,new,0.06758399303765389
21,little,0.05440779148234628
22,growing,0.05183109096520793
23,exciting,0.05183109096520793
24,devoted,0.05183109096520793
25,suppose,0.05183109096520793
26,humming,0.05183109096520793
27,birds,0.05183109096520793
28,flowing,0.05183109096520793
29,happen,0.04728650846011876
30,desire,0.04728650846011876
31,cross,0.04728650846011876
32,matters,0.04728650846011876
33,like,0.043716756663639694
34,really,0.04156101162575517
35,lonely,0.04156101162575517
36,dream,0.04156101162575517
37,true,0.03951749335319054
38,chance,0.03951749335319054
39,let,0.03886976126848984
40,hope,0.037789723272161325
41,trying,0.03629306075135149
42,soul,0.033791996518826944
43,live,0.03272372956555784
44,mind,0.030851333999620797
45,boy,0.0300207081652331
46,just,0.01943488063424492
47,putting,0.0
48,pussy,0.0
49,pushin,0.0
50,pulling,0.0
51,quarrels,0.0
52,push,0.0
53,que,0.0
54,punishment,0.0
55,pumpin,0.0
56,pump,0.0
57,quede,0.0
58,queen,0.0
59,pulque,0.0
60,pulmones,0.0
61,says,0.0
62,pull,0.0
63,pros,0.0
64,searching,0.0
65,propers,0.0
66,property,0.0
67,prophecy,0.0
68,prophesize,0.0
69,prophets,0.0
70,propio,0.0
71,prototype,0.0
72,seamstress,0.0
73,proud,0.0
74,prove,0.0
75,prudence,0.0
76,pueblo,0.0
77,puedes,0.0
78,puedo,0.0
79,puffin,0.0
80,queens,0.0
81,quick,0.0
82,quejido,0.0
83,quench,0.0
84,rapper,0.0
85,rated,0.0
86,rationale,0.0
87,rattle,0.0
88,rattlesnakers,0.0
89,scufflin,0.0
90,ray,0.0
91,razona,0.0
92,raíces,0.0
93,raíz,0.0
94,reach,0.0
95,reaction,0.0
96,read,0.0
97,reading,0.0
98,ready,0.0
99,rapidly,0.0
100,ransacked,0.0
101,ranch,0.0
102,race,0.0
103,questions,0.0
104,promotion,0.0
105,quiere,0.0
106,quiet,0.0
107,quit,0.0
108,quoting,0.0
109,radio,0.0
110,raised,0.0
111,ragin,0.0
112,rain,0.0
113,sea,0.0
114,rained,0.0
115,raise,0.0
116,se,0.0
117,proof,0.0
118,second,0.0
119,seca,0.0
120,seen,0.0
121,poetical,0.0
122,points,0.0
123,poisonous,0.0
124,polish,0.0
125,político,0.0
126,poodle,0.0
127,pool,0.0
128,pop,0.0
129,poppin,0.0
130,por,0.0
131,seek,0.0
132,porch,0.0
133,seeing,0.0
134,porque,0.0
135,position,0.0
136,poems,0.0
137,poe,0.0
138,seein,0.0
139,pode,0.0
140,places,0.0
141,plan,0.0
142,planeta,0.0
143,planned,0.0
144,play,0.0
145,played,0.0
146,player,0.0
147,sell,0.0
148,playing,0.0
149,self,0.0
150,pleased,0.0
151,plex,0.0
152,pliers,0.0
153,sees,0.0
154,plus,0.0
155,positive,0.0
156,possess,0.0
157,screwed,0.0
158,pregón,0.0
159,presidentes,0.0
160,press,0.0
161,pretending,0.0
162,pretty,0.0
163,prey,0.0
164,price,0.0
165,pricing,0.0
166,pride,0.0
167,princess,0.0
168,prob,0.0
169,problem,0.0
170,problems,0.0
171,process,0.0
172,promise,0.0
173,promises,0.0
174,present,0.0
175,pregones,0.0
176,poster,0.0
177,precisely,0.0
178,potent,0.0
179,pour,0.0
180,poverty,0.0
181,powder,0.0
182,power,0.0
183,powers,0.0
184,pr,0.0
185,praise,0.0
186,pranto,0.0
187,seed,0.0
188,section,0.0
189,prayer,0.0
190,secrets,0.0
191,preachers,0.0
192,preaching,0.0
193,real,0.0
194,reasons,0.0
195,rear,0.0
196,rooms,0.0
197,rope,0.0
198,scheme,0.0
199,rose,0.0
200,schefferville,0.0
201,rot,0.0
202,rough,0.0
203,scene,0.0
204,round,0.0
205,row,0.0
206,rub,0.0
207,rude,0.0
208,ruffians,0.0
209,ruger,0.0
210,rule,0.0
211,rules,0.0
212,root,0.0
213,room,0.0
214,rumors,0.0
215,rookie,0.0
216,rock,0.0
217,rocked,0.0
218,rockin,0.0
219,rocking,0.0
220,rocks,0.0
221,role,0.0
222,roll,0.0
223,rolled,0.0
224,rollercoaster,0.0
225,rollie,0.0
226,school,0.0
227,scholarship,0.0
228,rolls,0.0
229,romance,0.0
230,roof,0.0
231,rum,0.0
232,run,0.0
233,reason,0.0
234,salvador,0.0
235,scandalous,0.0
236,sangre,0.0
237,santa,0.0
238,santos,0.0
239,sap,0.0
240,sarasota,0.0
241,satan,0.0
242,satisfaction,0.0
243,save,0.0
244,savin,0.0
245,saving,0.0
246,saw,0.0
247,sax,0.0
248,say,0.0
249,sayin,0.0
250,sand,0.0
251,sally,0.0
252,runaway,0.0
253,saliva,0.0
254,runnin,0.0
255,running,0.0
256,runs,0.0
257,runway,0.0
258,rush,0.0
259,russia,0.0
260,ry,0.0
261,ríos,0.0
262,sacrifice,0.0
263,safer,0.0
264,said,0.0
265,sail,0.0
266,scared,0.0
267,sake,0.0
268,scanner,0.0
269,robaron,0.0
270,roam,0.0
271,roads,0.0
272,regular,0.0
273,scrappy,0.0
274,place,0.0
275,reign,0.0
276,rejoice,0.0
277,relate,0.0
278,relentlessly,0.0
279,religion,0.0
280,remember,0.0
281,remind,0.0
282,reno,0.0
283,repleta,0.0
284,reppin,0.0
285,repping,0.0
286,rescue,0.0
287,respect,0.0
288,rehearse,0.0
289,regret,0.0
290,roadrunner,0.0
291,regreso,0.0
292,saying,0.0
293,rebels,0.0
294,recital,0.0
295,recite,0.0
296,reconstruyo,0.0
297,screen,0.0
298,record,0.0
299,screamin,0.0
300,recuerdes,0.0
301,scream,0.0
302,recuerdo,0.0
303,red,0.0
304,reflection,0.0
305,refuse,0.0
306,regard,0.0
307,respected,0.0
308,respira,0.0
309,respirando,0.0
310,rest,0.0
311,riding,0.0
312,right,0.0
313,righteous,0.0
314,rights,0.0
315,rims,0.0
316,ring,0.0
317,ripe,0.0
318,ripped,0.0
319,rise,0.0
320,rising,0.0
321,riso,0.0
322,ritmo,0.0
323,rituales,0.0
324,rival,0.0
325,road,0.0
326,ride,0.0
327,richard,0.0
328,science,0.0
329,scraper,0.0
330,resume,0.0
331,return,0.0
332,reverse,0.0
333,revolution,0.0
334,revolutionary,0.0
335,rewrite,0.0
336,rexburg,0.0
337,rich,0.0
338,rhyme,0.0
339,rhymes,0.0
340,rhyming,0.0
341,rhythm,0.0
342,ribbon,0.0
343,rica,0.0
344,rehearsed,0.0
345,picture,0.0
346,pity,0.0
347,money,0.0
348,mister,0.0
349,mma,0.0
350,mmm,0.0
351,mmmmm,0.0
352,mmmmmm,0.0
353,modern,0.0
354,moment,0.0
355,monie,0.0
356,miss,0.0
357,monroe,0.0
358,mont,0.0
359,montañas,0.0
360,monterey,0.0
361,montgomery,0.0
362,monáe,0.0
363,moon,0.0
364,mistakes,0.0
365,mis,0.0
366,morning,0.0
367,million,0.0
368,mic,0.0
369,michigan,0.0
370,mics,0.0
371,middleman,0.0
372,midnight,0.0
373,mike,0.0
374,miles,0.0
375,millions,0.0
376,mirror,0.0
377,mills,0.0
378,minds,0.0
379,mines,0.0
380,minha,0.0
381,minhas,0.0
382,minnesota,0.0
383,miro,0.0
384,moonlight,0.0
385,mornings,0.0
386,metropolis,0.0
387,nah,0.0
388,muthafucka,0.0
389,más,0.0
390,mío,0.0
391,na,0.0
392,nace,0.0
393,naciste,0.0
394,nadie,0.0
395,nails,0.0
396,music,0.0
397,namin,0.0
398,nap,0.0
