,term,score
0,highest,0.36606507551688405
1,ground,0.3217415570483833
2,glad,0.29285206041350725
3,reach,0.27288269152027517
4,world,0.24174602775983225
5,til,0.23403712143480418
6,cause,0.21442811703515025
7,turning,0.20466201864020636
8,long,0.19662283328135538
9,bring,0.17552784107610314
10,won,0.17244522357997216
11,earth,0.16049865254317552
12,going,0.15199702737257167
13,try,0.14330001869213208
14,lived,0.13644134576013758
15,knew,0.12869662281935335
16,sin,0.11701856071740209
17,trying,0.1123840389770996
18,people,0.09831141664067769
19,let,0.09027223128182671
20,oh,0.09027223128182671
21,nuff,0.08024932627158776
22,believing,0.08024932627158776
23,sho,0.08024932627158776
24,soldiers,0.08024932627158776
25,preaching,0.08024932627158776
26,sleepers,0.08024932627158776
27,dying,0.08024932627158776
28,warring,0.08024932627158776
29,preachers,0.08024932627158776
30,teachers,0.08024932627158776
31,teaching,0.08024932627158776
32,powers,0.08024932627158776
33,sleeping,0.07321301510337681
34,learning,0.07321301510337681
35,friend,0.07321301510337681
36,rest,0.07321301510337681
37,believers,0.07321301510337681
38,darn,0.07321301510337681
39,lying,0.06822067288006879
40,time,0.0665093869168555
41,woo,0.06434831140967667
42,loving,0.06434831140967667
43,lovers,0.06118436171185783
44,ll,0.05830495716015557
45,know,0.057403416675294826
46,god,0.05066567579085722
47,stop,0.047766672897377356
48,gonna,0.03712705492881986
49,just,0.030090743760608905
50,don,0.02700732171817944
51,que,0.0
52,queens,0.0
53,quede,0.0
54,queen,0.0
55,128,0.0
56,quarrels,0.0
57,putting,0.0
58,quejido,0.0
59,pushin,0.0
60,push,0.0
61,punishment,0.0
62,pumpin,0.0
63,pump,0.0
64,pulque,0.0
65,pulmones,0.0
66,pulling,0.0
67,pull,0.0
68,puffin,0.0
69,puedo,0.0
70,puedes,0.0
71,pussy,0.0
72,radio,0.0
73,quench,0.0
74,reaction,0.0
75,rattle,0.0
76,rattlesnakers,0.0
77,ray,0.0
78,razona,0.0
79,raíces,0.0
80,raíz,0.0
81,read,0.0
82,rated,0.0
83,reading,0.0
84,ready,0.0
85,real,0.0
86,really,0.0
87,rear,0.0
88,reason,0.0
89,rationale,0.0
90,rapper,0.0
91,questions,0.0
92,prudence,0.0
93,quick,0.0
94,quiere,0.0
95,quiet,0.0
96,quit,0.0
97,quoting,0.0
98,race,0.0
99,ragin,0.0
100,rapidly,0.0
101,rain,0.0
102,rained,0.0
103,raise,0.0
104,raised,0.0
105,ranch,0.0
106,ransacked,0.0
107,pueblo,0.0
108,problems,0.0
109,prove,0.0
