,term,score
0,workin,0.6418886835415879
1,clampdown,0.5501903001785039
2,work,0.2690281310228124
3,ha,0.13982689492225517
4,sayin,0.09169838336308399
5,believers,0.08365821170131894
6,hard,0.0735287933563719
7,men,0.0735287933563719
8,blue,0.0668567160610528
9,young,0.06420885488270128
10,said,0.053111951820861446
11,descends,0.045849191681541994
12,refuse,0.045849191681541994
13,judge,0.045849191681541994
14,fool,0.045849191681541994
15,kingdom,0.045849191681541994
16,beggin,0.045849191681541994
17,secrets,0.045849191681541994
18,voices,0.045849191681541994
19,lately,0.045849191681541994
20,twisted,0.045849191681541994
21,baked,0.045849191681541994
22,wasting,0.045849191681541994
23,factory,0.045849191681541994
24,wearin,0.045849191681541994
25,evil,0.045849191681541994
26,melted,0.045849191681541994
27,double,0.045849191681541994
28,barmy,0.045849191681541994
29,turban,0.045849191681541994
30,jewels,0.045849191681541994
31,jew,0.045849191681541994
32,chopper,0.045849191681541994
33,taken,0.045849191681541994
34,takin,0.045849191681541994
35,harrisburg,0.045849191681541994
36,click,0.045849191681541994
37,teach,0.045849191681541994
38,grow,0.045849191681541994
39,poster,0.045849191681541994
40,petersburg,0.045849191681541994
41,presidentes,0.045849191681541994
42,hidden,0.045849191681541994
43,comin,0.045849191681541994
44,calm,0.045849191681541994
45,owe,0.045849191681541994
46,brutalize,0.045849191681541994
47,fury,0.045849191681541994
48,brown,0.045849191681541994
49,fully,0.045849191681541994
50,ransacked,0.045849191681541994
51,spool,0.045849191681541994
52,cunning,0.045849191681541994
53,anger,0.045849191681541994
54,half,0.045849191681541994
55,livin,0.045849191681541994
56,earn,0.045849191681541994
57,man,0.045071780159096395
58,tape,0.04182910585065947
59,drift,0.04182910585065947
60,eyed,0.04182910585065947
61,smoke,0.04182910585065947
62,government,0.04182910585065947
63,place,0.04182910585065947
64,kill,0.04182910585065947
65,train,0.04182910585065947
66,speech,0.04182910585065947
67,steal,0.03897680956144632
68,ya,0.03897680956144632
69,wall,0.03897680956144632
70,kick,0.03897680956144632
71,nothin,0.03897680956144632
72,use,0.03897680956144632
73,goes,0.03897680956144632
74,callin,0.03897680956144632
75,paid,0.03897680956144632
76,save,0.03676439667818595
77,born,0.03676439667818595
78,message,0.03676439667818595
79,hour,0.03676439667818595
80,years,0.03495672373056379
81,days,0.03495672373056379
82,round,0.03495672373056379
83,power,0.0334283580305264
84,boss,0.0334283580305264
85,start,0.03210442744135064
86,makes,0.03210442744135064
87,big,0.03210442744135064
88,running,0.030936637899681263
89,old,0.030936637899681263
90,best,0.02989201455809027
91,soul,0.02989201455809027
92,fall,0.028947037800021065
93,head,0.028947037800021065
94,stop,0.027290738046192947
95,boy,0.026555975910430723
96,feel,0.024064255779585583
97,think,0.024064255779585583
98,away,0.023528192710785486
99,want,0.023019632437994594
100,make,0.023019632437994594
101,life,0.023019632437994594
102,gonna,0.021211959490372436
103,cause,0.020418355926097267
104,say,0.019683593790335047
105,time,0.018999546607112065
106,got,0.01805456984904286
107,let,0.01719187365948991
108,yeah,0.016920219636217034
109,know,0.016398270095214742
110,don,0.01543020892251762
111,quench,0.0
112,rapidly,0.0
113,rained,0.0
114,pump,0.0
115,raise,0.0
116,pulque,0.0
117,school,0.0
118,raised,0.0
119,pulmones,0.0
120,pulling,0.0
121,ranch,0.0
122,pull,0.0
123,quejido,0.0
124,puffin,0.0
125,puedo,0.0
126,rapper,0.0
127,puedes,0.0
128,rated,0.0
129,rationale,0.0
130,scholarship,0.0
131,rattle,0.0
132,rattlesnakers,0.0
133,pueblo,0.0
134,pumpin,0.0
135,rain,0.0
136,punishment,0.0
137,ragin,0.0
138,prudence,0.0
139,queens,0.0
140,questions,0.0
141,queen,0.0
142,quede,0.0
143,que,0.0
144,quarrels,0.0
145,quick,0.0
146,quiere,0.0
147,quiet,0.0
148,putting,0.0
149,quit,0.0
150,scrappy,0.0
151,quoting,0.0
152,pussy,0.0
153,race,0.0
154,scraper,0.0
155,science,0.0
156,pushin,0.0
157,push,0.0
158,radio,0.0
159,saliva,0.0
160,promotion,0.0
161,prove,0.0
162,screwed,0.0
163,porch,0.0
164,porque,0.0
165,position,0.0
166,scufflin,0.0
167,positive,0.0
168,possess,0.0
169,potent,0.0
170,poppin,0.0
171,pour,0.0
172,poverty,0.0
173,powder,0.0
174,powers,0.0
175,pr,0.0
176,praise,0.0
177,por,0.0
178,pop,0.0
179,proud,0.0
180,searching,0.0
181,poe,0.0
182,second,0.0
183,poems,0.0
184,poetical,0.0
185,points,0.0
186,seca,0.0
187,seamstress,0.0
188,se,0.0
189,poisonous,0.0
190,polish,0.0
191,político,0.0
192,poodle,0.0
193,pool,0.0
194,sea,0.0
195,pranto,0.0
196,pray,0.0
197,prayer,0.0
198,propers,0.0
199,problem,0.0
200,problems,0.0
201,process,0.0
202,promise,0.0
203,promises,0.0
204,proof,0.0
205,property,0.0
206,preachers,0.0
207,prophecy,0.0
208,prophesize,0.0
209,prophets,0.0
210,propio,0.0
211,pros,0.0
212,prototype,0.0
213,prob,0.0
214,princess,0.0
215,pride,0.0
216,scream,0.0
217,pricing,0.0
218,screamin,0.0
219,price,0.0
220,prey,0.0
221,pretty,0.0
222,pretending,0.0
223,press,0.0
224,screen,0.0
225,present,0.0
226,pregón,0.0
227,pregones,0.0
228,precisely,0.0
229,preaching,0.0
230,ray,0.0
