,term,score
0,radio,0.663106557186959
1,modern,0.3490034511510311
2,roadrunner,0.3490034511510311
3,got,0.27486230205013684
4,late,0.17801458066634918
5,massachusetts,0.17450172557551555
6,night,0.1465414417735542
7,roll,0.10643605067359477
8,car,0.10470103534530932
9,rock,0.10178249073614751
10,love,0.09160502319021221
11,power,0.07633686805211064
12,bye,0.06980069023020621
13,faster,0.06980069023020621
14,neon,0.06980069023020621
15,suburban,0.06980069023020621
16,helps,0.06980069023020621
17,sounds,0.06980069023020621
18,shop,0.06980069023020621
19,ve,0.0645860639745688
20,miles,0.06368052201155389
21,moonlight,0.06368052201155389
22,sound,0.059338193555449725
23,like,0.05887315379482049
24,right,0.056247180780285455
25,hour,0.05597002193318
26,highway,0.05597002193318
27,feel,0.054953040665082824
28,outside,0.053218025336797384
29,drive,0.04709785711814504
30,alright,0.045507525258423505
31,going,0.04406889509842252
32,stop,0.04154734865877468
33,don,0.035236364928815475
34,smells,0.03490034511510311
35,turnpike,0.03490034511510311
36,trees,0.03490034511510311
37,quick,0.03490034511510311
38,bushes,0.03490034511510311
39,auto,0.03490034511510311
40,signs,0.03490034511510311
41,welcome,0.03490034511510311
42,girlfriend,0.03490034511510311
43,patient,0.03490034511510311
44,twice,0.03490034511510311
45,128,0.03490034511510311
46,1956,0.03490034511510311
47,57,0.03490034511510311
48,gonna,0.0322930319872844
49,factories,0.03184026100577694
50,rockin,0.03184026100577694
51,speed,0.03184026100577694
52,heaven,0.03184026100577694
53,thunder,0.03184026100577694
54,hit,0.029669096777724863
55,bad,0.02798501096659
56,cold,0.02798501096659
57,lonely,0.02798501096659
58,wide,0.026609012668398692
59,lovers,0.026609012668398692
60,em,0.025445622684036877
61,girls,0.025445622684036877
62,dark,0.025445622684036877
63,past,0.025445622684036877
64,sing,0.025445622684036877
65,spirit,0.025445622684036877
66,said,0.02021437434665863
67,world,0.01752251429183351
68,say,0.014983126009280381
69,ll,0.012678381373098041
70,que,0.0
71,quarrels,0.0
72,player,0.0
73,putting,0.0
74,pussy,0.0
75,pushin,0.0
76,playing,0.0
77,punishment,0.0
78,pumpin,0.0
79,pump,0.0
80,quede,0.0
81,pulque,0.0
82,scufflin,0.0
83,push,0.0
84,se,0.0
85,queens,0.0
86,prove,0.0
87,prophesize,0.0
88,prophets,0.0
89,propio,0.0
90,pros,0.0
91,prototype,0.0
92,proud,0.0
93,prudence,0.0
94,pulmones,0.0
95,pueblo,0.0
96,puedes,0.0
97,puedo,0.0
98,puffin,0.0
99,pull,0.0
100,pulling,0.0
101,queen,0.0
102,quejido,0.0
103,property,0.0
104,ransacked,0.0
105,read,0.0
106,reaction,0.0
107,reach,0.0
108,raíz,0.0
109,raíces,0.0
110,razona,0.0
111,ray,0.0
112,rattlesnakers,0.0
113,rattle,0.0
114,rationale,0.0
115,rated,0.0
116,play,0.0
117,rapper,0.0
118,rapidly,0.0
119,ranch,0.0
120,quench,0.0
121,raised,0.0
122,raise,0.0
123,rained,0.0
124,rain,0.0
125,ragin,0.0
126,screen,0.0
127,played,0.0
128,race,0.0
129,quoting,0.0
130,quit,0.0
131,quiet,0.0
132,quiere,0.0
133,screwed,0.0
134,questions,0.0
135,prophecy,0.0
136,pool,0.0
137,pleased,0.0
138,seed,0.0
139,pregón,0.0
140,secrets,0.0
141,pregones,0.0
142,precisely,0.0
143,section,0.0
144,polish,0.0
145,preaching,0.0
146,preachers,0.0
147,prayer,0.0
148,pray,0.0
149,pranto,0.0
150,praise,0.0
151,pr,0.0
152,powers,0.0
153,político,0.0
154,points,0.0
155,seein,0.0
156,powder,0.0
157,poverty,0.0
158,pour,0.0
159,potent,0.0
160,poster,0.0
161,possess,0.0
162,positive,0.0
163,position,0.0
164,porque,0.0
165,porch,0.0
166,por,0.0
167,poppin,0.0
168,pop,0.0
169,poisonous,0.0
170,poetical,0.0
171,poodle,0.0
172,prob,0.0
173,propers,0.0
174,proof,0.0
175,sea,0.0
176,seamstress,0.0
177,promotion,0.0
178,promises,0.0
179,promise,0.0
180,process,0.0
181,problems,0.0
182,ready,0.0
183,problem,0.0
184,searching,0.0
185,seca,0.0
186,plex,0.0
187,second,0.0
188,present,0.0
189,princess,0.0
190,pride,0.0
191,pliers,0.0
192,plus,0.0
193,pricing,0.0
194,pode,0.0
195,price,0.0
196,prey,0.0
197,poe,0.0
198,pretty,0.0
199,poems,0.0
200,pretending,0.0
201,press,0.0
202,presidentes,0.0
203,reading,0.0
204,satisfaction,0.0
205,screamin,0.0
206,rub,0.0
207,rolls,0.0
208,romance,0.0
209,roof,0.0
210,says,0.0
211,rookie,0.0
212,saying,0.0
213,room,0.0
214,rooms,0.0
215,root,0.0
216,rope,0.0
217,rose,0.0
218,rot,0.0
219,rough,0.0
220,round,0.0
221,row,0.0
222,rollie,0.0
223,rollercoaster,0.0
224,rolled,0.0
225,roads,0.0
226,riso,0.0
227,ritmo,0.0
228,rituales,0.0
229,rival,0.0
230,scared,0.0
231,road,0.0
232,roam,0.0
233,role,0.0
234,robaron,0.0
235,scanner,0.0
236,scandalous,0.0
237,rocked,0.0
238,rocking,0.0
239,rocks,0.0
240,sayin,0.0
241,rude,0.0
242,real,0.0
243,ruffians,0.0
244,sail,0.0
245,sake,0.0
246,saliva,0.0
247,sally,0.0
248,saw,0.0
249,salvador,0.0
250,sand,0.0
251,sangre,0.0
252,saving,0.0
253,santa,0.0
254,santos,0.0
255,sap,0.0
256,savin,0.0
257,sarasota,0.0
258,save,0.0
259,safer,0.0
260,sax,0.0
261,sacrifice,0.0
262,runaway,0.0
263,ruger,0.0
264,rule,0.0
265,rules,0.0
266,rum,0.0
267,rumors,0.0
268,run,0.0
269,runnin,0.0
270,ríos,0.0
271,running,0.0
272,runs,0.0
273,runway,0.0
274,rush,0.0
275,russia,0.0
276,ry,0.0
277,rising,0.0
278,rise,0.0
279,ripped,0.0
280,ripe,0.0
281,regard,0.0
282,regreso,0.0
283,regret,0.0
284,regular,0.0
285,rehearse,0.0
286,rehearsed,0.0
287,reign,0.0
288,science,0.0
289,planeta,0.0
290,rejoice,0.0
291,relate,0.0
292,relentlessly,0.0
293,religion,0.0
294,remember,0.0
295,remind,0.0
296,refuse,0.0
297,scraper,0.0
298,reflection,0.0
299,rebels,0.0
300,really,0.0
301,rear,0.0
302,reason,0.0
303,scream,0.0
304,satan,0.0
305,reasons,0.0
306,recital,0.0
307,red,0.0
308,recite,0.0
309,reconstruyo,0.0
310,scrappy,0.0
311,record,0.0
312,recuerdes,0.0
313,recuerdo,0.0
314,reno,0.0
315,repleta,0.0
316,reppin,0.0
317,ride,0.0
318,rhythm,0.0
319,ribbon,0.0
320,rica,0.0
321,rich,0.0
322,scheme,0.0
323,richard,0.0
324,riding,0.0
325,rhymes,0.0
326,schefferville,0.0
327,righteous,0.0
328,rights,0.0
329,scene,0.0
330,rims,0.0
331,ring,0.0
332,rhyming,0.0
333,rhyme,0.0
334,repping,0.0
335,rest,0.0
336,school,0.0
337,rescue,0.0
338,respect,0.0
339,respected,0.0
340,respira,0.0
341,respirando,0.0
342,resume,0.0
343,rexburg,0.0
344,return,0.0
345,reverse,0.0
346,revolution,0.0
347,revolutionary,0.0
348,scholarship,0.0
349,rewrite,0.0
350,planned,0.0
351,piano,0.0
352,plan,0.0
353,money,0.0
354,mistakes,0.0
355,mister,0.0
356,mma,0.0
357,mmm,0.0
358,mmmmm,0.0
359,mmmmmm,0.0
360,moment,0.0
361,monie,0.0
362,mis,0.0
363,monroe,0.0
364,mont,0.0
365,montañas,0.0
366,monterey,0.0
367,montgomery,0.0
368,monáe,0.0
369,moon,0.0
370,miss,0.0
371,mirror,0.0
372,met,0.0
373,million,0.0
374,mi,0.0
375,mic,0.0
376,michigan,0.0
377,mics,0.0
378,middleman,0.0
379,midnight,0.0
380,mike,0.0
381,millions,0.0
382,miro,0.0
383,mills,0.0
384,mind,0.0
385,minds,0.0
386,mines,0.0
387,minha,0.0
388,minhas,0.0
389,minnesota,0.0
390,morning,0.0
391,mornings,0.0
392,mother,0.0
393,nah,0.0
394,muthafucka,0.0
395,más,0.0
396,mío,0.0
397,na,0.0
398,nace,0.0
399,naciste,0.0
400,nadie,0.0
401,nails,0.0
402,mothers,0.0
403,namin,0.0
404,nap,0.0
405,narc,0.0
406,nasdaq,0.0
407,nashville,0.0
408,nation,0.0
409,natural,0.0
410,mutha,0.0
411,music,0.0
412,museum,0.0
413,muscles,0.0
414,mountain,0.0
415,mountaineers,0.0
416,mountains,0.0
417,moustache,0.0
418,mouthpiece,0.0
419,moved,0.0
420,moves,0.0
421,moving,0.0
422,mr,0.0
423,muelas,0.0
424,muere,0.0
425,mueve,0.0
426,muffin,0.0
427,mulligan,0.0
428,muscle,0.0
429,metropolis,0.0
430,messenger,0.0
431,naysayers,0.0
432,makin,0.0
433,mack,0.0
434,mad,0.0
435,madre,0.0
436,magic,0.0
437,major,0.0
438,make,0.0
439,makes,0.0
440,making,0.0
441,macho,0.0
442,mama,0.0
443,mami,0.0
444,man,0.0
445,manage,0.0
446,manifest,0.0
447,mano,0.0
448,manos,0.0
449,machos,0.0
450,machine,0.0
451,message,0.0
452,luck,0.0
453,lover,0.0
454,loves,0.0
455,lovin,0.0
456,loving,0.0
457,low,0.0
458,loyal,0.0
459,lucha,0.0
460,lucky,0.0
461,macbook,0.0
462,luna,0.0
463,lure,0.0
464,ly,0.0
465,lyin,0.0
466,lying,0.0
467,lyrical,0.0
468,ma,0.0
469,map,0.0
470,maquilla,0.0
471,mar,0.0
472,melt,0.0
473,means,0.0
474,meant,0.0
475,measurements,0.0
476,medio,0.0
477,meeting,0.0
478,mejores,0.0
479,melancolía,0.0
480,melted,0.0
481,maradona,0.0
482,memory,0.0
483,men,0.0
484,mention,0.0
485,mentions,0.0
486,mercy,0.0
487,merrily,0.0
488,mess,0.0
489,meaning,0.0
490,mean,0.0
491,meals,0.0
492,maybe,0.0
493,march,0.0
494,marilyn,0.0
495,marry,0.0
496,marullos,0.0
497,masa,0.0
498,mascando,0.0
499,maserati,0.0
500,masks,0.0
501,masses,0.0
502,master,0.0
503,matchbook,0.0
504,material,0.0
505,mattawa,0.0
506,matter,0.0
507,matters,0.0
508,naturale,0.0
509,near,0.0
510,places,0.0
511,pass,0.0
512,parentheses,0.0
513,paripititumon,0.0
514,parkersburg,0.0
515,partner,0.0
516,party,0.0
517,pasadena,0.0
518,pasar,0.0
519,passed,0.0
520,paranoia,0.0
521,passion,0.0
522,path,0.0
523,patria,0.0
524,paul,0.0
525,paws,0.0
526,pay,0.0
527,peace,0.0
528,parejas,0.0
529,para,0.0
530,pa,0.0
531,painful,0.0
532,package,0.0
533,packaged,0.0
534,padilla,0.0
535,padre,0.0
536,pages,0.0
537,paid,0.0
538,pain,0.0
539,paint,0.0
540,papers,0.0
541,painting,0.0
542,palm,0.0
543,paloma,0.0
544,palpitar,0.0
545,panama,0.0
546,pane,0.0
547,paper,0.0
548,peanut,0.0
549,peas,0.0
550,pedazo,0.0
551,piernas,0.0
552,seek,0.0
553,pick,0.0
554,picture,0.0
555,pie,0.0
556,piece,0.0
557,pieces,0.0
558,piel,0.0
559,pills,0.0
560,peina,0.0
561,pink,0.0
562,pipe,0.0
563,pirate,0.0
564,pittsburgh,0.0
565,pittsfield,0.0
566,pity,0.0
567,place,0.0
568,photo,0.0
569,phife,0.0
570,phase,0.0
571,peyote,0.0
572,pellet,0.0
573,pen,0.0
574,pena,0.0
575,penar,0.0
576,people,0.0
577,perdono,0.0
578,perfect,0.0
579,permanent,0.0
580,pero,0.0
581,person,0.0
582,persuasion,0.0
583,pestañeo,0.0
584,pete,0.0
585,petersburg,0.0
586,petite,0.0
587,pack,0.0
588,ozone,0.0
589,nebraska,0.0
590,nunca,0.0
591,nostalgia,0.0
592,nothin,0.0
593,novelties,0.0
594,nubes,0.0
595,nude,0.0
596,nuff,0.0
597,numb,0.0
598,nuvens,0.0
599,northern,0.0
600,nyc,0.0
601,não,0.0
602,obey,0.0
603,obra,0.0
604,oddities,0.0
605,odds,0.0
606,oh,0.0
607,nos,0.0
608,norma,0.0
609,oye,0.0
610,new,0.0
611,necesito,0.0
612,neck,0.0
613,need,0.0
614,needs,0.0
615,neeh,0.0
616,neep,0.0
617,neil,0.0
618,nice,0.0
619,nope,0.0
620,nido,0.0
621,nieve,0.0
622,nigga,0.0
623,niggas,0.0
624,nights,0.0
625,noche,0.0
626,noise,0.0
627,ohh,0.0
628,oigo,0.0
629,okay,0.0
630,outcast,0.0
631,orgullo,0.0
632,orient,0.0
633,orleans,0.0
634,oskaloosa,0.0
635,otoño,0.0
636,ottawa,0.0
637,ought,0.0
638,outs,0.0
639,oklahoma,0.0
640,outta,0.0
641,oven,0.0
642,overcome,0.0
643,overjoyed,0.0
644,overseas,0.0
645,ow,0.0
646,owe,0.0
647,order,0.0
648,opposite,0.0
649,opinions,0.0
650,operación,0.0
651,ol,0.0
652,old,0.0
653,older,0.0
654,ole,0.0
655,olvidar,0.0
656,olvido,0.0
657,ombabika,0.0
658,ones,0.0
659,ooh,0.0
660,ooooh,0.0
661,oooooh,0.0
662,op,0.0
663,opelaka,0.0
664,open,0.0
665,opened,0.0
666,seeing,0.0
667,serve,0.0
668,seen,0.0
669,true,0.0
670,tribulations,0.0
671,tried,0.0
672,trigger,0.0
673,trill,0.0
674,trip,0.0
675,trippin,0.0
676,trouble,0.0
677,truth,0.0
678,tree,0.0
679,try,0.0
680,tryin,0.0
681,trying,0.0
682,tryna,0.0
683,tu,0.0
684,tulsa,0.0
685,tumble,0.0
686,trend,0.0
687,treat,0.0
688,turban,0.0
689,traitor,0.0
690,traffic,0.0
691,trago,0.0
692,trail,0.0
693,trailblazing,0.0
694,trails,0.0
695,train,0.0
696,trained,0.0
697,transcends,0.0
698,treadmill,0.0
699,transgender,0.0
700,transmissions,0.0
701,trap,0.0
702,trapped,0.0
703,travel,0.0
704,traveled,0.0
705,tread,0.0
706,tune,0.0
707,turn,0.0
708,track,0.0
709,unsee,0.0
710,understand,0.0
711,unfold,0.0
712,unforgivenlike,0.0
713,uniform,0.0
714,unify,0.0
715,unimpeachable,0.0
716,universe,0.0
717,uphill,0.0
718,underneath,0.0
719,usa,0.0
720,usb,0.0
721,use,0.0
722,used,0.0
723,useless,0.0
724,uvas,0.0
725,va,0.0
726,underrated,0.0
727,underdog,0.0
728,turned,0.0
729,twisted,0.0
730,turnin,0.0
731,turning,0.0
732,turns,0.0
733,tus,0.0
734,tusslin,0.0
735,tuyo,0.0
736,twiddle,0.0
737,type,0.0
738,una,0.0
739,typical,0.0
740,tú,0.0
741,ubers,0.0
742,ufc,0.0
743,ugh,0.0
744,uh,0.0
745,ukulele,0.0
746,trade,0.0
747,trabajo,0.0
748,sees,0.0
749,throwing,0.0
750,thong,0.0
751,thou,0.0
752,thought,0.0
753,thoughts,0.0
754,thousand,0.0
755,thrill,0.0
756,throne,0.0
757,thug,0.0
758,thinking,0.0
759,thumb,0.0
760,thumper,0.0
761,ti,0.0
762,tickets,0.0
763,tide,0.0
764,tied,0.0
765,tiemblan,0.0
766,thinks,0.0
767,thinkin,0.0
768,tiene,0.0
769,tennessee,0.0
770,tell,0.0
771,tellin,0.0
772,telling,0.0
773,telly,0.0
774,temper,0.0
775,tenderness,0.0
776,tengo,0.0
777,tequila,0.0
778,think,0.0
779,terminator,0.0
780,test,0.0
781,texarkana,0.0
782,texas,0.0
783,thank,0.0
784,thing,0.0
785,things,0.0
786,tiempos,0.0
787,tierra,0.0
788,town,0.0
789,took,0.0
790,told,0.0
791,toll,0.0
792,tomen,0.0
793,tomorrow,0.0
794,tone,0.0
795,tongue,0.0
796,tonight,0.0
797,toronto,0.0
798,todos,0.0
799,torture,0.0
800,toss,0.0
801,totally,0.0
802,totin,0.0
803,touch,0.0
804,tough,0.0
805,toughest,0.0
806,toilet,0.0
807,todo,0.0
808,tiger,0.0
809,times,0.0
810,tigers,0.0
811,tight,0.0
812,tightrope,0.0
813,til,0.0
814,till,0.0
815,timbales,0.0
816,time,0.0
817,tiny,0.0
818,todd,0.0
819,tip,0.0
820,tippin,0.0
821,tired,0.0
822,title,0.0
823,tocopilla,0.0
824,toda,0.0
825,today,0.0
826,vader,0.0
827,vale,0.0
828,vamos,0.0
829,wisdom,0.0
830,wings,0.0
831,winnemucca,0.0
832,winner,0.0
833,winslow,0.0
834,winter,0.0
835,wiped,0.0
836,wire,0.0
837,wish,0.0
838,window,0.0
839,wishin,0.0
840,wishing,0.0
841,wit,0.0
842,woah,0.0
843,woke,0.0
844,wolf,0.0
845,wolverines,0.0
846,windows,0.0
847,wind,0.0
848,women,0.0
849,whispered,0.0
850,wetter,0.0
851,whatsoever,0.0
852,wheel,0.0
853,wheels,0.0
854,whip,0.0
855,whipping,0.0
856,whiskey,0.0
857,whispers,0.0
858,win,0.0
859,white,0.0
860,whoa,0.0
861,whoaaa,0.0
862,wichita,0.0
863,wicked,0.0
864,wild,0.0
865,wildest,0.0
866,woman,0.0
867,won,0.0
868,vapors,0.0
869,yeah,0.0
870,wrong,0.0
871,x23,0.0
872,xy,0.0
873,ya,0.0
874,yah,0.0
875,yawnin,0.0
876,ye,0.0
877,years,0.0
878,written,0.0
879,yes,0.0
880,yo,0.0
881,yoda,0.0
882,york,0.0
883,young,0.0
884,youth,0.0
885,yup,0.0
886,writtens,0.0
887,writing,0.0
888,wonder,0.0
889,workin,0.0
890,wonders,0.0
891,woo,0.0
892,woodwork,0.0
893,word,0.0
894,words,0.0
895,work,0.0
896,workers,0.0
897,working,0.0
898,writers,0.0
899,worries,0.0
900,worrisome,0.0
901,worry,0.0
902,worst,0.0
903,worth,0.0
904,wow,0.0
905,wrapped,0.0
906,wet,0.0
907,western,0.0
908,west,0.0
909,voz,0.0
910,viva,0.0
911,vive,0.0
912,viña,0.0
913,voices,0.0
914,vole,0.0
915,volunteers,0.0
916,voodoo,0.0
917,wack,0.0
918,virtual,0.0
919,wait,0.0
920,waited,0.0
921,waiter,0.0
922,waiting,0.0
923,wake,0.0
924,walk,0.0
925,walked,0.0
926,vision,0.0
927,vigila,0.0
928,went,0.0
929,versed,0.0
930,veins,0.0
931,venas,0.0
932,vende,0.0
933,vento,0.0
934,veo,0.0
935,verano,0.0
936,verse,0.0
937,versos,0.0
938,view,0.0
939,vest,0.0
940,vez,0.0
941,vicksburg,0.0
942,victories,0.0
943,victorious,0.0
944,vida,0.0
945,viento,0.0
946,walkin,0.0
947,walking,0.0
948,wall,0.0
949,weak,0.0
950,watergate,0.0
951,waterloo,0.0
952,waters,0.0
953,waterville,0.0
954,wave,0.0
955,waves,0.0
956,way,0.0
957,wear,0.0
958,wallet,0.0
959,wearin,0.0
960,wearing,0.0
961,weary,0.0
962,weave,0.0
963,wedding,0.0
964,wee,0.0
965,weird,0.0
966,water,0.0
967,watching,0.0
968,watch,0.0
969,wasting,0.0
970,walls,0.0
971,wanna,0.0
972,wannabes,0.0
973,want,0.0
974,wanted,0.0
975,wants,0.0
976,war,0.0
977,warning,0.0
978,warring,0.0
979,wars,0.0
980,washington,0.0
981,wasn,0.0
982,waste,0.0
983,wasted,0.0
984,wasteland,0.0
985,teenage,0.0
986,teased,0.0
987,tease,0.0
988,slow,0.0
989,slice,0.0
990,slick,0.0
991,slip,0.0
992,slippers,0.0
993,slippin,0.0
994,sloppy,0.0
995,slouching,0.0
996,slowly,0.0
997,sleepin,0.0
998,smart,0.0
999,smile,0.0
1000,smiles,0.0
1001,smiling,0.0
1002,smog,0.0
1003,smoke,0.0
1004,smoking,0.0
1005,sleeping,0.0
1006,sleepers,0.0
1007,smuggle,0.0
1008,sizzle,0.0
1009,sinner,0.0
1010,sioux,0.0
1011,sipping,0.0
1012,sister,0.0
1013,sisters,0.0
1014,sit,0.0
1015,sitting,0.0
1016,skies,0.0
1017,sleep,0.0
1018,skill,0.0
1019,skin,0.0
1020,skip,0.0
1021,skipping,0.0
1022,sky,0.0
1023,slave,0.0
1024,slay,0.0
1025,smooth,0.0
1026,soap,0.0
1027,specially,0.0
1028,south,0.0
1029,soothing,0.0
1030,sorrow,0.0
1031,sorry,0.0
1032,sorta,0.0
1033,sostiene,0.0
1034,soul,0.0
1035,soulit,0.0
1036,southern,0.0
1037,soon,0.0
1038,southland,0.0
1039,soy,0.0
1040,spa,0.0
1041,space,0.0
1042,spark,0.0
1043,speak,0.0
1044,speaking,0.0
1045,sooner,0.0
1046,sons,0.0
1047,soar,0.0
1048,soil,0.0
1049,sober,0.0
1050,sobra,0.0
1051,sock,0.0
1052,sofoca,0.0
1053,soft,0.0
1054,softer,0.0
1055,softly,0.0
1056,sol,0.0
1057,sonrío,0.0
1058,soldiers,0.0
1059,solid,0.0
1060,solider,0.0
1061,somebody,0.0
1062,son,0.0
1063,song,0.0
1064,songs,0.0
1065,sink,0.0
1066,sings,0.0
1067,singing,0.0
1068,shame,0.0
1069,shack,0.0
1070,shades,0.0
1071,shaggy,0.0
1072,shake,0.0
1073,shaking,0.0
1074,shall,0.0
1075,shallow,0.0
1076,shape,0.0
1077,sexual,0.0
1078,share,0.0
1079,shark,0.0
1080,shatter,0.0
1081,shed,0.0
1082,sheets,0.0
1083,shell,0.0
1084,shine,0.0
1085,señor,0.0
1086,sex,0.0
1087,singin,0.0
1088,sentado,0.0
1089,self,0.0
1090,sell,0.0
1091,semi,0.0
1092,seminoles,0.0
1093,senators,0.0
1094,send,0.0
1095,senses,0.0
1096,sentimental,0.0
1097,seventeen,0.0
1098,sentimiento,0.0
1099,sermon,0.0
1100,service,0.0
1101,set,0.0
1102,sets,0.0
1103,settin,0.0
1104,settled,0.0
1105,shined,0.0
1106,shining,0.0
1107,shiny,0.0
1108,siento,0.0
1109,showed,0.0
1110,shower,0.0
1111,shows,0.0
1112,shreveport,0.0
1113,shuffling,0.0
1114,shut,0.0
1115,si,0.0
1116,sight,0.0
1117,ship,0.0
1118,sign,0.0
1119,sigue,0.0
1120,siguen,0.0
1121,simple,0.0
1122,simplify,0.0
1123,simply,0.0
1124,sin,0.0
1125,shovin,0.0
1126,shovel,0.0
1127,shout,0.0
1128,shouldn,0.0
1129,shirts,0.0
1130,shit,0.0
1131,shittin,0.0
1132,sho,0.0
1133,shoals,0.0
1134,shocked,0.0
1135,shoes,0.0
1136,shook,0.0
1137,shoot,0.0
1138,shooting,0.0
1139,short,0.0
1140,shot,0.0
1141,shotgun,0.0
1142,shoulder,0.0
1143,shoulders,0.0
1144,special,0.0
1145,specimen,0.0
1146,tears,0.0
1147,surge,0.0
1148,superstar,0.0
1149,superstars,0.0
1150,superwoman,0.0
1151,suppose,0.0
1152,supreme,0.0
1153,sure,0.0
1154,surely,0.0
1155,surprise,0.0
1156,super,0.0
1157,surprised,0.0
1158,survive,0.0
1159,survivor,0.0
1160,sus,0.0
1161,suspira,0.0
1162,swampers,0.0
1163,swaying,0.0
1164,superdome,0.0
1165,supe,0.0
1166,sweat,0.0
1167,sufferin,0.0
1168,style,0.0
1169,styrofoam,0.0
1170,su,0.0
1171,subway,0.0
1172,succumbed,0.0
1173,sucka,0.0
1174,suckah,0.0
1175,sufro,0.0
1176,sunshine,0.0
1177,sulkin,0.0
1178,summer,0.0
1179,summertime,0.0
1180,summons,0.0
1181,sun,0.0
1182,sunlight,0.0
1183,sunset,0.0
1184,swear,0.0
1185,sweater,0.0
1186,speech,0.0
1187,tcb,0.0
1188,tambores,0.0
1189,tampa,0.0
1190,tampoco,0.0
1191,tape,0.0
1192,taste,0.0
1193,tattletales,0.0
1194,tax,0.0
1195,te,0.0
1196,tall,0.0
1197,tea,0.0
1198,teach,0.0
1199,teachers,0.0
1200,teaching,0.0
1201,team,0.0
1202,tear,0.0
1203,teardrops,0.0
1204,tallapoosa,0.0
1205,talking,0.0
1206,sweep,0.0
1207,switch,0.0
1208,sweet,0.0
1209,sweeter,0.0
1210,swept,0.0
1211,swim,0.0
