,term,score
0,train,0.6646154353362579
1,ride,0.27771067164410435
2,join,0.24923078825109668
3,people,0.22311362562007972
4,love,0.20486903253278047
5,start,0.1912881376457109
6,riding,0.18212247112116517
7,hands,0.17810589538596697
8,miss,0.16615385883406447
9,sorry,0.16615385883406447
10,folks,0.14603578660265695
11,world,0.13715811086794857
12,let,0.13657935502185364
13,tell,0.0955882005229391
14,egypt,0.09106123556058258
15,africa,0.09106123556058258
16,russia,0.09106123556058258
17,station,0.09106123556058258
18,china,0.09106123556058258
19,england,0.09106123556058258
20,hook,0.09106123556058258
21,israel,0.09106123556058258
22,war,0.08307692941703224
23,board,0.08307692941703224
24,brothers,0.06942766791102609
25,don,0.061291980857671007
26,stop,0.054202227666469295
27,ain,0.05011345104256416
28,feel,0.04779410026146955
29,make,0.045719370289316184
30,cause,0.040552966160463146
31,time,0.037735064145765815
32,know,0.032568660016912776
33,queen,0.0
34,queens,0.0
35,pump,0.0
36,puedes,0.0
37,quejido,0.0
38,quench,0.0
39,questions,0.0
40,pueblo,0.0
41,prudence,0.0
42,quede,0.0
43,quarrels,0.0
44,puedo,0.0
45,puffin,0.0
46,que,0.0
47,pumpin,0.0
48,putting,0.0
49,pussy,0.0
50,pull,0.0
51,quick,0.0
52,pulling,0.0
53,push,0.0
54,pulmones,0.0
55,pulque,0.0
56,punishment,0.0
57,pushin,0.0
58,rain,0.0
59,quiere,0.0
60,real,0.0
61,raíces,0.0
62,raíz,0.0
63,reach,0.0
64,reaction,0.0
65,read,0.0
66,reading,0.0
67,ready,0.0
68,really,0.0
69,quiet,0.0
70,rear,0.0
71,reason,0.0
72,reasons,0.0
73,rebels,0.0
74,recital,0.0
75,recite,0.0
76,reconstruyo,0.0
77,razona,0.0
78,ray,0.0
79,rattlesnakers,0.0
80,rattle,0.0
81,quit,0.0
82,quoting,0.0
83,race,0.0
84,radio,0.0
85,ragin,0.0
86,proud,0.0
87,rained,0.0
88,raise,0.0
89,raised,0.0
90,ranch,0.0
91,ransacked,0.0
92,rapidly,0.0
93,rapper,0.0
94,rated,0.0
95,rationale,0.0
96,prove,0.0
97,propers,0.0
98,prototype,0.0
99,pros,0.0
100,poe,0.0
101,poems,0.0
102,poetical,0.0
103,points,0.0
104,poisonous,0.0
105,polish,0.0
106,político,0.0
107,poodle,0.0
108,pool,0.0
109,pop,0.0
110,poppin,0.0
111,por,0.0
112,porch,0.0
113,porque,0.0
114,position,0.0
115,positive,0.0
116,possess,0.0
117,pode,0.0
118,plus,0.0
119,pliers,0.0
120,places,0.0
121,pink,0.0
122,pipe,0.0
123,pirate,0.0
124,pittsburgh,0.0
125,pittsfield,0.0
126,pity,0.0
127,place,0.0
128,plan,0.0
129,plex,0.0
130,planeta,0.0
131,planned,0.0
132,play,0.0
133,played,0.0
134,player,0.0
135,playing,0.0
136,pleased,0.0
137,poster,0.0
138,potent,0.0
139,pour,0.0
140,promise,0.0
141,pricing,0.0
142,pride,0.0
143,princess,0.0
144,prob,0.0
145,problem,0.0
146,problems,0.0
147,process,0.0
148,promises,0.0
149,prey,0.0
150,promotion,0.0
151,proof,0.0
152,property,0.0
153,prophecy,0.0
154,prophesize,0.0
155,prophets,0.0
156,propio,0.0
157,price,0.0
158,pretty,0.0
159,poverty,0.0
160,prayer,0.0
161,powder,0.0
162,power,0.0
163,powers,0.0
164,pr,0.0
165,praise,0.0
166,pranto,0.0
167,pray,0.0
168,preachers,0.0
169,pretending,0.0
170,preaching,0.0
171,precisely,0.0
172,pregones,0.0
173,pregón,0.0
174,present,0.0
175,presidentes,0.0
176,press,0.0
177,record,0.0
178,regular,0.0
179,recuerdes,0.0
180,sand,0.0
181,safer,0.0
182,said,0.0
183,sail,0.0
184,sake,0.0
185,saliva,0.0
186,sally,0.0
187,salvador,0.0
188,sangre,0.0
189,ríos,0.0
190,santa,0.0
191,santos,0.0
192,sap,0.0
193,sarasota,0.0
194,satan,0.0
195,satisfaction,0.0
196,save,0.0
197,sacrifice,0.0
198,ry,0.0
199,saving,0.0
200,rules,0.0
201,round,0.0
202,row,0.0
203,rub,0.0
204,rude,0.0
205,ruffians,0.0
206,ruger,0.0
207,rule,0.0
208,rum,0.0
209,rush,0.0
210,rumors,0.0
211,run,0.0
212,runaway,0.0
213,runnin,0.0
214,running,0.0
215,runs,0.0
216,runway,0.0
217,savin,0.0
218,saw,0.0
219,rot,0.0
220,section,0.0
221,se,0.0
222,sea,0.0
223,seamstress,0.0
224,searching,0.0
225,seca,0.0
226,second,0.0
227,secrets,0.0
228,seed,0.0
229,screwed,0.0
230,seein,0.0
231,seeing,0.0
232,seek,0.0
233,seen,0.0
234,sees,0.0
235,self,0.0
236,sell,0.0
237,scufflin,0.0
238,screen,0.0
239,sax,0.0
240,scene,0.0
241,say,0.0
242,sayin,0.0
243,saying,0.0
244,says,0.0
245,scandalous,0.0
246,scanner,0.0
247,scared,0.0
248,schefferville,0.0
249,screamin,0.0
250,scheme,0.0
251,scholarship,0.0
252,school,0.0
253,science,0.0
254,scraper,0.0
255,scrappy,0.0
256,scream,0.0
257,rough,0.0
258,rose,0.0
259,recuerdo,0.0
260,return,0.0
261,rescue,0.0
262,respect,0.0
263,respected,0.0
264,respira,0.0
265,respirando,0.0
266,rest,0.0
267,resume,0.0
268,reverse,0.0
269,reppin,0.0
270,revolution,0.0
271,revolutionary,0.0
272,rewrite,0.0
273,rexburg,0.0
274,rhyme,0.0
275,rhymes,0.0
276,rhyming,0.0
277,repping,0.0
278,repleta,0.0
279,ribbon,0.0
280,rehearse,0.0
281,red,0.0
282,reflection,0.0
283,refuse,0.0
284,regard,0.0
285,regreso,0.0
286,regret,0.0
287,piernas,0.0
288,rehearsed,0.0
289,reno,0.0
290,reign,0.0
291,rejoice,0.0
292,relate,0.0
293,relentlessly,0.0
294,religion,0.0
295,remember,0.0
296,remind,0.0
297,rhythm,0.0
298,rica,0.0
299,rope,0.0
300,rollercoaster,0.0
