,term,score
0,land,0.3755928384280339
1,yes,0.36071747878828936
2,better,0.25243902368703103
3,know,0.2210963328110889
4,world,0.20691435885809273
5,make,0.20691435885809273
6,kindness,0.2060601125257265
7,iron,0.2060601125257265
8,got,0.20285672212816205
9,man,0.20256619038841592
10,work,0.2015156099013776
11,live,0.19514509354240567
12,children,0.18799263285392628
13,darn,0.18799263285392628
14,help,0.15023713537121358
15,try,0.12265281778070192
16,wanna,0.11627626026245151
17,little,0.10815203217171528
18,problems,0.10303005626286325
19,quarrels,0.10303005626286325
20,bitty,0.10303005626286325
21,strongest,0.10303005626286325
22,stepping,0.09399631642696314
23,boys,0.09399631642696314
24,future,0.09399631642696314
25,mothers,0.08758677601026058
26,piece,0.08758677601026058
27,women,0.08758677601026058
28,men,0.08261515021972857
29,remember,0.07855303617436045
30,brothers,0.07855303617436045
31,respect,0.07855303617436045
32,oh,0.0772654716665099
33,girls,0.07511856768560679
34,care,0.07511856768560679
35,hope,0.07511856768560679
36,good,0.05967528743300409
37,gotta,0.05967528743300409
38,cause,0.045883128637748266
39,time,0.04269484987862306
40,pueblo,0.0
41,punishment,0.0
42,quejido,0.0
43,queens,0.0
44,quench,0.0
45,queen,0.0
46,pumpin,0.0
47,push,0.0
48,pulmones,0.0
49,que,0.0
50,puedes,0.0
51,pump,0.0
52,putting,0.0
53,puedo,0.0
54,pussy,0.0
55,puffin,0.0
56,pulque,0.0
57,pull,0.0
58,pushin,0.0
59,pulling,0.0
60,quede,0.0
61,race,0.0
62,questions,0.0
63,reading,0.0
64,ray,0.0
65,razona,0.0
66,raíces,0.0
67,raíz,0.0
68,reach,0.0
69,reaction,0.0
70,read,0.0
71,ready,0.0
72,quick,0.0
73,real,0.0
74,really,0.0
75,rear,0.0
76,reason,0.0
77,reasons,0.0
78,rebels,0.0
79,recital,0.0
80,rattlesnakers,0.0
81,rattle,0.0
82,rationale,0.0
83,rated,0.0
84,quiere,0.0
85,quiet,0.0
86,quit,0.0
87,quoting,0.0
88,prove,0.0
89,radio,0.0
90,ragin,0.0
91,rain,0.0
92,rained,0.0
93,raise,0.0
94,raised,0.0
95,ranch,0.0
96,ransacked,0.0
97,rapidly,0.0
98,rapper,0.0
99,prudence,0.0
100,128,0.0
101,proud,0.0
102,pop,0.0
103,poetical,0.0
104,points,0.0
105,poisonous,0.0
106,polish,0.0
107,político,0.0
108,poodle,0.0
109,pool,0.0
110,poppin,0.0
111,poe,0.0
112,por,0.0
113,porch,0.0
114,porque,0.0
115,position,0.0
116,positive,0.0
117,possess,0.0
118,poster,0.0
119,poems,0.0
120,pode,0.0
121,pour,0.0
122,planeta,0.0
123,pirate,0.0
124,pittsburgh,0.0
125,pittsfield,0.0
126,pity,0.0
127,place,0.0
128,places,0.0
129,plan,0.0
130,planned,0.0
131,plus,0.0
132,play,0.0
133,played,0.0
134,player,0.0
135,playing,0.0
136,pleased,0.0
137,plex,0.0
138,pliers,0.0
139,potent,0.0
140,poverty,0.0
141,prototype,0.0
142,promotion,0.0
143,pride,0.0
144,princess,0.0
145,prob,0.0
146,problem,0.0
147,process,0.0
148,promise,0.0
149,promises,0.0
150,recite,0.0
151,price,0.0
152,propers,0.0
153,property,0.0
154,prophecy,0.0
155,prophesize,0.0
156,prophets,0.0
157,propio,0.0
158,pros,0.0
159,pricing,0.0
160,prey,0.0
161,powder,0.0
162,preachers,0.0
163,power,0.0
164,powers,0.0
165,pr,0.0
166,praise,0.0
167,pranto,0.0
168,pray,0.0
169,prayer,0.0
170,preaching,0.0
171,pretty,0.0
172,precisely,0.0
173,pregones,0.0
174,pregón,0.0
175,present,0.0
176,presidentes,0.0
177,press,0.0
178,pretending,0.0
179,proof,0.0
180,regreso,0.0
181,reconstruyo,0.0
182,rose,0.0
183,ríos,0.0
184,sacrifice,0.0
185,safer,0.0
186,said,0.0
187,sail,0.0
188,sake,0.0
189,saliva,0.0
190,sally,0.0
191,salvador,0.0
192,sand,0.0
193,sangre,0.0
194,santa,0.0
195,santos,0.0
196,sap,0.0
197,sarasota,0.0
198,satan,0.0
199,satisfaction,0.0
200,ry,0.0
201,russia,0.0
202,rush,0.0
203,rule,0.0
204,rough,0.0
205,round,0.0
206,row,0.0
207,rub,0.0
208,rude,0.0
209,ruffians,0.0
210,ruger,0.0
211,rules,0.0
212,runway,0.0
213,rum,0.0
214,rumors,0.0
215,run,0.0
216,runaway,0.0
217,runnin,0.0
218,running,0.0
219,runs,0.0
220,save,0.0
221,savin,0.0
222,saving,0.0
223,secrets,0.0
224,scufflin,0.0
225,se,0.0
226,sea,0.0
227,seamstress,0.0
228,searching,0.0
229,seca,0.0
230,second,0.0
231,section,0.0
232,screen,0.0
233,seed,0.0
234,seein,0.0
235,seeing,0.0
236,seek,0.0
237,seen,0.0
238,sees,0.0
239,self,0.0
240,screwed,0.0
241,screamin,0.0
242,saw,0.0
243,scared,0.0
244,sax,0.0
245,say,0.0
246,sayin,0.0
247,saying,0.0
248,says,0.0
249,scandalous,0.0
250,scanner,0.0
251,scene,0.0
252,scream,0.0
253,schefferville,0.0
254,scheme,0.0
255,scholarship,0.0
256,school,0.0
257,science,0.0
258,scraper,0.0
259,scrappy,0.0
260,rot,0.0
261,rope,0.0
262,record,0.0
263,root,0.0
264,repping,0.0
265,rescue,0.0
266,respected,0.0
267,respira,0.0
268,respirando,0.0
269,rest,0.0
270,resume,0.0
271,return,0.0
272,reverse,0.0
273,revolution,0.0
274,revolutionary,0.0
275,rewrite,0.0
276,rexburg,0.0
277,rhyme,0.0
278,rhymes,0.0
279,rhyming,0.0
280,rhythm,0.0
281,reppin,0.0
282,repleta,0.0
283,reno,0.0
284,regret,0.0
285,recuerdes,0.0
286,recuerdo,0.0
287,red,0.0
288,reflection,0.0
289,refuse,0.0
290,regard,0.0
291,pink,0.0
292,regular,0.0
293,remind,0.0
294,rehearse,0.0
295,rehearsed,0.0
296,reign,0.0
297,rejoice,0.0
298,relate,0.0
299,relentlessly,0.0
300,religion,0.0
301,ribbon,0.0
302,rica,0.0
303,rich,0.0
304,rolled,0.0
305,rock,0.0
306,rocked,0.0
307,rockin,0.0
308,rocking,0.0
309,rocks,0.0
310,role,0.0
311,roll,0.0
312,rollercoaster,0.0
313,roam,0.0
314,rollie,0.0
315,rolls,0.0
316,romance,0.0
317,roof,0.0
318,rookie,0.0
319,room,0.0
320,rooms,0.0
321,robaron,0.0
322,roads,0.0
323,richard,0.0
324,ripe,0.0
325,ride,0.0
326,riding,0.0
327,right,0.0
328,righteous,0.0
329,rights,0.0
330,rims,0.0
331,ring,0.0
332,ripped,0.0
333,roadrunner,0.0
334,rise,0.0
335,rising,0.0
336,riso,0.0
337,ritmo,0.0
338,rituales,0.0
339,rival,0.0
340,road,0.0
341,pipe,0.0
342,peyote,0.0
343,pills,0.0
344,mma,0.0
345,minnesota,0.0
346,miro,0.0
347,mirror,0.0
348,mis,0.0
349,miss,0.0
350,mistakes,0.0
351,mister,0.0
352,mmm,0.0
353,minha,0.0
354,mmmmm,0.0
355,mmmmmm,0.0
356,modern,0.0
357,moment,0.0
358,money,0.0
359,monie,0.0
360,monroe,0.0
361,minhas,0.0
362,mines,0.0
363,merrily,0.0
364,mics,0.0
365,message,0.0
366,messenger,0.0
367,met,0.0
368,metropolis,0.0
369,mi,0.0
370,mic,0.0
371,michigan,0.0
372,middleman,0.0
373,minds,0.0
374,midnight,0.0
375,mike,0.0
376,miles,0.0
377,million,0.0
378,millions,0.0
379,mills,0.0
380,mind,0.0
381,mont,0.0
382,montañas,0.0
383,monterey,0.0
384,más,0.0
385,mulligan,0.0
386,muscle,0.0
387,muscles,0.0
388,museum,0.0
389,music,0.0
390,mutha,0.0
391,muthafucka,0.0
392,mío,0.0
393,montgomery,0.0
394,na,0.0
395,nace,0.0
396,naciste,0.0
397,nadie,0.0
398,nah,0.0
399,nails,0.0
400,namin,0.0
401,muffin,0.0
402,mueve,0.0
403,muere,0.0
404,muelas,0.0
405,monáe,0.0
406,moon,0.0
407,moonlight,0.0
408,morning,0.0
409,mornings,0.0
410,mother,0.0
411,mountain,0.0
412,mountaineers,0.0
413,mountains,0.0
414,moustache,0.0
415,mouthpiece,0.0
416,moved,0.0
417,moves,0.0
418,moving,0.0
419,mr,0.0
420,mess,0.0
421,mercy,0.0
422,narc,0.0
423,mad,0.0
424,lyrical,0.0
425,ma,0.0
426,macbook,0.0
427,machine,0.0
428,macho,0.0
429,machos,0.0
430,mack,0.0
431,madre,0.0
432,lyin,0.0
433,magic,0.0
434,major,0.0
435,makes,0.0
436,makin,0.0
437,making,0.0
438,mama,0.0
439,mami,0.0
440,lying,0.0
441,ly,0.0
442,mentions,0.0
443,loves,0.0
444,lotta,0.0
445,louisiana,0.0
446,louisville,0.0
447,love,0.0
448,lovely,0.0
449,lover,0.0
450,lovers,0.0
451,lovin,0.0
452,lure,0.0
453,loving,0.0
454,low,0.0
455,loyal,0.0
456,lucha,0.0
457,luck,0.0
458,lucky,0.0
459,luna,0.0
460,manage,0.0
461,manifest,0.0
462,mano,0.0
463,measurements,0.0
464,matters,0.0
465,maybe,0.0
466,meals,0.0
467,mean,0.0
468,meaning,0.0
469,means,0.0
