,term,score
0,going,0.7212610220007812
1,ve,0.35864492797506203
2,anybody,0.22333672059729387
3,care,0.17848289380472798
4,nah,0.1488911470648626
5,gotta,0.14178941795388217
6,say,0.10509594210303635
7,believe,0.10303728885725447
8,day,0.09452627863592145
9,away,0.08374885214087739
10,don,0.0823859891050446
11,tread,0.08160034266371864
12,tribulations,0.08160034266371864
13,trail,0.08160034266371864
14,leaving,0.08160034266371864
15,leaning,0.08160034266371864
16,lean,0.08160034266371864
17,tall,0.08160034266371864
18,walked,0.08160034266371864
19,feeling,0.07727796664294086
20,fake,0.0744455735324313
21,ghost,0.0744455735324313
22,desperate,0.0744455735324313
23,law,0.0744455735324313
24,odds,0.0744455735324313
25,leaves,0.0744455735324313
26,means,0.06936918404677005
27,learn,0.06936918404677005
28,walking,0.06543163045495065
29,tried,0.06543163045495065
30,true,0.062214414915482685
31,door,0.062214414915482685
32,know,0.05836981677478202
33,free,0.05713802542982145
34,fear,0.05713802542982145
35,best,0.05320047183800204
36,stand,0.05320047183800204
37,let,0.045895992825447166
38,love,0.045895992825447166
39,just,0.045895992825447166
40,feel,0.04282848716724671
41,make,0.04096931322105345
42,want,0.04096931322105345
43,laid,0.04080017133185932
44,questions,0.04080017133185932
45,drummer,0.04080017133185932
46,pulling,0.04080017133185932
47,view,0.04080017133185932
48,rear,0.04080017133185932
49,beating,0.04080017133185932
50,fit,0.03722278676621565
51,holding,0.03722278676621565
52,shades,0.03722278676621565
53,sunlight,0.03722278676621565
54,cause,0.036339677518678386
55,come,0.035031980701012114
56,chest,0.03468459202338502
57,lose,0.03468459202338502
58,black,0.03468459202338502
59,knew,0.032715815227475326
60,got,0.03213271668039126
61,deep,0.031107207457741343
62,talking,0.031107207457741343
63,ride,0.031107207457741343
64,remember,0.031107207457741343
65,inside,0.031107207457741343
66,blue,0.029747148967454663
67,dark,0.029747148967454663
68,soul,0.02660023591900102
69,alright,0.02660023591900102
70,head,0.025759322214313617
71,long,0.02499162814926704
72,said,0.02363156965898036
73,boy,0.02363156965898036
74,night,0.021414243583623354
75,gonna,0.01887604884079274
76,like,0.017206382585570057
77,yeah,0.015056925429031419
78,rain,0.0
79,reading,0.0
80,reach,0.0
81,reaction,0.0
82,quench,0.0
83,read,0.0
84,quejido,0.0
85,queens,0.0
86,queen,0.0
87,quede,0.0
88,quarrels,0.0
89,que,0.0
90,raíces,0.0
91,putting,0.0
92,ready,0.0
93,real,0.0
94,pussy,0.0
95,really,0.0
96,reason,0.0
97,reasons,0.0
98,raíz,0.0
99,quiere,0.0
100,quick,0.0
101,rained,0.0
102,ragin,0.0
103,radio,0.0
104,raise,0.0
105,race,0.0
106,raised,0.0
107,ranch,0.0
108,quoting,0.0
109,push,0.0
110,ransacked,0.0
111,rapidly,0.0
112,quit,0.0
113,rapper,0.0
114,quiet,0.0
115,rated,0.0
116,rationale,0.0
117,rattle,0.0
118,rattlesnakers,0.0
119,ray,0.0
120,razona,0.0
121,pushin,0.0
122,128,0.0
123,punishment,0.0
124,por,0.0
125,porque,0.0
126,position,0.0
127,positive,0.0
128,possess,0.0
129,poster,0.0
130,potent,0.0
131,pour,0.0
132,poverty,0.0
133,powder,0.0
134,power,0.0
135,powers,0.0
136,pr,0.0
137,praise,0.0
138,pranto,0.0
139,pray,0.0
140,prayer,0.0
141,preachers,0.0
142,porch,0.0
143,poppin,0.0
144,precisely,0.0
145,pop,0.0
146,played,0.0
147,player,0.0
148,playing,0.0
149,pleased,0.0
150,plex,0.0
151,pliers,0.0
152,plus,0.0
153,pode,0.0
154,poe,0.0
155,poems,0.0
156,poetical,0.0
157,points,0.0
158,poisonous,0.0
159,polish,0.0
160,político,0.0
161,poodle,0.0
162,pool,0.0
163,preaching,0.0
164,pregones,0.0
165,pumpin,0.0
166,property,0.0
167,prophesize,0.0
168,prophets,0.0
169,propio,0.0
170,pros,0.0
171,prototype,0.0
172,recital,0.0
173,proud,0.0
174,prove,0.0
175,prudence,0.0
176,pueblo,0.0
177,puedes,0.0
178,puedo,0.0
179,puffin,0.0
180,pull,0.0
181,pulmones,0.0
182,pulque,0.0
183,pump,0.0
184,prophecy,0.0
185,propers,0.0
186,pregón,0.0
187,proof,0.0
188,present,0.0
189,presidentes,0.0
190,press,0.0
191,pretending,0.0
192,pretty,0.0
193,prey,0.0
194,price,0.0
195,pricing,0.0
196,pride,0.0
197,princess,0.0
198,prob,0.0
199,problem,0.0
200,problems,0.0
201,process,0.0
202,promise,0.0
203,promises,0.0
