,term,score
0,falling,0.6371949539981943
1,fa,0.3104151522167264
2,love,0.29098757705306016
3,la,0.2263217401622923
4,baby,0.17279931309471716
5,feel,0.16292347469692775
6,specially,0.1552075761083632
7,darling,0.1552075761083632
8,heaven,0.14159887866626542
9,used,0.13194335417051134
10,woo,0.12445394752302191
11,heart,0.11316087008114616
12,sing,0.11316087008114616
13,ll,0.11276569531940889
14,walk,0.10867913223265949
15,let,0.08729627311591803
16,need,0.08338015534464463
17,begun,0.0776037880541816
18,helpless,0.0776037880541816
19,meeting,0.0776037880541816
20,wonder,0.0776037880541816
21,joy,0.0776037880541816
22,met,0.0776037880541816
23,skip,0.0776037880541816
24,ve,0.07180621285270983
25,carry,0.07079943933313271
26,strange,0.07079943933313271
27,speak,0.07079943933313271
28,say,0.06663242620544244
29,sure,0.06597167708525567
30,beats,0.06597167708525567
31,destiny,0.06597167708525567
32,honey,0.062226973761510956
33,pray,0.062226973761510956
34,funny,0.062226973761510956
35,happy,0.059167328364206774
36,bring,0.05658043504057308
37,know,0.05551102779578906
38,street,0.05433956611632974
39,don,0.05223397049928218
40,hands,0.05059486279258503
41,feeling,0.04899540654570744
42,things,0.04753521739528084
43,long,0.04753521739528084
44,girl,0.04619197358786936
45,day,0.044948324071647144
46,boy,0.044948324071647144
47,good,0.044948324071647144
48,hey,0.04379051407153613
49,right,0.041690077672322315
50,won,0.041690077672322315
51,way,0.041690077672322315
52,night,0.04073086867423194
53,away,0.03982353479877815
54,want,0.0389627518236591
55,come,0.03331621310272122
56,time,0.0321584031026102
57,just,0.029098757705306014
58,read,0.0
59,push,0.0
60,ragin,0.0
61,reaction,0.0
62,reach,0.0
63,pussy,0.0
64,raíz,0.0
65,raíces,0.0
66,pushin,0.0
67,pump,0.0
68,punishment,0.0
69,pumpin,0.0
70,pulque,0.0
71,reading,0.0
72,ready,0.0
73,real,0.0
74,really,0.0
75,rear,0.0
76,reason,0.0
77,pulmones,0.0
78,reasons,0.0
79,pulling,0.0
80,pull,0.0
81,razona,0.0
82,ray,0.0
83,putting,0.0
84,quarrels,0.0
85,radio,0.0
86,rained,0.0
87,race,0.0
88,raise,0.0
89,raised,0.0
90,puedo,0.0
91,quoting,0.0
92,ranch,0.0
93,quit,0.0
94,ransacked,0.0
95,quiet,0.0
96,rapidly,0.0
97,rapper,0.0
98,quiere,0.0
99,rated,0.0
100,quick,0.0
101,rationale,0.0
102,questions,0.0
103,quench,0.0
104,quejido,0.0
105,rattle,0.0
106,rattlesnakers,0.0
107,queens,0.0
108,queen,0.0
109,quede,0.0
110,que,0.0
111,rain,0.0
112,puffin,0.0
113,prophesize,0.0
114,puedes,0.0
115,porque,0.0
116,político,0.0
117,poodle,0.0
118,pool,0.0
119,pop,0.0
120,poppin,0.0
121,por,0.0
122,porch,0.0
123,position,0.0
124,poisonous,0.0
125,positive,0.0
126,possess,0.0
127,poster,0.0
128,potent,0.0
129,pour,0.0
130,poverty,0.0
131,powder,0.0
132,polish,0.0
133,points,0.0
134,powers,0.0
135,player,0.0
136,place,0.0
137,places,0.0
138,plan,0.0
139,planeta,0.0
140,planned,0.0
141,play,0.0
142,played,0.0
143,playing,0.0
144,poetical,0.0
145,pleased,0.0
146,plex,0.0
147,pliers,0.0
148,plus,0.0
149,pode,0.0
150,poe,0.0
151,poems,0.0
152,power,0.0
153,pr,0.0
154,pueblo,0.0
155,prophecy,0.0
156,process,0.0
157,promise,0.0
158,promises,0.0
159,promotion,0.0
160,proof,0.0
161,propers,0.0
162,property,0.0
163,recital,0.0
164,problem,0.0
165,prophets,0.0
166,propio,0.0
167,pros,0.0
168,prototype,0.0
169,proud,0.0
170,prove,0.0
171,prudence,0.0
172,problems,0.0
173,prob,0.0
174,praise,0.0
175,present,0.0
176,pranto,0.0
177,prayer,0.0
178,preachers,0.0
179,preaching,0.0
180,precisely,0.0
181,pregones,0.0
182,pregón,0.0
183,presidentes,0.0
184,princess,0.0
185,press,0.0
186,pretending,0.0
187,pretty,0.0
188,prey,0.0
189,price,0.0
190,pricing,0.0
191,pride,0.0
192,rebels,0.0
193,reign,0.0
194,recite,0.0
195,said,0.0
196,runway,0.0
197,rush,0.0
198,russia,0.0
199,ry,0.0
200,ríos,0.0
201,sacrifice,0.0
202,safer,0.0
203,sail,0.0
204,running,0.0
205,sake,0.0
206,saliva,0.0
207,sally,0.0
208,salvador,0.0
209,sand,0.0
210,sangre,0.0
211,santa,0.0
212,runs,0.0
213,runnin,0.0
214,room,0.0
215,rub,0.0
216,root,0.0
217,rope,0.0
218,rose,0.0
219,rot,0.0
220,rough,0.0
221,round,0.0
222,row,0.0
223,rude,0.0
224,runaway,0.0
225,ruffians,0.0
226,ruger,0.0
227,rule,0.0
228,rules,0.0
229,rum,0.0
230,rumors,0.0
231,run,0.0
232,santos,0.0
233,sap,0.0
234,sarasota,0.0
235,sea,0.0
236,scrappy,0.0
237,scream,0.0
238,screamin,0.0
239,screen,0.0
240,screwed,0.0
241,scufflin,0.0
242,se,0.0
243,seamstress,0.0
244,satan,0.0
245,searching,0.0
246,seca,0.0
247,second,0.0
248,secrets,0.0
249,section,0.0
250,seed,0.0
251,seein,0.0
252,scraper,0.0
253,science,0.0
254,school,0.0
255,scholarship,0.0
256,satisfaction,0.0
257,save,0.0
258,savin,0.0
259,saving,0.0
260,saw,0.0
261,sax,0.0
262,sayin,0.0
263,saying,0.0
264,says,0.0
265,scandalous,0.0
266,scanner,0.0
267,scared,0.0
268,scene,0.0
269,schefferville,0.0
270,scheme,0.0
271,rooms,0.0
272,rookie,0.0
273,reconstruyo,0.0
274,respirando,0.0
275,repleta,0.0
276,reppin,0.0
277,repping,0.0
278,rescue,0.0
279,respect,0.0
280,respected,0.0
281,respira,0.0
282,rest,0.0
283,remind,0.0
284,resume,0.0
285,return,0.0
286,reverse,0.0
287,revolution,0.0
288,revolutionary,0.0
289,rewrite,0.0
290,rexburg,0.0
291,reno,0.0
292,remember,0.0
293,roof,0.0
294,regreso,0.0
295,record,0.0
296,recuerdes,0.0
297,recuerdo,0.0
298,red,0.0
299,reflection,0.0
300,refuse,0.0
301,regard,0.0
302,regret,0.0
303,religion,0.0
304,regular,0.0
305,rehearse,0.0
306,rehearsed,0.0
307,pittsfield,0.0
308,rejoice,0.0
309,relate,0.0
310,relentlessly,0.0
311,rhyme,0.0
312,rhymes,0.0
313,rhyming,0.0
314,rocking,0.0
315,roadrunner,0.0
316,roads,0.0
317,roam,0.0
318,robaron,0.0
319,rock,0.0
320,rocked,0.0
321,rockin,0.0
322,rocks,0.0
323,rhythm,0.0
324,role,0.0
325,roll,0.0
326,rolled,0.0
327,rollercoaster,0.0
328,rollie,0.0
329,rolls,0.0
330,romance,0.0
331,road,0.0
332,rival,0.0
333,rituales,0.0
334,ritmo,0.0
335,ribbon,0.0
336,rica,0.0
337,rich,0.0
338,richard,0.0
339,ride,0.0
340,riding,0.0
341,righteous,0.0
342,rights,0.0
343,rims,0.0
344,ring,0.0
345,ripe,0.0
346,ripped,0.0
347,rise,0.0
348,rising,0.0
349,riso,0.0
350,pity,0.0
351,peyote,0.0
352,pittsburgh,0.0
353,moment,0.0
354,mistakes,0.0
355,mister,0.0
356,mma,0.0
357,mmm,0.0
358,mmmmm,0.0
359,mmmmmm,0.0
360,modern,0.0
361,money,0.0
362,mis,0.0
363,monie,0.0
364,monroe,0.0
365,mont,0.0
366,montañas,0.0
367,monterey,0.0
368,montgomery,0.0
369,monáe,0.0
370,miss,0.0
371,mirror,0.0
372,metropolis,0.0
373,million,0.0
374,mic,0.0
375,michigan,0.0
376,mics,0.0
377,middleman,0.0
378,midnight,0.0
379,mike,0.0
380,miles,0.0
381,millions,0.0
382,miro,0.0
383,mills,0.0
384,mind,0.0
385,minds,0.0
386,mines,0.0
387,minha,0.0
