,term,score
0,burn,0.7840431156635688
1,spark,0.2716831039724383
2,burning,0.2390929402136221
3,hot,0.2270464791127452
4,gets,0.20181909254466238
5,baby,0.1915603677860082
6,disco,0.16544103093006468
7,mother,0.1547071966088143
8,inferno,0.1488969278370582
9,stop,0.0886276705096186
10,somebody,0.05625716240320519
11,just,0.05583123884584043
12,getting,0.04824880711775808
13,funk,0.04528051732873971
14,ow,0.04528051732873971
15,soul,0.043144627189210534
16,heard,0.03979790786852341
17,spirit,0.03618660533831856
18,everybody,0.03618660533831856
19,say,0.03551288397514588
20,destruct,0.033088206186012936
21,satisfaction,0.033088206186012936
22,rescue,0.033088206186012936
23,reaction,0.033088206186012936
24,chain,0.033088206186012936
25,self,0.033088206186012936
26,hear,0.0323584703919079
27,loose,0.03018701155249314
28,rising,0.03018701155249314
29,heat,0.028128581201602595
30,higher,0.028128581201602595
31,came,0.02653193857901561
32,feel,0.026049850425228983
33,couldn,0.025227386568082797
34,strong,0.025227386568082797
35,talking,0.025227386568082797
36,let,0.024813883931484634
37,free,0.023168956217192255
38,listen,0.023168956217192255
39,alright,0.021572313594605267
40,going,0.020890347682770632
41,people,0.020267761583672456
42,good,0.019164778574468695
43,don,0.01670338938146625
44,want,0.01661268861019493
45,flaming,0.016544103093006468
46,roof,0.016544103093006468
47,explode,0.016544103093006468
48,boogie,0.016544103093006468
49,x23,0.016544103093006468
50,entertaining,0.016544103093006468
51,started,0.01509350577624657
52,surprise,0.01509350577624657
53,air,0.01509350577624657
54,building,0.01509350577624657
55,stories,0.01509350577624657
56,till,0.014064290600801298
57,floor,0.014064290600801298
58,control,0.014064290600801298
59,groove,0.014064290600801298
60,tonight,0.013265969289507806
61,flame,0.013265969289507806
62,got,0.013029528064840493
63,roll,0.012613693284041399
64,pretty,0.012613693284041399
65,understand,0.012613693284041399
66,times,0.012613693284041399
67,music,0.012613693284041399
68,rock,0.01206220177943952
69,know,0.011834218273096216
70,makes,0.011584478108596127
71,high,0.011584478108596127
72,coming,0.010786156797302634
73,head,0.010445173841385316
74,come,0.007102576795029177
75,pussy,0.0
76,putting,0.0
77,pulque,0.0
78,reading,0.0
79,raíz,0.0
80,pushin,0.0
81,push,0.0
82,pump,0.0
83,punishment,0.0
84,pumpin,0.0
85,reach,0.0
86,read,0.0
87,quarrels,0.0
88,ready,0.0
89,rated,0.0
90,razona,0.0
91,que,0.0
92,quede,0.0
93,rapper,0.0
94,rapidly,0.0
95,ransacked,0.0
96,ranch,0.0
97,rationale,0.0
98,rattle,0.0
99,raised,0.0
100,rattlesnakers,0.0
101,raise,0.0
102,rained,0.0
103,rain,0.0
104,ragin,0.0
105,radio,0.0
106,race,0.0
107,pulling,0.0
108,ray,0.0
109,quoting,0.0
110,quit,0.0
111,quiet,0.0
112,quiere,0.0
113,quick,0.0
114,questions,0.0
115,raíces,0.0
116,quench,0.0
117,quejido,0.0
118,queens,0.0
119,queen,0.0
120,pulmones,0.0
121,128,0.0
122,pull,0.0
123,puffin,0.0
124,positive,0.0
125,possess,0.0
126,poster,0.0
127,potent,0.0
128,pour,0.0
