,term,score
0,changin,0.43973002057626526
1,times,0.33526263564441233
2,later,0.28207971944300986
3,soon,0.21155978958225738
4,come,0.18878123659317206
5,rapidly,0.17589200823050608
6,old,0.11868273285754719
7,don,0.1183903286081496
8,ll,0.09584544021577941
9,cast,0.08794600411525304
10,stalled,0.08794600411525304
11,namin,0.08794600411525304
12,agin,0.08794600411525304
13,wheel,0.08794600411525304
14,ragin,0.08794600411525304
15,heed,0.08794600411525304
16,present,0.08794600411525304
17,daughters,0.08794600411525304
18,shake,0.08794600411525304
19,doorways,0.08794600411525304
20,drenched,0.08794600411525304
21,lend,0.08794600411525304
22,drawn,0.08794600411525304
23,savin,0.08794600411525304
24,rattle,0.08794600411525304
25,pen,0.08794600411525304
26,waters,0.08794600411525304
27,order,0.08794600411525304
28,writers,0.08794600411525304
29,spin,0.08794600411525304
30,grown,0.08794600411525304
31,gather,0.08794600411525304
32,roam,0.08794600411525304
33,senators,0.08794600411525304
34,congressmen,0.08794600411525304
35,swimmin,0.08794600411525304
36,battle,0.08794600411525304
37,fathers,0.08794600411525304
38,hall,0.08794600411525304
39,fadin,0.08794600411525304
40,sink,0.08794600411525304
41,command,0.08794600411525304
42,admit,0.08794600411525304
43,curse,0.08794600411525304
44,prophesize,0.08794600411525304
45,critics,0.08794600411525304
46,block,0.08794600411525304
47,windows,0.08023484341514418
48,line,0.08023484341514418
49,walls,0.08023484341514418
50,hurt,0.08023484341514418
51,stone,0.08023484341514418
52,sons,0.08023484341514418
53,speak,0.08023484341514418
54,criticize,0.08023484341514418
55,loser,0.08023484341514418
56,accept,0.08023484341514418
57,tellin,0.08023484341514418
58,worth,0.08023484341514418
59,bone,0.08023484341514418
60,slow,0.07476368782899134
61,fast,0.07476368782899134
62,mothers,0.07476368782899134
63,win,0.07051992986075246
64,chance,0.06705252712888247
65,understand,0.06705252712888247
66,outside,0.06705252712888247
67,wide,0.06705252712888247
68,gets,0.06705252712888247
69,round,0.06705252712888247
70,past,0.06412087989115783
71,land,0.06412087989115783
72,hand,0.06158137154272963
73,start,0.06158137154272963
74,road,0.05934136642877359
75,stand,0.05733761357449075
76,new,0.05733761357449075
77,eyes,0.05552499863394361
78,better,0.05387021084262076
79,people,0.05387021084262076
80,won,0.047246092419810856
81,like,0.037088878411094706
82,time,0.03644413658812017
83,reaction,0.0
84,raise,0.0
85,putting,0.0
86,razona,0.0
87,ready,0.0
88,pussy,0.0
89,raised,0.0
90,ray,0.0
91,pushin,0.0
92,pumpin,0.0
93,push,0.0
94,punishment,0.0
95,rattlesnakers,0.0
96,ranch,0.0
97,real,0.0
98,really,0.0
99,rationale,0.0
100,rear,0.0
101,rated,0.0
102,ransacked,0.0
103,raíces,0.0
104,raíz,0.0
105,quit,0.0
106,quoting,0.0
107,quiet,0.0
108,quiere,0.0
109,read,0.0
110,reach,0.0
111,quick,0.0
112,rapper,0.0
113,quench,0.0
114,quejido,0.0
115,queens,0.0
116,rained,0.0
117,queen,0.0
118,quede,0.0
119,race,0.0
120,radio,0.0
121,que,0.0
122,rain,0.0
123,quarrels,0.0
124,reading,0.0
125,questions,0.0
126,128,0.0
127,pump,0.0
128,power,0.0
129,positive,0.0
130,possess,0.0
131,poster,0.0
132,potent,0.0
133,pour,0.0
134,poverty,0.0
135,powder,0.0
136,powers,0.0
137,pulque,0.0
138,pr,0.0
139,praise,0.0
140,pranto,0.0
141,pray,0.0
142,prayer,0.0
143,preachers,0.0
144,preaching,0.0
145,position,0.0
146,porque,0.0
147,porch,0.0
148,por,0.0
149,plex,0.0
150,pliers,0.0
151,plus,0.0
152,pode,0.0
153,poe,0.0
154,poems,0.0
155,poetical,0.0
156,points,0.0
157,poisonous,0.0
158,polish,0.0
159,político,0.0
160,poodle,0.0
161,pool,0.0
162,pop,0.0
163,poppin,0.0
164,precisely,0.0
165,pregones,0.0
166,pregón,0.0
167,property,0.0
168,prophets,0.0
169,reasons,0.0
170,propio,0.0
171,pros,0.0
172,prototype,0.0
173,proud,0.0
174,prove,0.0
175,prudence,0.0
176,pueblo,0.0
177,puedes,0.0
178,puedo,0.0
179,puffin,0.0
180,pull,0.0
181,pulling,0.0
182,pulmones,0.0
183,prophecy,0.0
184,propers,0.0
185,presidentes,0.0
186,proof,0.0
187,press,0.0
188,pretending,0.0
189,pretty,0.0
190,prey,0.0
191,price,0.0
192,pricing,0.0
193,pride,0.0
194,princess,0.0
195,prob,0.0
196,problem,0.0
197,problems,0.0
198,process,0.0
199,promise,0.0
200,promises,0.0
201,promotion,0.0
202,reason,0.0
203,relate,0.0
204,rebels,0.0
205,safer,0.0
206,runs,0.0
207,runway,0.0
208,rush,0.0
209,russia,0.0
210,ry,0.0
211,ríos,0.0
212,sacrifice,0.0
213,said,0.0
214,runnin,0.0
215,sail,0.0
216,sake,0.0
217,saliva,0.0
218,sally,0.0
219,salvador,0.0
220,sand,0.0
221,sangre,0.0
222,running,0.0
