,term,score
0,macho,0.7821929174195928
1,body,0.5214619449463953
2,man,0.22427130252160057
3,hey,0.12505719198077203
4,ve,0.1085636008146259
5,got,0.09240396272022369
6,yeah,0.06735424575414921
7,dig,0.04757398351481677
8,check,0.041813678918805476
9,baby,0.040639630941857
10,wanna,0.03678152705316824
11,thrill,0.035680487636112576
12,hot,0.02981830291377649
13,adore,0.026073097247319765
14,explore,0.026073097247319765
15,pop,0.026073097247319765
16,muscles,0.026073097247319765
17,best,0.02549807446676802
18,believe,0.024692003410573773
19,funky,0.023786991757408386
20,tease,0.023786991757408386
21,doubt,0.023786991757408386
22,talkin,0.023786991757408386
23,don,0.021936773748250545
24,feel,0.02052695995657333
25,life,0.019635889744431936
26,love,0.01955303364564966
27,touch,0.01825685095087165
28,alright,0.01699871631117868
29,god,0.016461335607049182
30,bout,0.016461335607049182
31,leather,0.013036548623659883
32,health,0.013036548623659883
33,dresses,0.013036548623659883
34,likes,0.013036548623659883
35,western,0.013036548623659883
36,special,0.013036548623659883
37,moustache,0.013036548623659883
38,leader,0.013036548623659883
39,outs,0.013036548623659883
40,eagle,0.013036548623659883
41,spa,0.013036548623659883
42,jogging,0.013036548623659883
43,ideals,0.013036548623659883
44,machos,0.013036548623659883
45,demand,0.013036548623659883
46,ought,0.013036548623659883
47,person,0.013036548623659883
48,mornings,0.013036548623659883
49,confidence,0.013036548623659883
50,shirts,0.013036548623659883
51,glow,0.011893495878704193
52,style,0.011893495878704193
53,mister,0.011893495878704193
54,broad,0.011893495878704193
55,ow,0.011893495878704193
56,freedom,0.011893495878704193
57,ugh,0.011893495878704193
58,anybody,0.011893495878704193
59,wants,0.011893495878704193
60,strength,0.011893495878704193
61,cha,0.011893495878704193
62,possess,0.011893495878704193
63,grand,0.011893495878704193
64,come,0.01119348534292164
65,shoulders,0.011082487049547854
66,steal,0.011082487049547854
67,chest,0.011082487049547854
68,kind,0.010453419729701369
69,ready,0.010453419729701369
70,chains,0.010453419729701369
71,king,0.009939434304592164
72,boss,0.009504865819684878
73,land,0.009504865819684878
74,hair,0.009504865819684878
75,ll,0.009471673400053027
76,big,0.009128425475435825
77,walk,0.009128425475435825
78,work,0.00849935815558934
79,stand,0.00849935815558934
80,live,0.008230667803524591
81,stop,0.007759723137234458
82,good,0.007550804245572849
83,look,0.007550804245572849
84,tell,0.006842319985524443
85,make,0.0065452965814773115
86,gonna,0.006031311156368106
87,quejido,0.0
88,queen,0.0
89,que,0.0
90,quede,0.0
91,points,0.0
92,poisonous,0.0
93,polish,0.0
94,quoting,0.0
95,quit,0.0
96,por,0.0
97,quiet,0.0
98,poppin,0.0
99,pool,0.0
100,quench,0.0
101,quiere,0.0
102,poodle,0.0
103,quick,0.0
104,questions,0.0
105,político,0.0
106,race,0.0
107,queens,0.0
108,preaching,0.0
109,raise,0.0
110,radio,0.0
111,poetical,0.0
112,reasons,0.0
113,reason,0.0
114,rear,0.0
115,plus,0.0
116,really,0.0
117,pode,0.0
118,real,0.0
119,reading,0.0
120,read,0.0
121,reaction,0.0
122,poe,0.0
123,reach,0.0
124,poems,0.0
125,raíz,0.0
126,raíces,0.0
127,razona,0.0
128,ray,0.0
129,rattlesnakers,0.0
130,rattle,0.0
131,rationale,0.0
132,rated,0.0
133,rapper,0.0
134,rapidly,0.0
135,ransacked,0.0
136,ranch,0.0
137,raised,0.0
138,rained,0.0
139,rain,0.0
140,ragin,0.0
141,quarrels,0.0
142,push,0.0
143,porch,0.0
144,poverty,0.0
145,propers,0.0
146,proof,0.0
147,promotion,0.0
148,promises,0.0
149,promise,0.0
150,process,0.0
151,problems,0.0
152,power,0.0
153,powers,0.0
154,problem,0.0
155,prob,0.0
156,princess,0.0
157,pride,0.0
158,pricing,0.0
159,price,0.0
160,pr,0.0
161,prey,0.0
162,pretty,0.0
163,praise,0.0
164,pretending,0.0
165,press,0.0
166,presidentes,0.0
167,present,0.0
168,pranto,0.0
169,pray,0.0
170,prayer,0.0
171,pregón,0.0
172,pregones,0.0
173,preachers,0.0
174,powder,0.0
175,property,0.0
176,putting,0.0
177,prophecy,0.0
178,pussy,0.0
179,porque,0.0
180,position,0.0
181,pushin,0.0
182,positive,0.0
183,precisely,0.0
184,punishment,0.0
185,pumpin,0.0
186,pump,0.0
187,pulque,0.0
188,pulmones,0.0
189,pulling,0.0
190,pull,0.0
191,puffin,0.0
192,puedo,0.0
193,puedes,0.0
194,pueblo,0.0
195,prudence,0.0
196,prove,0.0
197,proud,0.0
198,prototype,0.0
199,pros,0.0
200,poster,0.0
201,potent,0.0
202,propio,0.0
203,prophets,0.0
204,prophesize,0.0
205,pour,0.0
206,rebels,0.0
207,128,0.0
208,relentlessly,0.0
209,recital,0.0
210,safer,0.0
211,runs,0.0
212,runway,0.0
213,rush,0.0
214,russia,0.0
215,ry,0.0
216,ríos,0.0
217,sacrifice,0.0
218,said,0.0
219,runnin,0.0
220,sail,0.0
221,sake,0.0
222,saliva,0.0
223,sally,0.0
224,salvador,0.0
225,sand,0.0
226,sangre,0.0
227,running,0.0
228,runaway,0.0
229,santos,0.0
230,row,0.0
231,rooms,0.0
232,root,0.0
233,rope,0.0
234,rose,0.0
235,rot,0.0
236,rough,0.0
237,round,0.0
238,rub,0.0
239,run,0.0
240,rude,0.0
241,ruffians,0.0
242,ruger,0.0
243,rule,0.0
244,rules,0.0
245,rum,0.0
246,rumors,0.0
247,santa,0.0
248,sap,0.0
249,rookie,0.0
250,se,0.0
251,scraper,0.0
252,scrappy,0.0
253,scream,0.0
254,screamin,0.0
255,screen,0.0
256,screwed,0.0
257,scufflin,0.0
258,sea,0.0
259,school,0.0
260,seamstress,0.0
261,searching,0.0
262,seca,0.0
263,second,0.0
264,secrets,0.0
265,section,0.0
266,seed,0.0
267,science,0.0
268,scholarship,0.0
269,sarasota,0.0
270,say,0.0
271,satan,0.0
272,satisfaction,0.0
273,save,0.0
274,savin,0.0
275,saving,0.0
276,saw,0.0
277,sax,0.0
278,sayin,0.0
279,scheme,0.0
280,saying,0.0
281,says,0.0
282,scandalous,0.0
283,scanner,0.0
284,scared,0.0
285,scene,0.0
286,schefferville,0.0
287,room,0.0
288,roof,0.0
289,recite,0.0
290,respira,0.0
291,reno,0.0
292,repleta,0.0
293,reppin,0.0
294,repping,0.0
295,rescue,0.0
296,respect,0.0
297,respected,0.0
298,respirando,0.0
299,remember,0.0
300,rest,0.0
301,resume,0.0
302,return,0.0
303,reverse,0.0
304,revolution,0.0
305,revolutionary,0.0
306,rewrite,0.0
307,remind,0.0
308,religion,0.0
309,rhyme,0.0
310,regard,0.0
311,reconstruyo,0.0
312,record,0.0
313,recuerdes,0.0
314,recuerdo,0.0
315,red,0.0
316,reflection,0.0
317,refuse,0.0
318,regreso,0.0
319,plex,0.0
320,regret,0.0
321,regular,0.0
322,rehearse,0.0
323,rehearsed,0.0
324,reign,0.0
325,rejoice,0.0
326,relate,0.0
327,rexburg,0.0
328,rhymes,0.0
329,romance,0.0
330,rockin,0.0
331,road,0.0
332,roadrunner,0.0
333,roads,0.0
334,roam,0.0
335,robaron,0.0
336,rock,0.0
337,rocked,0.0
338,rocking,0.0
339,rituales,0.0
340,rocks,0.0
341,role,0.0
342,roll,0.0
343,rolled,0.0
