,term,score
0,dance,0.6119892002541647
1,somebody,0.5532722061547969
2,wanna,0.3794912894861138
3,cha,0.19792009604234453
4,loves,0.17812808643811007
5,ooh,0.1328848770680148
6,heat,0.11065444123095937
7,oh,0.10574939104309318
8,yeah,0.09607238100897178
9,don,0.07301012942522608
10,huh,0.06958229465830856
11,feel,0.0683179769429573
12,ha,0.06616099462207187
13,falls,0.06508250346162914
14,calls,0.05937602881270336
15,burns,0.043388335641086094
16,love,0.040672842708881995
17,baby,0.03864488980804961
18,hey,0.03672496349865618
19,woo,0.03479114732915428
20,lonely,0.03479114732915428
21,uh,0.03479114732915428
22,night,0.03415898847147865
23,chance,0.033080497311035933
24,hot,0.033080497311035933
25,heart,0.0316341633290512
26,say,0.027940679301277888
27,need,0.02330895344550389
28,figure,0.021694167820543047
29,strikes,0.021694167820543047
30,begins,0.021694167820543047
31,ends,0.021694167820543047
32,sooner,0.021694167820543047
33,clock,0.021694167820543047
34,spinning,0.021694167820543047
35,senses,0.021694167820543047
36,blues,0.021694167820543047
37,man,0.021326324999001042
38,ve,0.020073453516169987
39,fever,0.019792009604234453
40,loneliness,0.019792009604234453
41,fade,0.019792009604234453
42,chase,0.019792009604234453
43,shows,0.019792009604234453
44,arms,0.01844240687182656
45,lost,0.01844240687182656
46,town,0.01844240687182656
47,later,0.01739557366457714
48,hour,0.01739557366457714
49,whoa,0.016540248655517967
50,wind,0.016540248655517967
51,til,0.0158170816645256
52,sun,0.0158170816645256
53,ll,0.015761846038697735
54,light,0.014638090439209371
55,alright,0.014143812715860654
56,feeling,0.013696684127019706
57,hold,0.012565320715809115
58,day,0.012565320715809115
59,boy,0.012565320715809115
60,away,0.011132683968065354
61,want,0.01089205176714417
62,come,0.009313559767092628
63,time,0.008989893550835574
64,pray,0.0
65,radio,0.0
66,quoting,0.0
67,poetical,0.0
68,poems,0.0
69,poe,0.0
70,race,0.0
71,ragin,0.0
72,quit,0.0
73,pode,0.0
74,plus,0.0
75,rain,0.0
76,rained,0.0
77,raise,0.0
78,points,0.0
79,quiet,0.0
80,pliers,0.0
81,queen,0.0
82,pussy,0.0
83,putting,0.0
84,político,0.0
85,quarrels,0.0
86,que,0.0
87,quede,0.0
88,queens,0.0
89,quiere,0.0
90,quejido,0.0
91,polish,0.0
92,quench,0.0
93,poisonous,0.0
94,questions,0.0
95,quick,0.0
96,raised,0.0
97,ranch,0.0
98,push,0.0
99,raíz,0.0
100,plan,0.0
101,rebels,0.0
102,planeta,0.0
103,reasons,0.0
104,reason,0.0
105,rear,0.0
106,planned,0.0
107,really,0.0
108,real,0.0
109,ready,0.0
110,reading,0.0
111,read,0.0
112,reaction,0.0
113,reach,0.0
114,play,0.0
115,plex,0.0
116,raíces,0.0
117,razona,0.0
118,ray,0.0
119,played,0.0
120,rattlesnakers,0.0
121,rattle,0.0
122,rationale,0.0
123,player,0.0
124,rated,0.0
125,rapper,0.0
126,rapidly,0.0
127,ransacked,0.0
128,playing,0.0
129,pleased,0.0
130,pushin,0.0
131,punishment,0.0
132,poodle,0.0
133,prey,0.0
134,promises,0.0
135,promise,0.0
136,process,0.0
137,problems,0.0
138,potent,0.0
139,problem,0.0
140,prob,0.0
141,princess,0.0
142,pride,0.0
143,pricing,0.0
144,pour,0.0
145,poverty,0.0
146,price,0.0
147,powder,0.0
148,power,0.0
149,proof,0.0
150,pretty,0.0
151,pretending,0.0
152,press,0.0
153,presidentes,0.0
154,present,0.0
155,pregón,0.0
156,powers,0.0
157,pregones,0.0
158,pr,0.0
159,precisely,0.0
160,preaching,0.0
161,preachers,0.0
162,prayer,0.0
163,praise,0.0
164,promotion,0.0
165,propers,0.0
166,pranto,0.0
167,pueblo,0.0
168,pool,0.0
169,pumpin,0.0
170,pump,0.0
171,pop,0.0
172,pulque,0.0
173,pulmones,0.0
174,pulling,0.0
175,poppin,0.0
176,por,0.0
177,porch,0.0
178,pull,0.0
179,puffin,0.0
180,puedo,0.0
181,puedes,0.0
182,prudence,0.0
183,property,0.0
184,prove,0.0
185,proud,0.0
186,prototype,0.0
187,porque,0.0
188,pros,0.0
189,propio,0.0
190,position,0.0
191,positive,0.0
192,prophets,0.0
193,prophesize,0.0
194,possess,0.0
195,poster,0.0
