,term,score
0,road,0.6816353580488694
1,wait,0.4401205729606773
2,friends,0.30670951689767895
3,makin,0.2164730811323954
4,music,0.165045214860254
5,way,0.15505737185708088
6,gypsies,0.14431538742159694
7,insisting,0.14431538742159694
8,band,0.1316617239026947
9,turnin,0.1316617239026947
10,highway,0.11571999320698248
11,life,0.10868524782289757
12,best,0.09408841254445709
13,just,0.08116997759432447
14,love,0.08116997759432447
15,world,0.07245683188193172
16,seein,0.07215769371079847
17,places,0.06583086195134735
18,goin,0.06583086195134735
19,like,0.060861160331004936
20,things,0.04419928128882197
21,ve,0.03338349095755928
22,queens,0.0
23,quede,0.0
24,pros,0.0
25,queen,0.0
26,puedo,0.0
27,quarrels,0.0
28,quejido,0.0
29,quench,0.0
30,questions,0.0
31,quick,0.0
32,prudence,0.0
33,quiere,0.0
34,propio,0.0
35,que,0.0
36,pushin,0.0
37,putting,0.0
38,pueblo,0.0
39,proud,0.0
40,puedes,0.0
41,pull,0.0
42,pulling,0.0
43,pulmones,0.0
44,pulque,0.0
45,pump,0.0
46,pussy,0.0
47,prototype,0.0
48,prove,0.0
49,pumpin,0.0
50,punishment,0.0
51,push,0.0
52,puffin,0.0
53,quiet,0.0
54,128,0.0
55,quit,0.0
56,raíces,0.0
57,reach,0.0
58,reaction,0.0
59,read,0.0
60,reading,0.0
61,ready,0.0
62,real,0.0
63,really,0.0
64,rear,0.0
65,reason,0.0
66,reasons,0.0
67,rebels,0.0
68,recital,0.0
69,recite,0.0
70,reconstruyo,0.0
71,record,0.0
72,raíz,0.0
73,razona,0.0
74,quoting,0.0
75,ray,0.0
76,race,0.0
77,radio,0.0
78,ragin,0.0
79,prophets,0.0
80,rained,0.0
81,raise,0.0
82,raised,0.0
83,ranch,0.0
84,ransacked,0.0
85,rapidly,0.0
86,rapper,0.0
87,rated,0.0
88,rationale,0.0
89,rattle,0.0
90,rattlesnakers,0.0
91,rain,0.0
92,promotion,0.0
93,prophesize,0.0
94,position,0.0
95,plex,0.0
96,pliers,0.0
97,plus,0.0
98,pode,0.0
99,poe,0.0
100,poems,0.0
101,poetical,0.0
102,points,0.0
103,poisonous,0.0
104,polish,0.0
105,político,0.0
106,poodle,0.0
107,pool,0.0
108,pop,0.0
109,poppin,0.0
110,por,0.0
111,porch,0.0
112,pleased,0.0
113,playing,0.0
114,player,0.0
115,pirate,0.0
116,piece,0.0
117,pieces,0.0
118,piel,0.0
119,piernas,0.0
120,pills,0.0
121,pink,0.0
122,pipe,0.0
123,pittsburgh,0.0
124,played,0.0
125,pittsfield,0.0
126,pity,0.0
127,place,0.0
128,plan,0.0
129,planeta,0.0
130,planned,0.0
131,play,0.0
132,porque,0.0
133,positive,0.0
134,prophecy,0.0
135,possess,0.0
136,pretending,0.0
137,pretty,0.0
138,prey,0.0
139,price,0.0
140,pricing,0.0
141,pride,0.0
142,princess,0.0
143,prob,0.0
144,problem,0.0
145,problems,0.0
146,process,0.0
147,promise,0.0
148,promises,0.0
149,recuerdo,0.0
150,proof,0.0
151,propers,0.0
152,property,0.0
153,press,0.0
154,presidentes,0.0
155,present,0.0
156,pr,0.0
157,poster,0.0
158,potent,0.0
159,pour,0.0
160,poverty,0.0
161,powder,0.0
162,power,0.0
163,powers,0.0
164,praise,0.0
165,pregón,0.0
166,pranto,0.0
167,pray,0.0
168,prayer,0.0
169,preachers,0.0
170,preaching,0.0
171,precisely,0.0
172,pregones,0.0
173,recuerdes,0.0
174,regular,0.0
175,red,0.0
176,sand,0.0
177,safer,0.0
178,said,0.0
179,sail,0.0
180,sake,0.0
181,saliva,0.0
182,sally,0.0
183,salvador,0.0
184,sangre,0.0
185,ríos,0.0
186,santa,0.0
187,santos,0.0
188,sap,0.0
189,sarasota,0.0
190,satan,0.0
191,satisfaction,0.0
192,save,0.0
193,sacrifice,0.0
194,ry,0.0
195,saving,0.0
196,rum,0.0
197,row,0.0
198,rub,0.0
199,rude,0.0
200,ruffians,0.0
201,ruger,0.0
202,rule,0.0
203,rules,0.0
