,term,score
0,tune,0.591241680479846
1,true,0.2779327410901099
2,felt,0.27546267026514903
3,remind,0.25866823520993265
4,oh,0.2581895206810492
5,cries,0.24302413881873072
6,feel,0.170070465735221
7,feels,0.1478104201199615
8,like,0.13665191994846812
9,ll,0.13242645758877702
10,baby,0.12626567041974152
11,music,0.1235256627067155
12,whispers,0.12151206940936536
13,powder,0.12151206940936536
14,teardrops,0.12151206940936536
15,footsteps,0.12151206940936536
16,time,0.11749185383490711
17,did,0.1056286320304805
18,floor,0.10329850134943089
19,room,0.09743504208279485
20,crazy,0.09743504208279485
21,chance,0.09264424703003662
22,dance,0.09264424703003662
23,took,0.08859368752801161
24,romance,0.08100804627291024
25,eyes,0.07671704423456012
26,yeah,0.074738173398937
27,fever,0.07390521005998076
28,lost,0.06886566756628726
29,break,0.05465999514042825
30,don,0.05452532673107929
31,goodbyes,0.04050402313645512
32,hurting,0.03695260502999038
33,dancin,0.03695260502999038
34,ohh,0.03695260502999038
35,holding,0.03695260502999038
36,really,0.03247834736093162
37,round,0.030881415676678875
38,inside,0.030881415676678875
39,lovers,0.030881415676678875
40,deep,0.030881415676678875
41,hear,0.026407158007620123
42,hands,0.026407158007620123
43,let,0.01518761886359113
44,reconstruyo,0.0
45,quejido,0.0
46,quick,0.0
47,queens,0.0
48,quench,0.0
49,queen,0.0
50,quiere,0.0
51,questions,0.0
52,reading,0.0
53,quede,0.0
54,que,0.0
55,quarrels,0.0
56,quiet,0.0
57,pussy,0.0
58,pushin,0.0
59,push,0.0
60,punishment,0.0
61,pumpin,0.0
62,pump,0.0
63,pulque,0.0
64,pulmones,0.0
65,record,0.0
66,pulling,0.0
67,putting,0.0
68,ragin,0.0
69,quit,0.0
70,rated,0.0
71,reaction,0.0
72,reach,0.0
73,ready,0.0
74,raíz,0.0
75,raíces,0.0
76,razona,0.0
77,real,0.0
78,ray,0.0
79,rattlesnakers,0.0
80,rear,0.0
81,rattle,0.0
82,reason,0.0
83,reasons,0.0
84,rationale,0.0
85,rapper,0.0
86,quoting,0.0
87,rebels,0.0
88,recital,0.0
89,rapidly,0.0
90,puffin,0.0
91,ransacked,0.0
92,recite,0.0
93,ranch,0.0
94,raised,0.0
95,raise,0.0
96,rained,0.0
97,rain,0.0
98,read,0.0
99,radio,0.0
100,race,0.0
101,pull,0.0
102,128,0.0
103,puedo,0.0
104,puedes,0.0
105,político,0.0
106,poodle,0.0
107,pool,0.0
108,pop,0.0
109,poppin,0.0
110,por,0.0
111,porch,0.0
112,porque,0.0
113,position,0.0
114,positive,0.0
115,possess,0.0
116,poster,0.0
117,potent,0.0
118,pour,0.0
119,poverty,0.0
120,power,0.0
121,powers,0.0
122,polish,0.0
123,poisonous,0.0
124,points,0.0
125,player,0.0
126,place,0.0
127,places,0.0
128,plan,0.0
129,planeta,0.0
130,planned,0.0
131,play,0.0
132,played,0.0
133,playing,0.0
134,poetical,0.0
135,pleased,0.0
136,plex,0.0
137,pliers,0.0
138,plus,0.0
139,pode,0.0
140,poe,0.0
141,poems,0.0
142,pr,0.0
143,praise,0.0
144,pranto,0.0
145,prophesize,0.0
146,promise,0.0
147,promises,0.0
148,promotion,0.0
149,proof,0.0
150,propers,0.0
151,property,0.0
152,prophecy,0.0
153,prophets,0.0
154,problems,0.0
155,propio,0.0
156,pros,0.0
157,recuerdes,0.0
158,proud,0.0
159,prove,0.0
160,prudence,0.0
161,pueblo,0.0
162,process,0.0
163,problem,0.0
164,pray,0.0
165,presidentes,0.0
166,prayer,0.0
167,preachers,0.0
168,preaching,0.0
169,precisely,0.0
170,pregones,0.0
171,pregón,0.0
172,present,0.0
173,press,0.0
174,prob,0.0
175,pretending,0.0
176,pretty,0.0
177,prey,0.0
178,price,0.0
179,pricing,0.0
180,pride,0.0
181,princess,0.0
182,prototype,0.0
183,reign,0.0
184,recuerdo,0.0
185,sangre,0.0
186,said,0.0
187,sail,0.0
188,sake,0.0
189,saliva,0.0
190,sally,0.0
191,salvador,0.0
192,sand,0.0
193,santa,0.0
194,sacrifice,0.0
195,santos,0.0
196,sap,0.0
197,sarasota,0.0
198,satan,0.0
199,satisfaction,0.0
200,save,0.0
201,savin,0.0
202,safer,0.0
203,ríos,0.0
204,rough,0.0
205,rumors,0.0
206,rub,0.0
207,rude,0.0
208,ruffians,0.0
209,ruger,0.0
210,rule,0.0
211,rules,0.0
212,rum,0.0
213,run,0.0
214,ry,0.0
215,runaway,0.0
216,runnin,0.0
217,running,0.0
218,runs,0.0
219,runway,0.0
220,rush,0.0
221,russia,0.0
222,saving,0.0
223,saw,0.0
224,sax,0.0
225,section,0.0
226,se,0.0
227,sea,0.0
228,seamstress,0.0
229,searching,0.0
230,seca,0.0
231,second,0.0
232,secrets,0.0
233,seed,0.0
234,say,0.0
235,seein,0.0
236,seeing,0.0
237,seek,0.0
238,seen,0.0
239,sees,0.0
240,self,0.0
241,sell,0.0
242,scufflin,0.0
243,screwed,0.0
244,screen,0.0
245,screamin,0.0
246,sayin,0.0
247,saying,0.0
248,says,0.0
249,scandalous,0.0
250,scanner,0.0
251,scared,0.0
252,scene,0.0
253,schefferville,0.0
254,scheme,0.0
255,scholarship,0.0
256,school,0.0
257,science,0.0
258,scraper,0.0
259,scrappy,0.0
260,scream,0.0
261,row,0.0
262,rot,0.0
263,red,0.0
264,revolution,0.0
265,respected,0.0
266,respira,0.0
267,respirando,0.0
268,rest,0.0
269,resume,0.0
270,return,0.0
271,reverse,0.0
272,revolutionary,0.0
273,rescue,0.0
274,rewrite,0.0
275,rexburg,0.0
276,rhyme,0.0
277,rhymes,0.0
278,rhyming,0.0
279,rhythm,0.0
280,ribbon,0.0
281,respect,0.0
282,repping,0.0
283,rose,0.0
284,rehearsed,0.0
285,reflection,0.0
286,refuse,0.0
287,regard,0.0
288,regreso,0.0
289,regret,0.0
290,regular,0.0
291,rehearse,0.0
292,pittsfield,0.0
293,reppin,0.0
294,rejoice,0.0
295,relate,0.0
296,relentlessly,0.0
297,religion,0.0
298,remember,0.0
299,reno,0.0
300,repleta,0.0
301,rica,0.0
302,rich,0.0
303,richard,0.0
304,rolled,0.0
305,rock,0.0
306,rocked,0.0
307,rockin,0.0
308,rocking,0.0
309,rocks,0.0
310,role,0.0
311,roll,0.0
312,rollercoaster,0.0
313,ride,0.0
314,rollie,0.0
315,rolls,0.0
316,roof,0.0
317,rookie,0.0
318,rooms,0.0
319,root,0.0
320,rope,0.0
321,robaron,0.0
322,roam,0.0
323,roads,0.0
324,roadrunner,0.0
325,riding,0.0
326,right,0.0
327,righteous,0.0
328,rights,0.0
329,rims,0.0
330,ring,0.0
331,ripe,0.0
332,ripped,0.0
333,rise,0.0
334,rising,0.0
335,riso,0.0
336,ritmo,0.0
337,rituales,0.0
338,rival,0.0
339,road,0.0
340,pity,0.0
341,pie,0.0
342,pittsburgh,0.0
343,mmmmm,0.0
344,mirror,0.0
345,mis,0.0
346,miss,0.0
347,mistakes,0.0
348,mister,0.0
349,mma,0.0
350,mmm,0.0
351,mmmmmm,0.0
352,minnesota,0.0
353,modern,0.0
354,moment,0.0
355,money,0.0
356,monie,0.0
357,monroe,0.0
358,mont,0.0
359,montañas,0.0
360,miro,0.0
361,minhas,0.0
362,montgomery,0.0
363,midnight,0.0
364,met,0.0
365,metropolis,0.0
366,mi,0.0
367,mic,0.0
368,michigan,0.0
369,mics,0.0
370,middleman,0.0
371,mike,0.0
372,minha,0.0
373,miles,0.0
374,million,0.0
375,millions,0.0
376,mills,0.0
377,mind,0.0
378,minds,0.0
379,mines,0.0
380,monterey,0.0
381,monáe,0.0
382,message,0.0
383,nace,0.0
384,muscles,0.0
385,museum,0.0
386,mutha,0.0
387,muthafucka,0.0
388,más,0.0
389,mío,0.0
390,na,0.0
391,naciste,0.0
392,mulligan,0.0
393,nadie,0.0
394,nah,0.0
395,nails,0.0
396,namin,0.0
397,nap,0.0
